«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,32.76,33.12,32.05,32.23,32.76,-1.62,-0.53,8780897.0,269802
2026/01/12,33.0,33.36,32.6,32.76,33.0,-0.73,-0.24,3267953.0,99344
2026/01/11,33.91,34.0,32.75,33.0,33.91,-2.68,-0.91,1.681633E7,507998
2026/01/08,34.3,34.78,33.35,33.91,34.3,-1.14,-0.39,5017014.5,148391
2026/01/06,32.53,34.9,32.7,34.3,32.53,5.44,1.77,3.4649536E7,1007269
2026/01/05,34.3,34.49,32.5,32.53,34.3,-5.16,-1.77,1.0521143E7,317267
2026/01/04,34.86,35.0,34.0,34.3,34.86,-1.61,-0.56,7153698.5,208703
2025/12/31,34.49,34.91,34.0,34.86,34.49,1.07,0.37,7181851.5,209042
2025/12/30,35.21,35.6,34.14,34.49,35.21,-2.04,-0.72,1.1947901E7,345159
2025/12/29,35.48,35.7,35.05,35.21,35.48,-0.76,-0.27,6438902.5,182034
2025/12/28,34.9,36.0,34.65,35.48,34.9,1.66,0.58,1.1961156E7,338093
2025/12/25,35.0,35.5,34.83,34.9,35.0,-0.29,-0.1,7117368.5,202868
2025/12/24,35.6,36.0,34.61,35.0,35.6,-1.69,-0.6,1.76846E7,500770
2025/12/23,35.96,36.9,35.2,35.6,35.96,-1.0,-0.36,3.8808644E7,1075459
2025/12/22,34.3,37.6,34.22,35.96,34.3,4.84,1.66,7.4924152E7,2065731
2025/12/21,35.2,35.4,34.01,34.3,35.2,-2.56,-0.9,1.7886478E7,516763
2025/12/18,37.0,35.3,34.13,35.2,37.0,-4.86,-1.8,6.611012E7,1905101
2025/12/17,33.6,34.45,33.6,34.1,33.6,1.37,0.5,5.8221732E7,1576101
2025/12/16,32.92,34.07,33.12,33.6,32.92,1.9,0.68,7.2764904E7,1997098
2025/12/15,32.6,33.49,32.8,32.92,32.6,0.9,0.32,6.3248996E7,1762381
2025/12/14,31.81,33.07,31.85,32.6,31.81,2.28,0.79,2.8341866E7,798181
2025/12/11,32.0,32.35,31.66,31.81,32.0,-0.54,-0.19,9832684.0,282144
2025/12/10,31.48,32.63,31.52,32.0,31.48,1.51,0.52,1.752199E7,500876
2025/12/09,31.46,31.83,31.22,31.48,31.46,-0.03,-0.01,4576584.0,132476
2025/12/08,31.79,32.1,31.4,31.46,31.79,-0.95,-0.33,9294049.0,268787
2025/12/07,30.69,31.99,30.8,31.79,30.69,3.27,1.1,8466287.0,247011
2025/12/04,31.48,32.01,30.26,30.69,31.48,-2.3,-0.79,1.8517588E7,550069
2025/12/03,32.1,32.45,31.44,31.48,32.1,-1.77,-0.62,1.0634074E7,306377
2025/12/02,31.96,32.6,32.1,32.1,31.96,0.4,0.14,1.2374151E7,351732
2025/12/01,31.87,32.3,31.5,31.96,31.87,0.46,0.16,1.0910638E7,312899
2025/11/30,31.9,32.3,31.62,31.87,31.9,-0.09,-0.03,7969769.0,229030
2025/11/27,31.85,32.35,31.72,31.9,31.85,0.14,0.05,1.2884003E7,369383
2025/11/26,32.6,33.0,31.81,31.85,32.6,-2.11,-0.75,9574908.0,272715
2025/11/25,32.85,33.28,32.18,32.6,32.85,-0.7,-0.25,3.1199162E7,878020
2025/11/24,31.73,34.03,32.05,32.85,31.73,3.23,1.12,9.8978944E7,2737430
2025/11/23,31.53,33.87,31.71,31.73,31.53,0.58,0.2,4.2378296E7,1199333
2025/11/13,32.1,32.55,31.36,31.53,32.1,-1.63,-0.57,8558543.0,246297
2025/11/12,31.05,32.1,30.92,32.1,31.05,3.09,1.05,7822365.5,227879
2025/11/11,31.63,31.96,30.91,31.05,31.63,-1.68,-0.58,1.2810274E7,375234
2025/11/10,32.46,32.46,31.13,31.63,32.46,-2.35,-0.83,1.2753198E7,368893
2025/11/09,32.58,32.9,32.07,32.46,32.58,-0.34,-0.12,1.0438339E7,296069
2025/11/06,32.93,33.49,32.5,32.58,32.93,-0.98,-0.35,9702056.0,271265
2025/11/05,34.46,34.89,32.7,32.93,34.46,-4.1,-1.53,5.1152392E7,1393736
2025/11/04,32.85,34.47,32.69,34.46,32.85,4.5,1.61,5.4566436E7,1500891
2025/11/03,31.8,33.6,31.7,32.85,31.8,3.03,1.05,9.1362048E7,2560389
2025/11/02,30.9,32.11,30.94,31.8,30.9,2.66,0.9,5.9662552E7,1718533
2025/10/30,30.2,31.5,30.25,30.9,30.2,2.11,0.7,3.0168848E7,887724
2025/10/29,30.22,30.6,30.15,30.2,30.22,-0.06,-0.02,7489033.5,225259
2025/10/28,30.3,30.87,30.11,30.22,30.3,0.45,0.15,8453459.0,253859
2025/10/27,30.53,31.14,30.21,30.3,30.53,-0.69,-0.23,2.1496882E7,641300
2025/10/26,29.36,31.05,29.4,30.53,29.36,3.63,1.17,4.4983E7,1347297
2025/10/23,30.1,30.49,29.15,29.36,30.1,-2.24,-0.74,3.211513E7,992516
2025/10/22,31.8,33.6,29.85,30.1,31.8,-4.9,-1.7,6.8862552E7,2036007
2025/10/21,30.49,32.8,30.56,31.8,30.49,3.92,1.31,8.9552624E7,2581792
2025/10/20,28.45,31.5,28.6,30.49,28.45,6.51,2.04,1.66622704E8,5011034
2025/10/19,27.75,28.57,27.7,28.45,27.75,2.28,0.7,6040543.0,194234
2025/10/16,27.83,28.0,27.7,27.75,27.83,-0.26,-0.08,4162942.75,135323
2025/10/15,28.02,28.3,27.81,27.83,28.02,-0.61,-0.19,4390228.0,142386
2025/10/14,27.91,28.5,28.0,28.02,27.91,0.36,0.11,8709843.0,279966
2025/10/13,27.64,28.5,27.8,27.91,27.64,1.02,0.31,1.754602E7,564240
2025/10/12,26.27,28.0,26.6,27.64,26.27,4.7,1.37,2.3985204E7,788679
2025/10/08,26.57,26.68,25.95,26.27,26.57,-1.02,-0.3,5823723.0,200018
2025/10/07,26.97,27.1,26.51,26.57,26.97,-1.34,-0.4,6937128.0,233936
2025/10/06,27.09,27.5,26.8,26.97,27.09,-0.4,-0.12,4013895.75,134352
2025/10/05,26.43,27.57,26.5,27.09,26.43,2.25,0.66,2.417344E7,804732
2025/10/02,25.7,26.5,25.6,26.43,25.7,2.55,0.73,7136156.5,246750
2025/10/01,26.11,26.4,25.65,25.7,26.11,-1.41,-0.41,5075616.0,175903
2025/09/30,26.0,26.58,26.02,26.11,26.0,0.38,0.11,5311413.0,182387
2025/09/29,25.62,26.79,25.65,26.0,25.62,1.33,0.38,1.5887605E7,544443
2025/09/28,25.0,25.67,25.32,25.62,25.0,2.22,0.62,1.0216734E7,358957
2025/09/25,25.2,25.3,24.9,25.0,25.2,-0.71,-0.2,6472744.5,231597
2025/09/24,23.92,25.22,24.05,25.2,23.92,4.77,1.28,1.0131435E7,365828
2025/09/23,24.71,25.09,23.57,23.92,24.71,-2.86,-0.79,1.2524123E7,462934
2025/09/22,25.1,25.48,24.4,24.71,25.1,-1.39,-0.39,5824187.5,211130
2025/09/21,25.92,26.1,25.1,25.1,25.92,-2.85,-0.82,8443740.0,297382
2025/09/18,25.68,26.25,25.66,25.92,25.68,0.84,0.24,2995616.25,104225
2025/09/17,25.73,26.01,25.42,25.68,25.73,-0.17,-0.05,2834060.25,99163
2025/09/16,26.7,26.9,25.5,25.73,26.7,-3.04,-0.9,8297182.0,287640
2025/09/15,26.93,27.29,26.7,26.7,26.93,-0.77,-0.23,4007632.5,134370
2025/09/14,26.63,27.2,26.7,26.93,26.63,0.71,0.21,3480518.75,116333
2025/09/11,26.78,27.24,26.61,26.63,26.78,-0.51,-0.15,4063422.75,136747
2025/09/10,26.81,27.1,26.65,26.78,26.81,-0.1,-0.03,2740690.25,92091
2025/09/09,26.93,27.38,26.79,26.81,26.93,-0.4,-0.12,6827928.0,228304
2025/09/08,26.82,27.58,26.84,26.93,26.82,0.37,0.11,6652287.0,221094
2025/09/07,27.83,28.1,26.75,26.82,27.83,-3.29,-1.01,1.1510794E7,383192
2025/09/03,28.6,29.04,27.82,27.83,28.6,-2.44,-0.77,1.0846719E7,349109
2025/09/02,28.19,29.4,28.2,28.6,28.19,1.32,0.41,6.389334E7,2005826
2025/09/01,26.45,28.85,26.2,28.19,26.45,5.93,1.74,3.422912E7,1116682
2025/08/31,26.13,26.7,26.14,26.45,26.13,1.1,0.32,5438235.0,185825
2025/08/28,26.4,26.43,26.11,26.13,26.4,-0.92,-0.27,2254123.0,77330
2025/08/27,26.15,26.45,26.0,26.4,26.15,0.86,0.25,4224561.0,144888
2025/08/26,25.83,26.5,25.8,26.15,25.83,1.11,0.32,1.0680366E7,367385
2025/08/25,25.97,26.2,25.77,25.83,25.97,-0.48,-0.14,6866187.0,237923
2025/08/24,26.1,26.7,25.95,25.97,26.1,-0.45,-0.13,1.4478267E7,497789
2025/08/21,26.39,26.9,26.1,26.1,26.39,-0.48,-0.14,6387091.5,217678
2025/08/20,27.17,27.5,26.36,26.39,27.17,-2.59,-0.78,1.1477696E7,385208
2025/08/19,27.31,27.5,27.1,27.17,27.31,-0.53,-0.16,4498156.5,149031
2025/08/18,27.11,27.6,27.23,27.31,27.11,0.67,0.2,6109163.0,201534
2025/08/17,26.45,27.59,26.4,27.11,26.45,2.25,0.66,1.1134024E7,369061
2025/08/14,26.6,26.9,26.21,26.45,26.6,-0.51,-0.15,7546202.0,257000
2025/08/13,27.13,27.4,26.57,26.6,27.13,-1.76,-0.53,1.1999625E7,402093
2025/08/12,27.86,28.05,27.01,27.13,27.86,-2.37,-0.73,1.5856689E7,523256
2025/08/11,26.08,29.85,27.12,27.86,26.08,6.14,1.78,8.7427896E7,2787948
2025/08/10,25.99,26.58,25.95,26.08,25.99,0.31,0.09,9923368.0,341606
2025/08/07,25.87,26.15,25.71,25.99,25.87,0.42,0.12,5885763.0,203555
2025/08/06,26.46,26.9,25.7,25.87,26.46,-2.01,-0.59,9956544.0,343406
2025/08/05,26.75,27.08,26.39,26.46,26.75,-0.98,-0.29,4768349.5,161595
2025/08/04,26.38,26.9,26.39,26.75,26.38,1.26,0.37,5298108.5,179143
2025/08/03,26.27,26.65,25.41,26.38,26.27,0.38,0.11,1.0851742E7,371896
2025/07/31,26.85,27.6,26.15,26.27,26.85,-1.95,-0.58,1.0512823E7,356809
2025/07/30,27.8,28.22,26.71,26.85,27.8,0.0,-0.95,7490780.0,248111
2025/07/29,28.15,28.3,27.35,27.8,28.15,-1.13,-0.35,1.146312E7,373931
2025/07/28,28.41,28.83,28.1,28.15,28.41,-0.51,-0.16,1.9549318E7,626127
2025/07/27,28.42,28.85,28.33,28.41,28.42,-0.03,-0.01,1.0816763E7,343978
2025/07/23,28.46,28.97,28.3,28.42,28.46,-0.13,-0.04,1.2548547E7,399412
2025/07/22,28.38,29.1,28.1,28.46,28.38,0.26,0.08,2.353393E7,743686
2025/07/21,28.61,28.99,28.35,28.38,28.61,-0.73,-0.23,9759610.0,309369
2025/07/20,28.41,29.0,28.55,28.61,28.41,0.64,0.2,8137851.0,256845
2025/07/17,27.93,29.4,27.85,28.41,27.93,1.56,0.48,2.9643464E7,937926
2025/07/16,28.55,28.89,27.82,27.93,28.55,-1.97,-0.62,1.115022E7,357589
