«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,84.99,85.9,82.6,82.93,84.99,-2.42,-2.06,1.1135122E7,133166
2026/01/12,86.12,86.85,84.5,84.99,86.12,-1.31,-1.13,1.0943329E7,127998
2026/01/11,86.6,87.45,86.02,86.12,86.6,-0.55,-0.48,6023137.5,69506
2026/01/08,87.72,88.0,86.6,86.6,87.72,-1.28,-1.12,1.4675652E7,168248
2026/01/06,86.84,88.2,86.53,87.72,86.84,1.01,0.88,1.2050172E7,137718
2026/01/05,88.27,89.39,86.2,86.84,88.27,-1.62,-1.43,1.3383059E7,152798
2026/01/04,88.82,90.5,88.16,88.27,88.82,-0.62,-0.55,2.0695974E7,232214
2025/12/31,90.03,91.9,88.51,88.82,90.03,-1.34,-1.21,3.1801306E7,352631
2025/12/30,91.2,91.6,90.0,90.03,91.2,-1.28,-1.17,2.2968668E7,253485
2025/12/29,92.5,93.02,90.62,91.2,92.5,-1.41,-1.3,4.7703888E7,519659
2025/12/28,93.16,94.6,92.11,92.5,93.16,-0.71,-0.66,3.4678904E7,372341
2025/12/25,95.6,96.89,92.7,93.16,95.6,-2.55,-2.44,7.0713344E7,748175
2025/12/24,90.5,95.89,90.2,95.6,90.5,5.64,5.1,1.0442296E8,1117730
2025/12/23,91.97,92.0,90.1,90.5,91.97,-1.6,-1.47,1.603121E7,176606
2025/12/22,91.0,92.9,89.6,91.97,91.0,1.07,0.97,4.6396176E7,509453
2025/12/21,91.51,92.93,90.19,91.0,91.51,-0.56,-0.51,2.3688204E7,259666
2025/12/18,92.97,94.49,91.17,91.51,92.97,-1.57,-1.46,4.887904E7,528702
2025/12/17,93.21,96.8,92.0,92.97,93.21,-0.26,-0.24,4.9363768E7,523064
2025/12/16,97.11,97.9,93.0,93.21,97.11,-4.02,-3.9,7.6890368E7,816182
2025/12/15,99.22,100.02,96.82,97.11,99.22,-2.13,-2.11,5.09283E7,519827
2025/12/14,98.78,104.5,98.8,99.22,98.78,0.45,0.44,1.25937704E8,1247147
2025/12/11,101.03,103.94,98.2,98.78,101.03,-2.23,-2.25,7.5819256E7,750485
2025/12/10,100.89,117.97,96.51,101.03,100.89,0.14,0.14,4.31741568E8,4202271
2025/12/09,84.08,100.89,83.7,100.89,84.08,19.99,16.809999,3.58857472E8,3994298
2025/12/08,82.07,85.5,82.2,84.08,82.07,2.45,2.01,1.2173007E7,144919
2025/12/07,83.1,83.78,82.0,82.07,83.1,-1.24,-1.03,6229324.5,75190
2025/12/04,83.38,84.9,82.23,83.1,83.38,-0.34,-0.28,3070386.0,36961
2025/12/03,84.62,84.97,82.31,83.38,84.62,-1.47,-1.24,5207847.0,62630
2025/12/02,82.13,85.73,82.0,84.62,82.13,3.03,2.49,4673803.0,55720
2025/12/01,85.08,84.8,82.07,82.13,85.08,-3.54,-3.01,1188326.88,14358
2025/11/30,83.8,85.5,80.6,85.08,83.8,1.53,1.28,7443533.5,89112
2025/11/27,83.65,83.95,80.62,83.8,83.65,0.18,0.15,3406475.75,41532
2025/11/26,80.84,85.5,78.61,83.65,80.84,3.48,2.81,3346200.5,41161
2025/11/25,78.3,81.99,79.0,80.84,78.3,1.34,1.05,5857372.0,72832
2025/11/24,82.13,82.01,78.0,78.3,82.13,-5.03,-4.13,4185926.0,52125
2025/11/23,82.15,84.5,81.61,82.13,82.15,-0.61,-0.5,2390932.0,29081
2025/11/20,82.11,84.89,82.0,82.15,82.11,1.01,0.83,3633497.75,43930
2025/11/19,81.98,84.93,81.6,82.11,81.98,0.16,0.13,4215107.5,51043
2025/11/18,82.46,83.5,81.07,81.98,82.46,-0.58,-0.48,2662267.0,32507
