«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/12,50.0,45.0,45.0,50.0,50.0,-10.0,-5.0,45.0,1
2026/01/05,41.63,52.0,50.0,50.0,41.63,20.110001,8.37,878280.0,17565
2025/12/31,50.0,45.0,41.63,50.0,50.0,-16.74,-8.37,2703.57,64
2025/12/24,50.0,50.0,50.0,50.0,50.0,0.0,0.0,500000.0,10000
2025/12/17,45.0,50.0,49.0,50.0,45.0,11.11,5.0,603885.0,12079
2025/12/15,50.0,50.0,45.0,50.0,50.0,-10.0,-5.0,1140.0,23
2025/12/10,50.0,50.0,50.0,50.0,50.0,0.0,0.0,250.0,5
2025/12/08,41.06,50.0,45.0,50.0,41.06,21.77,8.94,77175.0,1550
2025/12/03,50.0,41.06,41.06,50.0,50.0,-17.879999,-8.94,2586.78,63
2025/12/01,50.0,50.0,41.0,50.0,50.0,0.0,0.0,579443.94,11668
2025/11/26,41.0,50.0,39.5,41.0,41.0,21.950001,9.0,139.5,3
2025/11/24,50.0,41.0,35.0,50.0,50.0,-18.0,-9.0,2653.0,65
2025/11/17,50.0,55.0,49.95,50.0,50.0,0.0,0.0,527204.06,10544
2025/11/12,40.01,50.0,35.18,50.0,40.01,24.969999,9.99,161668.34,3260
2025/11/10,42.0,42.02,40.01,40.01,42.0,-4.74,-1.99,23863.31,571
2025/11/05,50.0,42.0,41.9,50.0,50.0,-16.0,-8.0,1763.1,42
2025/10/22,50.0,50.0,49.95,50.0,50.0,0.0,0.0,285495.0,5710
2025/10/20,50.0,50.0,50.0,50.0,50.0,0.0,0.0,250.0,5
2025/10/15,24.11,50.0,46.0,50.0,24.11,107.379997,25.889999,88850.0,1801
2025/10/13,50.0,24.11,24.11,24.11,50.0,-51.779999,-25.889999,2411.0,100
2025/10/08,47.0,50.0,50.0,50.0,47.0,6.38,3.0,5000.0,100
2025/10/06,50.0,47.0,47.0,50.0,50.0,-6.0,-3.0,658.0,14
2025/09/29,50.0,50.0,50.0,50.0,50.0,0.0,0.0,59350.0,1187
2025/09/24,51.0,50.0,47.1,50.0,51.0,-1.96,-1.0,25094.2,502
2025/09/22,47.02,51.0,47.02,51.0,47.02,8.46,3.98,11597.0,243
2025/09/17,47.01,47.02,47.02,47.01,47.01,0.02,0.01,94.04,2
2025/09/10,47.0,47.01,47.01,47.01,47.0,0.02,0.01,11752.5,250
2025/09/03,50.0,52.2,47.0,47.0,50.0,-6.0,-3.0,50891.2,1082
2025/09/01,50.0,50.0,46.5,50.0,50.0,0.0,0.0,75046.5,1501
2025/08/25,46.5,50.0,50.0,50.0,46.5,7.53,3.5,960000.0,19200
2025/08/18,50.0,51.5,46.5,46.5,50.0,-7.0,-3.5,700098.0,14002
2025/08/13,46.0,50.0,50.0,50.0,46.0,8.7,4.0,31750.0,635
2025/08/11,50.0,50.0,46.0,46.0,50.0,-8.0,-4.0,26168.0,524
2025/08/04,50.0,50.0,50.0,50.0,50.0,0.0,0.0,10000.0,200
2025/07/30,50.0,50.9,50.0,50.0,50.0,0.0,0.0,1509.9,30
2025/07/28,49.99,50.0,49.0,50.0,49.99,0.02,0.01,255538.0,5117
2025/07/23,50.0,49.99,47.0,49.99,50.0,-0.02,-0.01,25042.0,501
2025/07/21,48.0,50.0,47.0,50.0,48.0,4.17,2.0,77246.0,1550
2025/07/16,50.0,50.0,47.0,48.0,50.0,-4.0,-2.0,213547.0,4276
2025/07/14,47.0,50.0,50.0,50.0,47.0,6.38,3.0,3516300.0,70326
2025/07/07,48.0,48.0,48.0,48.0,48.0,0.0,0.0,52608.0,1096
2025/07/02,47.0,48.0,48.0,48.0,47.0,2.13,1.0,48000.0,1000
2025/06/30,47.0,47.0,47.0,47.0,47.0,0.0,0.0,5640.0,120
2025/06/25,47.0,47.0,44.0,47.0,47.0,0.0,0.0,8538.0,182
2025/06/23,47.9,50.0,32.3,47.0,47.9,-1.88,-0.9,55218.82,1166
2025/06/18,47.9,47.9,47.9,47.9,47.9,0.0,0.0,383.2,8
2025/06/16,41.0,47.9,35.2,47.9,41.0,16.83,6.9,12151.0,255
2025/06/11,32.3,47.99,41.0,41.0,32.3,26.93,8.7,14602.0,305
2025/06/02,49.0,39.22,32.3,49.0,49.0,-34.080002,-16.700001,436.04,12
2025/05/21,30.0,49.0,49.0,49.0,30.0,63.330002,19.0,16415.0,335
2025/05/19,42.0,49.9,30.0,30.0,42.0,-28.57,-12.0,4160.49,102
2025/05/14,49.99,49.9,42.0,42.0,49.99,-15.98,-7.99,18196.6,366
2025/05/07,48.0,49.0,40.0,40.0,48.0,-16.67,-8.0,39232.02,801
2025/05/05,43.1,48.0,48.0,48.0,43.1,11.37,4.9,9696.0,202
2025/04/30,50.0,50.0,39.0,43.1,50.0,-13.8,-6.9,7805.5,158
2025/04/28,43.0,50.0,39.97,50.0,43.0,16.28,7.0,537967.69,11593
2025/04/23,39.0,43.0,30.1,43.0,39.0,10.26,4.0,8384.87,204
