«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,4.5,4.51,4.28,4.38,4.5,-2.67,-0.12,3410410.25,785100
2026/01/12,4.54,4.59,4.48,4.5,4.54,-0.88,-0.04,3152148.5,695133
2026/01/11,4.64,4.64,4.52,4.54,4.64,-2.16,-0.1,1975494.75,434349
2026/01/08,4.57,4.67,4.5,4.64,4.57,1.53,0.07,2991412.75,652224
2026/01/06,4.57,4.61,4.5,4.57,4.57,0.0,0.0,2442547.25,538887
2026/01/05,4.61,4.74,4.5,4.57,4.61,-0.87,-0.04,3607448.25,788103
2026/01/04,4.82,4.78,4.58,4.61,4.82,-4.36,-0.21,8796069.0,1912568
2025/12/31,5.07,4.82,4.82,4.82,5.07,-4.93,-0.25,2555366.5,530159
2025/12/30,5.4,5.44,5.01,5.07,5.4,-6.11,-0.33,8024547.5,1556132
2025/12/29,5.59,5.57,5.38,5.4,5.59,-3.4,-0.19,4380650.0,807272
2025/12/28,5.78,5.78,5.5,5.59,5.78,-3.29,-0.19,5422596.5,972454
2025/12/25,5.53,6.45,5.53,5.78,5.53,4.52,0.25,1.121056E7,1916034
2025/12/24,6.08,5.9,5.35,5.53,6.08,-9.05,-0.55,1.1520933E7,2069038
2025/12/23,5.34,6.27,5.39,6.08,5.34,13.86,0.74,1.5359544E7,2598385
2025/12/22,4.45,5.34,4.47,5.34,4.45,20.0,0.89,1.4790736E7,2878298
2025/12/21,4.56,4.6,4.42,4.45,4.56,-1.54,-0.07,4417314.5,975565
2025/12/18,4.55,4.6,4.51,4.56,4.55,0.66,0.03,2835839.25,622567
2025/12/17,4.52,4.62,4.5,4.55,4.52,0.66,0.03,3165769.5,693332
2025/12/16,4.61,4.67,4.5,4.52,4.61,-1.95,-0.09,3621220.5,787605
2025/12/15,4.7,4.68,4.5,4.61,4.7,-1.7,-0.08,3346842.0,727100
2025/12/14,4.84,4.83,4.68,4.7,4.84,-2.89,-0.14,5509916.5,1162377
2025/12/11,4.93,4.95,4.81,4.84,4.93,-1.83,-0.09,5479196.5,1129739
2025/12/10,5.01,5.14,4.8,4.93,5.01,-1.6,-0.08,7051594.5,1424020
2025/12/09,5.17,5.14,4.92,5.01,5.17,-3.09,-0.16,3349617.75,665128
2025/12/08,5.28,5.26,5.04,5.17,5.28,-2.08,-0.11,3582085.25,698103
2025/12/07,5.2,5.3,4.99,5.28,5.2,1.54,0.08,7826218.0,1519322
2025/12/04,5.24,5.4,5.1,5.2,5.24,-0.76,-0.04,4322204.5,824215
2025/12/03,4.93,5.83,4.99,5.24,4.93,6.29,0.31,2.754089E7,5161787
2025/12/02,5.08,5.39,4.53,4.93,5.08,-2.95,-0.15,3.850062E7,7605038
2025/12/01,6.35,5.49,5.08,5.08,6.35,-20.0,-1.27,1.7712158E7,3482899
2025/11/30,7.93,8.04,6.35,6.35,7.93,-19.92,-1.58,2.8230964E7,4207738
2025/11/27,7.88,8.04,7.7,7.93,7.88,0.63,0.05,2.0734364E7,2628263
2025/11/26,8.22,8.58,7.6,7.88,8.22,-4.14,-0.34,8166957.5,1011741
2025/11/25,8.95,8.89,8.16,8.22,8.95,-8.16,-0.73,7496670.0,876478
2025/11/24,8.79,8.97,8.53,8.95,8.79,2.05,0.18,1.0321996E7,1191911
2025/11/23,8.48,8.79,8.17,8.79,8.48,3.66,0.31,1.0916337E7,1291595
2025/11/20,7.97,8.48,7.87,8.48,7.97,6.4,0.51,2.023627E7,2483764
2025/11/19,7.89,8.07,7.87,7.97,7.89,1.65,0.13,2371217.5,297060
2025/11/18,8.0,8.12,7.86,7.89,8.0,-1.38,-0.11,2329401.5,292259
2025/11/17,7.99,8.28,7.93,8.0,7.99,0.13,0.01,6353661.5,783883
2025/11/16,8.2,8.19,7.97,7.99,8.2,-2.56,-0.21,3857848.75,481165
2025/11/13,7.85,8.2,7.8,8.2,7.85,4.46,0.35,1.1687861E7,1468968
2025/11/12,8.12,8.17,7.8,7.85,8.12,-3.33,-0.27,3522136.0,444035
2025/11/11,8.1,8.18,7.92,8.12,8.1,0.25,0.02,1.0134201E7,1257087
2025/11/10,8.39,8.49,8.07,8.1,8.39,-3.46,-0.29,7968300.0,977288
2025/11/09,8.52,8.73,7.65,8.39,8.52,-1.53,-0.13,1.3640998E7,1619368
2025/11/06,7.95,8.79,7.82,8.52,7.95,7.17,0.57,3.9786648E7,4799729
2025/11/05,7.9,7.95,7.8,7.95,7.9,0.63,0.05,1.6400577E7,2077604
2025/11/04,7.69,7.91,7.65,7.9,7.69,2.73,0.21,7312482.0,936134
2025/11/03,7.77,7.79,7.64,7.69,7.77,-1.03,-0.08,2457266.25,320379
2025/11/02,7.87,7.85,7.71,7.77,7.87,-1.27,-0.1,3804900.25,489390
2025/10/30,7.88,7.88,7.66,7.87,7.88,0.0,0.0,6663682.0,852638
2025/10/29,7.89,7.88,7.52,7.88,7.89,-0.13,-0.01,7746156.5,1002912
2025/10/28,7.96,7.91,7.62,7.89,7.96,-0.88,-0.07,9218125.0,1186472
2025/10/27,7.76,7.97,7.55,7.96,7.76,2.58,0.2,7329677.0,946499
2025/10/26,8.06,8.29,7.7,7.76,8.06,-3.72,-0.3,1.8653584E7,2347448
2025/10/23,8.32,8.34,8.01,8.06,8.32,-3.12,-0.26,5429765.0,661943
2025/10/22,8.32,8.57,8.07,8.32,8.32,0.0,0.0,5753658.0,700072
2025/10/21,8.09,8.38,7.94,8.32,8.09,2.84,0.23,5593319.5,689697
2025/10/20,8.03,8.1,7.85,8.09,8.03,0.75,0.06,9061147.0,1135514
2025/10/19,8.11,8.12,7.9,8.03,8.11,-0.99,-0.08,2830472.0,355651
2025/10/16,8.03,8.18,7.91,8.11,8.03,1.12,0.09,7873835.5,977154
2025/10/15,7.94,8.2,7.8,8.03,7.94,1.51,0.12,6908965.5,866620
2025/10/14,7.85,8.0,7.57,7.94,7.85,1.27,0.1,7083819.5,900741
2025/10/13,7.52,7.9,7.42,7.85,7.52,4.39,0.33,9580465.0,1262204
2025/10/12,7.35,7.54,7.31,7.52,7.35,2.31,0.17,4883390.0,655165
2025/10/08,7.6,7.69,7.17,7.35,7.6,-3.29,-0.25,3741224.25,504630
2025/10/07,7.74,7.76,7.56,7.6,7.74,-1.81,-0.14,4585105.5,597278
2025/10/06,7.75,7.76,7.54,7.74,7.75,-0.13,-0.01,8574458.0,1117845
2025/10/05,7.6,7.77,7.4,7.75,7.6,1.97,0.15,6395852.0,845679
2025/10/02,7.44,7.63,7.4,7.6,7.44,2.28,0.17,6468781.0,862295
2025/10/01,7.74,7.77,7.41,7.44,7.74,-3.88,-0.3,4201582.0,557645
2025/09/30,7.67,7.77,7.55,7.74,7.67,0.91,0.07,5683140.0,739941
2025/09/29,7.69,7.77,7.59,7.67,7.69,-0.26,-0.02,6115889.5,797379
2025/09/28,7.44,7.7,7.3,7.69,7.44,3.36,0.25,8148326.0,1081033
2025/09/25,7.49,7.56,7.4,7.44,7.49,-0.67,-0.05,4280458.5,572444
2025/09/24,7.5,7.5,7.37,7.49,7.5,-0.13,-0.01,2720377.25,365713
2025/09/23,7.49,7.6,7.38,7.5,7.49,0.13,0.01,9315139.0,1241672
2025/09/22,7.42,7.5,7.32,7.49,7.42,1.08,0.08,8453770.0,1139347
2025/09/21,7.04,7.45,7.11,7.42,7.04,5.4,0.38,1.56858E7,2150362
2025/09/18,6.93,7.4,6.6,7.04,6.93,1.59,0.11,1.5788101E7,2211808
2025/09/17,6.7,6.94,6.22,6.93,6.7,3.43,0.23,4235715.0,627082
2025/09/16,6.68,6.76,6.06,6.7,6.68,0.45,0.03,4580604.0,701501
2025/09/15,6.78,6.8,6.58,6.68,6.78,-1.47,-0.1,2259729.5,339505
2025/09/14,6.79,6.8,6.62,6.78,6.79,-0.15,-0.01,1714993.13,253376
2025/09/11,6.65,6.8,6.5,6.79,6.65,2.11,0.14,1.8394094E7,2743362
2025/09/10,6.78,6.83,6.6,6.65,6.78,-1.92,-0.13,2741310.0,409962
2025/09/09,6.66,6.9,6.55,6.78,6.66,1.35,0.09,6971521.5,1034616
2025/09/08,6.77,6.79,6.51,6.66,6.77,-1.62,-0.11,3622915.0,543920
2025/09/07,6.71,6.9,6.61,6.77,6.71,0.89,0.06,4528144.5,666770
2025/09/03,6.79,6.8,6.63,6.71,6.79,-1.18,-0.08,1032808.0,154051
2025/09/02,6.74,6.88,6.6,6.79,6.74,0.74,0.05,2807258.75,413096
2025/09/01,6.89,6.89,6.72,6.74,6.89,-2.18,-0.15,4597733.5,678226
2025/08/31,6.83,6.9,6.68,6.89,6.83,1.02,0.07,2383109.5,349258
2025/08/28,6.77,6.84,6.61,6.83,6.77,1.03,0.07,2521433.75,372648
2025/08/27,6.64,6.8,6.6,6.77,6.64,2.26,0.15,1982773.88,293834
2025/08/26,6.78,6.9,6.6,6.64,6.78,-2.06,-0.14,6148015.0,913682
2025/08/25,6.83,6.9,6.7,6.78,6.83,-0.88,-0.06,1656652.0,244770
2025/08/24,6.87,6.89,6.71,6.83,6.87,-0.58,-0.04,2776266.75,407402
2025/08/21,6.78,6.88,6.6,6.87,6.78,1.47,0.1,5134604.0,763688
2025/08/20,6.81,6.9,6.6,6.78,6.81,-0.44,-0.03,1785137.38,264483
2025/08/19,6.91,6.91,6.73,6.81,6.91,-1.45,-0.1,3210833.0,471665
2025/08/18,6.97,6.97,6.84,6.91,6.97,-0.86,-0.06,3592074.25,520966
2025/08/17,6.99,6.98,6.76,6.97,6.99,-0.14,-0.01,2236848.75,323823
2025/08/14,6.9,7.0,6.7,6.99,6.9,1.3,0.09,2944329.0,429313
2025/08/13,6.69,6.91,6.66,6.9,6.69,2.99,0.2,8667122.0,1272339
2025/08/12,6.79,6.78,6.65,6.69,6.79,-1.47,-0.1,1560427.5,232660
2025/08/11,6.74,6.8,6.59,6.79,6.74,0.89,0.06,5964875.5,891948
2025/08/10,6.58,6.74,6.54,6.74,6.58,2.43,0.16,3530281.0,529801
2025/08/07,6.66,6.72,6.51,6.58,6.66,-1.2,-0.08,8840754.0,1338351
2025/08/06,6.72,6.77,6.5,6.66,6.72,-0.89,-0.06,9176470.0,1389416
2025/08/05,6.9,6.92,6.55,6.72,6.9,-2.61,-0.18,1.0464518E7,1562742
2025/08/04,6.8,8.0,6.65,6.9,6.8,1.47,0.1,2.3132212E7,3320643
2025/08/03,6.39,6.85,6.21,6.8,6.39,6.42,0.41,2.0082304E7,3093085
2025/07/31,5.8,6.39,5.85,6.39,5.8,10.17,0.59,2.4973614E7,4068610
2025/07/30,6.13,6.11,5.72,5.8,6.13,0.0,-0.33,6492987.0,1096553
2025/07/29,6.03,6.14,5.91,6.13,6.03,1.82,0.11,5909943.0,981703
2025/07/28,5.98,6.17,5.91,6.03,5.98,0.84,0.05,1.2598706E7,2081849
2025/07/27,6.09,6.14,5.91,5.98,6.09,-1.81,-0.11,6279623.5,1042795
2025/07/23,5.92,6.1,5.74,6.09,5.92,2.87,0.17,1.8207562E7,3061756
2025/07/22,5.64,5.92,5.54,5.92,5.64,4.96,0.28,2.2633766E7,3928180
2025/07/21,5.57,5.7,5.4,5.64,5.57,1.44,0.08,1.9881278E7,3590112
2025/07/20,5.92,6.0,4.81,5.57,5.92,-5.91,-0.35,2.9865496E7,5600644
2025/07/17,5.8,5.94,5.62,5.92,5.8,2.41,0.14,1.0530903E7,1799797
2025/07/16,5.8,5.8,5.56,5.8,5.8,0.0,0.0,1.0740745E7,1893656
2025/07/15,5.62,5.8,5.55,5.8,5.62,3.2,0.18,6648915.5,1176146
2025/07/14,5.63,5.7,5.45,5.62,5.63,-0.18,-0.01,8861778.0,1590296
2025/07/13,5.55,5.7,5.38,5.63,5.55,1.44,0.08,1.0392101E7,1858884
2025/07/07,5.11,5.2,5.06,5.17,5.11,1.17,0.06,2682897.0,522141
2025/07/06,5.2,5.3,5.1,5.11,5.2,-1.73,-0.09,4514030.5,869182
2025/07/02,5.13,5.23,5.03,5.2,5.13,1.36,0.07,5854142.5,1141846
2025/07/01,5.13,5.16,5.0,5.13,5.13,0.58,0.03,3053315.0,601703
2025/06/30,5.43,5.4,5.02,5.13,5.43,-5.52,-0.3,8451970.0,1633577
2025/06/29,5.3,5.47,5.17,5.43,5.3,2.45,0.13,4813494.0,905335
2025/06/25,4.81,5.4,4.71,5.3,4.81,10.19,0.49,1.5120191E7,2956691
2025/06/24,4.47,4.84,4.55,4.81,4.47,7.83,0.35,6090602.5,1284885
2025/06/23,4.5,4.55,4.37,4.47,4.5,-0.67,-0.03,3419235.75,765484
2025/06/22,4.45,4.55,4.27,4.5,4.45,1.12,0.05,2681593.25,599908
2025/06/19,4.44,4.5,4.27,4.45,4.44,1.13,0.05,1502548.5,341063
2025/06/18,4.22,4.48,4.1,4.44,4.22,5.21,0.22,2835431.0,656373
2025/06/17,4.43,4.51,4.21,4.22,4.43,-4.74,-0.21,3811975.0,879867
2025/06/16,4.69,4.79,4.37,4.43,4.69,-5.54,-0.26,3134090.5,690378
2025/06/15,4.75,4.73,4.02,4.69,4.75,-1.26,-0.06,5099668.0,1152175
2025/06/12,4.98,4.93,4.64,4.75,4.98,-4.62,-0.23,1.1205079E7,2358033
2025/06/11,5.08,5.08,4.91,4.98,5.08,-2.17,-0.11,3240159.25,653489
2025/06/10,5.15,5.15,4.95,5.08,5.15,-0.97,-0.05,1.363892E7,2725040
2025/06/04,5.05,5.16,4.92,5.15,5.05,1.98,0.1,2100773.25,416817
2025/06/03,4.99,5.07,4.87,5.05,4.99,1.2,0.06,6766390.5,1359370
2025/06/02,5.05,5.15,4.96,4.99,5.05,-0.2,-0.01,6109741.5,1213870
2025/06/01,5.13,5.16,5.02,5.05,5.13,-1.56,-0.08,3177286.0,625414
2025/05/29,5.09,5.28,5.04,5.13,5.09,0.79,0.04,1.0089907E7,1955712
2025/05/28,4.9,5.19,4.79,5.09,4.9,3.88,0.19,2.4162136E7,4891816
