«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/12,12.0,11.71,11.7,11.7,12.0,-2.5,-0.3,39071.3,3339
2026/01/05,12.1,12.0,11.7,12.0,12.1,-0.83,-0.1,36758.0,3068
2025/12/31,12.0,12.5,11.7,12.1,12.0,0.83,0.1,32195.52,2743
2025/12/29,11.5,12.0,11.51,12.0,11.5,4.35,0.5,55819.52,4663
2025/12/24,12.2,12.2,11.1,11.5,12.2,-5.74,-0.7,34311.8,3000
2025/12/22,13.0,13.0,12.2,12.2,13.0,-6.15,-0.8,27635.0,2239
2025/12/17,13.0,13.5,13.0,13.0,13.0,0.0,0.0,46667.0,3584
2025/12/15,12.7,13.5,12.7,13.0,12.7,2.36,0.3,68320.1,5304
2025/12/10,12.5,12.7,12.6,12.7,12.5,1.6,0.2,12386.25,980
2025/12/08,13.5,13.0,12.4,12.5,13.5,-7.41,-1.0,8783.2,702
2025/12/03,11.5,13.5,11.5,13.5,11.5,17.389999,2.0,47867.63,3814
2025/12/01,13.5,12.0,11.02,11.5,13.5,-14.81,-2.0,65533.0,5630
2025/11/26,14.0,14.0,12.5,13.5,14.0,-3.57,-0.5,81178.62,5974
2025/11/24,12.5,14.8,11.51,14.0,12.5,12.0,1.5,23820.88,1866
2025/11/19,13.21,13.26,12.21,12.5,13.21,-5.37,-0.71,50766.77,4001
2025/11/17,17.05,20.99,13.05,13.21,17.05,-22.52,-3.84,56542.8,3996
2025/11/12,17.75,17.76,17.0,17.05,17.75,-3.94,-0.7,67511.03,3953
2025/11/10,20.0,20.0,17.5,17.75,20.0,-11.25,-2.25,143266.11,7985
2025/11/05,19.62,20.05,18.5,20.0,19.62,1.94,0.38,119234.12,6215
2025/11/03,20.05,25.0,17.5,19.62,20.05,-2.14,-0.43,155067.22,7063
