«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,25.97,25.97,25.5,25.55,25.97,-1.81,-0.47,1781019.0,69536
2026/01/12,25.94,26.4,25.51,25.97,25.94,-1.66,-0.43,1706725.25,65886
2026/01/11,25.91,26.88,25.65,25.94,25.91,-0.42,-0.11,3128323.5,119636
2026/01/08,25.66,26.43,25.71,25.91,25.66,0.39,0.1,1255811.88,48313
2026/01/06,25.26,26.0,25.3,25.66,25.26,2.3,0.58,6119878.5,239135
2026/01/05,25.65,25.99,25.2,25.26,25.65,-1.52,-0.39,1741973.75,68598
2026/01/04,26.02,26.88,25.0,25.65,26.02,-1.42,-0.37,2906080.25,112076
2025/12/31,26.21,26.98,25.8,26.02,26.21,0.15,0.04,1369465.13,52198
2025/12/30,26.2,26.52,26.1,26.21,26.2,0.04,0.01,2050774.63,77978
2025/12/29,26.43,26.6,26.01,26.2,26.43,-0.87,-0.23,390132.44,14881
2025/12/28,26.42,26.7,26.3,26.43,26.42,0.3,0.08,1110444.13,42059
2025/12/25,26.72,26.9,26.34,26.42,26.72,-1.12,-0.3,1453394.0,54793
2025/12/24,26.7,27.07,26.17,26.72,26.7,0.07,0.02,5776835.5,214926
2025/12/23,25.78,26.75,25.7,26.7,25.78,3.57,0.92,6667454.5,251522
2025/12/22,25.6,26.1,25.62,25.78,25.6,0.43,0.11,3488723.5,134543
2025/12/21,25.47,25.8,25.4,25.6,25.47,0.51,0.13,1373743.75,53769
2025/12/18,25.43,25.7,25.05,25.47,25.43,0.16,0.04,1468931.5,58069
2025/12/17,25.75,25.98,25.31,25.43,25.75,-1.24,-0.32,3046643.75,119210
2025/12/16,25.65,25.94,25.11,25.75,25.65,0.0,0.0,4927848.5,193030
2025/12/15,24.52,26.0,23.86,25.65,24.52,4.61,1.13,2.1669426E7,868382
2025/12/14,23.79,24.8,23.72,24.52,23.79,3.07,0.73,9267752.0,382690
2025/12/11,23.99,24.0,23.72,23.79,23.99,-1.13,-0.27,967659.25,40534
2025/12/10,23.9,24.0,23.79,23.99,23.9,0.13,0.03,1309149.13,54618
2025/12/09,23.85,23.98,23.56,23.9,23.85,-0.21,-0.05,578833.75,24280
2025/12/08,23.81,23.93,23.62,23.85,23.81,-0.04,-0.01,2597963.25,108929
2025/12/07,23.52,23.93,23.5,23.81,23.52,1.23,0.29,1855534.25,77945
2025/12/04,23.79,23.8,23.5,23.52,23.79,-1.22,-0.29,1779108.13,75450
2025/12/03,23.7,23.94,23.68,23.79,23.7,0.42,0.1,1629783.13,68516
2025/12/02,23.66,23.94,23.62,23.7,23.66,0.08,0.02,1465392.88,61578
2025/12/01,23.62,23.99,23.6,23.66,23.62,0.34,0.08,731239.06,30822
2025/11/30,23.31,24.0,23.07,23.62,23.31,1.46,0.34,4839527.5,204145
2025/11/27,23.26,23.5,23.1,23.31,23.26,0.21,0.05,1606335.88,68723
2025/11/26,23.14,23.5,23.0,23.26,23.14,0.0,0.0,3333880.75,143300
2025/11/25,23.0,23.4,22.81,23.14,23.0,0.83,0.19,2642937.75,114120
2025/11/24,23.05,23.25,22.8,23.0,23.05,-0.22,-0.05,3721164.75,161120
2025/11/23,23.14,23.29,23.0,23.05,23.14,-0.39,-0.09,1457820.38,63135
2025/11/20,23.02,23.23,21.51,23.14,23.02,0.13,0.03,3229753.0,140871
2025/11/19,22.8,23.2,22.8,23.02,22.8,0.88,0.2,3017294.5,131099
2025/11/18,23.62,23.67,20.82,22.8,23.62,-3.47,-0.82,5971871.5,260357
2025/11/17,23.47,23.78,23.45,23.62,23.47,0.21,0.05,2569202.0,108962
2025/11/16,23.59,23.84,23.42,23.47,23.59,-0.51,-0.12,1396497.13,59073
2025/11/13,23.73,23.98,23.57,23.59,23.73,-0.59,-0.14,1386180.88,58440
2025/11/12,23.52,23.79,23.49,23.73,23.52,0.89,0.21,741492.06,31265
2025/11/11,23.45,23.8,23.5,23.52,23.45,0.21,0.05,2392422.5,101372
2025/11/10,23.52,23.74,23.3,23.45,23.52,-0.43,-0.1,2526169.5,107526
2025/11/09,23.61,23.89,23.4,23.52,23.61,-0.47,-0.11,2786949.0,118127
2025/11/06,23.11,23.75,23.11,23.61,23.11,2.16,0.5,3642010.5,154466
2025/11/05,23.55,24.4,22.95,23.11,23.55,-1.87,-0.44,6689848.0,286228
2025/11/04,23.87,24.0,23.27,23.55,23.87,-1.34,-0.32,6240848.0,262996
2025/11/03,23.5,23.98,23.55,23.87,23.5,1.57,0.37,1.3028268E7,547021
2025/11/02,22.65,23.66,22.6,23.5,22.65,3.75,0.85,2.5611096E7,1102515
2025/10/30,22.27,22.8,22.1,22.65,22.27,1.71,0.38,1.5612365E7,690930
2025/10/29,22.0,22.28,21.95,22.27,22.0,1.23,0.27,8982177.0,406281
2025/10/28,22.19,22.4,21.9,22.0,22.19,-0.86,-0.19,3388963.0,153664
2025/10/27,22.41,22.74,21.95,22.19,22.41,-0.94,-0.21,1.0210659E7,462268
