«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,1.75,1.76,1.7,1.72,1.75,-1.714,-0.03,4.9896212E7,28872950
2026/01/12,1.77,1.79,1.74,1.75,1.77,-1.13,-0.02,3.8282088E7,21684931
2026/01/11,1.77,1.82,1.74,1.77,1.77,0.0,0.0,1.64212768E8,92400075
2026/01/08,1.74,1.77,1.73,1.77,1.74,1.724,0.03,2.2828752E7,13000770
2026/01/06,1.73,1.74,1.72,1.74,1.73,0.578,0.01,7134163.0,4121505
2026/01/05,1.75,1.76,1.71,1.73,1.75,-1.143,-0.02,2.2736298E7,13168475
2026/01/04,1.77,1.78,1.74,1.75,1.77,-1.13,-0.02,1.7556476E7,9939662
2025/12/31,1.75,1.78,1.75,1.77,1.75,1.143,0.02,3.2726552E7,18562509
2025/12/30,1.75,1.77,1.74,1.75,1.75,0.0,0.0,2.456638E7,14010809
2025/12/29,1.77,1.79,1.74,1.75,1.77,-1.13,-0.02,2.0983608E7,11909065
2025/12/28,1.73,1.78,1.72,1.77,1.73,2.312,0.04,8.2110488E7,46606297
2025/12/25,1.72,1.73,1.71,1.73,1.72,0.581,0.01,1.3978045E7,8125348
2025/12/24,1.72,1.74,1.71,1.72,1.72,0.0,0.0,1.6462451E7,9554039
2025/12/23,1.74,1.76,1.7,1.72,1.74,-1.15,-0.02,4.1225764E7,23972750
2025/12/22,1.73,1.77,1.73,1.74,1.73,0.58,0.01,2.472098E7,14159458
2025/12/21,1.73,1.75,1.72,1.73,1.73,0.0,0.0,2.8446514E7,16438026
2025/12/18,1.73,1.76,1.72,1.73,1.73,0.0,0.0,4.785682E7,27504776
2025/12/17,1.77,1.78,1.73,1.73,1.77,-2.26,-0.04,3.500902E7,19952716
2025/12/16,1.82,1.83,1.76,1.77,1.82,-2.75,-0.05,5.7613912E7,32342484
2025/12/15,1.82,1.83,1.8,1.82,1.82,0.0,0.0,3.8654972E7,21262994
2025/12/14,1.81,1.83,1.8,1.82,1.81,0.55,0.01,2.070356E7,11411661
2025/12/11,1.83,1.85,1.8,1.81,1.83,-1.09,-0.02,3.6209848E7,19950081
2025/12/10,1.8,1.86,1.8,1.83,1.8,1.67,0.03,5.9272488E7,32381815
2025/12/09,1.81,1.85,1.79,1.8,1.81,-0.55,-0.01,6.3748828E7,35101649
2025/12/08,1.76,1.88,1.77,1.81,1.76,2.84,0.05,2.46987024E8,133902818
2025/12/07,1.75,1.78,1.74,1.76,1.75,0.57,0.01,2.1320266E7,12110545
2025/12/04,1.78,1.79,1.74,1.75,1.78,-1.69,-0.03,1.9497296E7,11063705
2025/12/03,1.79,1.81,1.77,1.78,1.79,-0.56,-0.01,8270009.0,4630661
2025/12/02,1.78,1.82,1.77,1.79,1.78,0.56,0.01,4.6849152E7,26086959
2025/12/01,1.73,1.79,1.69,1.78,1.73,2.89,0.05,6.7385904E7,38691031
2025/11/30,1.75,1.76,1.72,1.73,1.75,-1.14,-0.02,2.0875504E7,12042161
2025/11/27,1.76,1.77,1.73,1.75,1.76,-0.57,-0.01,1.6785482E7,9606074
2025/11/26,1.76,1.78,1.75,1.76,1.76,0.0,0.0,1.6427253E7,9325396
2025/11/25,1.79,1.81,1.75,1.76,1.79,-1.68,-0.03,2.1552692E7,12158583
2025/11/24,1.75,1.81,1.73,1.79,1.75,2.29,0.04,3.8888288E7,21926243
2025/11/23,1.83,1.83,1.75,1.75,1.83,-4.37,-0.08,4.6368804E7,26088609
2025/11/20,1.78,1.83,1.76,1.83,1.78,2.81,0.05,4.8602512E7,26893264
2025/11/19,1.83,1.84,1.74,1.78,1.83,-2.73,-0.05,7.2996872E7,41234925
2025/11/18,1.87,1.88,1.83,1.83,1.87,-2.14,-0.04,1.5748442E7,8486290
2025/11/17,1.86,1.88,1.85,1.87,1.86,0.54,0.01,3.3988048E7,18226176
2025/11/16,1.88,1.92,1.86,1.86,1.88,-1.06,-0.02,3.1155556E7,16461239
2025/11/13,1.89,1.9,1.85,1.88,1.89,-0.53,-0.01,5.7924808E7,30751316
2025/11/12,1.91,1.95,1.88,1.89,1.91,-1.05,-0.02,6.6010988E7,34426845
2025/11/11,1.96,1.98,1.89,1.91,1.96,-2.55,-0.05,8.8842264E7,46050036
2025/11/10,1.93,1.98,1.93,1.96,1.93,1.55,0.03,8.0686848E7,41285699
2025/11/09,1.98,1.99,1.92,1.93,1.98,-2.53,-0.05,6.0148652E7,30723657
