«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,109.32,110.0,102.2,102.97,109.32,-5.81,-6.35,1.1415466E7,107969
2026/01/12,112.95,113.67,109.0,109.32,112.95,-3.21,-3.63,5432873.5,49185
2026/01/11,113.03,115.4,111.3,112.95,113.03,-0.07,-0.08,4035089.25,35698
2026/01/08,112.84,118.0,112.9,113.03,112.84,0.17,0.19,6280565.0,54345
2026/01/06,112.71,116.99,112.42,112.84,112.71,0.12,0.13,5112709.5,44759
2026/01/05,117.05,118.0,111.72,112.71,117.05,-3.71,-4.34,4266065.0,37290
2026/01/04,119.92,120.45,116.08,117.05,119.92,-2.43,-2.92,3090976.75,26161
2025/12/31,121.98,124.0,113.5,119.92,121.98,-1.69,-2.06,8547515.0,70834
2025/12/30,122.33,124.72,121.71,121.98,122.33,-0.29,-0.35,5935155.0,48427
2025/12/29,125.15,127.7,122.11,122.33,125.15,-2.25,-2.82,8950035.0,72475
2025/12/28,120.81,131.99,122.05,125.15,120.81,3.59,4.34,3.7747236E7,296761
2025/12/25,123.57,125.0,120.2,120.81,123.57,-2.23,-2.76,9053141.0,73861
2025/12/24,122.46,125.75,122.15,123.57,122.46,0.91,1.11,7247742.5,58519
2025/12/23,123.93,125.0,122.0,122.46,123.93,-1.19,-1.47,4023636.5,32653
2025/12/22,122.54,128.88,121.04,123.93,122.54,1.13,1.39,1.2095877E7,96782
2025/12/21,122.89,125.97,120.0,122.54,122.89,-0.28,-0.35,6549016.0,53117
2025/12/18,124.06,127.1,122.65,122.89,124.06,-0.94,-1.17,9947931.0,79607
2025/12/17,124.73,126.97,123.25,124.06,124.73,-0.54,-0.67,8175365.5,65584
2025/12/16,122.02,132.0,122.1,124.73,122.02,2.22,2.71,2.0370352E7,159319
2025/12/15,126.44,127.47,122.0,122.02,126.44,-3.5,-4.42,4657833.0,37248
2025/12/14,126.0,127.88,124.5,126.44,126.0,0.35,0.44,5085031.5,40325
2025/12/11,128.21,130.0,125.5,126.0,128.21,-1.72,-2.21,8668450.0,68299
2025/12/10,131.28,134.0,127.01,128.21,131.28,-2.34,-3.07,1.3494241E7,104462
2025/12/09,130.37,136.9,125.25,131.28,130.37,0.7,0.91,2.9268916E7,222008
2025/12/08,134.5,138.79,127.01,130.37,134.5,-3.07,-4.13,2.4837236E7,185158
2025/12/07,135.0,147.5,132.22,134.5,135.0,-0.37,-0.5,6.946884E7,489708
2025/12/04,124.01,143.98,123.13,135.0,124.01,8.86,10.99,1.0371056E8,764624
2025/12/03,130.08,136.95,121.0,124.01,130.08,-4.67,-6.07,2.6895844E7,208819
2025/12/02,130.05,138.89,128.0,130.08,130.05,0.02,0.03,4.2312392E7,319017
2025/12/01,127.62,139.98,126.12,130.05,127.62,1.9,2.43,9.2431688E7,688656
2025/11/30,106.35,127.62,105.0,127.62,106.35,20.0,21.27,5.94262E7,487546
2025/11/27,107.0,109.5,105.9,106.35,107.0,-0.61,-0.65,2663428.25,24781
2025/11/26,108.18,109.89,106.0,107.0,108.18,-1.09,-1.18,1971161.5,18407
2025/11/25,110.01,113.0,108.0,108.18,110.01,-1.66,-1.83,3196010.0,28954
2025/11/24,111.94,113.68,107.0,110.01,111.94,-1.72,-1.93,2259509.75,20563
2025/11/23,113.15,114.9,111.0,111.94,113.15,-1.28,-1.45,1717315.75,15322
2025/11/20,113.97,115.99,112.45,113.15,113.97,-0.72,-0.82,3569475.75,31325
2025/11/19,112.98,117.69,113.0,113.97,112.98,0.88,0.99,3466291.75,30450
2025/11/18,117.99,120.5,112.39,112.98,117.99,-4.25,-5.01,5783032.0,49747
2025/11/17,109.58,123.99,110.0,117.99,109.58,7.67,8.41,3.1239888E7,265105
2025/11/16,112.72,116.0,109.15,109.58,112.72,-2.79,-3.14,4701464.0,41963
2025/11/13,117.0,119.65,111.01,112.72,117.0,-3.66,-4.28,1.3718624E7,119864
2025/11/12,104.9,124.0,104.58,117.0,104.9,11.53,12.1,3.6658008E7,319259
2025/11/11,104.08,111.5,104.47,104.9,104.08,0.79,0.82,1.0704252E7,99363
2025/11/10,102.44,107.5,103.0,104.08,102.44,1.6,1.64,2523116.5,24016
2025/11/09,102.29,104.41,102.01,102.44,102.29,-0.27,-0.28,992132.94,9695
2025/11/06,103.02,104.0,102.01,102.29,103.02,-0.71,-0.73,1597098.63,15556
2025/11/05,105.0,105.95,103.0,103.02,105.0,-1.89,-1.98,1339420.63,12966
2025/11/04,104.63,106.0,103.25,105.0,104.63,0.35,0.37,1886808.88,17975
2025/11/03,102.6,105.75,101.23,104.63,102.6,1.98,2.03,2118408.25,20483
2025/11/02,104.46,106.97,100.01,102.6,104.46,-1.78,-1.86,3957403.25,38487
2025/10/30,106.06,108.0,104.0,104.46,106.06,-1.51,-1.6,3728238.5,35425
2025/10/29,106.85,109.0,105.0,106.06,106.85,-0.74,-0.79,5707864.0,53755
