«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,359.72,364.0,353.0,356.44,359.72,-1.87,-6.72,1194801.25,3333
2026/01/12,357.13,368.0,357.0,359.72,357.13,0.86,3.07,2628327.5,7267
2026/01/11,360.13,364.0,356.0,357.13,360.13,-0.83,-3.0,2145176.0,5972
2026/01/08,363.0,367.75,360.0,360.13,363.0,-0.83,-3.0,1585174.5,4385
2026/01/06,362.51,370.0,356.0,363.0,362.51,0.14,0.49,5908840.0,16216
2026/01/05,369.21,372.97,315.0,362.51,369.21,-1.0,-3.71,7270522.5,20136
2026/01/04,370.84,379.5,366.11,369.21,370.84,0.04,0.15,1677995.25,4550
2025/12/31,379.47,385.0,365.0,370.84,379.47,-1.71,-6.47,3126784.5,8366
2025/12/30,378.38,390.0,375.0,379.47,378.38,0.39,1.47,3813259.5,10007
2025/12/29,381.2,387.0,376.2,378.38,381.2,-0.74,-2.82,3191742.5,8388
2025/12/28,381.87,394.0,380.0,381.2,381.87,-0.18,-0.67,8901127.0,23108
2025/12/25,364.99,409.99,365.0,381.87,364.99,4.62,16.879999,4.4873108E7,114553
2025/12/24,364.06,368.0,363.0,364.99,364.06,0.26,0.93,2238669.0,6126
2025/12/23,364.38,369.0,362.05,364.06,364.38,-0.38,-1.37,1481356.75,4072
2025/12/22,356.69,373.0,356.75,364.38,356.69,1.63,5.82,4500357.0,12295
2025/12/21,362.23,366.0,352.21,356.69,362.23,-1.53,-5.54,2957870.5,8193
2025/12/18,362.14,379.0,361.11,362.23,362.14,0.1,0.37,1.1730417E7,31810
2025/12/17,324.08,370.0,330.0,362.14,324.08,11.74,38.060001,1.4202585E7,39311
2025/12/16,361.82,365.9,305.66,324.08,361.82,-4.65,-16.83,4039394.5,11403
2025/12/15,363.41,365.98,359.0,361.82,363.41,-0.01,-0.05,3331917.5,9199
2025/12/14,362.55,367.7,361.6,363.41,362.55,0.4,1.45,2644677.0,7272
2025/12/11,366.51,371.0,362.0,362.55,366.51,-1.08,-3.96,3113437.25,8528
2025/12/10,363.07,377.8,365.31,366.51,363.07,0.95,3.44,6291392.5,16997
2025/12/09,359.31,380.4,359.4,363.07,359.31,1.05,3.76,2.257699E7,61007
2025/12/08,358.53,367.9,359.0,359.31,358.53,0.22,0.78,7722495.0,21349
2025/12/07,363.37,369.6,358.02,358.53,363.37,-1.33,-4.84,6093378.5,16828
2025/12/04,365.73,372.0,362.5,363.37,365.73,-0.65,-2.36,4933918.5,13461
2025/12/03,362.98,395.0,361.0,365.73,362.98,0.56,2.04,2.2793602E7,60690
2025/12/02,365.78,372.0,360.5,362.98,365.78,-0.49,-1.78,5345620.0,14700
2025/12/01,376.03,379.0,365.11,365.78,376.03,-2.73,-10.25,1.0514147E7,28441
2025/11/30,370.0,388.0,370.15,376.03,370.0,1.35,5.0,1.3097103E7,34735
2025/11/27,370.23,377.1,366.0,370.0,370.23,-0.06,-0.23,8903858.0,24023
2025/11/26,387.53,397.0,370.0,370.23,387.53,-4.46,-17.299999,1.7551058E7,45665
2025/11/25,362.18,405.0,360.08,387.53,362.18,7.41,26.82,5.2273476E7,133691
2025/11/24,374.16,379.0,357.0,362.18,374.16,-3.2,-11.98,1.2920594E7,34960
2025/11/23,381.64,389.9,365.0,374.16,381.64,-1.96,-7.48,1.5768839E7,41655
2025/11/20,398.9,409.0,378.0,381.64,398.9,-4.33,-17.26,3.0922762E7,79773
2025/11/19,356.22,414.0,371.0,398.9,356.22,11.98,42.68,7.5473352E7,189393
2025/11/18,374.19,394.99,355.0,356.22,374.19,-4.8,-17.969999,5.2620748E7,140159
2025/11/17,311.9,374.28,306.0,374.19,311.9,19.969999,62.290001,8.962188E7,249310
2025/11/16,324.9,334.9,311.05,311.9,324.9,-4.0,-13.0,9874298.0,31018
2025/11/13,293.91,350.0,287.0,324.9,293.91,10.54,30.99,5.73979E7,177211
2025/11/12,297.66,304.4,293.1,293.91,297.66,-1.26,-3.75,3837400.0,12943
2025/11/11,302.92,308.87,296.28,297.66,302.92,-1.95,-5.9,3954319.25,13123
2025/11/10,302.93,311.0,301.41,302.92,302.93,0.0,-0.01,6285592.5,20551
2025/11/09,314.0,325.0,301.33,302.93,314.0,-3.53,-11.07,8710888.0,27931
2025/11/06,311.43,340.0,309.0,314.0,311.43,0.83,2.57,1.8672722E7,58751
2025/11/05,301.54,348.8,298.0,311.43,301.54,3.28,9.89,3.3325194E7,102466
2025/11/04,316.5,323.99,298.0,301.54,316.5,-4.73,-14.96,1.5410897E7,50899
2025/11/03,302.1,350.0,305.0,316.5,302.1,4.77,14.4,6.4272112E7,192787
2025/11/02,251.75,302.1,251.76,302.1,251.75,20.0,50.349998,3.340085E7,115576
2025/10/30,246.8,262.8,246.0,251.75,246.8,2.01,4.95,7314559.0,28722
2025/10/29,248.59,252.9,246.1,246.8,248.59,-0.44,-1.09,1079190.75,4360
2025/10/28,262.61,264.97,237.66,248.59,262.61,-5.34,-14.02,2898690.5,11490
2025/10/27,262.08,269.0,261.11,262.61,262.08,0.33,0.87,2849626.5,10776
2025/10/26,266.21,269.9,260.11,262.08,266.21,-1.55,-4.13,2248689.75,8557
2025/10/23,271.49,280.0,265.0,266.21,271.49,-1.94,-5.28,5830518.5,21568
2025/10/22,274.17,286.0,270.0,271.49,274.17,-0.98,-2.68,1.3989545E7,50209
2025/10/21,277.53,282.0,273.0,274.17,277.53,-1.21,-3.36,9176117.0,33260
2025/10/20,277.06,282.49,276.25,277.53,277.06,0.17,0.47,2722211.5,9775
2025/10/19,275.52,284.0,275.52,277.06,275.52,0.56,1.54,3979079.5,14209
2025/10/16,280.05,283.0,275.0,275.52,280.05,-1.62,-4.53,2974407.75,10689
2025/10/15,280.04,287.0,279.0,280.05,280.04,0.0,0.01,7197908.0,25389
2025/10/14,279.33,285.0,279.11,280.04,279.33,0.25,0.71,3590050.75,12714
2025/10/13,281.99,283.51,279.0,279.33,281.99,-0.99,-2.79,3283477.0,11672
2025/10/12,279.61,283.84,277.5,281.99,279.61,1.21,3.38,1427979.38,5102
2025/10/08,279.94,283.0,278.26,279.61,279.94,-0.12,-0.33,1052560.75,3758
2025/10/07,281.04,286.48,278.26,279.94,281.04,-0.39,-1.1,2254420.25,7994
2025/10/06,284.12,289.6,280.35,281.04,284.12,-1.08,-3.08,3671276.25,12974
2025/10/05,286.01,295.0,280.0,284.12,286.01,-0.66,-1.89,3892090.75,13613
2025/10/02,276.74,305.0,272.51,286.01,276.74,3.35,9.27,2.6408568E7,90342
2025/10/01,280.78,283.5,274.0,276.74,280.78,-1.87,-5.26,3561570.75,12842
2025/09/30,282.44,293.0,280.25,280.78,282.44,0.38,1.06,4522889.0,15809
2025/09/29,282.84,294.9,276.11,282.44,282.84,-0.14,-0.4,7566722.0,26573
2025/09/28,285.01,288.99,280.16,282.84,285.01,-0.76,-2.17,2934845.5,10333
2025/09/25,292.04,297.0,285.0,285.01,292.04,-2.41,-7.03,5552255.5,19124
2025/09/24,293.44,304.9,291.61,292.04,293.44,-0.48,-1.4,4499465.0,15156
2025/09/23,303.91,310.0,290.1,293.44,303.91,-3.45,-10.47,7361524.5,24322
2025/09/22,307.82,313.99,295.0,303.91,307.82,-1.27,-3.91,9850677.0,32356
2025/09/21,300.89,324.0,302.01,307.82,300.89,2.3,6.93,9753590.0,31054
2025/09/18,313.65,330.0,300.0,300.89,313.65,-4.07,-12.76,1.169885E7,37099
2025/09/17,290.08,323.9,290.4,313.65,290.08,8.13,23.57,2.4656318E7,78929
2025/09/16,302.79,313.5,290.0,290.08,302.79,-4.2,-12.71,7472571.0,24720
2025/09/15,310.98,317.25,301.45,302.79,310.98,-2.63,-8.19,5776035.5,18709
2025/09/14,317.1,333.0,310.0,310.98,317.1,-1.93,-6.12,1.0194632E7,31906
2025/09/11,313.79,339.99,303.26,317.1,313.79,1.05,3.31,1.7482628E7,53786
2025/09/10,335.52,346.9,295.0,313.79,335.52,-6.48,-21.73,1.5138688E7,47340
2025/09/09,327.07,389.4,321.25,335.52,327.07,2.58,8.45,4.322002E7,123850
2025/09/08,272.56,327.07,273.0,327.07,272.56,20.0,54.509998,1.258663E7,40278
2025/09/07,307.28,314.8,268.0,272.56,307.28,-12.78,-39.279999,7378207.0,25064
2025/09/03,327.98,350.0,303.0,307.28,327.98,-6.31,-20.700001,1.0818553E7,34209
2025/09/02,308.92,370.0,312.0,327.98,308.92,6.17,19.059999,2.0169248E7,58827
2025/09/01,367.2,377.75,296.15,308.92,367.2,-15.87,-58.279999,3.3618928E7,102091
2025/08/31,459.0,547.0,367.2,367.2,459.0,-20.0,-91.800003,4.8248868E7,115486
2025/08/28,382.5,459.0,422.0,459.0,382.5,20.0,76.5,2.1104282E7,46203
2025/08/27,318.75,382.5,340.0,382.5,318.75,20.0,63.75,1.6110125E7,43057
2025/08/26,265.63,318.75,286.01,318.75,265.63,20.0,53.119999,9170993.0,29043
2025/08/25,221.36,265.63,224.51,265.63,221.36,20.0,44.27,1.1036069E7,42399
2025/08/24,184.47,221.36,202.11,221.36,184.47,20.0,36.889999,4080815.0,18541
2025/08/21,153.73,184.47,157.0,184.47,153.73,20.0,30.74,1.2106122E7,69097
2025/08/20,128.11,153.73,153.73,153.73,128.11,20.0,25.620001,2025700.25,13177
2025/08/19,106.76,128.11,122.0,128.11,106.76,20.0,21.35,4879416.0,38754
2025/08/18,110.32,119.99,106.0,106.76,110.32,-3.23,-3.56,5553981.0,48908
2025/08/17,97.09,116.5,95.0,110.32,97.09,13.63,13.23,7466002.5,68498
2025/08/14,97.09,98.0,94.8,97.09,97.09,-2.15,-2.09,64514.88,676
2025/08/13,97.84,101.0,95.0,97.09,97.84,-0.77,-0.75,755687.44,7687
2025/08/12,95.25,99.5,93.02,97.84,95.25,2.72,2.59,769808.63,7950
2025/08/11,95.12,96.5,94.31,95.25,95.12,-0.6,-0.57,488790.5,5125
2025/08/10,95.12,96.7,94.11,95.12,95.12,-0.84,-0.8,194244.31,2042
2025/08/07,95.82,95.8,94.0,95.12,95.82,-0.86,-0.82,355259.5,3736
2025/08/06,90.83,99.6,92.0,95.82,90.83,4.93,4.48,1020137.88,10547
2025/08/05,90.83,94.0,91.21,90.83,90.83,3.16,2.87,225936.84,2431
2025/08/04,93.57,94.5,90.0,90.83,93.57,-0.89,-0.83,805555.38,8799
2025/08/03,93.57,96.98,91.01,93.57,93.57,0.95,0.89,107106.34,1143
2025/07/31,94.55,97.0,88.01,93.57,94.55,0.44,0.42,333395.91,3557
2025/07/30,94.55,97.8,93.0,94.55,94.55,0.0,-0.85,164369.22,1739
2025/07/29,94.62,102.38,93.12,94.55,94.62,-0.34,-0.32,1520553.13,15724
2025/07/28,94.62,95.49,93.0,94.62,94.62,-1.71,-1.62,247239.88,2629
2025/07/27,97.04,96.9,94.0,94.62,97.04,-1.98,-1.92,323328.63,3415
2025/07/23,97.04,96.99,94.0,97.04,97.04,-1.6,-1.55,208898.47,2200
2025/07/22,97.04,97.73,93.5,97.04,97.04,-3.65,-3.54,275886.16,2891
2025/07/21,98.01,99.8,86.33,97.04,98.01,-3.07,-3.01,646134.75,6766
2025/07/20,99.91,99.9,97.11,98.01,99.91,-1.11,-1.11,413402.47,4210
2025/07/17,98.85,102.38,97.52,99.91,98.85,-1.24,-1.23,396228.13,3963
2025/07/16,100.7,102.99,97.5,98.85,100.7,-3.17,-3.19,352278.03,3555
2025/07/15,101.37,105.0,97.13,100.7,101.37,0.42,0.43,1008115.75,9884
2025/07/14,105.64,107.95,95.05,101.37,105.64,-6.29,-6.64,676394.25,6662
2025/07/13,102.95,113.89,102.0,105.64,102.95,1.52,1.56,1487803.0,13681
2025/07/07,102.93,105.0,97.5,99.86,102.93,-3.81,-3.92,1056663.5,10415
2025/07/06,94.72,105.4,93.0,102.93,94.72,8.67,8.21,1819588.38,18024
2025/07/02,99.38,99.99,91.5,94.72,99.38,-6.82,-6.78,435647.13,4581
2025/07/01,107.19,114.96,97.0,99.38,107.19,-9.51,-10.19,1253738.5,12365
2025/06/30,105.62,123.88,104.5,107.19,105.62,1.49,1.57,5329471.5,46583
2025/06/29,88.02,105.62,85.21,105.62,88.02,20.0,17.6,5388738.5,53718
2025/06/25,84.58,89.75,84.81,88.02,84.58,2.27,1.92,402244.81,4575
2025/06/24,84.58,88.0,83.5,84.58,84.58,4.02,3.4,282556.84,3321
2025/06/23,84.58,87.74,83.58,84.58,84.58,1.1,0.93,132211.58,1538
2025/06/22,84.58,88.75,82.0,84.58,84.58,-1.24,-1.05,208807.55,2401
2025/06/19,90.95,91.45,82.1,84.58,90.95,-7.0,-6.37,492691.88,5769
2025/06/18,88.55,94.99,76.33,90.95,88.55,2.71,2.4,1853352.88,20395
2025/06/17,88.55,86.99,82.0,88.55,88.55,-7.4,-6.55,33546.98,404
2025/06/16,88.55,87.19,82.0,88.55,88.55,-6.13,-5.43,51247.74,612
2025/06/15,88.55,86.0,80.81,88.55,88.55,-4.25,-3.76,106287.12,1283
2025/06/12,88.55,89.63,85.83,88.55,88.55,-3.07,-2.72,73890.66,847
2025/06/11,88.55,89.75,87.5,88.55,88.55,-1.13,-1.0,63256.23,719
2025/06/10,88.55,90.5,87.01,88.55,88.55,1.28,1.13,11922.14,135
2025/06/04,88.55,90.88,87.51,88.55,88.55,-0.93,-0.82,62582.51,702
2025/06/03,91.1,92.95,87.33,88.55,91.1,-4.14,-3.77,362052.78,4078
2025/06/02,87.77,94.0,85.0,91.1,87.77,0.03,0.03,797570.88,8822
2025/06/01,87.77,89.89,83.0,87.77,87.77,-3.16,-2.77,114124.16,1327
2025/05/29,92.34,90.0,86.33,87.77,92.34,-6.38,-5.89,389937.56,4436
2025/05/28,92.34,90.0,87.0,92.34,92.34,-5.62,-5.19,65021.05,739
2025/05/27,92.34,90.0,86.31,92.34,92.34,-2.82,-2.6,54172.18,615
2025/05/26,92.34,90.98,87.0,92.34,92.34,-5.07,-4.68,90928.51,1010
2025/05/25,92.34,91.0,87.11,92.34,92.34,-2.54,-2.35,163975.31,1822
2025/05/22,92.34,90.3,86.3,92.34,92.34,-2.65,-2.45,141038.88,1601
2025/05/21,92.34,92.0,86.06,92.34,92.34,-1.99,-1.84,71042.86,807
2025/05/20,92.34,93.0,85.01,92.34,92.34,-2.7,-2.49,210567.34,2335
2025/05/19,92.34,92.63,85.01,92.34,92.34,-7.94,-7.33,290461.78,3269
2025/05/18,92.34,94.89,87.0,92.34,92.34,-1.77,-1.63,259527.38,2840
2025/05/15,99.28,98.99,88.0,92.34,99.28,-6.99,-6.94,837543.63,8865
2025/05/14,103.15,102.85,97.26,99.28,103.15,-5.67,-5.85,351452.97,3534
2025/05/08,107.34,108.0,102.0,103.31,107.34,-3.11,-3.34,1702455.63,16383
2025/05/07,107.14,112.89,104.0,107.34,107.14,0.19,0.2,1491970.63,13740
2025/05/06,107.14,108.75,105.0,107.14,107.14,-0.18,-0.19,281809.5,2655
2025/05/05,107.62,110.0,106.0,107.14,107.62,-1.51,-1.62,533111.75,4979
2025/05/04,106.38,114.96,103.5,107.62,106.38,0.68,0.72,693199.81,6430
2025/04/30,104.63,120.0,101.5,106.38,104.63,1.67,1.75,2897256.75,26425
2025/04/29,105.43,106.0,101.02,104.63,105.43,0.54,0.57,898930.06,8651
2025/04/28,103.12,108.0,101.0,105.43,103.12,0.85,0.88,1538835.38,14582
2025/04/27,103.01,113.0,100.66,103.12,103.01,-0.4,-0.41,2688104.25,25344
2025/04/23,96.23,114.0,96.23,103.01,96.23,7.05,6.78,5157256.5,47960
2025/04/22,80.22,96.26,84.0,96.23,80.22,20.0,16.04,2952694.0,31880
2025/04/17,81.61,87.4,77.17,80.22,81.61,-5.18,-4.23,909300.5,11021
2025/04/16,74.18,87.9,73.9,81.61,74.18,11.12,8.25,1959137.63,23935
2025/04/15,68.7,78.0,70.99,74.18,68.7,7.71,5.3,468506.53,6353
2025/04/14,68.7,71.5,67.81,68.7,68.7,-0.61,-0.42,51618.15,734
2025/04/13,68.7,70.5,68.0,68.7,68.7,2.62,1.8,63181.33,904
2025/04/10,68.7,71.0,67.03,68.7,68.7,-0.92,-0.63,185953.94,2660
2025/04/09,68.7,71.85,64.0,68.7,68.7,4.59,3.15,243826.86,3601
2025/04/08,67.27,71.98,66.0,68.7,67.27,2.13,1.43,382341.81,5577
2025/04/07,67.27,66.0,63.16,67.27,67.27,-1.89,-1.27,33638.16,523
2025/04/06,67.27,66.01,63.02,67.27,67.27,-6.05,-4.07,20481.84,316
2025/04/03,67.27,67.26,62.32,67.27,67.27,-0.1,-0.07,100537.28,1511
2025/03/27,67.27,67.0,62.02,67.27,67.27,-4.86,-3.27,216190.17,3307
