«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,36.2,37.0,35.56,36.0,36.2,-0.55,-0.2,8.0850888E7,2237973
2026/01/12,37.14,37.49,36.0,36.2,37.14,-2.53,-0.94,1.27055752E8,3464864
2026/01/11,37.8,38.25,37.1,37.14,37.8,-1.75,-0.66,3.1801242E7,848740
2026/01/08,37.52,38.04,37.1,37.8,37.52,0.75,0.28,1.50763248E8,3988378
2026/01/06,36.0,38.12,35.55,37.52,36.0,4.22,1.52,4.1426784E7,1109799
2026/01/05,36.0,36.25,34.85,36.0,36.0,0.0,0.0,6.564444E7,1851710
2026/01/04,37.1,37.4,36.0,36.0,37.1,-2.96,-1.1,2.1698968E7,594062
2025/12/31,37.3,37.44,37.01,37.1,37.3,-0.54,-0.2,1.9699736E7,530228
2025/12/30,37.9,37.99,37.25,37.3,37.9,-1.58,-0.6,3.2763722E7,874603
2025/12/29,37.87,38.09,37.5,37.9,37.87,0.08,0.03,4.6637716E7,1234226
2025/12/28,37.7,38.0,37.68,37.87,37.7,0.45,0.17,3.9236632E7,1036681
2025/12/25,37.88,38.15,37.65,37.7,37.88,-0.48,-0.18,2.7722978E7,733341
2025/12/24,37.95,38.0,37.61,37.88,37.95,-0.18,-0.07,3.2322128E7,854052
2025/12/23,38.5,38.5,37.8,37.95,38.5,-1.43,-0.55,3.5170352E7,924475
2025/12/22,38.75,39.2,37.75,38.5,38.75,-0.65,-0.25,8.8833904E7,2319776
2025/12/21,39.9,40.14,38.71,38.75,39.9,-2.88,-1.15,3.96379008E8,10108876
2025/12/18,42.27,42.65,39.9,39.9,42.27,-5.61,-2.37,3.8021024E8,9469441
2025/12/17,43.15,43.7,42.1,42.27,43.15,-2.04,-0.88,4.3589972E7,1010680
2025/12/16,42.4,43.6,42.37,43.15,42.4,1.77,0.75,3.2231902E7,747081
2025/12/15,42.4,42.65,42.02,42.4,42.4,0.0,0.0,8.925312E7,2101185
2025/12/14,42.15,42.47,41.81,42.4,42.15,0.59,0.25,8849174.0,209936
2025/12/11,41.95,49.3,41.67,42.15,41.95,0.48,0.2,3.8729E7,922262
2025/12/10,42.0,42.48,41.9,41.95,42.0,-0.12,-0.05,1.9271522E7,457511
2025/12/09,44.7,43.9,41.7,42.0,44.7,-6.04,-2.7,8.404112E7,1985062
2025/12/08,45.9,45.88,44.6,44.7,45.9,-2.61,-1.2,1.104926E8,2447401
2025/12/07,45.49,46.24,44.87,45.9,45.49,0.9,0.41,2.1991846E7,481386
2025/12/04,45.29,45.9,44.7,45.49,45.29,0.44,0.2,9.6470432E7,2133163
2025/12/03,45.75,45.95,45.0,45.29,45.75,-1.01,-0.46,5.8942636E7,1298717
2025/12/02,45.77,45.89,45.2,45.75,45.77,-0.04,-0.02,2.3013106E7,505525
2025/12/01,45.99,46.3,45.0,45.77,45.99,-0.48,-0.22,4.0919868E7,893924
2025/11/30,46.1,46.5,45.8,45.99,46.1,-0.24,-0.11,9223283.0,200483
2025/11/27,45.35,46.1,45.1,46.1,45.35,1.65,0.75,2.8473632E7,623088
2025/11/26,45.16,45.99,45.0,45.35,45.16,0.42,0.19,2.1692326E7,477625
2025/11/25,44.96,46.4,45.16,45.16,44.96,0.44,0.2,1.34976016E8,2939011
2025/11/24,47.99,48.15,44.96,44.96,47.99,-6.31,-3.03,2.78030304E8,6149481
2025/11/23,47.5,48.1,47.0,47.99,47.5,1.03,0.49,1.2393653E7,258380
2025/11/20,47.89,48.4,46.27,47.5,47.89,-0.81,-0.39,3.8068084E7,809113
2025/11/19,47.7,48.49,47.6,47.89,47.7,0.4,0.19,8.942964E7,1863709
2025/11/18,47.7,48.9,47.61,47.7,47.7,0.0,0.0,1.5258766E7,317296
2025/11/17,48.53,48.5,47.37,47.7,48.53,-1.71,-0.83,9.8910968E7,2062011
2025/11/16,45.2,49.95,45.5,48.53,45.2,7.37,3.33,7.6144224E7,1589119
2025/11/13,45.37,46.4,45.09,45.2,45.37,-0.37,-0.17,5.236768E7,1146961
2025/11/12,47.0,47.9,44.3,45.37,47.0,-3.47,-1.63,4.7521412E7,1038830
2025/11/11,46.5,47.68,46.53,47.0,46.5,1.08,0.5,2.8355588E7,601738
2025/11/10,49.49,49.99,46.5,46.5,49.49,-6.04,-2.99,9.6322856E7,2026455
2025/11/09,47.01,49.5,47.0,49.49,47.01,5.28,2.48,1.1439408E7,234805
2025/11/06,44.95,49.0,44.3,47.01,44.95,4.58,2.06,4.6759532E7,984593
2025/11/05,45.0,45.95,44.7,44.95,45.0,-0.11,-0.05,5.4211964E7,1201373
2025/11/04,45.0,45.5,44.6,45.0,45.0,0.0,0.0,9812028.0,217822
2025/11/03,44.63,45.19,44.02,45.0,44.63,0.83,0.37,3.9290184E7,877898
2025/11/02,44.99,45.35,44.63,44.63,44.99,-0.8,-0.36,1.8944758E7,420966
2025/10/30,44.99,45.49,44.71,44.99,44.99,0.0,0.0,7.418084E7,1648191
2025/10/29,45.15,45.6,44.26,44.99,45.15,-0.35,-0.16,2.911337E7,648078
2025/10/28,43.3,45.5,43.01,45.15,43.3,4.27,1.85,4.3567556E7,966174
2025/10/27,43.27,43.44,42.96,43.3,43.27,0.07,0.03,5.8007756E7,1339760
2025/10/26,43.19,43.6,42.9,43.27,43.19,0.19,0.08,3876648.5,89789
2025/10/23,43.0,43.5,42.8,43.19,43.0,0.44,0.19,3361110.75,77918
2025/10/22,43.0,43.08,42.6,43.0,43.0,0.0,0.0,8955522.0,208413
2025/10/21,43.22,43.6,42.0,43.0,43.22,-0.51,-0.22,6636878.0,154344
2025/10/20,43.0,43.88,42.8,43.22,43.0,0.51,0.22,1.2425253E7,287380
2025/10/19,42.5,43.69,42.25,43.0,42.5,1.18,0.5,9535550.0,222625
2025/10/16,42.12,42.72,42.0,42.5,42.12,0.9,0.38,6934604.0,163417
2025/10/15,41.8,42.6,41.8,42.12,41.8,0.77,0.32,1.4717633E7,349714
2025/10/14,42.02,42.5,41.63,41.8,42.02,-0.52,-0.22,3960665.75,94263
2025/10/13,42.26,42.74,42.02,42.02,42.26,-0.57,-0.24,8260911.5,194722
2025/10/12,42.4,42.75,41.5,42.26,42.4,-0.33,-0.14,2091150.25,49366
2025/10/08,42.0,42.5,41.7,42.4,42.0,0.95,0.4,4.4455652E7,1050417
2025/10/07,42.17,42.6,42.0,42.0,42.17,-0.4,-0.17,3.0978054E7,729571
2025/10/06,42.55,42.75,42.0,42.17,42.55,-0.89,-0.38,8832982.0,209181
2025/10/05,42.5,43.1,42.5,42.55,42.5,0.12,0.05,1.2576373E7,294507
2025/10/02,42.0,42.9,41.75,42.5,42.0,1.19,0.5,2.561752E7,604145
2025/10/01,42.6,43.0,41.01,42.0,42.6,-1.41,-0.6,2.8421906E7,670123
2025/09/30,43.0,43.45,42.51,42.6,43.0,-0.93,-0.4,1.9642394E7,459020
2025/09/29,43.22,43.45,42.3,43.0,43.22,-0.51,-0.22,3.4023492E7,793566
2025/09/28,42.54,43.49,42.5,43.22,42.54,1.6,0.68,8921630.0,207690
2025/09/25,43.94,43.94,42.54,42.54,43.94,-3.19,-1.4,1.4827435E7,345715
2025/09/24,43.43,43.94,42.26,43.94,43.43,1.17,0.51,2.0969948E7,486239
2025/09/23,42.0,43.43,41.1,43.43,42.0,3.4,1.43,6118060.0,144154
2025/09/22,40.75,42.0,40.5,42.0,40.75,3.07,1.25,4638383.0,111345
2025/09/21,41.0,41.35,40.2,40.75,41.0,-0.61,-0.25,9598292.0,235059
2025/09/18,38.19,41.0,38.25,41.0,38.19,7.36,2.81,6.7296712E7,1677066
2025/09/17,38.3,38.5,38.0,38.19,38.3,-0.29,-0.11,4458242.5,116854
2025/09/16,38.0,38.33,37.97,38.3,38.0,0.79,0.3,2936281.25,76856
2025/09/15,38.0,38.34,37.61,38.0,38.0,0.0,0.0,2.7680236E7,728352
2025/09/14,38.23,38.49,37.21,38.0,38.23,-0.6,-0.23,6179717.0,163306
2025/09/11,38.5,38.85,37.63,38.23,38.5,-0.7,-0.27,2.9545514E7,779326
2025/09/10,38.99,38.75,37.2,38.5,38.99,-1.26,-0.49,3494021.5,91442
2025/09/09,37.18,38.99,36.88,38.99,37.18,4.87,1.81,2.1313526E7,566179
2025/09/08,37.03,37.33,36.9,37.18,37.03,0.41,0.15,4730700.0,127580
2025/09/07,37.23,37.97,36.7,37.03,37.23,-0.54,-0.2,2396338.0,64566
2025/09/03,37.6,38.0,36.75,37.23,37.6,-0.98,-0.37,1.3442541E7,361246
2025/09/02,38.4,38.4,37.5,37.6,38.4,-2.08,-0.8,3.399734E7,901241
2025/09/01,37.99,38.5,37.65,38.4,37.99,1.08,0.41,4459257.0,117632
2025/08/31,38.7,38.7,37.73,37.99,38.7,-1.83,-0.71,2572908.75,67450
2025/08/28,39.0,39.0,37.52,38.7,39.0,-0.77,-0.3,2.220583E7,579061
2025/08/27,37.48,39.0,37.1,39.0,37.48,4.06,1.52,2.1590578E7,568900
2025/08/26,37.5,37.65,37.05,37.48,37.5,-0.05,-0.02,8.5921744E7,2292321
2025/08/25,37.84,38.0,37.0,37.5,37.84,-0.9,-0.34,6982452.5,186104
2025/08/24,36.5,37.84,36.3,37.84,36.5,3.67,1.34,4613900.5,123936
2025/08/21,36.52,36.84,36.3,36.5,36.52,-0.05,-0.02,1.2766935E7,349304
2025/08/20,36.9,37.2,36.3,36.52,36.9,-1.03,-0.38,1.9861888E7,541626
2025/08/19,36.78,37.39,36.59,36.9,36.78,0.33,0.12,6356189.5,172223
2025/08/18,38.23,38.65,36.05,36.78,38.23,-3.79,-1.45,2.8380526E7,768742
2025/08/17,38.0,38.73,37.71,38.23,38.0,0.61,0.23,2113718.0,55234
2025/08/14,38.27,38.6,37.63,38.0,38.27,-0.71,-0.27,7535786.0,198165
2025/08/13,38.7,38.99,38.02,38.27,38.7,-1.11,-0.43,2289086.0,59530
2025/08/12,38.41,39.0,38.49,38.7,38.41,0.76,0.29,1.6280416E8,4224195
2025/08/11,38.97,39.0,37.02,38.41,38.97,-1.44,-0.56,3.7890532E7,998793
2025/08/10,39.2,39.0,38.7,38.97,39.2,-0.59,-0.23,3486251.25,89554
2025/08/07,38.49,39.2,37.6,39.2,38.49,1.84,0.71,2.8192574E7,733243
2025/08/06,37.97,38.49,36.52,38.49,37.97,1.37,0.52,2.8445906E7,749337
2025/08/05,36.0,37.97,35.62,37.97,36.0,5.47,1.97,5.2948728E7,1461187
2025/08/04,35.04,36.25,35.0,36.0,35.04,2.74,0.96,4.2996064E7,1197748
2025/08/03,33.95,35.05,34.0,35.04,33.95,3.21,1.09,6403529.5,184448
2025/07/31,34.0,34.0,33.4,33.95,34.0,-0.15,-0.05,3.241447E7,955240
2025/07/30,33.0,34.15,32.73,34.0,33.0,0.0,1.0,4.9036532E7,1448094
2025/07/29,32.46,33.67,32.46,33.0,32.46,1.66,0.54,7.7675632E7,2368786
2025/07/28,33.0,33.0,32.13,32.46,33.0,-1.64,-0.54,4.0259484E7,1237138
2025/07/27,33.0,33.29,32.8,33.0,33.0,0.0,0.0,3195436.75,96944
2025/07/23,32.6,33.0,32.53,33.0,32.6,1.23,0.4,6.0120996E7,1840792
2025/07/22,33.0,33.44,32.6,32.6,33.0,-1.21,-0.4,1.867983E7,564653
2025/07/21,33.01,33.45,32.0,33.0,33.01,-0.03,-0.01,1.72048912E8,5206651
2025/07/20,32.5,33.25,32.33,33.01,32.5,1.57,0.51,6143855.5,187806
2025/07/17,32.1,32.85,31.53,32.5,32.1,1.25,0.4,2.75970528E8,8564932
2025/07/16,33.0,33.39,32.06,32.1,33.0,-2.73,-0.9,9268527.0,284486
2025/07/15,33.9,33.88,32.81,33.0,33.9,-2.65,-0.9,1.36639984E8,4108214
2025/07/14,32.03,33.9,31.46,33.9,32.03,5.84,1.87,1.1249284E8,3467070
2025/07/13,31.99,32.2,31.98,32.03,31.99,0.59,0.19,5802923.5,181300
2025/07/07,31.8,32.0,31.31,31.97,31.8,0.53,0.17,1.6049812E7,503996
2025/07/06,31.25,31.81,31.02,31.8,31.25,1.76,0.55,8714613.0,276587
2025/07/02,30.99,31.7,30.81,31.25,30.99,0.84,0.26,5.8515552E7,1878694
2025/07/01,30.0,30.99,29.8,30.99,30.0,3.3,0.99,5.95781568E8,19413700
2025/06/30,30.1,31.9,29.91,30.0,30.1,-0.33,-0.1,1.3328748E8,4335332
2025/06/29,30.5,30.78,30.1,30.1,30.5,-1.31,-0.4,1.6489155E7,539849
2025/06/25,30.5,30.78,30.0,30.5,30.5,0.0,0.0,7.1297408E7,2358984
2025/06/24,29.15,30.5,29.19,30.5,29.15,4.63,1.35,4.4547184E7,1498449
2025/06/23,29.05,29.44,28.9,29.15,29.05,0.34,0.1,8.8950752E7,3049843
2025/06/22,27.85,29.1,26.6,29.05,27.85,4.31,1.2,3.1441332E7,1095533
2025/06/19,29.0,29.49,27.55,27.85,29.0,-3.97,-1.15,1.7276928E8,6196509
2025/06/18,29.89,29.88,29.0,29.0,29.89,-2.98,-0.89,1.85166E7,630080
2025/06/17,30.0,30.0,29.01,29.89,30.0,-0.37,-0.11,9.8031832E7,3282901
2025/06/16,30.23,30.5,29.5,30.0,30.23,-0.76,-0.23,2.2121828E7,741800
2025/06/15,31.24,30.47,28.41,30.23,31.24,-3.23,-1.01,2.1364072E7,713467
2025/06/12,30.9,31.24,29.72,31.24,30.9,1.1,0.34,2.522007E7,824656
2025/06/11,31.8,31.9,30.78,30.9,31.8,-2.83,-0.9,3.361656E7,1084116
2025/06/10,32.3,32.39,31.64,31.8,32.3,-1.55,-0.5,3.0487724E7,952972
2025/06/04,32.17,32.3,31.86,32.3,32.17,0.4,0.13,1.27438944E8,3977620
2025/06/03,32.17,32.5,31.81,32.17,32.17,0.0,0.0,3.7957712E7,1181917
2025/06/02,32.61,33.24,31.75,32.17,32.61,-1.35,-0.44,4.0371996E7,1266121
2025/06/01,33.35,33.38,32.5,32.61,33.35,-2.22,-0.74,9420412.0,286628
2025/05/29,32.49,33.35,31.86,33.35,32.49,2.65,0.86,3.4137876E7,1028374
2025/05/28,32.21,32.49,31.75,32.49,32.21,0.87,0.28,6587715.5,204648
2025/05/27,32.6,32.89,32.21,32.21,32.6,-1.2,-0.39,1.6305944E7,503077
2025/05/26,32.58,33.34,32.56,32.6,32.58,0.06,0.02,6704706.0,203800
2025/05/25,32.56,32.83,32.53,32.58,32.56,0.06,0.02,889692.75,27235
2025/05/22,32.6,32.78,32.53,32.56,32.6,-0.12,-0.04,2.6337872E7,804579
2025/05/21,33.0,32.98,32.52,32.6,33.0,-1.21,-0.4,8871915.0,270994
2025/05/20,33.98,34.0,31.65,33.0,33.98,-2.88,-0.98,2.727045E7,827231
2025/05/19,34.05,34.47,33.5,33.98,34.05,-0.21,-0.07,5043684.5,148996
2025/05/18,34.89,34.93,34.0,34.05,34.89,-2.41,-0.84,1.9017584E7,551639
2025/05/15,34.8,34.89,34.34,34.89,34.8,0.26,0.09,5820109.0,167272
2025/05/14,34.54,34.98,34.2,34.8,34.54,0.75,0.26,4613502.5,133244
2025/05/08,34.68,34.7,34.2,34.68,34.68,0.0,0.0,2960792.75,85834
2025/05/07,34.82,35.0,34.45,34.68,34.82,-0.4,-0.14,5.81460288E8,16766279
2025/05/06,34.51,35.0,34.52,34.82,34.51,0.55,0.19,2973488.5,85242
2025/05/05,35.48,35.5,34.4,34.51,35.48,-2.73,-0.97,3.5522844E7,1016437
2025/05/04,35.0,35.5,35.0,35.48,35.0,0.6,0.21,4034989.5,114270
2025/04/30,35.0,35.0,34.7,35.0,35.0,0.0,0.0,4.3226836E7,1237900
2025/04/29,35.1,35.49,34.8,35.0,35.1,-0.28,-0.1,1.001985E7,286462
2025/04/28,34.49,35.84,34.5,35.1,34.49,1.77,0.61,4.5866736E7,1299280
2025/04/27,34.13,34.65,34.0,34.49,34.13,1.05,0.36,1977394.25,57480
2025/04/23,33.02,35.0,33.25,34.13,33.02,3.36,1.11,5.6641768E7,1658508
2025/04/22,33.8,33.52,33.02,33.02,33.8,-2.31,-0.78,1.3312397E7,400312
2025/04/17,33.8,33.8,33.16,33.8,33.8,0.0,0.0,2.549863E7,758083
2025/04/16,33.5,33.98,33.2,33.8,33.5,0.9,0.3,2.4307568E7,725291
2025/04/15,34.0,34.4,33.5,33.5,34.0,-1.47,-0.5,1.5241306E7,450756
2025/04/14,34.83,34.82,33.8,34.0,34.83,-2.38,-0.83,1.3625833E7,399603
2025/04/13,33.52,34.85,33.53,34.83,33.52,3.91,1.31,8892471.0,260849
2025/04/10,33.6,34.29,33.52,33.52,33.6,-0.24,-0.08,1.2752199E7,376460
2025/04/09,34.01,34.99,33.06,33.6,34.01,-1.21,-0.41,1.74314064E8,5152834
2025/04/08,31.77,34.1,32.0,34.01,31.77,7.05,2.24,2.25586608E8,6849685
2025/04/07,32.13,32.12,31.2,31.77,32.13,-1.12,-0.36,8402730.0,264604
2025/04/06,32.82,32.38,31.0,32.13,32.82,-2.1,-0.69,6249880.0,196821
2025/04/03,33.25,32.98,32.19,32.82,33.25,-1.29,-0.43,7478120.0,230257
2025/03/27,32.53,33.25,32.19,33.25,32.53,2.21,0.72,3.149129E7,963894
2025/03/26,32.75,32.75,32.17,32.53,32.75,-0.67,-0.22,1.7254712E8,5308444
2025/03/25,32.35,33.0,32.0,32.75,32.35,1.24,0.4,7185222.0,222759
2025/03/24,32.27,32.92,32.05,32.35,32.27,0.25,0.08,2.9177658E7,895752
2025/03/23,33.0,33.45,32.17,32.27,33.0,-2.21,-0.73,5621286.0,171414
2025/03/20,31.0,33.0,30.75,33.0,31.0,6.45,2.0,4.1824896E7,1294079
2025/03/19,31.25,31.25,30.61,31.0,31.25,-0.8,-0.25,2.2458904E7,724644
2025/03/18,30.88,31.25,30.52,31.25,30.88,1.2,0.37,4.382722E7,1416466
2025/03/17,30.25,30.88,30.26,30.88,30.25,2.08,0.63,4919540.0,160167
2025/03/16,31.11,31.17,30.25,30.25,31.11,-2.76,-0.86,9277550.0,303715
2025/03/13,30.7,31.11,30.5,31.11,30.7,1.34,0.41,1.32317584E8,4270168
