«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2022/10/11,1.384,1.246,1.246,1.384,1.384,-9.971,-0.138,44.856,36
2022/10/10,1.384,1.246,1.246,1.384,1.384,-9.971,-0.138,31.15,25
2022/09/29,1.384,1.384,1.384,1.384,1.384,0.0,0.0,31150.0,25000
2022/08/31,1.384,1.246,1.246,1.384,1.384,-9.971,-0.138,2236.57,1795
2022/08/30,1.384,1.246,1.246,1.384,1.384,-9.971,-0.138,2492.0,2000
2022/08/24,1.384,1.246,1.246,1.384,1.384,-9.971,-0.138,1121.4,900
2022/08/08,1.384,1.246,1.246,1.384,1.384,-9.971,-0.138,7974.4,6400
2022/08/07,1.384,1.246,1.246,1.384,1.384,-9.971,-0.138,69977.852,56162
2022/08/04,1.384,1.258,1.246,1.384,1.384,-9.971,-0.138,26354.381,21142
2022/08/03,1.384,1.246,1.246,1.384,1.384,-9.971,-0.138,117065.438,93953
2022/08/02,1.537,1.499,1.384,1.384,1.537,-9.954,-0.153,457508.281,323030
2022/08/01,1.707,1.6,1.537,1.537,1.707,-9.959,-0.17,1681637.0,1092062
2022/07/31,1.703,1.76,1.67,1.707,1.703,0.235,0.004,562156.875,329235
2022/07/28,1.649,1.73,1.6,1.703,1.649,3.275,0.054,724706.875,432796
2022/07/27,1.641,1.69,1.531,1.649,1.641,2.681,0.044,442844.5,270590
2022/07/26,1.561,1.67,1.411,1.641,1.561,5.125,0.08,479143.125,296454
2022/07/25,1.734,1.75,1.561,1.561,1.734,-9.977,-0.173,284272.531,177331
2022/07/24,1.756,1.8,1.581,1.734,1.756,-1.253,-0.022,960560.875,579828
2022/07/21,1.756,1.756,1.581,1.756,1.756,0.0,0.0,206.375,125
2022/07/20,1.756,1.581,1.581,1.756,1.756,-9.966,-0.175,2292.45,1450
2022/07/17,1.756,1.756,1.581,1.756,1.756,0.0,0.0,31785.807,20101
2022/06/22,1.756,1.756,1.581,1.756,1.756,0.0,0.0,36390.922,23016
2022/06/19,1.756,1.756,1.581,1.756,1.756,0.0,0.0,238.84,140
2022/06/02,1.756,1.581,1.581,1.756,1.756,-9.966,-0.175,6324.0,4000
2022/05/29,1.756,1.581,1.581,1.756,1.756,-9.966,-0.175,65325.34,41319
2022/05/26,1.756,1.756,1.581,1.756,1.756,0.0,0.0,53613.461,33910
2022/05/25,1.951,1.94,1.756,1.756,1.951,-9.995,-0.195,276183.0,156200
2022/05/11,1.951,1.756,1.756,1.951,1.951,-9.995,-0.195,1756.0,1000
2022/05/09,1.951,1.951,1.756,1.951,1.951,0.0,0.0,3707.1,2100
2022/04/27,1.951,1.756,1.756,1.951,1.951,-9.995,-0.195,3336.4,1900
2022/04/26,1.951,1.951,1.756,1.951,1.951,0.0,0.0,1336.51,760
2022/04/21,1.951,1.756,1.756,1.951,1.951,-9.995,-0.195,2195.0,1250
2022/04/20,1.951,1.756,1.756,1.951,1.951,-9.995,-0.195,9183.88,5230
2022/04/14,1.951,1.951,1.951,1.951,1.951,0.0,0.0,97.55,50
2022/04/13,1.951,1.756,1.756,1.951,1.951,-9.995,-0.195,118749.5,67625
2022/04/07,1.951,1.771,1.756,1.951,1.951,-9.636,-0.188,94229.75,53500
2022/04/05,1.951,1.756,1.756,1.951,1.951,-9.995,-0.195,43900.0,25000
2022/04/04,1.951,1.756,1.756,1.951,1.951,-9.995,-0.195,51977.602,29600
2022/04/03,1.951,1.969,1.756,1.951,1.951,-9.277,-0.181,145573.141,81093
2022/03/30,1.951,1.756,1.756,1.951,1.951,-9.995,-0.195,30905.6,17600
2022/03/29,1.951,1.85,1.756,1.951,1.951,-9.995,-0.195,80777.586,45943
2022/03/28,1.951,1.81,1.756,1.951,1.951,-9.995,-0.195,98096.688,55509
