«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,1.92,1.95,1.83,1.85,1.92,-3.65,-0.07,4603773.0,2447891
2026/01/12,1.97,2.04,1.91,1.92,1.97,-2.54,-0.05,6982834.5,3524727
2026/01/11,2.04,2.05,1.95,1.97,2.04,-3.43,-0.07,4571995.5,2279299
2026/01/08,2.05,2.12,2.02,2.04,2.05,-0.49,-0.01,1.4086013E7,6849008
2026/01/06,2.03,2.08,2.03,2.05,2.03,0.99,0.02,6162790.5,3003296
2026/01/05,2.01,2.16,1.99,2.03,2.01,1.0,0.02,1.9578332E7,9402890
2026/01/04,2.04,2.13,1.97,2.01,2.04,-1.47,-0.03,8503321.0,4162070
2025/12/31,1.97,2.29,1.9,2.04,1.97,3.55,0.07,2.3907492E7,11371390
2025/12/30,1.95,1.99,1.95,1.97,1.95,0.51,0.01,899689.19,455762
2025/12/29,1.98,2.01,1.95,1.95,1.98,-1.52,-0.03,1272807.75,648769
2025/12/28,2.0,2.03,1.97,1.98,2.0,-1.0,-0.02,797563.81,401132
2025/12/25,1.96,2.04,1.9,2.0,1.96,2.55,0.05,1380028.25,697418
2025/12/24,1.95,2.08,1.8,1.96,1.95,0.513,0.01,3054673.25,1550302
2025/12/23,1.98,2.07,1.94,1.95,1.98,-1.515,-0.03,2456225.0,1236725
2025/12/22,1.79,2.1,1.74,1.98,1.79,10.615,0.19,1.836976E7,9262462
2025/12/21,1.85,1.8,1.73,1.79,1.85,-3.243,-0.06,2592984.5,1473244
2025/12/18,1.67,1.85,1.65,1.85,1.67,10.778,0.18,3124938.75,1788755
2025/12/17,1.65,1.7,1.62,1.67,1.65,1.212,0.02,2600818.0,1571288
2025/12/16,1.66,1.69,1.64,1.65,1.66,-0.602,-0.01,905766.438,544145
2025/12/15,1.66,1.68,1.65,1.66,1.66,1.205,0.02,562285.25,338190
2025/12/14,1.68,1.69,1.65,1.66,1.68,-0.595,-0.01,528475.75,317842
2025/12/11,1.7,1.7,1.66,1.68,1.7,-1.765,-0.03,1697188.875,1009869
2025/12/10,1.7,1.73,1.69,1.7,1.7,0.0,0.0,1102869.5,646011
2025/12/09,1.68,1.74,1.69,1.7,1.68,1.19,0.02,1663323.5,975638
2025/12/08,1.66,1.79,1.68,1.68,1.66,1.205,0.02,6671091.0,3861813
2025/12/07,1.65,1.68,1.64,1.66,1.65,1.212,0.02,677766.0,407139
2025/12/04,1.66,1.68,1.63,1.65,1.66,-1.205,-0.02,1289603.5,781812
2025/12/03,1.68,1.72,1.65,1.66,1.68,-1.786,-0.03,1473384.5,879198
2025/12/02,1.56,1.77,1.57,1.68,1.56,7.692,0.12,4255573.0,2515584
2025/12/01,1.56,1.58,1.55,1.56,1.56,0.641,0.01,345690.875,221468
2025/11/30,1.56,1.58,1.54,1.56,1.56,0.0,0.0,483755.281,309770
2025/11/27,1.55,1.58,1.52,1.56,1.55,0.645,0.01,379523.375,243138
2025/11/26,1.57,1.57,1.52,1.55,1.57,0.0,0.0,441019.031,284207
2025/11/25,1.58,1.6,1.54,1.57,1.58,-0.633,-0.01,333910.031,212552
