«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,29.77,30.0,28.5,28.83,29.77,-3.16,-0.94,3400678.0,116118
2026/01/12,30.0,30.2,29.7,29.77,30.0,-0.77,-0.23,3050280.25,101841
2026/01/11,30.0,30.42,29.89,30.0,30.0,-0.23,-0.07,7400549.0,246542
2026/01/08,30.03,30.5,29.88,30.0,30.03,-0.47,-0.14,3762895.75,124846
2026/01/06,29.67,30.56,29.83,30.03,29.67,1.21,0.36,5979694.5,198090
2026/01/05,30.46,30.75,29.5,29.67,30.46,-2.63,-0.8,7979702.0,265801
2026/01/04,31.49,31.5,30.36,30.46,31.49,-3.27,-1.03,7127925.5,231434
2025/12/31,31.23,31.55,30.72,31.49,31.23,0.83,0.26,1.2657803E7,404521
2025/12/30,31.57,31.74,31.02,31.23,31.57,-1.08,-0.34,7514024.0,240468
2025/12/29,31.01,31.76,30.82,31.57,31.01,1.81,0.56,1.4297326E7,454020
2025/12/28,30.93,31.39,30.5,31.01,30.93,0.26,0.08,9235849.0,298153
2025/12/25,30.99,31.1,30.8,30.93,30.99,0.16,0.05,4133892.25,133659
2025/12/24,31.08,31.46,30.94,30.99,31.08,-0.29,-0.09,5407558.0,173994
2025/12/23,31.31,31.6,30.96,31.08,31.31,-0.73,-0.23,8563238.0,274942
2025/12/22,31.11,31.9,31.25,31.31,31.11,0.64,0.2,1.199681E7,379580
2025/12/21,31.54,31.9,31.03,31.11,31.54,-1.36,-0.43,1.0360213E7,331427
2025/12/18,31.78,32.25,31.54,31.54,31.78,-0.76,-0.24,3596772.5,113402
2025/12/17,32.25,32.6,31.77,31.78,32.25,-1.46,-0.47,7242890.0,224612
2025/12/16,31.82,32.48,31.6,32.25,31.82,1.35,0.43,1.0547403E7,328899
2025/12/15,31.7,32.4,31.5,31.82,31.7,0.19,0.06,9461636.0,296230
2025/12/14,31.83,32.08,31.5,31.7,31.83,-0.41,-0.13,2026550.38,63901
2025/12/11,32.76,32.91,31.66,31.83,32.76,-2.84,-0.93,5026954.0,156160
2025/12/10,31.57,32.88,31.75,32.76,31.57,3.77,1.19,1.4986828E7,462074
2025/12/09,31.17,32.23,31.39,31.57,31.17,1.28,0.4,1.2827843E7,403039
