«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2025/03/23,0.67,0.73,0.67,0.71,0.67,4.9,0.03,3.0682284E7,43158569
2025/03/20,0.672,0.699,0.67,0.674,0.672,0.298,0.002,7399942.5,10860672
2025/03/19,0.682,0.695,0.666,0.672,0.682,-1.466,-0.01,4813817.5,7085399
2025/03/18,0.686,0.695,0.68,0.682,0.686,-0.875,-0.006,3533443.5,5151133
2025/03/17,0.708,0.719,0.682,0.686,0.708,-3.107,-0.022,1.0658346E7,15339796
2025/03/16,0.7,0.715,0.696,0.708,0.7,1.143,0.008,5532501.5,7856912
2025/03/13,0.699,0.727,0.692,0.7,0.699,0.143,0.001,1.4536802E7,20510542
2025/03/12,0.706,0.71,0.691,0.699,0.706,-0.991,-0.007,6813544.0,9729323
2025/03/11,0.716,0.723,0.702,0.706,0.716,-1.397,-0.01,1.148626E7,16262962
2025/03/10,0.721,0.749,0.715,0.716,0.721,-0.693,-0.005,2.9125124E7,39900873
2025/03/09,0.718,0.748,0.715,0.721,0.718,0.418,0.003,3.47309E7,47744715
2025/03/06,0.663,0.754,0.642,0.718,0.663,8.296,0.055,6.483558E7,91252991
2025/03/05,0.689,0.7,0.661,0.663,0.689,-3.774,-0.026,9784397.0,14518470
2025/03/04,0.701,0.705,0.68,0.689,0.701,-1.712,-0.012,1.3347651E7,19299738
2025/03/03,0.716,0.724,0.692,0.701,0.716,-2.095,-0.015,1.1951207E7,16924276
2025/03/02,0.725,0.738,0.716,0.716,0.725,-1.241,-0.009,1.2900343E7,17892707
2025/02/27,0.722,0.74,0.717,0.725,0.722,0.416,0.003,4.098778E7,56307500
2025/02/26,0.717,0.741,0.714,0.722,0.717,0.697,0.005,3.79933E7,52347937
2025/02/25,0.743,0.753,0.717,0.717,0.743,-3.499,-0.026,3.8428424E7,52471916
2025/02/24,0.735,0.777,0.739,0.743,0.735,1.088,0.008,4.838374E7,64065697
2025/02/23,0.751,0.772,0.731,0.735,0.751,-2.13,-0.016,2.7408486E7,36552559
2025/02/20,0.789,0.797,0.746,0.751,0.789,-4.82,-0.038,4.511236557E7,58377317
2025/02/19,0.724,0.828,0.71,0.789,0.724,8.978,0.065,1.19893224E8,152725544
2025/02/18,0.759,0.759,0.72,0.724,0.759,-4.611,-0.035,3.085051E7,41859329
2025/02/17,0.81,0.82,0.75,0.759,0.81,-6.296,-0.051,6.9107728E7,89257075
2025/02/16,0.793,0.86,0.805,0.81,0.793,2.144,0.017,3.880578E7,46786402
2025/02/13,0.799,0.825,0.791,0.793,0.799,-0.751,-0.006,1.9290828E7,23993112
2025/02/12,0.824,0.828,0.788,0.799,0.824,-3.034,-0.025,3.417298E7,42378178
2025/02/11,0.855,0.87,0.79,0.824,0.855,-3.626,-0.031,7.6170408E7,91950912
2025/02/10,0.859,0.913,0.841,0.855,0.859,-0.466,-0.004,1.03370896E8,116671163
2025/02/09,0.846,0.887,0.83,0.859,0.846,1.537,0.013,9.0453264E7,105149991
2025/02/06,0.797,0.898,0.791,0.846,0.797,6.148,0.049,1.77392E8,205279640
2025/02/05,0.82,0.833,0.784,0.797,0.82,-2.805,-0.023,6.7488456E7,83461732
2025/02/04,0.844,0.865,0.818,0.82,0.844,-2.844,-0.024,1.19662992E8,143251042
2025/02/03,0.764,0.844,0.753,0.844,0.764,10.471,0.08,1.4810472E8,184573992
2025/02/02,0.739,0.808,0.721,0.764,0.739,3.383,0.025,1.82239824E8,236998736
2025/01/30,0.628,0.745,0.625,0.739,0.628,17.675,0.111,8.6849848E7,126022535
2025/01/29,0.715,0.73,0.601,0.628,0.715,-12.168,-0.087,6.657644E7,98141869
2025/01/28,0.73,0.76,0.715,0.715,0.73,-2.05,-0.015,5.917594561E7,80560917
2025/01/27,0.747,0.776,0.71,0.73,0.747,-2.276,-0.017,7.5176848E7,101143941
2025/01/26,0.736,0.784,0.711,0.747,0.736,1.495,0.011,8.8655496E7,118592201
2025/01/23,0.759,0.818,0.722,0.736,0.759,-3.03,-0.023,1.53775856E8,197296157
2025/01/22,0.641,0.765,0.642,0.759,0.641,18.409,0.118,1.33747912E8,190814979
2025/01/21,0.608,0.69,0.592,0.641,0.608,5.428,0.033,9.5487496E7,150970821
2025/01/20,0.6,0.72,0.551,0.608,0.6,1.333,0.008,1.47462256E8,221012593
2025/01/19,0.5,0.6,0.533,0.6,0.5,20.0,0.1,7.2051832E7,124251742
2025/01/16,0.417,0.5,0.419,0.5,0.417,19.904,0.083,8.2897192E7,173329097
2025/01/15,0.387,0.42,0.384,0.417,0.387,7.752,0.03,4.981124E7,122982230
2025/01/14,0.343,0.403,0.335,0.387,0.343,12.828,0.044,3.5124432E7,94107073
2025/01/13,0.355,0.366,0.343,0.343,0.355,-3.38,-0.012,1.5131873E7,42391380
2025/01/12,0.34,0.364,0.322,0.355,0.34,4.412,0.015,2.1551378E7,61247436
2025/01/09,0.336,0.344,0.333,0.34,0.336,1.19,0.004,1.0257646E7,30254896
2025/01/08,0.328,0.338,0.323,0.336,0.328,2.439,0.008,5645515.5,17236283
2025/01/06,0.34,0.343,0.325,0.328,0.34,-3.529,-0.012,1.0075336E7,30334002
2025/01/05,0.313,0.345,0.326,0.34,0.313,8.626,0.027,2.6825782E7,79431327
2025/01/02,0.296,0.328,0.3,0.313,0.296,5.743,0.017,1.5851221E7,49602908
2024/12/31,0.298,0.3,0.295,0.296,0.298,-0.671,-0.002,1603674.0,5394433
2024/12/30,0.3,0.31,0.297,0.298,0.3,-0.667,-0.002,4610933.5,15172264
2024/12/29,0.302,0.308,0.3,0.3,0.302,-0.662,-0.002,3082555.0,10200330
2024/12/26,0.307,0.314,0.3,0.302,0.307,-1.629,-0.005,3586806.75,11808771
2024/12/25,0.3,0.318,0.302,0.307,0.3,2.333,0.007,1.0511455E7,33822679
2024/12/24,0.287,0.303,0.281,0.3,0.287,4.53,0.013,5506641.0,18857236
2024/12/23,0.294,0.294,0.284,0.287,0.294,-2.381,-0.007,1732325.125,6001525
2024/12/22,0.295,0.3,0.293,0.294,0.295,-0.339,-0.001,1071656.125,3616323
2024/12/19,0.297,0.299,0.291,0.295,0.297,-1.01,-0.003,1724564.375,5869227
2024/12/18,0.302,0.305,0.292,0.297,0.302,-1.325,-0.004,1900527.75,6335026
2024/12/17,0.305,0.31,0.301,0.302,0.305,-0.984,-0.003,2542974.0,8334170
2024/12/16,0.308,0.308,0.304,0.305,0.308,-1.299,-0.004,1823175.5,5964397
2024/12/15,0.305,0.312,0.305,0.308,0.305,0.984,0.003,1633024.875,5297404
2024/12/12,0.304,0.311,0.303,0.305,0.304,0.329,0.001,3608820.25,11764940
2024/12/11,0.303,0.307,0.301,0.304,0.303,0.33,0.001,1585891.75,5207546
2024/12/10,0.299,0.314,0.3,0.303,0.299,1.338,0.004,6191269.5,20125370
2024/12/09,0.296,0.303,0.296,0.299,0.296,1.014,0.003,1472480.625,4925093
2024/12/08,0.299,0.3,0.296,0.296,0.299,-1.003,-0.003,1227243.125,4131487
2024/12/05,0.298,0.301,0.294,0.299,0.298,0.0,0.0,3345808.5,11273964
2024/12/04,0.299,0.302,0.295,0.298,0.299,-0.334,-0.001,639281.5,2146870
