«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,2.14,2.16,2.06,2.07,2.14,-3.27,-0.07,7913835.5,3759940
2026/01/12,2.16,2.21,2.14,2.14,2.16,-0.93,-0.02,7170839.5,3298720
2026/01/11,2.19,2.23,2.12,2.16,2.19,-1.37,-0.03,8451785.0,3886957
2026/01/08,2.25,2.28,2.18,2.19,2.25,-2.67,-0.06,8765330.0,3934503
2026/01/06,2.21,2.29,2.23,2.25,2.21,1.81,0.04,7564467.5,3358360
2026/01/05,2.3,2.32,2.19,2.21,2.3,-3.91,-0.09,1.0785242E7,4814795
2026/01/04,2.33,2.36,2.28,2.3,2.33,-1.29,-0.03,1.1683259E7,5022583
2025/12/31,2.34,2.41,2.33,2.33,2.34,-0.43,-0.01,2.7133828E7,11456699
2025/12/30,2.34,2.41,2.33,2.34,2.34,0.0,0.0,4.05423E7,17125470
2025/12/29,2.28,2.37,2.27,2.34,2.28,2.63,0.06,2.024949E7,8679925
2025/12/28,2.29,2.35,2.27,2.28,2.29,-0.44,-0.01,1.7926164E7,7786757
2025/12/25,2.33,2.36,2.27,2.29,2.33,-1.72,-0.04,1.3468115E7,5813684
2025/12/24,2.28,2.4,2.29,2.33,2.28,2.19,0.05,3.0595474E7,13039028
2025/12/23,2.36,2.38,2.27,2.28,2.36,-3.39,-0.08,3.2736698E7,14099817
2025/12/22,2.41,2.49,2.34,2.36,2.41,-2.07,-0.05,3.0788992E7,12802757
2025/12/21,2.47,2.5,2.39,2.41,2.47,-2.43,-0.06,2.0460462E7,8390127
2025/12/18,2.48,2.54,2.45,2.47,2.48,-0.4,-0.01,3.7075896E7,14837284
2025/12/17,2.46,2.62,2.44,2.48,2.46,0.81,0.02,1.02828936E8,40339303
2025/12/16,2.39,2.48,2.36,2.46,2.39,2.93,0.07,4.2743448E7,17629632
2025/12/15,2.46,2.48,2.37,2.39,2.46,-2.85,-0.07,2.8277528E7,11702175
2025/12/14,2.33,2.67,2.36,2.46,2.33,5.58,0.13,1.00938704E8,40154466
2025/12/11,2.3,2.39,2.24,2.33,2.3,1.3,0.03,4.3888716E7,19017145
2025/12/10,2.15,2.34,2.12,2.3,2.15,6.98,0.15,5.525758E7,24653688
2025/12/09,2.17,2.2,2.13,2.15,2.17,-0.92,-0.02,1.9203806E7,8882910
2025/12/08,2.07,2.24,2.08,2.17,2.07,4.83,0.1,7.5264856E7,34571335
2025/12/07,1.97,2.12,2.04,2.07,1.97,5.08,0.1,2.641709E7,12738241
2025/12/04,1.95,1.99,1.95,1.97,1.95,1.03,0.02,4341326.0,2205954
2025/12/03,1.98,2.02,1.94,1.95,1.98,-1.52,-0.03,4890807.5,2465861
2025/12/02,1.98,2.02,1.97,1.98,1.98,0.0,0.0,8382048.0,4194258
2025/12/01,1.96,2.04,1.96,1.98,1.96,1.02,0.02,6482451.0,3248944
2025/11/30,1.94,1.97,1.94,1.96,1.94,1.03,0.02,3196444.25,1633442
2025/11/27,1.91,1.95,1.91,1.94,1.91,1.57,0.03,3913186.0,2029295
2025/11/26,1.92,1.94,1.91,1.91,1.92,-0.52,-0.01,4782345.5,2488961
2025/11/25,1.96,1.99,1.91,1.92,1.96,-2.04,-0.04,5829341.5,2995847
2025/11/24,2.03,2.04,1.96,1.96,2.03,-3.45,-0.07,1.1085663E7,5564985
2025/11/23,1.93,2.07,1.9,2.03,1.93,5.18,0.1,4.1292124E7,20560809
2025/11/20,1.9,1.93,1.89,1.93,1.9,1.58,0.03,6434511.0,3360640
2025/11/19,1.89,1.9,1.88,1.9,1.89,0.53,0.01,2766971.0,1460249
2025/11/18,1.9,1.92,1.89,1.89,1.9,-0.53,-0.01,6576726.0,3453153
2025/11/17,1.91,1.95,1.9,1.9,1.91,-0.52,-0.01,6509859.0,3388161
2025/11/16,1.89,1.96,1.88,1.91,1.89,1.06,0.02,8031422.5,4191219
2025/11/13,1.89,1.9,1.88,1.89,1.89,0.0,0.0,5219168.0,2764103
2025/11/12,1.89,1.92,1.87,1.89,1.89,0.0,0.0,7276693.0,3843881
2025/11/11,1.93,1.95,1.89,1.89,1.93,-2.07,-0.04,1.3433558E7,7036915
2025/11/10,1.99,2.01,1.92,1.93,1.99,-3.02,-0.06,1.6027558E7,8230497
2025/11/09,1.96,2.02,1.96,1.99,1.96,1.53,0.03,8456715.0,4239728
2025/11/06,1.99,2.01,1.96,1.96,1.99,-1.51,-0.03,7642568.0,3852822
2025/11/05,2.03,2.05,1.98,1.99,2.03,-1.97,-0.04,1.0899181E7,5408228
2025/11/04,2.01,2.03,1.99,2.03,2.01,1.0,0.02,1.1339978E7,5636155
2025/11/03,1.98,2.01,1.96,2.01,1.98,1.52,0.03,7756486.0,3893112
2025/11/02,2.0,2.03,1.96,1.98,2.0,-1.0,-0.02,9138613.0,4574892
2025/10/30,2.0,2.02,1.98,2.0,2.0,0.0,0.0,1.1126889E7,5572517
2025/10/29,2.02,2.05,1.99,2.0,2.02,-0.99,-0.02,1.0258516E7,5084042
2025/10/28,2.08,2.1,2.0,2.02,2.08,-2.88,-0.06,2.0075312E7,9845243
2025/10/27,2.15,2.18,2.08,2.08,2.15,-3.26,-0.07,1.5728414E7,7425978
2025/10/26,2.06,2.16,2.06,2.15,2.06,4.37,0.09,2.4554762E7,11621867
2025/10/23,2.08,2.13,2.04,2.06,2.08,-0.96,-0.02,2.680234E7,12863133
2025/10/22,2.04,2.1,2.02,2.08,2.04,1.96,0.04,1.8659778E7,9061865
2025/10/21,2.06,2.07,2.0,2.04,2.06,-0.97,-0.02,2.0802352E7,10227682
2025/10/20,1.99,2.16,2.04,2.06,1.99,3.52,0.07,6.1249216E7,29194496
2025/10/19,1.93,2.0,1.94,1.99,1.93,3.11,0.06,1.5220112E7,7702805
2025/10/16,1.9,1.94,1.9,1.93,1.9,1.58,0.03,8826842.0,4582137
2025/10/15,1.88,1.9,1.87,1.9,1.88,1.06,0.02,5065504.0,2684141
2025/10/14,1.92,1.94,1.88,1.88,1.92,-2.08,-0.04,7429568.5,3892603
2025/10/13,1.93,1.94,1.91,1.92,1.93,-0.52,-0.01,3158979.0,1643371
2025/10/12,1.91,1.96,1.9,1.93,1.91,1.05,0.02,9091166.0,4701985
2025/10/08,1.93,1.95,1.9,1.91,1.93,-1.04,-0.02,1.3370823E7,6958901
2025/10/07,1.97,1.99,1.93,1.93,1.97,-2.03,-0.04,1.2171798E7,6251096
2025/10/06,1.99,2.05,1.97,1.97,1.99,-1.01,-0.02,1.7475702E7,8713513
2025/10/05,1.93,2.02,1.94,1.99,1.93,3.11,0.06,2.1246766E7,10663157
2025/10/02,1.87,1.96,1.88,1.93,1.87,3.21,0.06,1.8136314E7,9407620
2025/10/01,1.87,1.89,1.85,1.87,1.87,0.0,0.0,3347586.5,1790749
2025/09/30,1.88,1.9,1.87,1.87,1.88,-0.53,-0.01,5996927.0,3181708
2025/09/29,1.92,1.93,1.88,1.88,1.92,-2.08,-0.04,1.3349324E7,7026332
2025/09/28,1.84,1.94,1.85,1.92,1.84,4.35,0.08,2.4372308E7,12792057
2025/09/25,1.84,1.86,1.84,1.84,1.84,0.0,0.0,3625642.5,1963247
2025/09/24,1.81,1.84,1.81,1.84,1.81,1.66,0.03,4777979.0,2610493
2025/09/23,1.83,1.85,1.8,1.81,1.83,-1.09,-0.02,4264792.5,2337724
2025/09/22,1.83,1.85,1.82,1.83,1.83,0.0,0.0,4473045.0,2440563
2025/09/21,1.85,1.88,1.82,1.83,1.85,-1.08,-0.02,4579146.0,2481922
2025/09/18,1.86,1.88,1.85,1.85,1.86,-0.54,-0.01,4241548.0,2284306
2025/09/17,1.85,1.88,1.85,1.86,1.85,0.54,0.01,4230945.5,2272064
2025/09/16,1.91,1.93,1.84,1.85,1.91,-3.14,-0.06,1.3618438E7,7175208
2025/09/15,1.93,1.95,1.9,1.91,1.93,-1.04,-0.02,1.0524898E7,5469703
2025/09/14,1.93,1.97,1.91,1.93,1.93,0.0,0.0,1.4263287E7,7342728
2025/09/11,1.94,1.99,1.93,1.93,1.94,-0.52,-0.01,1.1169489E7,5709774
2025/09/10,1.93,1.96,1.92,1.94,1.93,0.52,0.01,7861695.0,4044928
2025/09/09,1.92,1.97,1.92,1.93,1.92,0.52,0.01,1.1642797E7,5974012
2025/09/08,1.91,1.98,1.91,1.92,1.91,0.52,0.01,1.6256565E7,8369040
2025/09/07,1.94,1.95,1.9,1.91,1.94,-1.55,-0.03,9848473.0,5120738
2025/09/03,1.98,2.01,1.93,1.94,1.98,-2.02,-0.04,1.7606142E7,9007556
2025/09/02,1.93,2.0,1.94,1.98,1.93,2.591,0.05,2.6468582E7,13407676
2025/09/01,1.93,1.95,1.92,1.93,1.93,0.0,0.0,1.1064638E7,5711115
2025/08/31,1.95,2.0,1.92,1.93,1.95,-1.026,-0.02,1.514324E7,7733344
2025/08/28,1.95,2.04,1.95,1.95,1.95,0.0,0.0,3.8953636E7,19671168
2025/08/27,2.01,2.03,1.95,1.95,2.01,-2.985,-0.06,2.4753442E7,12452215
2025/08/26,1.88,2.07,1.89,2.01,1.88,6.915,0.13,1.0403008E8,51864595
2025/08/25,1.88,1.9,1.85,1.88,1.88,0.0,0.0,1.0886524E7,5804953
