«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,222.65,226.5,220.07,220.22,222.65,-0.74,-1.65,2023707.13,9136
2026/01/12,223.23,226.59,222.1,222.65,223.23,-0.1,-0.23,1702095.63,7643
2026/01/11,223.98,228.9,222.01,223.23,223.98,0.79,1.77,2247876.0,9993
2026/01/08,224.98,239.8,223.85,223.98,224.98,-0.44,-1.0,1.581522E7,68754
2026/01/06,224.11,227.0,222.1,224.98,224.11,0.4,0.89,4.14449E7,184245
2026/01/05,225.71,225.7,222.65,224.11,225.71,-1.07,-2.41,622185.38,2779
2026/01/04,223.42,226.7,222.12,225.71,223.42,1.02,2.29,3330054.75,14765
2025/12/31,222.0,225.0,222.0,223.42,222.0,0.9,2.0,612487.13,2741
2025/12/30,221.96,225.99,221.0,222.0,221.96,0.42,0.94,4062681.0,18225
2025/12/29,220.27,223.69,220.27,221.96,220.27,0.79,1.73,2663548.0,12001
2025/12/28,221.54,224.7,220.0,220.27,221.54,-0.57,-1.27,1104094.25,4997
2025/12/25,223.01,225.0,221.5,221.54,223.01,-0.67,-1.5,2034006.13,9156
2025/12/24,226.58,226.6,222.0,223.01,226.58,-1.14,-2.58,3211843.25,14397
2025/12/23,222.06,226.6,222.01,226.58,222.06,2.04,4.54,3669133.5,16336
2025/12/22,226.31,228.0,221.5,222.06,226.31,-1.9,-4.31,6182632.0,27757
2025/12/21,224.89,230.25,222.22,226.31,224.89,0.63,1.42,4919199.0,21634
2025/12/18,221.45,225.5,221.45,224.89,221.45,1.55,3.44,4946575.0,22147
2025/12/17,222.05,225.0,215.51,221.45,222.05,-0.92,-2.05,3928578.5,17609
2025/12/16,224.04,225.99,218.0,222.05,224.04,-0.89,-1.99,5670759.0,25515
2025/12/15,225.95,228.0,221.01,224.04,225.95,-0.85,-1.91,2801369.75,12505
2025/12/14,226.32,233.0,223.16,225.95,226.32,-1.23,-2.79,3126359.5,13899
2025/12/11,215.19,232.9,215.2,226.32,215.19,5.17,11.13,2.2915784E7,100952
2025/12/10,221.63,221.8,211.77,215.19,221.63,-3.44,-7.63,1751053.13,8120
2025/12/09,203.3,222.99,203.0,221.63,203.3,9.02,18.33,1.5291981E7,70983
2025/12/08,204.26,209.75,202.95,203.3,204.26,0.26,0.53,1453799.5,7129
2025/12/07,205.63,207.0,203.0,204.26,205.63,-0.67,-1.37,419118.78,2049
2025/12/04,206.91,213.4,200.03,205.63,206.91,-0.58,-1.21,1751351.38,8551
2025/12/03,211.15,218.0,203.01,206.91,211.15,-2.01,-4.24,4841347.0,23136
2025/12/02,199.28,215.0,197.26,211.15,199.28,5.96,11.87,1.0723678E7,51172
2025/12/01,200.46,203.0,195.7,199.28,200.46,-0.23,-0.46,3495165.0,17657
2025/11/30,206.56,210.0,200.0,200.46,206.56,-2.95,-6.1,4877720.0,23881
2025/11/27,209.0,213.45,200.1,206.56,209.0,-1.17,-2.44,2640416.5,12807
2025/11/26,210.92,219.97,207.03,209.0,210.92,-0.91,-1.92,4683804.5,21965
2025/11/25,210.27,214.97,207.5,210.92,210.27,0.31,0.65,3157655.0,14980
2025/11/24,214.3,217.97,210.02,210.27,214.3,-1.91,-4.1,2015348.88,9519
2025/11/23,219.05,221.0,213.07,214.3,219.05,-2.17,-4.75,1950902.38,9083
2025/11/20,220.01,223.95,217.0,219.05,220.01,-0.05,-0.11,2231572.75,10222
2025/11/19,219.12,224.75,217.0,220.01,219.12,0.41,0.89,5123349.5,23181
2025/11/18,211.32,228.0,213.01,219.12,211.32,3.69,7.8,1.4450714E7,64790
2025/11/17,211.57,220.0,206.04,211.32,211.57,-0.12,-0.25,7066786.0,32830
2025/11/16,211.8,215.0,209.01,211.57,211.8,-0.11,-0.23,1330934.38,6287
2025/11/13,212.09,217.74,207.01,211.8,212.09,-0.14,-0.29,4011487.5,18940
2025/11/12,215.09,222.0,206.0,212.09,215.09,-1.44,-3.09,2309191.25,10843
2025/11/11,214.5,223.99,215.0,215.09,214.5,0.69,1.49,6374850.0,29219
2025/11/10,215.0,229.99,212.1,214.5,215.0,-0.23,-0.5,1.6857284E7,76231
2025/11/09,199.86,232.9,199.9,215.0,199.86,7.58,15.14,3.7760468E7,171462
2025/11/06,194.97,200.0,192.2,199.86,194.97,2.58,5.03,9144628.0,46289
2025/11/05,197.07,198.47,194.02,194.97,197.07,-1.05,-2.07,2948669.25,15062
2025/11/04,198.84,200.0,197.0,197.07,198.84,-0.77,-1.54,1830693.38,9249
2025/11/03,198.89,200.98,196.0,198.84,198.89,-0.03,-0.05,3990161.25,20099
2025/11/02,200.0,205.0,196.0,198.89,200.0,-0.56,-1.11,4046492.75,20380
2025/10/30,203.51,206.9,194.0,200.0,203.51,-1.72,-3.51,7370383.5,36757
2025/10/29,194.06,209.8,194.55,203.51,194.06,4.87,9.45,2.1723836E7,106667
2025/10/28,193.01,197.0,193.0,194.06,193.01,0.51,0.99,3474057.25,17925
2025/10/27,190.33,194.0,190.0,193.01,190.33,1.4,2.67,4616036.0,24006
2025/10/26,190.98,195.0,189.0,190.33,190.98,-0.34,-0.65,2198109.0,11470
2025/10/23,189.25,193.0,188.0,190.98,189.25,0.4,0.75,1482036.13,7796
2025/10/22,190.0,193.5,187.57,189.25,190.0,0.37,0.7,1606662.88,8438
2025/10/21,188.16,193.9,185.01,190.0,188.16,0.98,1.84,1977164.5,10450
2025/10/20,185.97,200.0,186.5,188.16,185.97,1.18,2.19,8037102.0,41909
2025/10/19,185.15,186.9,185.0,185.97,185.15,0.44,0.82,2790019.75,15006
2025/10/16,182.72,185.9,182.5,185.15,182.72,1.33,2.43,2.8186836E7,153124
2025/10/15,183.93,185.8,182.5,182.72,183.93,-0.66,-1.21,1469426.63,8014
2025/10/14,183.75,184.33,183.12,183.93,183.75,0.1,0.18,1.5905524E7,86656
2025/10/13,183.76,184.33,183.66,183.75,183.76,-0.05,-0.1,2126567.5,11572
2025/10/12,183.58,184.6,183.26,183.76,183.58,0.04,0.08,810718.5,4411
2025/10/08,183.83,184.6,183.12,183.58,183.83,-0.14,-0.25,1158730.38,6314
2025/10/07,183.94,185.0,183.7,183.83,183.94,-0.06,-0.11,4758235.5,25863
2025/10/06,183.04,184.0,183.07,183.94,183.04,0.2,0.36,1.118059E7,61003
2025/10/05,182.93,185.9,182.83,183.04,182.93,0.06,0.11,1197331.63,6538
2025/10/02,183.28,186.5,181.21,182.93,183.28,-0.26,-0.48,1182145.0,6453
2025/10/01,183.2,188.94,183.1,183.28,183.2,0.44,0.8,7926417.0,42625
2025/09/30,183.2,185.0,182.02,183.2,183.2,0.0,0.0,6082241.5,33122
2025/09/29,184.18,185.45,181.01,183.2,184.18,-0.53,-0.98,1007120.06,5502
2025/09/28,185.58,185.45,182.8,184.18,185.58,-0.07,-0.13,9824705.0,53671
