«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,27.52,27.8,27.01,27.16,27.52,-1.74,-0.48,1.3436277E7,493601
2026/01/12,28.22,28.44,27.06,27.52,28.22,-2.48,-0.7,4.6583344E7,1696166
2026/01/11,28.5,29.0,28.21,28.22,28.5,-0.98,-0.28,2.6170516E7,918664
2026/01/08,28.6,29.25,28.45,28.5,28.6,-0.35,-0.1,1.21928504E8,4197101
2026/01/06,28.2,28.65,27.91,28.6,28.2,1.42,0.4,4.2641644E7,1500838
2026/01/05,27.77,28.4,27.71,28.2,27.77,1.55,0.43,3.4899056E7,1242570
2026/01/04,27.5,28.0,27.4,27.77,27.5,0.98,0.27,2.5936148E7,936339
2025/12/31,27.13,27.77,27.05,27.5,27.13,1.36,0.37,1.5353191E7,560534
2025/12/30,26.8,27.49,26.65,27.13,26.8,1.23,0.33,3.1652808E7,1164350
2025/12/29,26.56,26.97,26.55,26.8,26.56,0.9,0.24,1.7800464E7,662936
2025/12/28,26.65,26.84,26.54,26.56,26.65,-0.34,-0.09,6591317.0,247377
2025/12/25,26.76,26.98,26.63,26.65,26.76,-0.41,-0.11,5967132.0,223210
2025/12/24,26.75,26.93,26.62,26.76,26.75,0.04,0.01,2.4613978E7,920565
2025/12/23,26.21,27.0,26.23,26.75,26.21,2.06,0.54,7.0395456E7,2642099
2025/12/22,25.55,26.48,25.6,26.21,25.55,2.58,0.66,6.97518E7,2673977
2025/12/21,25.59,25.89,25.35,25.55,25.59,-0.16,-0.04,1.40419472E8,5497259
2025/12/18,25.6,25.7,25.22,25.59,25.6,-0.04,-0.01,1.6625309E7,654322
2025/12/17,26.09,26.23,25.56,25.6,26.09,-1.88,-0.49,5.7197932E7,2211962
2025/12/16,25.71,26.45,25.63,26.09,25.71,1.48,0.38,4.2638248E7,1639894
2025/12/15,25.57,26.4,25.59,25.71,25.57,0.55,0.14,7.9061152E7,3049910
2025/12/14,25.58,25.82,25.41,25.57,25.58,-0.04,-0.01,2.2411742E7,875786
2025/12/11,25.3,25.8,25.22,25.58,25.3,1.11,0.28,4.6815076E7,1837417
