«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,20.05,20.68,19.0,19.05,20.05,-4.99,-1.0,7.7593272E7,3932161
2026/01/12,20.0,20.34,19.7,20.05,20.0,0.25,0.05,3.0140396E7,1504633
2026/01/11,19.25,20.19,19.2,20.0,19.25,3.9,0.75,7.338904E7,3707473
2026/01/08,18.9,20.0,18.9,19.25,18.9,1.85,0.35,5.3885656E7,2800504
2026/01/06,18.05,19.1,18.19,18.9,18.05,4.71,0.85,8.2133528E7,4361764
2026/01/05,17.65,18.7,16.69,18.05,17.65,3.06,0.54,1.7350088E8,9607895
2026/01/04,18.49,18.74,17.6,17.65,18.49,-4.54,-0.84,3.7698696E7,2118591
2025/12/31,18.38,19.0,17.9,18.49,18.38,0.6,0.11,3.2610652E7,1771023
2025/12/30,18.24,18.4,18.0,18.38,18.24,0.77,0.14,1.5601702E7,856345
2025/12/29,18.29,18.38,18.16,18.24,18.29,-0.27,-0.05,2.7574296E7,1512597
2025/12/28,17.7,18.39,17.74,18.29,17.7,3.33,0.59,2.282311E7,1262582
2025/12/25,17.84,18.03,17.45,17.53,17.84,-1.72,-0.31,1.5576086E7,874253
2025/12/24,17.83,18.3,17.73,17.84,17.83,0.06,0.01,1.4230428E7,788403
2025/12/23,17.43,17.83,17.45,17.83,17.43,2.27,0.4,4.1289292E7,2316803
2025/12/22,17.63,17.78,17.33,17.43,17.63,-1.12,-0.2,4.0105748E7,2256981
2025/12/21,17.53,17.83,17.53,17.63,17.53,0.56,0.1,1.5271843E7,857149
2025/12/18,17.74,18.73,17.43,17.53,17.74,-1.17,-0.21,3.0602556E7,1716397
2025/12/17,17.69,18.01,17.44,17.74,17.69,0.28,0.05,3.410044E7,1903741
2025/12/16,18.43,18.8,17.54,17.69,18.43,-3.98,-0.74,9.5078792E7,5234166
2025/12/15,18.43,19.33,18.38,18.43,18.43,0.0,0.0,6.5101764E7,3442282
2025/12/14,17.83,18.46,17.89,18.43,17.83,3.33,0.6,5.4783324E7,2970647
2025/12/11,17.83,18.33,17.83,17.83,17.83,0.0,0.0,7.57764E7,4146862
2025/12/10,17.48,18.05,17.43,17.83,17.48,1.98,0.35,1.43847456E8,7999478
2025/12/09,17.18,17.53,17.28,17.48,17.18,1.73,0.3,6.1990896E7,3515781
2025/12/08,16.91,17.43,16.92,17.18,16.91,1.58,0.27,4.7075788E7,2707244
2025/12/07,16.35,17.13,16.36,16.91,16.35,3.39,0.56,8.7314032E7,5132673
