«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,2.31,2.33,2.27,2.29,2.31,-0.87,-0.02,1.4094538E7,6133762
2026/01/12,2.4,2.43,2.28,2.31,2.4,-3.75,-0.09,2.53464E7,10785865
2026/01/11,2.43,2.44,2.38,2.4,2.43,-1.23,-0.03,1.0008736E7,4170290
2026/01/08,2.44,2.47,2.36,2.43,2.44,-0.41,-0.01,1.9946278E7,8292514
2026/01/06,2.41,2.45,2.39,2.44,2.41,1.24,0.03,1.4116418E7,5823303
2026/01/05,2.47,2.49,2.37,2.41,2.47,-2.43,-0.06,2.0227658E7,8332708
2026/01/04,2.51,2.53,2.44,2.47,2.51,-1.59,-0.04,1.4384689E7,5789138
2025/12/31,2.47,2.54,2.47,2.51,2.47,1.62,0.04,3.2288416E7,12919096
2025/12/30,2.49,2.52,2.45,2.47,2.49,-0.8,-0.02,2.5886624E7,10424425
2025/12/29,2.53,2.54,2.49,2.49,2.53,-1.58,-0.04,2.3922088E7,9534562
2025/12/28,2.48,2.6,2.49,2.53,2.48,2.02,0.05,1.13230424E8,44447551
2025/12/25,2.53,2.55,2.48,2.48,2.53,-1.98,-0.05,2.2622808E7,9013801
2025/12/24,2.52,2.61,2.52,2.53,2.52,0.397,0.01,4.6118924E7,18000100
2025/12/23,2.53,2.56,2.45,2.52,2.53,-0.395,-0.01,3.7690688E7,15102699
2025/12/22,2.39,2.56,2.37,2.53,2.39,5.858,0.14,1.406264E8,56596196
2025/12/21,2.38,2.43,2.36,2.39,2.38,0.42,0.01,1.6607222E7,6953361
2025/12/18,2.39,2.4,2.35,2.38,2.39,-0.418,-0.01,2.3408942E7,9847461
2025/12/17,2.45,2.48,2.38,2.39,2.45,-2.449,-0.06,3.231654E7,13305736
2025/12/16,2.46,2.52,2.42,2.45,2.46,-0.407,-0.01,4.5194604E7,18301357
2025/12/15,2.42,2.5,2.38,2.46,2.42,1.653,0.04,6.2910336E7,25651009
2025/12/14,2.39,2.48,2.39,2.42,2.39,1.255,0.03,4.98522E7,20488592
2025/12/11,2.27,2.43,2.27,2.39,2.27,5.286,0.12,8.5248416E7,35970943
2025/12/10,2.27,2.31,2.26,2.27,2.27,0.0,0.0,1.7785118E7,7793338
2025/12/09,2.26,2.34,2.26,2.27,2.26,0.442,0.01,3.4939372E7,15225945
2025/12/08,2.25,2.32,2.26,2.26,2.25,0.444,0.01,4.6444096E7,20356641
2025/12/07,2.19,2.28,2.2,2.25,2.19,2.74,0.06,1.678771E7,7495813
2025/12/04,2.23,2.26,2.19,2.19,2.23,-1.794,-0.04,1.6428735E7,7431690
2025/12/03,2.21,2.26,2.22,2.23,2.21,0.905,0.02,1.7825916E7,7959849
2025/12/02,2.18,2.27,2.18,2.21,2.18,1.376,0.03,2.283839E7,10249940
2025/12/01,2.17,2.23,2.16,2.18,2.17,0.461,0.01,2.342547E7,10664986
2025/11/30,2.18,2.23,2.16,2.17,2.18,-0.459,-0.01,2.8408396E7,12948260
2025/11/27,2.16,2.18,2.12,2.18,2.16,0.926,0.02,1.0316081E7,4779265
2025/11/26,2.19,2.2,2.14,2.16,2.19,-1.37,-0.03,2.2489142E7,10370168
2025/11/25,2.27,2.27,2.17,2.19,2.27,-3.524,-0.08,1.895366E7,8558622
2025/11/24,2.31,2.34,2.23,2.27,2.31,-1.732,-0.04,2.6814854E7,11829690
2025/11/23,2.25,2.37,2.26,2.31,2.25,2.667,0.06,3.294359E7,14217129
2025/11/20,2.25,2.31,2.24,2.25,2.25,0.0,0.0,1.9796614E7,8721404
2025/11/19,2.25,2.3,2.24,2.25,2.25,0.0,0.0,2.0176082E7,8912421
2025/11/18,2.33,2.35,2.23,2.25,2.33,-3.433,-0.08,1.9805242E7,8696034
2025/11/17,2.33,2.34,2.26,2.33,2.33,0.0,0.0,1.8825648E7,8167384
2025/11/16,2.31,2.37,2.32,2.33,2.31,0.866,0.02,3.5117276E7,14973461
2025/11/13,2.24,2.32,2.22,2.31,2.24,3.125,0.07,3.9102132E7,17265272
2025/11/12,2.27,2.3,2.24,2.24,2.27,-1.322,-0.03,2.6965654E7,11879836
2025/11/11,2.15,2.29,2.14,2.27,2.15,5.581,0.12,5.1289592E7,22987247
2025/11/10,2.17,2.21,2.13,2.15,2.17,-0.922,-0.02,2.4786258E7,11449151
2025/11/09,2.06,2.23,2.07,2.17,2.06,5.34,0.11,7.7936256E7,35650334
2025/11/06,2.05,2.12,2.04,2.06,2.05,0.488,0.01,2.8260206E7,13540439
2025/11/05,2.0,2.05,1.96,2.05,2.0,2.5,0.05,1.6432104E7,8197729
