«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/05,9.7,10.89,8.07,8.5,9.7,-12.37,-1.2,19546.41,2074
2025/12/31,9.4,10.94,9.4,9.7,9.4,3.19,0.3,13258.58,1361
2025/12/29,9.36,9.4,9.3,9.4,9.36,0.43,0.04,2589.47,277
2025/12/22,12.1,12.0,9.0,9.36,12.1,-22.639999,-2.74,16828.46,1863
2025/12/17,10.85,12.77,9.12,12.1,10.85,11.52,1.25,22611.87,2465
2025/12/15,10.95,10.95,9.0,10.95,10.95,-0.91,-0.1,371.1,37
2025/12/10,11.0,11.0,10.95,10.95,11.0,-0.45,-0.05,4764.25,435
2025/12/08,9.0,11.0,9.95,11.0,9.0,22.219999,2.0,42387.68,4124
2025/12/03,8.85,9.0,8.85,8.85,8.85,1.69,0.15,179.7,20
2025/12/01,8.85,9.0,8.85,8.85,8.85,0.0,0.0,14481.6,1629
2025/11/24,9.35,9.34,6.17,8.85,9.35,-5.35,-0.5,14638.37,1847
2025/11/19,9.35,9.35,9.35,9.35,9.35,0.0,0.0,1402.5,150
2025/11/17,9.34,9.87,9.34,9.35,9.34,0.11,0.01,1825.04,191
2025/11/12,9.33,10.0,9.34,9.34,9.33,0.11,0.01,4187.68,431
2025/11/10,10.1,10.4,9.33,9.33,10.1,-7.62,-0.77,3209.98,316
2025/11/05,10.45,10.44,10.1,10.45,10.45,-3.35,-0.35,658.72,65
2025/10/29,10.45,10.45,10.45,10.45,10.45,0.0,0.0,3124.55,299
2025/10/27,10.0,10.5,10.0,10.45,10.0,4.5,0.45,14775.94,1456
2025/10/22,10.0,10.0,10.0,10.0,10.0,0.0,0.0,9400.0,940
2025/10/20,10.5,10.0,10.0,10.0,10.5,-4.76,-0.5,1000.0,100
2025/10/15,10.49,10.5,5.7,10.5,10.49,0.1,0.01,12050.8,1204
2025/10/13,10.2,10.49,10.2,10.49,10.2,2.84,0.29,9598.49,941
2025/10/06,10.0,10.2,10.2,10.2,10.0,2.0,0.2,1550.4,152
2025/10/01,10.0,10.0,10.0,10.0,10.0,0.0,0.0,780.0,78
2025/09/29,10.3,10.73,10.0,10.0,10.3,-2.91,-0.3,9459.71,910
2025/09/24,10.0,10.3,10.3,10.3,10.0,3.0,0.3,10300.0,1000
2025/09/22,10.42,10.0,10.0,10.42,10.42,-4.03,-0.42,120.0,12
2025/09/17,10.73,10.5,10.42,10.42,10.73,-2.89,-0.31,1189.0,114
2025/09/15,10.0,10.73,10.05,10.73,10.0,7.3,0.73,1182.21,117
2025/09/10,10.0,10.0,10.0,10.0,10.0,0.0,0.0,350.0,35
2025/09/08,10.43,10.43,10.0,10.0,10.43,-4.12,-0.43,1149.89,114
2025/09/03,10.0,10.43,10.43,10.0,10.0,4.3,0.43,292.04,28
2025/09/01,10.0,10.0,10.0,10.0,10.0,0.0,0.0,40.0,4
2025/08/27,10.45,10.01,10.0,10.0,10.45,-4.31,-0.45,12950.3,1295
2025/08/25,10.0,10.45,10.45,10.0,10.0,4.5,0.45,52.25,5
2025/08/20,10.6,10.08,10.0,10.0,10.6,-5.66,-0.6,45228.46,4519
2025/08/18,10.48,10.6,10.02,10.6,10.48,1.15,0.12,2398.06,237
2025/08/11,10.48,10.48,10.48,10.48,10.48,0.0,0.0,1131.84,108
2025/08/06,10.01,10.48,10.0,10.01,10.01,4.7,0.47,260.96,26
