«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,0.651,0.66,0.621,0.621,0.651,-4.608,-0.03,2.2837854E7,35721360
2026/01/12,0.663,0.67,0.65,0.651,0.663,-1.81,-0.012,9042211.0,13741107
2026/01/11,0.66,0.675,0.662,0.663,0.66,0.455,0.003,1.1028321E7,16538508
2026/01/08,0.666,0.675,0.657,0.66,0.666,-0.901,-0.006,1.8012306E7,27191234
2026/01/06,0.666,0.679,0.664,0.666,0.666,0.0,0.0,1.3743313E7,20502301
2026/01/05,0.663,0.689,0.657,0.666,0.663,0.452,0.003,2.3253086E7,34607999
2026/01/04,0.673,0.68,0.662,0.663,0.673,-1.486,-0.01,1.843154E7,27490265
2025/12/31,0.643,0.749,0.644,0.673,0.643,4.666,0.03,1.04138928E8,151013079
2025/12/30,0.62,0.644,0.617,0.643,0.62,3.71,0.023,1.7515384E7,27710525
2025/12/29,0.612,0.623,0.606,0.62,0.612,1.307,0.008,1.2006978E7,19496274
2025/12/28,0.62,0.633,0.611,0.612,0.62,-1.29,-0.008,1.1445873E7,18438514
2025/12/25,0.64,0.642,0.617,0.62,0.64,-3.125,-0.02,1.3421791E7,21435294
2025/12/24,0.615,0.64,0.61,0.64,0.615,4.065,0.025,2.084864E7,33595174
2025/12/23,0.627,0.64,0.613,0.615,0.627,-1.914,-0.012,1.2889467E7,20719211
2025/12/22,0.642,0.651,0.625,0.627,0.642,-2.336,-0.015,1.5946739E7,24975264
2025/12/21,0.639,0.66,0.635,0.642,0.639,0.469,0.003,2.9261046E7,45140936
2025/12/18,0.616,0.639,0.61,0.639,0.616,3.734,0.023,3.4959596E7,55909774
2025/12/17,0.611,0.63,0.615,0.616,0.611,0.818,0.005,1.3198243E7,21264461
2025/12/16,0.614,0.627,0.605,0.611,0.614,-0.489,-0.003,2.7996074E7,45309984
2025/12/15,0.63,0.64,0.613,0.614,0.63,-2.54,-0.016,3.6865708E7,59439133
2025/12/14,0.633,0.65,0.628,0.63,0.633,-0.474,-0.003,2.4341244E7,38148547
2025/12/11,0.615,0.646,0.61,0.633,0.615,2.927,0.018,5.4035092E7,85328200
2025/12/10,0.566,0.62,0.557,0.615,0.566,8.657,0.049,6.0096936E7,102266807
2025/12/09,0.576,0.58,0.565,0.566,0.576,-1.736,-0.01,1.168604E7,20494677
2025/12/08,0.546,0.588,0.54,0.576,0.546,5.494,0.03,4.7842288E7,83672360
2025/12/07,0.561,0.566,0.532,0.546,0.561,-2.674,-0.015,1.9216094E7,35022046
2025/12/04,0.56,0.587,0.56,0.561,0.56,0.179,0.001,4.2304868E7,74097690
2025/12/03,0.51,0.565,0.508,0.56,0.51,9.804,0.05,1.00041512E8,182886549
2025/12/02,0.483,0.516,0.48,0.51,0.483,5.59,0.027,4.6097076E7,92319686
2025/12/01,0.472,0.491,0.471,0.483,0.472,2.331,0.011,2.8517624E7,58919147
2025/11/30,0.44,0.49,0.437,0.472,0.44,7.273,0.032,5.3882344E7,115234372
2025/11/27,0.444,0.45,0.434,0.44,0.444,-0.901,-0.004,1.3866557E7,31570646
2025/11/26,0.439,0.456,0.437,0.444,0.439,1.139,0.005,3.4428912E7,77361962
2025/11/25,0.435,0.45,0.427,0.439,0.435,0.92,0.004,3.8903804E7,89231106
2025/11/24,0.457,0.458,0.435,0.435,0.457,-4.814,-0.022,3.2354046E7,72828782
2025/11/23,0.417,0.457,0.421,0.457,0.417,9.592,0.04,4.4849508E7,102285803
2025/11/20,0.39,0.43,0.391,0.417,0.39,6.923,0.027,5.73003E7,137601982
2025/11/19,0.382,0.405,0.38,0.39,0.382,2.094,0.008,5.7337264E7,145560063
2025/11/18,0.381,0.387,0.374,0.382,0.381,0.262,0.001,8.3048192E7,218788430
2025/11/17,0.35,0.386,0.349,0.381,0.35,8.857,0.031,8.0129808E7,218406521
2025/11/16,0.349,0.362,0.349,0.35,0.349,0.287,0.001,5.9672984E7,168003922
2025/11/13,0.343,0.358,0.342,0.349,0.343,1.749,0.006,6.7501112E7,192200956
2025/11/12,0.342,0.352,0.341,0.343,0.342,0.292,0.001,3.0923964E7,89146175
2025/11/11,0.345,0.352,0.342,0.342,0.345,-0.87,-0.003,2.3374424E7,67287491
2025/11/10,0.348,0.352,0.343,0.345,0.348,-0.862,-0.003,2.2946842E7,66022377
2025/11/09,0.337,0.348,0.336,0.348,0.337,3.264,0.011,3.6449656E7,106179114
2025/11/06,0.337,0.344,0.33,0.337,0.337,0.0,0.0,3.6954984E7,109112682
2025/11/05,0.326,0.338,0.325,0.337,0.326,3.374,0.011,3.0804984E7,92447851
2025/11/04,0.323,0.333,0.321,0.326,0.323,0.929,0.003,1.2196164E7,37260404
2025/11/03,0.333,0.336,0.32,0.323,0.333,-3.003,-0.01,2.316115E7,71349094
2025/11/02,0.34,0.35,0.33,0.333,0.34,-2.059,-0.007,3.974312E7,117279474
2025/10/30,0.335,0.348,0.336,0.34,0.335,1.493,0.005,5.0531952E7,147327691
2025/10/29,0.332,0.341,0.329,0.335,0.332,0.904,0.003,2.713766E7,80660081
2025/10/28,0.336,0.34,0.328,0.332,0.336,-1.19,-0.004,1.9320514E7,57925176
2025/10/27,0.323,0.343,0.324,0.336,0.323,4.025,0.013,3.137674E7,93856207
2025/10/26,0.316,0.329,0.319,0.323,0.316,2.215,0.007,2.1517812E7,66321539
2025/10/23,0.314,0.32,0.313,0.316,0.314,0.637,0.002,1.5166555E7,47984410
2025/10/22,0.315,0.329,0.313,0.314,0.315,-0.317,-0.001,2.4746242E7,77317466
2025/10/21,0.319,0.322,0.311,0.315,0.319,-1.254,-0.004,2.057896E7,65375377
2025/10/20,0.33,0.337,0.312,0.319,0.33,-3.333,-0.011,2.462685E7,76614016
2025/10/19,0.318,0.342,0.319,0.33,0.318,3.774,0.012,5.3599448E7,161065404
2025/10/16,0.316,0.332,0.309,0.318,0.316,0.633,0.002,9.171272E7,287178021
