«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2025/11/30,0.671,0.672,0.665,0.67,0.671,-0.15,-0.001,9137123.41,286560
2025/11/27,0.675,0.677,0.67,0.671,0.675,-0.296,-0.002,216117.016,321566
2025/11/26,0.676,0.68,0.674,0.675,0.676,-0.148,-0.001,137164.781,202799
2025/11/25,0.676,0.681,0.675,0.676,0.676,-0.148,-0.001,84419.102,124550
2025/11/24,0.677,0.679,0.675,0.676,0.677,-0.295,-0.002,76943.836,113726
2025/11/23,0.68,0.681,0.676,0.677,0.68,-0.441,-0.003,253056.109,373854
2025/11/20,0.678,0.681,0.676,0.68,0.678,0.147,0.001,44867.73,66198
2025/11/19,0.679,0.68,0.677,0.678,0.679,-0.295,-0.002,31219.033,45981
2025/11/18,0.679,0.682,0.676,0.679,0.679,0.147,0.001,78627.359,115995
2025/11/17,0.692,0.693,0.679,0.679,0.692,-1.734,-0.012,1021056.313,1480344
2025/11/16,0.696,0.696,0.689,0.692,0.696,-0.718,-0.005,223933.438,324074
2025/11/13,0.697,0.698,0.695,0.696,0.697,0.0,0.0,48362.496,69444
2025/11/12,0.697,0.699,0.697,0.697,0.697,0.0,0.0,123567.305,177205
2025/11/11,0.703,0.703,0.696,0.697,0.703,-0.853,-0.006,214296.359,306916
2025/11/10,0.708,0.708,0.702,0.703,0.708,-0.847,-0.006,76766.695,108908
2025/11/09,0.708,0.708,0.706,0.708,0.708,-0.141,-0.001,66735.711,94413
2025/11/06,0.708,0.709,0.708,0.708,0.708,0.0,0.0,30301.199,42797
2025/11/05,0.71,0.709,0.708,0.708,0.71,-0.282,-0.002,34569.457,48814
2025/11/04,0.709,0.71,0.708,0.71,0.709,0.141,0.001,98759.539,139373
2025/11/03,0.709,0.71,0.709,0.709,0.709,0.0,0.0,70010.773,98691
2025/11/02,0.709,0.71,0.709,0.709,0.709,0.0,0.0,33338.723,46979
