«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2025/11/30,24.1,24.24,23.97,24.02,24.1,0.12,0.03,3.2253508E7,1341896
2025/11/27,24.21,24.3,24.0,24.1,24.21,-0.45,-0.11,2.8893642E7,1199746
2025/11/26,24.29,24.43,24.2,24.209999,24.29,-0.33,-0.08,2.3738018E7,978071
2025/11/25,24.61,24.72,24.25,24.290001,24.61,-1.3,-0.32,1.300736E8,5328631
2025/11/24,24.85,25.0,24.59,24.6,24.85,-0.97,-0.24,2.334881E7,942903
2025/11/23,24.7,24.9,24.71,24.860001,24.7,0.61,0.15,1.6669763E7,671298
2025/11/20,24.81,25.05,24.7,24.700001,24.81,-0.44,-0.11,2.3099704E7,929502
2025/11/19,24.88,25.1,24.75,24.82,24.88,-0.28,-0.07,1.7473704E7,701821
2025/11/18,25.03,25.2,24.86,24.889999,25.03,-0.6,-0.15,3.2653442E7,1307054
2025/11/17,25.4,25.5,24.93,24.98,25.4,-1.46,-0.37,6.8856312E7,2747075
2025/11/16,25.8,25.94,25.19,25.34,25.8,-1.55,-0.4,5.5979852E7,2191166
2025/11/13,25.8,25.94,25.76,25.82,25.8,0.0,0.0,4.1941864E7,1623689
2025/11/12,25.6,25.88,25.55,25.790001,25.6,0.78,0.2,8.1155072E7,3148850
2025/11/11,25.25,25.61,25.2,25.450001,25.25,1.39,0.35,3.337885E7,1312602
2025/11/10,25.4,25.5,25.0,25.200001,25.4,-0.59,-0.15,4.648506E7,1844319
2025/11/09,25.0,25.4,25.04,25.110001,25.0,1.6,0.4,8.98584E7,3570728
2025/11/06,25.53,25.53,25.0,25.059999,25.53,-2.08,-0.53,6.4733572E7,2563557
2025/11/05,25.81,25.99,25.2,25.34,25.81,-1.08,-0.28,4.60919E7,1798303
2025/11/04,26.0,26.18,25.7,25.799999,26.0,-0.73,-0.19,6.589694E7,2543459
2025/11/03,25.98,26.13,25.82,26.0,25.98,0.08,0.02,4.1120512E7,1579825
2025/11/02,26.14,26.36,25.79,25.98,26.14,-0.61,-0.16,3.3850008E7,1301906
2025/10/30,25.84,26.4,25.8,26.059999,25.84,1.16,0.3,8.8116464E7,3373901
2025/10/29,25.94,26.03,25.39,25.83,25.94,-0.39,-0.1,2.3552106E7,909465
2025/10/28,26.31,26.4,25.88,25.92,26.31,-1.41,-0.37,5.5679784E7,2135437
2025/10/27,26.26,26.5,26.26,26.309999,26.26,0.19,0.05,7.3263312E7,2773985
2025/10/26,26.15,26.5,26.18,26.200001,26.15,0.42,0.11,5.8922748E7,2234698
2025/10/23,26.0,26.35,26.07,26.299999,26.0,0.58,0.15,6.1518852E7,2345526
2025/10/22,25.89,26.15,25.8,26.0,25.89,0.42,0.11,5.0097048E7,1923208
2025/10/21,25.91,26.07,25.7,25.889999,25.91,-0.08,-0.02,3.3927408E7,1312974
2025/10/20,26.1,26.2,25.83,25.950001,26.1,-0.73,-0.19,8.1385104E7,3129878
2025/10/19,25.92,26.16,25.81,26.1,25.92,0.69,0.18,8.9232552E7,3429702
2025/10/16,25.5,25.97,25.46,25.950001,25.5,1.65,0.42,1.14219928E8,4416208
2025/10/15,25.7,25.89,25.47,25.5,25.7,-0.78,-0.2,4.2191784E7,1646524
2025/10/14,25.21,25.87,25.3,25.700001,25.21,1.94,0.49,9.1711032E7,3577166
2025/10/13,25.2,25.44,25.17,25.209999,25.2,0.04,0.01,5.82974E7,2310024
2025/10/12,25.06,25.39,24.8,25.200001,25.06,0.56,0.14,5.1116368E7,2026378
2025/10/08,25.14,25.25,24.85,25.040001,25.14,-0.32,-0.08,6.7298584E7,2689510
2025/10/07,25.18,25.28,25.0,25.120001,25.18,-0.16,-0.04,2.9809488E7,1189363
2025/10/06,25.33,25.5,25.15,25.17,25.33,-0.59,-0.15,3.70608E7,1460917
2025/10/05,24.78,25.45,24.79,25.35,24.78,2.22,0.55,1.03218832E8,4096531
2025/10/02,24.88,24.88,24.72,24.780001,24.88,-0.4,-0.1,7339095.5,295852
2025/10/01,24.82,25.19,24.82,24.879999,24.82,0.24,0.06,3.5288248E7,1411790
2025/09/30,24.7,24.89,24.6,24.809999,24.7,0.49,0.12,4.0399988E7,1629914
2025/09/29,24.6,24.9,24.51,24.6,24.6,0.41,0.1,4.1005096E7,1654491
2025/09/28,24.07,24.65,24.15,24.59,24.07,2.2,0.53,4.5259008E7,1852271
2025/09/25,24.18,24.3,24.01,24.07,24.18,-0.45,-0.11,7658205.0,317406
2025/09/24,23.8,24.4,23.81,24.190001,23.8,1.6,0.38,1.5138471E7,627670
2025/09/23,23.99,24.14,23.8,23.799999,23.99,-0.79,-0.19,1.0488161E7,437943
2025/09/22,23.91,24.1,23.8,23.99,23.91,0.0,0.0,8602282.0,359997
2025/09/21,23.89,24.18,23.7,23.91,23.89,0.08,0.02,2.1215158E7,888697
2025/09/18,23.86,24.25,23.84,23.889999,23.86,0.13,0.03,8741275.0,364027
2025/09/17,23.91,24.0,23.78,23.860001,23.91,-0.21,-0.05,9251353.0,387397
2025/09/16,24.31,24.89,23.77,23.91,24.31,-1.65,-0.4,1.689883E7,698105
2025/09/15,24.28,24.6,24.13,24.33,24.28,0.12,0.03,2.1843784E7,896836
2025/09/14,23.96,24.45,23.96,24.280001,23.96,1.34,0.32,1.7172078E7,707092
2025/09/11,24.0,24.17,23.92,23.959999,24.0,-0.17,-0.04,6806342.5,283230
2025/09/10,23.76,24.0,23.5,24.0,23.76,1.01,0.24,1.4428847E7,606946
2025/09/09,23.98,24.2,23.7,23.76,23.98,-0.92,-0.22,1.5835586E7,661971
2025/09/08,24.01,24.1,23.85,23.98,24.01,0.12,0.03,1.0883768E7,454363
2025/09/07,24.1,24.27,23.96,24.01,24.1,-0.37,-0.09,1.502201E7,623801
2025/09/03,24.26,24.44,24.01,24.1,24.26,-0.66,-0.16,1.0512608E7,434962
2025/09/02,24.33,24.55,24.26,24.280001,24.33,-0.29,-0.07,1.2966553E7,531352
2025/09/01,24.31,24.55,24.02,24.110001,24.31,0.08,0.02,1.2349967E7,509359
2025/08/31,24.99,25.05,24.2,24.59,24.99,-2.72,-0.68,3.077364E7,1244863
2025/08/28,25.07,25.3,24.89,24.92,25.07,-0.32,-0.08,1.5745714E7,628932
2025/08/27,25.34,25.4,25.05,25.07,25.34,-1.07,-0.27,2.1168536E7,838938
2025/08/26,25.52,25.65,25.28,25.34,25.52,-0.71,-0.18,5.3484224E7,2097999
2025/08/25,25.58,25.77,25.52,25.58,25.58,-0.23,-0.06,5.1492316E7,2008550
2025/08/24,24.91,25.62,24.95,25.59,24.91,2.69,0.67,1.12650584E8,4431632
2025/08/21,24.61,25.05,24.46,24.870001,24.61,1.22,0.3,4.1642544E7,1680049
2025/08/20,25.01,25.19,24.6,24.639999,25.01,-1.6,-0.4,2.783192E7,1119811
2025/08/19,24.87,25.05,24.76,25.01,24.87,0.56,0.14,5.1702028E7,2071443
2025/08/18,24.28,24.98,24.3,24.85,24.28,2.43,0.59,8.6467352E7,3488164
2025/08/17,23.88,24.38,23.9,24.27,23.88,1.68,0.4,2.1801576E7,899111
2025/08/14,24.17,24.35,23.88,23.91,24.17,-1.2,-0.29,1.6427558E7,683873
2025/08/13,23.81,24.33,23.8,24.17,23.81,1.51,0.36,5.5076412E7,2288945
2025/08/12,23.7,23.93,23.68,23.809999,23.7,0.46,0.11,1.6855342E7,708637
2025/08/11,23.7,24.1,23.65,23.719999,23.7,0.0,0.0,2.641812E7,1106381
2025/08/10,23.79,23.95,23.6,23.73,23.79,-0.38,-0.09,1.692195E7,714654
2025/08/07,23.8,23.95,23.71,23.74,23.8,-0.04,-0.01,2.0136402E7,845289
2025/08/06,23.98,24.17,23.71,23.73,23.98,-0.75,-0.18,2.146707E7,896594
2025/08/05,23.2,24.24,23.3,23.82,23.2,3.36,0.78,7.6923416E7,3215262
2025/08/04,23.01,23.39,23.01,23.1,23.01,0.83,0.19,1.1056367E7,477181
2025/08/03,23.01,23.12,22.89,23.01,23.01,0.0,0.0,1.0030844E7,436500
2025/07/31,22.8,23.13,22.84,23.01,22.8,0.92,0.21,1.1177433E7,486050
2025/07/30,23.1,23.32,22.8,22.91,23.1,0.0,-0.3,1.842831E7,798921
2025/07/29,23.03,23.45,23.0,23.09,23.03,0.3,0.07,2.0545646E7,887581
2025/07/28,23.19,23.65,23.03,23.08,23.19,-0.69,-0.16,3.3156526E7,1424954
2025/07/27,23.55,23.7,23.08,23.200001,23.55,-1.53,-0.36,7.5277472E7,3233086
2025/07/23,24.37,24.8,23.3,23.459999,24.37,-3.36,-0.82,6.31109E7,2647393
2025/07/22,24.32,24.58,24.35,24.4,24.32,0.2,0.08,9185213.0,375692
2025/07/21,24.56,24.72,24.32,24.36,24.56,-0.97,-0.2,2.5186452E7,1027184
2025/07/20,24.36,24.96,24.39,24.56,24.36,0.82,0.2,3.9045164E7,1579226
2025/07/17,24.53,24.73,23.8,24.36,24.53,-0.7,-0.17,2.7456246E7,1129894
2025/07/16,24.73,24.84,24.49,24.53,24.73,-0.81,-0.2,1.236303E7,501528
