«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,2.99,3.01,2.86,2.86,2.99,-4.35,-0.13,8.021056E7,27527308
2026/01/12,2.97,3.09,2.97,2.99,2.97,0.67,0.02,1.2029908E8,39590665
2026/01/11,3.0,3.05,2.94,2.97,3.0,-1.0,-0.03,8.5284456E7,28598082
2026/01/08,3.17,3.21,3.0,3.0,3.17,-5.36,-0.17,1.68909136E8,54793412
2026/01/06,3.1,3.36,3.12,3.17,3.1,2.26,0.07,2.85766688E8,88255284
2026/01/05,3.04,3.19,3.05,3.1,3.04,1.97,0.06,7.9953984E7,25575890
2026/01/04,3.11,3.23,3.04,3.04,3.11,-2.25,-0.07,6.818628E7,21925190
2025/12/31,2.85,3.3,2.86,3.11,2.85,9.12,0.26,2.40493456E8,76281306
2025/12/30,2.83,2.86,2.83,2.85,2.83,0.71,0.02,4665873.5,1637570
2025/12/29,2.86,2.88,2.83,2.83,2.86,-1.05,-0.03,7793914.5,2735917
2025/12/28,2.82,2.94,2.82,2.86,2.82,1.42,0.04,3.3718996E7,11662224
2025/12/25,2.82,2.85,2.81,2.82,2.82,0.0,0.0,4195615.0,1481034
2025/12/24,2.85,2.86,2.81,2.82,2.85,-1.05,-0.03,5256920.5,1857657
2025/12/23,2.76,2.86,2.75,2.85,2.76,3.26,0.09,1.29929E7,4607577
2025/12/22,2.75,2.78,2.75,2.76,2.75,0.36,0.01,5082738.0,1841352
2025/12/21,2.77,2.79,2.74,2.75,2.77,-0.72,-0.02,7036472.0,2546766
2025/12/18,2.81,2.82,2.77,2.77,2.81,-1.42,-0.04,8310359.5,2973936
2025/12/17,2.83,2.83,2.79,2.81,2.83,-0.71,-0.02,6131040.5,2180818
2025/12/16,2.85,2.89,2.82,2.83,2.85,-0.7,-0.02,9915488.0,3471175
2025/12/15,2.8,2.88,2.81,2.85,2.8,1.79,0.05,1.4887672E7,5232594
2025/12/14,2.79,2.83,2.78,2.8,2.79,0.36,0.01,6869043.0,2450960
2025/12/11,2.74,2.86,2.75,2.79,2.74,1.82,0.05,3.0588396E7,10859804
2025/12/10,2.76,2.77,2.74,2.74,2.76,-0.72,-0.02,5060593.0,1841217
2025/12/09,2.75,2.84,2.74,2.76,2.75,0.36,0.01,1.4988948E7,5384302
2025/12/08,2.78,2.79,2.75,2.75,2.78,-1.08,-0.03,4344686.0,1574768
2025/12/07,2.73,2.79,2.72,2.78,2.73,1.83,0.05,8380134.0,3039543
2025/12/04,2.74,2.76,2.72,2.73,2.74,-0.36,-0.01,6407594.5,2347730
2025/12/03,2.81,2.81,2.73,2.74,2.81,-2.49,-0.07,1.2774108E7,4630164
2025/12/02,2.69,2.81,2.69,2.81,2.69,4.46,0.12,4.5955944E7,16688434
2025/12/01,2.69,2.72,2.68,2.69,2.69,0.0,0.0,3948006.0,1463389
2025/11/30,2.69,2.71,2.67,2.69,2.69,0.0,0.0,4425125.5,1648344
2025/11/27,2.68,2.69,2.67,2.69,2.68,0.37,0.01,3842690.75,1432731
2025/11/26,2.69,2.74,2.67,2.68,2.69,-0.37,-0.01,8604502.0,3184029
2025/11/25,2.71,2.73,2.68,2.69,2.71,-0.74,-0.02,3726076.5,1378184
2025/11/24,2.67,2.71,2.67,2.71,2.67,1.5,0.04,1839934.0,682172
2025/11/23,2.7,2.72,2.67,2.67,2.7,-1.11,-0.03,5556481.0,2062078
2025/11/20,2.72,2.73,2.69,2.7,2.72,-0.74,-0.02,3855056.0,1425518
2025/11/19,2.71,2.74,2.7,2.72,2.71,0.37,0.01,5497298.0,2020846
2025/11/18,2.75,2.76,2.7,2.71,2.75,-1.45,-0.04,6077208.0,2236217
2025/11/17,2.77,2.81,2.75,2.75,2.77,-0.72,-0.02,6725514.0,2425843
2025/11/16,2.78,2.8,2.76,2.77,2.78,-0.36,-0.01,9452982.0,3398851
2025/11/13,2.81,2.83,2.76,2.78,2.81,-1.07,-0.03,9902309.0,3551713
2025/11/12,2.82,2.84,2.79,2.81,2.82,-0.35,-0.01,3991841.25,1420285
2025/11/11,2.82,2.86,2.81,2.82,2.82,0.0,0.0,5237399.5,1849076
2025/11/10,2.85,2.87,2.81,2.82,2.85,-1.05,-0.03,6030192.0,2123330
2025/11/09,2.86,2.94,2.85,2.85,2.86,-0.35,-0.01,2.0533002E7,7113243
2025/11/06,2.77,2.96,2.77,2.86,2.77,3.25,0.09,5.0374684E7,17485414
2025/11/05,2.8,2.81,2.76,2.77,2.8,-1.07,-0.03,4074843.5,1464492
2025/11/04,2.8,2.83,2.78,2.8,2.8,0.0,0.0,1.2853898E7,4587676
2025/11/03,2.81,2.84,2.79,2.8,2.81,-0.36,-0.01,5089731.5,1815862
2025/11/02,2.82,2.87,2.8,2.81,2.82,-0.71,-0.02,5213993.0,1835822
2025/10/30,2.8,2.86,2.79,2.82,2.8,0.71,0.02,7901817.0,2792865
2025/10/29,2.82,2.83,2.77,2.8,2.82,-0.71,-0.02,5899574.0,2115568
2025/10/28,2.82,2.85,2.79,2.82,2.82,0.0,0.0,4485739.5,1596561
2025/10/27,2.88,2.9,2.81,2.82,2.88,-2.08,-0.06,1.3034175E7,4600587
2025/10/26,2.85,2.93,2.85,2.88,2.85,1.05,0.03,1.3923803E7,4821489
2025/10/23,2.82,2.93,2.84,2.85,2.82,1.06,0.03,1.4902312E7,5153613
2025/10/22,2.8,2.94,2.81,2.82,2.8,0.71,0.02,1.9871014E7,6918396
2025/10/21,2.78,2.83,2.74,2.8,2.78,0.72,0.02,1.2195933E7,4376481
2025/10/20,2.91,2.93,2.78,2.78,2.91,-4.47,-0.13,1.64722E7,5796588
2025/10/19,2.75,3.04,2.76,2.91,2.75,5.82,0.16,4.8284584E7,16386442
2025/10/16,2.67,2.78,2.68,2.75,2.67,3.0,0.08,1.8772096E7,6816939
2025/10/15,2.68,2.69,2.67,2.67,2.68,0.37,0.01,4418069.5,1651298
2025/10/14,2.68,2.7,2.67,2.68,2.68,0.0,0.0,4582785.5,1711096
2025/10/13,2.69,2.71,2.67,2.68,2.69,-0.37,-0.01,3337961.5,1241064
2025/10/12,2.67,2.7,2.66,2.69,2.67,0.75,0.02,3931270.75,1467908
2025/10/08,2.67,2.69,2.66,2.67,2.67,0.0,0.0,2048631.75,766494
2025/10/07,2.67,2.71,2.66,2.67,2.67,0.0,0.0,2397265.25,893135
2025/10/06,2.7,2.7,2.67,2.67,2.7,-0.74,-0.02,2996558.75,1116031
2025/10/05,2.7,2.72,2.68,2.7,2.7,0.37,0.01,2510454.75,929484
2025/10/02,2.68,2.71,2.68,2.7,2.68,0.75,0.02,2521229.75,935325
2025/10/01,2.7,2.72,2.67,2.68,2.7,-0.74,-0.02,2498988.0,928317
2025/09/30,2.7,2.73,2.7,2.7,2.7,0.0,0.0,3350756.75,1236452
2025/09/29,2.67,2.71,2.66,2.7,2.67,1.12,0.03,3453093.25,1284207
2025/09/28,2.64,2.68,2.64,2.67,2.64,1.14,0.03,1793368.0,675152
2025/09/25,2.62,2.64,2.63,2.64,2.62,0.76,0.02,620706.5,235649
2025/09/24,2.63,2.64,2.61,2.62,2.63,0.0,0.0,1166726.88,444936
2025/09/23,2.64,2.65,2.62,2.63,2.64,-0.38,-0.01,900627.94,341358
2025/09/22,2.63,2.64,2.61,2.64,2.63,0.0,0.0,1479686.38,563235
2025/09/21,2.61,2.66,2.62,2.63,2.61,0.77,0.02,1245216.13,472875
2025/09/18,2.62,2.64,2.61,2.61,2.62,0.0,0.0,944456.44,360004
2025/09/17,2.64,2.65,2.6,2.62,2.64,-0.76,-0.02,2263721.25,865732
2025/09/16,2.67,2.68,2.6,2.64,2.67,-1.12,-0.03,2122082.75,807723
2025/09/15,2.67,2.7,2.66,2.67,2.67,0.0,0.0,1353093.5,506455
2025/09/14,2.7,2.71,2.66,2.67,2.7,-0.37,-0.01,1464214.63,545560
2025/09/11,2.7,2.71,2.69,2.7,2.7,0.0,0.0,1187399.38,440232
2025/09/10,2.7,2.71,2.67,2.7,2.7,0.0,0.0,1792701.25,666110
2025/09/09,2.7,2.73,2.69,2.7,2.7,0.0,0.0,1592117.88,589083
2025/09/08,2.7,2.73,2.69,2.7,2.7,0.0,0.0,2117120.25,783558
2025/09/07,2.72,2.75,2.69,2.7,2.72,-0.74,-0.02,2776415.25,1024891
2025/09/03,2.73,2.74,2.71,2.72,2.73,-0.37,-0.01,2376773.25,871518
2025/09/02,2.75,2.76,2.72,2.73,2.75,-0.727,-0.02,2423017.0,886938
2025/09/01,2.74,2.75,2.72,2.75,2.74,0.365,0.01,2875793.0,1049775
2025/08/31,2.75,2.76,2.73,2.74,2.75,-0.364,-0.01,3168143.25,1154318
2025/08/28,2.75,2.76,2.74,2.75,2.75,0.0,0.0,3041746.75,1107738
2025/08/27,2.74,2.76,2.73,2.75,2.74,0.365,0.01,2198908.25,801295
2025/08/26,2.75,2.77,2.73,2.74,2.75,-0.364,-0.01,3339140.75,1215953
2025/08/25,2.81,2.82,2.74,2.75,2.81,-2.135,-0.06,7465683.0,2695133
2025/08/24,2.8,2.87,2.79,2.81,2.8,0.357,0.01,3482744.75,1236916
2025/08/21,2.79,2.82,2.78,2.8,2.79,0.358,0.01,3977947.0,1422872
2025/08/20,2.85,2.88,2.77,2.79,2.85,-2.105,-0.06,7427925.5,2626004
2025/08/19,2.92,2.95,2.85,2.85,2.92,-2.397,-0.07,6130303.0,2113388
2025/08/18,2.87,3.02,2.88,2.92,2.87,1.742,0.05,3.1386758E7,10622376
2025/08/17,2.76,2.89,2.76,2.87,2.76,3.986,0.11,8216253.0,2891368
2025/08/14,2.77,2.82,2.75,2.76,2.77,-0.361,-0.01,3322464.25,1194620
2025/08/13,2.77,2.79,2.76,2.77,2.77,0.0,0.0,1720121.88,620665
2025/08/12,2.78,2.8,2.76,2.77,2.78,-0.36,-0.01,3175100.25,1143081
2025/08/11,2.78,2.82,2.76,2.78,2.78,-0.36,-0.01,4528887.5,1627578
2025/08/10,2.78,2.8,2.75,2.78,2.78,0.36,0.01,2326380.5,836672
2025/08/07,2.79,2.8,2.77,2.78,2.79,-0.36,-0.01,2441657.25,876199
2025/08/06,2.78,2.82,2.76,2.79,2.78,0.36,0.01,2165462.75,776257
2025/08/05,2.78,2.8,2.76,2.78,2.78,0.0,0.0,1687941.25,607171
2025/08/04,2.78,2.8,2.75,2.78,2.78,0.0,0.0,1783661.5,642316
2025/08/03,2.72,2.79,2.71,2.78,2.72,2.21,0.06,1905337.88,687761
2025/07/31,2.7,2.75,2.7,2.72,2.7,0.74,0.02,1979175.63,728812
2025/07/30,2.76,2.8,2.68,2.7,2.76,0.0,-0.06,2832490.75,1035365
2025/07/29,2.75,2.8,2.73,2.76,2.75,1.09,0.03,1577931.13,572013
2025/07/28,2.84,2.87,2.74,2.75,2.84,-3.17,-0.09,6360520.0,2274783
2025/07/27,2.83,2.87,2.83,2.84,2.83,0.35,0.01,3081117.5,1081655
2025/07/23,2.85,2.88,2.83,2.83,2.85,-0.7,-0.02,2505552.25,878990
2025/07/22,2.92,2.97,2.85,2.85,2.92,-2.4,-0.07,6988824.0,2411710
2025/07/21,2.99,3.03,2.92,2.92,2.99,-2.34,-0.07,1.2061301E7,4031294
2025/07/20,2.94,3.0,2.9,2.99,2.94,1.7,0.05,1.5918947E7,5369683
2025/07/17,2.91,2.94,2.85,2.94,2.91,1.03,0.03,3677135.5,1272711
2025/07/16,2.9,2.97,2.89,2.91,2.9,0.34,0.01,8571227.0,2923739
2025/07/15,2.89,2.99,2.9,2.9,2.89,0.35,0.01,2.3058132E7,7825428
2025/07/14,2.83,2.89,2.82,2.89,2.83,2.12,0.06,6571466.5,2301831
2025/07/13,2.86,2.88,2.83,2.83,2.86,-1.05,-0.03,3035920.75,1065243
2025/07/07,2.76,2.8,2.75,2.75,2.76,0.72,0.02,3955803.0,1425791
2025/07/06,2.74,2.79,2.73,2.76,2.74,0.73,0.02,3461426.25,1250568
