«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,2.31,2.32,2.25,2.26,2.31,-2.16,-0.05,1.4075901E7,6189367
2026/01/12,2.35,2.38,2.3,2.31,2.35,-1.7,-0.04,1.7990474E7,7688642
2026/01/11,2.29,2.36,2.29,2.35,2.29,2.62,0.06,2.0238368E7,8681578
2026/01/08,2.3,2.34,2.27,2.29,2.3,-0.43,-0.01,2.4921696E7,10799766
2026/01/06,2.36,2.38,2.29,2.3,2.36,-2.54,-0.06,5.4550708E7,23411214
2026/01/05,2.47,2.49,2.34,2.36,2.47,-4.45,-0.11,5.7852836E7,24060198
2026/01/04,2.6,2.68,2.44,2.47,2.6,-5.0,-0.13,8.5440952E7,33873427
2025/12/31,2.55,2.75,2.59,2.6,2.55,1.96,0.05,8.540012E7,32004592
2025/12/30,2.5,2.58,2.46,2.55,2.5,2.0,0.05,2.4194014E7,9588110
2025/12/29,2.5,2.55,2.47,2.5,2.5,0.0,0.0,1.709968E7,6840618
2025/12/28,2.45,2.55,2.45,2.5,2.45,2.04,0.05,2.3598082E7,9412636
2025/12/25,2.42,2.49,2.4,2.45,2.42,1.24,0.03,1.4764827E7,6024973
2025/12/24,2.44,2.49,2.41,2.42,2.44,-0.82,-0.02,1.8653524E7,7621254
2025/12/23,2.37,2.45,2.36,2.44,2.37,2.95,0.07,1.839918E7,7631778
2025/12/22,2.42,2.45,2.37,2.37,2.42,-2.07,-0.05,2.0518722E7,8552925
2025/12/21,2.32,2.5,2.36,2.42,2.32,4.31,0.1,4.2669052E7,17463489
2025/12/18,2.23,2.36,2.23,2.32,2.23,4.04,0.09,1.4947044E7,6441153
2025/12/17,2.26,2.28,2.23,2.23,2.26,-1.33,-0.03,4482568.0,1986279
2025/12/16,2.29,2.3,2.26,2.26,2.29,-1.31,-0.03,5924686.0,2605006
2025/12/15,2.32,2.38,2.25,2.29,2.32,-1.29,-0.03,9221824.0,4016276
2025/12/14,2.31,2.34,2.3,2.32,2.31,0.43,0.01,1.219496E7,5271304
2025/12/11,2.35,2.38,2.3,2.31,2.35,-1.7,-0.04,7923005.5,3404790
2025/12/10,2.36,2.42,2.35,2.35,2.36,-0.42,-0.01,1.2826179E7,5402766
2025/12/09,2.29,2.4,2.29,2.36,2.29,3.06,0.07,3.2584622E7,13785480
2025/12/08,2.3,2.35,2.28,2.29,2.3,-0.43,-0.01,1.5419723E7,6645476
2025/12/07,2.2,2.31,2.22,2.3,2.2,4.55,0.1,2.3220266E7,10173447
2025/12/04,2.24,2.27,2.19,2.2,2.24,-1.79,-0.04,1.271643E7,5710299
2025/12/03,2.24,2.33,2.24,2.24,2.24,0.0,0.0,3.2748596E7,14324117
2025/12/02,2.15,2.24,2.15,2.24,2.15,4.19,0.09,1.3156161E7,5961175
2025/12/01,2.19,2.2,2.15,2.15,2.19,-1.83,-0.04,3594426.5,1656527
2025/11/30,2.14,2.21,2.14,2.19,2.14,2.34,0.05,5477611.5,2501266
2025/11/27,2.13,2.15,2.13,2.14,2.13,0.47,0.01,1634691.13,763284
2025/11/26,2.14,2.17,2.12,2.13,2.14,-0.47,-0.01,3896252.75,1819273
2025/11/25,2.17,2.2,2.13,2.14,2.17,-1.38,-0.03,4344749.5,2016869
2025/11/24,2.17,2.19,2.16,2.17,2.17,0.0,0.0,3123270.5,1436743
2025/11/23,2.17,2.19,2.16,2.17,2.17,0.0,0.0,3413169.75,1569131
2025/11/20,2.19,2.21,2.17,2.17,2.19,-0.91,-0.02,6318573.0,2892623
2025/11/19,2.18,2.2,2.17,2.19,2.18,0.46,0.01,5094207.0,2330851
2025/11/18,2.2,2.23,2.17,2.18,2.2,-0.91,-0.02,6375765.0,2907456
