«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,41.45,42.95,40.41,41.36,41.45,-0.22,-0.09,518144.69,12566
2026/01/12,42.42,43.13,40.3,41.45,42.42,-1.6,-0.68,1342808.38,32907
2026/01/11,43.37,44.0,41.82,42.42,43.37,0.62,0.27,690270.38,16163
2026/01/08,44.21,45.86,42.53,43.37,44.21,-2.6,-1.15,384972.72,8821
2026/01/06,42.12,44.22,42.0,44.21,42.12,4.96,2.09,4618605.5,104647
2026/01/05,40.12,42.12,38.27,42.12,40.12,4.99,2.0,2719101.0,64893
2025/12/31,39.83,40.39,39.0,40.12,39.83,0.73,0.29,818253.13,20550
2025/12/30,40.1,41.47,39.0,39.83,40.1,-0.67,-0.27,967668.56,24202
2025/12/29,40.79,42.27,39.31,40.1,40.79,-1.69,-0.69,1142251.0,28258
2025/12/28,42.5,43.0,40.38,40.79,42.5,-4.02,-1.71,1.2433869E7,306011
2025/12/25,41.89,43.89,42.42,42.5,41.89,1.46,0.61,1699465.63,39798
2025/12/24,42.63,44.72,41.2,41.89,42.63,2.98,1.27,1961981.5,46305
2025/12/23,44.87,44.87,42.63,42.63,44.87,-4.99,-2.24,941320.88,21959
2025/12/22,44.75,45.5,42.65,44.87,44.75,0.27,0.12,5035684.5,114040
2025/12/21,47.0,47.0,44.65,44.75,47.0,-4.98,-2.34,3140430.25,70080
2025/12/18,48.85,50.99,46.7,47.0,48.85,-3.79,-1.85,6558644.0,136632
2025/12/17,49.42,51.7,47.07,48.85,49.42,-1.66,-0.82,1879753.13,37654
2025/12/16,47.07,49.42,48.01,49.42,47.07,4.99,2.35,5919287.0,119900
2025/12/15,44.83,47.07,44.5,47.07,44.83,5.0,2.24,4315498.5,91781
2025/12/14,42.7,44.83,44.83,44.83,42.7,4.99,2.13,3010558.75,67155
2025/12/11,41.36,43.32,40.6,42.7,41.36,0.46,0.19,762063.19,17966
2025/12/10,39.47,41.44,38.01,41.36,39.47,4.99,1.97,2889979.0,70286
2025/12/09,37.6,39.48,37.6,39.47,37.6,5.0,1.88,2113780.75,53765
2025/12/08,35.81,37.6,35.86,37.6,35.81,5.0,1.79,3704140.25,98596
2025/12/07,35.81,36.99,35.82,35.81,35.81,0.53,0.19,56907.91,1572
2025/12/04,36.27,36.99,35.81,35.81,36.27,-0.74,-0.27,3656020.75,101913
2025/12/03,36.0,36.9,35.71,36.27,36.0,0.28,0.1,400402.06,11019
2025/12/02,36.0,37.0,35.71,36.0,36.0,0.28,0.1,125988.53,3431
2025/12/01,36.0,37.45,35.26,36.0,36.0,-0.81,-0.29,178450.05,4866
2025/11/30,36.0,37.49,35.53,36.0,36.0,2.22,0.8,207461.41,5741
2025/11/27,35.22,36.8,35.16,36.0,35.22,2.21,0.78,332946.25,9243
2025/11/26,36.96,37.24,35.16,35.22,36.96,-4.87,-1.8,1194692.63,33166
2025/11/25,38.12,37.95,36.6,36.96,38.12,-2.94,-1.12,529803.75,14324
2025/11/24,38.12,38.96,36.53,38.12,38.12,-4.17,-1.59,98615.29,2660
2025/11/23,37.17,38.87,36.1,38.12,37.17,2.56,0.95,4352646.5,117282
2025/11/20,35.97,37.76,35.01,37.17,35.97,3.34,1.2,604570.75,16353
2025/11/19,37.86,37.63,35.97,35.97,37.86,-4.99,-1.89,9476161.0,263439
2025/11/18,37.86,37.86,35.97,37.86,37.86,0.0,0.0,218231.88,6067
2025/11/17,39.85,37.86,37.86,37.86,39.85,-4.99,-1.99,476089.5,12575
2025/11/16,39.85,37.86,37.86,39.85,39.85,-4.99,-1.99,46832.82,1237
2025/11/13,39.0,40.0,37.5,39.85,39.0,2.44,0.95,1226363.0,31698
2025/11/12,39.0,39.6,38.5,39.0,39.0,0.0,0.0,204838.06,5204
2025/11/11,39.9,39.98,38.71,39.0,39.9,-1.03,-0.41,305007.72,7819
2025/11/10,39.34,40.2,39.37,39.9,39.34,1.65,0.65,368196.06,9224
2025/11/09,39.34,40.0,39.0,39.34,39.34,1.63,0.64,285129.09,7299
