«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,8.0,8.03,7.77,7.8,8.0,-2.5,-0.2,9022919.0,1148707
2026/01/12,8.18,8.24,7.95,8.0,8.18,-2.2,-0.18,1.687761E7,2089963
2026/01/11,8.1,8.19,8.1,8.18,8.1,0.99,0.08,8089873.0,993845
2026/01/08,8.16,8.2,8.1,8.1,8.16,-0.74,-0.06,7196746.0,884862
2026/01/06,8.12,8.2,8.12,8.16,8.12,0.49,0.04,7189310.0,880790
2026/01/05,8.17,8.24,8.11,8.12,8.17,-0.61,-0.05,1.3496982E7,1654683
2026/01/04,8.37,8.4,8.15,8.17,8.37,-2.39,-0.2,1.817802E7,2207258
2025/12/31,8.37,8.51,8.36,8.37,8.37,0.0,0.0,1.3010044E7,1540775
2025/12/30,8.44,8.44,8.34,8.37,8.44,-0.83,-0.07,1.0781257E7,1285203
2025/12/29,8.46,8.53,8.41,8.44,8.46,-0.24,-0.02,1.0290031E7,1215734
2025/12/28,8.36,8.6,8.4,8.46,8.36,1.2,0.1,2.2207024E7,2611531
2025/12/25,8.34,8.43,8.3,8.36,8.34,0.24,0.02,7374607.5,881354
2025/12/24,8.32,8.45,8.25,8.34,8.32,0.24,0.02,1.4958619E7,1787130
2025/12/23,8.21,8.32,8.15,8.32,8.21,1.34,0.11,2.0332702E7,2463934
2025/12/22,8.21,8.31,8.17,8.21,8.21,0.0,0.0,9330239.0,1131143
2025/12/21,8.23,8.31,8.18,8.21,8.23,-0.24,-0.02,9830726.0,1195057
2025/12/18,8.25,8.3,8.21,8.23,8.25,-0.24,-0.02,1.2338425E7,1496527
2025/12/17,8.37,8.41,8.25,8.25,8.37,-1.43,-0.12,8766379.0,1052605
2025/12/16,8.37,8.47,8.34,8.37,8.37,0.0,0.0,1.4019248E7,1668016
2025/12/15,8.45,8.56,8.35,8.37,8.45,-0.95,-0.08,1.8048962E7,2132604
2025/12/14,8.22,8.47,8.21,8.45,8.22,2.8,0.23,2.6928296E7,3224855
2025/12/11,8.3,8.35,8.21,8.22,8.3,-0.96,-0.08,1.5945191E7,1926854
2025/12/10,8.3,8.47,8.3,8.3,8.3,0.0,0.0,1.8173252E7,2175840
