«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,1.08,1.09,1.05,1.06,1.08,-1.852,-0.02,1517460.0,1413657
2026/01/12,1.06,1.09,1.05,1.08,1.06,0.943,0.01,825722.0,768885
2026/01/11,1.05,1.08,1.06,1.06,1.05,1.905,0.02,588169.813,551630
2026/01/08,1.08,1.11,1.05,1.05,1.08,-0.926,-0.01,2781531.5,2604724
2026/01/06,1.08,1.1,1.07,1.08,1.08,0.926,0.01,1722014.5,1585075
2026/01/05,1.11,1.12,1.08,1.08,1.11,-2.703,-0.03,4007110.25,3669212
2026/01/04,1.11,1.13,1.1,1.11,1.11,0.0,0.0,1717766.5,1540263
2025/12/31,1.11,1.14,1.11,1.11,1.11,0.0,0.0,1386477.625,1232900
2025/12/30,1.12,1.13,1.1,1.11,1.12,0.893,0.01,500785.094,449907
2025/12/29,1.14,1.16,1.11,1.12,1.14,-1.754,-0.02,1647286.625,1461896
2025/12/28,1.14,1.17,1.13,1.14,1.14,0.0,0.0,1903024.875,1664941
2025/12/25,1.13,1.16,1.13,1.14,1.13,0.885,0.01,1215735.25,1063116
2025/12/24,1.13,1.15,1.12,1.13,1.13,0.88,0.01,1426840.5,1251768
2025/12/23,1.14,1.16,1.11,1.13,1.14,-0.88,-0.01,1745216.63,1538293
2025/12/22,1.16,1.17,1.13,1.14,1.16,-1.72,-0.02,1571419.75,1367438
2025/12/21,1.16,1.19,1.15,1.16,1.16,0.0,0.0,2099397.5,1791199
2025/12/18,1.17,1.21,1.15,1.16,1.17,-1.71,-0.02,1634574.75,1387261
2025/12/17,1.12,1.17,1.12,1.17,1.12,4.46,0.05,3462788.5,2969347
2025/12/16,1.15,1.15,1.12,1.12,1.15,-2.61,-0.03,2055731.75,1813990
2025/12/15,1.16,1.16,1.13,1.15,1.16,-1.72,-0.02,1863999.25,1622947
2025/12/14,1.17,1.19,1.15,1.16,1.17,-0.85,-0.01,1490365.5,1288709
2025/12/11,1.12,1.17,1.09,1.17,1.12,4.46,0.05,6931742.5,6028378
2025/12/10,1.14,1.16,1.1,1.12,1.14,-1.75,-0.02,2235026.0,1989135
2025/12/09,1.14,1.19,1.14,1.14,1.14,1.75,0.02,8656081.0,7459927
2025/12/08,1.09,1.14,1.14,1.14,1.09,4.59,0.05,419150.63,367676
2025/12/07,1.04,1.09,1.09,1.09,1.04,4.81,0.05,755619.63,693229
