«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,9.48,9.59,9.15,9.2,9.48,-2.95,-0.28,2.4842972E7,2671756
2026/01/12,9.53,9.69,9.46,9.48,9.53,-0.52,-0.05,2.9530748E7,3080464
2026/01/11,9.49,9.69,9.4,9.53,9.49,0.42,0.04,5.8587808E7,6124784
2026/01/08,9.41,9.5,9.41,9.49,9.41,0.85,0.08,7760147.5,821020
2026/01/06,9.3,9.49,9.31,9.41,9.3,1.18,0.11,7642171.0,810177
2026/01/05,9.46,9.55,9.17,9.3,9.46,-1.69,-0.16,2.072481E7,2205586
2026/01/04,9.7,9.7,9.46,9.46,9.7,-2.47,-0.24,9817607.0,1030535
2025/12/31,9.56,9.7,9.5,9.7,9.56,1.46,0.14,1.6055408E7,1669619
2025/12/30,9.73,9.7,9.5,9.56,9.73,-1.75,-0.17,2.2029142E7,2301521
2025/12/29,9.75,9.74,9.56,9.73,9.75,-0.21,-0.02,1.3614744E7,1413156
2025/12/28,9.7,9.78,9.48,9.75,9.7,0.52,0.05,1.8589788E7,1928600
2025/12/25,9.6,9.7,9.4,9.7,9.6,1.04,0.1,3.4591588E7,3635643
2025/12/24,9.6,9.65,9.44,9.6,9.6,-0.63,-0.06,2.4319934E7,2554860
2025/12/23,9.8,9.88,9.48,9.6,9.8,-1.84,-0.18,4.1937432E7,4356068
2025/12/22,9.65,9.9,9.65,9.8,9.65,1.55,0.15,1.9269868E7,1965942
2025/12/21,9.4,9.67,9.42,9.65,9.4,2.66,0.25,1.0373229E7,1079822
2025/12/18,9.7,9.75,9.4,9.4,9.7,-3.09,-0.3,3.9501908E7,4137308
2025/12/17,9.75,9.82,9.67,9.7,9.75,-0.51,-0.05,1.2462881E7,1281104
2025/12/16,10.03,10.08,9.74,9.75,10.03,-2.79,-0.28,1.855738E7,1883825
2025/12/15,9.8,10.06,9.8,10.03,9.8,2.35,0.23,1.11975504E8,11207363
2025/12/14,9.85,9.94,9.65,9.8,9.85,-0.51,-0.05,3.7109292E7,3787481
2025/12/11,10.0,10.15,9.41,9.85,10.0,-1.5,-0.15,7.8304448E7,7843745
2025/12/10,9.9,10.05,9.81,10.0,9.9,1.01,0.1,2.11022608E8,21226394
2025/12/09,9.71,9.95,9.6,9.9,9.71,1.96,0.19,9.4906424E7,9703231
2025/12/08,9.36,9.73,9.31,9.71,9.36,3.74,0.35,1.5249456E8,15920290
2025/12/07,9.15,9.37,9.13,9.36,9.15,2.3,0.21,1.9568538E7,2116843
2025/12/04,9.15,9.27,9.06,9.15,9.15,0.0,0.0,5.2935616E7,5775544
2025/12/03,8.98,9.22,8.99,9.15,8.98,1.89,0.17,5.424282E7,5919289
2025/12/02,8.99,9.13,8.98,8.98,8.99,-0.11,-0.01,4.1699452E7,4620716
2025/12/01,9.0,9.17,8.95,8.99,9.0,-0.11,-0.01,2.9745926E7,3280075
2025/11/30,8.9,9.11,8.91,9.0,8.9,1.12,0.1,2.7626976E7,3058353
2025/11/27,8.8,9.02,8.8,8.9,8.8,1.14,0.1,3.5412344E7,3979237
2025/11/26,9.05,9.22,8.8,8.8,9.05,-2.76,-0.25,4.6844724E7,5210447
2025/11/25,9.15,9.36,9.01,9.05,9.15,-1.09,-0.1,2.4527258E7,2678524
2025/11/24,9.35,9.42,9.1,9.15,9.35,-2.14,-0.2,4.472036E7,4847997
2025/11/23,9.4,9.56,9.35,9.35,9.4,-0.53,-0.05,3.0115356E7,3192546
2025/11/20,9.49,9.55,9.32,9.4,9.49,-0.95,-0.09,1.177647E7,1247741
2025/11/19,9.35,9.56,9.23,9.49,9.35,1.5,0.14,2.7096764E7,2874557
2025/11/18,9.7,9.8,9.35,9.35,9.7,-3.61,-0.35,6.9078632E7,7235065
2025/11/17,9.85,10.1,9.7,9.7,9.85,-1.52,-0.15,1.05533424E8,10682400
2025/11/16,10.0,10.08,9.82,9.85,10.0,-1.5,-0.15,5.0188972E7,5064893
2025/11/13,10.11,10.19,10.0,10.0,10.11,-1.09,-0.11,4.6782136E7,4656785
2025/11/12,10.05,10.24,10.03,10.11,10.05,0.6,0.06,2.9864318E7,2945868
2025/11/11,10.26,10.33,10.02,10.05,10.26,-2.05,-0.21,2.8965948E7,2848737
2025/11/10,10.36,10.54,10.25,10.26,10.36,-0.97,-0.1,5.5835736E7,5387451
2025/11/09,10.1,10.58,10.0,10.36,10.1,2.57,0.26,1.58536912E8,15310373
2025/11/06,10.05,10.22,9.98,10.1,10.05,0.5,0.05,5.962542E7,5903794
2025/11/05,10.11,10.28,9.9,10.05,10.11,-0.59,-0.06,7.0417952E7,7019533
2025/11/04,10.18,10.33,9.97,10.11,10.18,-0.69,-0.07,1.27742776E8,12625855
2025/11/03,9.7,10.24,9.6,10.18,9.7,4.95,0.48,1.87667776E8,18713274
2025/11/02,9.8,9.9,9.55,9.7,9.8,-1.02,-0.1,8.3284544E7,8582687
2025/10/30,9.88,10.18,9.64,9.8,9.88,-0.81,-0.08,2.39181664E8,23964764
2025/10/29,9.5,9.9,9.47,9.88,9.5,4.0,0.38,9.6683328E7,9909058
2025/10/28,9.7,9.8,9.46,9.5,9.7,-2.06,-0.2,5.8830696E7,6094074
2025/10/27,9.6,9.8,9.55,9.7,9.6,1.04,0.1,9.3196544E7,9624068
2025/10/26,8.98,9.61,8.98,9.6,8.98,6.9,0.62,1.65065136E8,17468322
2025/10/23,9.01,9.09,8.95,8.98,9.01,-0.33,-0.03,2.135162E7,2372758
2025/10/22,9.04,9.12,8.98,9.01,9.04,-0.33,-0.03,2.09495E7,2318604
2025/10/21,9.05,9.15,8.93,9.04,9.05,-0.11,-0.01,5.1868632E7,5732750
2025/10/20,9.1,9.2,8.95,9.05,9.1,-0.55,-0.05,4.2182976E7,4665006
2025/10/19,9.1,9.15,9.08,9.1,9.1,0.0,0.0,1.8472202E7,2027796
2025/10/16,9.13,9.15,9.05,9.1,9.13,-0.33,-0.03,1.4171091E7,1557773
2025/10/15,9.15,9.2,9.0,9.13,9.15,-0.22,-0.02,1.6626283E7,1832297
2025/10/14,9.25,9.38,9.0,9.15,9.25,-1.08,-0.1,4.9230628E7,5398529
2025/10/13,9.2,9.4,9.2,9.25,9.2,0.54,0.05,9.463916E7,10173393
2025/10/12,9.1,9.28,8.99,9.2,9.1,1.1,0.1,7.435704E7,8145157
2025/10/08,9.1,9.17,8.93,9.1,9.1,0.0,0.0,5.0663316E7,5609364
2025/10/07,8.71,9.25,8.75,9.1,8.71,4.48,0.39,2.13628064E8,23655480
2025/10/06,8.6,8.72,8.59,8.71,8.6,1.28,0.11,3.516604E7,4076370
2025/10/05,8.54,8.72,8.56,8.6,8.54,0.7,0.06,2.7909654E7,3219788
2025/10/02,8.7,8.8,8.54,8.54,8.7,-1.84,-0.16,2.7554618E7,3181708
2025/10/01,8.76,8.9,8.65,8.7,8.76,-0.68,-0.06,1.59825456E8,18174578
2025/09/30,8.58,8.8,8.47,8.76,8.58,2.1,0.18,1.14153248E8,13173845
2025/09/29,8.1,8.6,8.12,8.58,8.1,5.93,0.48,1.8154504E8,21762565
2025/09/28,8.16,8.39,8.09,8.1,8.16,-0.74,-0.06,5.4859148E7,6711385
2025/09/25,8.12,8.22,8.13,8.16,8.12,0.49,0.04,1.2199441E7,1491692
2025/09/24,8.02,8.2,8.05,8.12,8.02,1.25,0.1,1.8479932E7,2271667
2025/09/23,8.14,8.26,7.95,8.02,8.14,-1.47,-0.12,2.0580172E7,2540294
2025/09/22,8.03,8.25,8.07,8.14,8.03,1.37,0.11,1.1606976E7,1420230
2025/09/21,8.18,8.26,8.02,8.03,8.18,-1.83,-0.15,1.0101465E7,1238111
2025/09/18,8.2,8.27,8.17,8.18,8.2,-0.24,-0.02,9860903.0,1199878
2025/09/17,8.15,8.25,8.12,8.2,8.15,0.61,0.05,1.2061236E7,1471069
2025/09/16,8.3,8.39,8.05,8.15,8.3,-1.81,-0.15,2.9027454E7,3553296
2025/09/15,8.48,8.59,8.27,8.3,8.48,-2.12,-0.18,4.5551696E7,5428302
2025/09/14,8.47,8.63,8.44,8.48,8.47,0.12,0.01,2.616964E7,3072835
2025/09/11,8.5,8.55,8.4,8.47,8.5,-0.35,-0.03,1.6508305E7,1947957
