«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,33.84,34.25,33.0,33.14,33.84,-2.07,-0.7,6549679.0,195939
2026/01/12,34.86,35.32,33.75,33.84,34.86,-2.93,-1.02,7093305.0,206063
2026/01/11,35.64,37.0,34.51,34.86,35.64,-2.19,-0.78,9271452.0,257687
2026/01/08,36.9,37.0,35.47,35.64,36.9,-3.41,-1.26,8879199.0,244600
2026/01/06,35.28,39.55,35.37,36.9,35.28,4.59,1.62,8.7445232E7,2333653
2026/01/05,35.26,35.3,34.0,35.28,35.26,0.06,0.02,7574319.0,217549
2026/01/04,33.24,35.44,33.25,35.26,33.24,6.08,2.02,6914001.0,198640
2025/12/31,33.6,33.89,33.2,33.24,33.6,-1.07,-0.36,2239582.5,67193
2025/12/30,33.56,33.89,33.36,33.6,33.56,0.36,0.12,1978193.88,58990
2025/12/29,33.86,33.85,33.36,33.56,33.86,-0.89,-0.3,1987847.75,59316
2025/12/28,34.07,34.38,33.4,33.86,34.07,-0.56,-0.19,5725773.0,169617
2025/12/25,34.45,34.95,34.05,34.07,34.45,-1.1,-0.38,2844499.5,83075
2025/12/24,35.0,35.49,34.1,34.45,35.0,-1.57,-0.55,4159478.75,120419
2025/12/23,34.56,35.1,34.4,35.0,34.56,1.27,0.44,4222801.5,121468
2025/12/22,35.17,35.69,34.5,34.56,35.17,-1.73,-0.61,1161627.25,33285
2025/12/21,34.64,35.7,34.62,35.17,34.64,2.19,0.76,1136310.5,32298
2025/12/18,35.19,35.76,34.57,34.64,35.19,-1.56,-0.55,3659773.5,104095
2025/12/17,34.7,35.39,34.24,35.19,34.7,1.93,0.67,2579441.75,73774
2025/12/16,35.89,36.49,34.0,34.7,35.89,-3.32,-1.19,6711114.0,192528
2025/12/15,37.35,37.72,35.6,35.89,37.35,-3.91,-1.46,7.0292544E7,1890710
2025/12/14,37.51,37.95,37.07,37.35,37.51,-0.43,-0.16,4307851.5,115472
2025/12/11,37.3,37.97,37.12,37.51,37.3,0.56,0.21,2937244.0,78454
2025/12/10,37.53,37.95,37.12,37.3,37.53,-0.61,-0.23,3766329.75,100989
2025/12/09,37.11,38.3,37.31,37.53,37.11,1.13,0.42,8456503.0,224337
2025/12/08,37.3,38.68,37.0,37.11,37.3,-0.51,-0.19,1.1963238E7,318861
