«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,1.17,1.14,1.12,1.17,1.17,-4.274,-0.05,107539.961,95458
2026/01/12,1.17,1.15,1.13,1.17,1.17,-3.419,-0.04,365.23,323
2026/01/11,1.17,1.15,1.12,1.17,1.17,-3.419,-0.04,8114.15,7064
2026/01/08,1.17,1.15,1.12,1.17,1.17,-1.709,-0.02,122229.844,109087
2026/01/06,1.17,1.16,1.12,1.17,1.17,-0.855,-0.01,8408.96,7425
2026/01/05,1.17,1.17,1.12,1.17,1.17,-4.274,-0.05,19957.43,17588
2026/01/04,1.17,1.16,1.12,1.17,1.17,-4.274,-0.05,145015.234,126841
2025/12/31,1.17,1.13,1.12,1.17,1.17,-3.419,-0.04,8532.67,7563
2025/12/30,1.17,1.14,1.12,1.17,1.17,-4.274,-0.05,16204.58,14329
2025/12/29,1.17,1.14,1.13,1.17,1.17,-2.564,-0.03,12956.7,11382
2025/12/28,1.17,1.14,1.13,1.17,1.17,-2.564,-0.03,49143.641,43366
2025/12/25,1.17,1.15,1.13,1.17,1.17,-2.564,-0.03,1399.86,1222
2025/12/24,1.17,1.15,1.13,1.17,1.17,-3.419,-0.04,1163.15,1029
2025/12/23,1.17,1.15,1.13,1.17,1.17,-3.419,-0.04,22124.16,19332
2025/12/22,1.17,1.15,1.14,1.17,1.17,-2.564,-0.03,16080.05,14094
2025/12/21,1.17,1.15,1.13,1.17,1.17,-2.564,-0.03,19962.029,17583
2025/12/18,1.17,1.15,1.13,1.17,1.17,-1.709,-0.02,4222.1,3680
2025/12/17,1.17,1.15,1.13,1.17,1.17,-1.709,-0.02,1054.42,924
2025/12/16,1.17,1.17,1.12,1.17,1.17,-0.855,-0.01,125082.344,110832
2025/12/15,1.17,1.2,1.14,1.17,1.17,-2.564,-0.03,19394.461,16943
2025/12/14,1.17,1.22,1.12,1.17,1.17,-0.855,-0.01,305782.906,260802
2025/12/11,1.17,1.17,1.13,1.17,1.17,0.0,0.0,24118.33,20749
2025/12/10,1.17,1.17,1.12,1.17,1.17,-3.419,-0.04,12116.67,10625
2025/12/09,1.17,1.18,1.12,1.17,1.17,0.0,0.0,15871.29,13798
2025/12/08,1.17,1.2,1.13,1.17,1.17,0.0,0.0,9597.5,8440
2025/12/07,1.17,1.22,1.12,1.17,1.17,2.564,0.03,176831.344,155110
2025/12/04,1.17,1.19,1.12,1.17,1.17,-4.274,-0.05,193972.375,172799
2025/12/03,1.17,1.22,1.13,1.17,1.17,2.564,0.03,19237.0,16665
2025/12/02,1.15,1.2,1.1,1.17,1.15,4.348,0.05,395658.844,337927
2025/12/01,1.1,1.15,1.06,1.15,1.1,4.545,0.05,565509.375,494378
2025/11/30,1.1,1.15,1.07,1.1,1.1,4.545,0.05,134760.344,119134
2025/11/27,1.1,1.11,1.06,1.1,1.1,0.909,0.01,43947.5,39662
2025/11/26,1.1,1.1,1.05,1.1,1.1,-3.636,-0.04,22608.211,21450
2025/11/25,1.1,1.12,1.05,1.1,1.1,0.909,0.01,27262.94,25568
2025/11/24,1.1,1.12,1.05,1.1,1.1,1.818,0.02,90592.063,82326
2025/11/23,1.1,1.15,1.05,1.1,1.1,3.636,0.04,186694.313,176081
2025/11/20,1.1,1.15,1.13,1.1,1.1,4.545,0.05,150006.953,130444
2025/11/19,1.1,1.15,1.13,1.1,1.1,4.545,0.05,224140.938,195765
2025/11/18,1.15,1.13,1.1,1.1,1.15,-1.739,-0.02,664973.688,603962
2025/11/17,1.15,1.13,1.11,1.15,1.15,-3.478,-0.04,4084.14,3678
2025/11/16,1.15,1.14,1.11,1.15,1.15,-3.478,-0.04,1400.56,1243
2025/11/13,1.15,1.14,1.11,1.15,1.15,-0.87,-0.01,4836.3,4339
2025/11/12,1.15,1.14,1.11,1.15,1.15,-0.87,-0.01,65995.68,58099
2025/11/11,1.15,1.14,1.1,1.15,1.15,-3.478,-0.04,8108.08,7219
2025/11/10,1.15,1.14,1.1,1.15,1.15,-3.478,-0.04,126083.43,113394
2025/11/09,1.15,1.14,1.1,1.15,1.15,-0.87,-0.01,1623.88,1448
2025/11/06,1.15,1.13,1.1,1.15,1.15,-3.478,-0.04,7501.67,6804
2025/11/05,1.15,1.14,1.11,1.15,1.15,-3.478,-0.04,13083.33,11539
2025/11/04,1.15,1.14,1.12,1.15,1.15,-2.609,-0.03,114729.461,101544
2025/11/03,1.15,1.14,1.12,1.15,1.15,-2.609,-0.03,5710.52,5097
2025/11/02,1.15,1.14,1.11,1.15,1.15,-0.87,-0.01,363.57,319
2025/10/30,1.15,1.14,1.11,1.15,1.15,-3.478,-0.04,12149.96,10845
2025/10/29,1.15,1.13,1.11,1.15,1.15,-3.478,-0.04,18479.529,16555
2025/10/28,1.15,1.12,1.12,1.15,1.15,-2.609,-0.03,560.0,500
2025/10/27,1.15,1.15,1.13,1.15,1.15,-1.739,-0.02,58423.301,51702
2025/10/26,1.15,1.15,1.12,1.15,1.15,0.0,0.0,1274.26,1110
2025/10/23,1.15,1.15,1.12,1.15,1.15,-2.609,-0.03,13196.03,11574
2025/10/22,1.15,1.15,1.13,1.15,1.15,0.0,0.0,4387.76,3840
2025/10/21,1.15,1.15,1.1,1.15,1.15,-1.739,-0.02,4985.16,4462
2025/10/20,1.15,1.15,1.14,1.15,1.15,-0.87,-0.01,6199.86,5438
2025/10/19,1.15,1.15,1.13,1.15,1.15,0.0,0.0,94128.0,82420
2025/10/16,1.15,1.13,1.12,1.15,1.15,-1.739,-0.02,3344.92,2975
2025/10/15,1.15,1.15,1.12,1.15,1.15,-2.609,-0.03,21158.869,18830
2025/10/14,1.15,1.15,1.12,1.15,1.15,-2.609,-0.03,2607.89,2327
2025/10/13,1.15,1.15,1.12,1.15,1.15,-0.87,-0.01,3560.72,3166
2025/10/12,1.15,1.15,1.12,1.15,1.15,0.0,0.0,20193.83,17641
2025/10/08,1.15,1.13,1.11,1.15,1.15,-1.739,-0.02,16107.63,14322
2025/10/07,1.15,1.12,1.11,1.15,1.15,-2.609,-0.03,2512.1,2249
2025/10/06,1.15,1.11,1.1,1.15,1.15,-4.348,-0.05,8003.24,7272
2025/10/05,1.15,1.14,1.1,1.15,1.15,-3.478,-0.04,850.38,748
2025/10/02,1.15,1.15,1.1,1.15,1.15,-0.87,-0.01,19876.211,17785
2025/10/01,1.15,1.13,1.1,1.15,1.15,-1.739,-0.02,155648.234,140278
2025/09/30,1.15,1.13,1.1,1.15,1.15,-1.739,-0.02,13359.72,11839
2025/09/29,1.15,1.14,1.1,1.15,1.15,-0.87,-0.01,292.96,262
2025/09/28,1.15,1.14,1.1,1.15,1.15,-0.87,-0.01,8699.46,7835
2025/09/25,1.15,1.14,1.1,1.15,1.15,-0.87,-0.01,1154.84,1032
2025/09/24,1.15,1.13,1.1,1.15,1.15,-1.739,-0.02,12093.87,10737
2025/09/23,1.15,1.1,1.1,1.15,1.15,-4.348,-0.05,14964.4,13604
2025/09/22,1.15,1.14,1.1,1.15,1.15,-0.87,-0.01,4612.6,4186
2025/09/21,1.15,1.12,1.1,1.15,1.15,-2.609,-0.03,46745.02,42414
2025/09/18,1.15,1.12,1.1,1.15,1.15,-4.348,-0.05,160795.703,146095
2025/09/17,1.15,1.12,1.1,1.15,1.15,-4.348,-0.05,28038.44,25395
2025/09/16,1.15,1.13,1.1,1.15,1.15,-4.348,-0.05,59564.789,54019
2025/09/15,1.15,1.13,1.1,1.15,1.15,-4.348,-0.05,31900.77,28845
2025/09/14,1.15,1.13,1.1,1.15,1.15,-1.739,-0.02,166092.75,150914
2025/09/11,1.15,1.16,1.1,1.15,1.15,-0.87,-0.01,93075.211,84311
2025/09/10,1.15,1.12,1.1,1.15,1.15,-3.478,-0.04,11497.95,10287
2025/09/09,1.15,1.16,1.1,1.15,1.15,-4.348,-0.05,18075.529,16407
2025/09/08,1.15,1.15,1.15,1.15,1.15,0.0,0.0,509.45,443
2025/09/07,1.15,1.16,1.1,1.15,1.15,-4.348,-0.05,111093.898,100772
2025/09/03,1.15,1.17,1.1,1.15,1.15,-3.478,-0.04,36550.801,33082
2025/09/01,1.15,1.19,1.1,1.15,1.15,-4.348,-0.05,34313.352,31059
2025/08/31,1.15,1.2,1.1,1.15,1.15,-3.478,-0.04,89611.023,79104
2025/08/28,1.15,1.18,1.1,1.15,1.15,-0.87,-0.01,96303.523,87486
2025/08/27,1.15,1.2,1.1,1.15,1.15,-4.348,-0.05,21368.039,18921
2025/08/26,1.11,1.16,1.08,1.15,1.11,4.504,0.05,422141.188,372319
2025/08/25,1.11,1.09,1.06,1.11,1.11,-1.802,-0.02,27749.77,25682
2025/08/24,1.11,1.08,1.06,1.11,1.11,-2.703,-0.03,8194.72,7636
2025/08/21,1.11,1.08,1.06,1.11,1.11,-2.703,-0.03,2284.4,2117
2025/08/20,1.11,1.06,1.06,1.11,1.11,-4.505,-0.05,1507.32,1422
2025/08/19,1.11,1.09,1.06,1.11,1.11,-1.802,-0.02,9827.43,9270
2025/08/18,1.11,1.08,1.06,1.11,1.11,-2.703,-0.03,29474.199,27432
2025/08/17,1.11,1.08,1.06,1.11,1.11,-4.505,-0.05,112767.68,106222
2025/08/14,1.11,1.07,1.06,1.11,1.11,-3.604,-0.04,28535.359,26918
2025/08/13,1.11,1.06,1.06,1.11,1.11,-4.505,-0.05,134674.063,127051
2025/08/12,1.11,1.06,1.06,1.11,1.11,-4.505,-0.05,15492.96,14616
2025/08/11,1.11,1.06,1.06,1.11,1.11,-4.505,-0.05,6307.0,5950
2025/08/07,1.11,1.07,1.07,1.11,1.11,-3.604,-0.04,56.71,53
2025/08/05,1.11,1.07,1.06,1.11,1.11,-3.604,-0.04,21623.0,20251
2025/08/04,1.11,1.07,1.06,1.11,1.11,-4.505,-0.05,178793.109,168496
2025/08/03,1.11,1.07,1.06,1.11,1.11,-4.505,-0.05,88749.539,83724
2025/07/31,1.11,1.06,1.06,1.11,1.11,-4.505,-0.05,21922.92,20682
2025/07/30,1.11,1.06,1.06,1.11,1.11,0.0,-0.05,1.06,1
2025/07/28,1.11,1.06,1.06,1.11,1.11,-4.505,-0.05,7320.36,6906
2025/07/27,1.11,1.06,1.06,1.11,1.11,-4.505,-0.05,509.86,481
2025/07/22,1.11,1.06,1.06,1.11,1.11,-4.505,-0.05,1060.0,1000
2025/07/21,1.11,1.06,1.06,1.11,1.11,-4.505,-0.05,347.68,328
2025/07/20,1.11,1.06,1.06,1.11,1.11,-4.505,-0.05,20076.4,18940
2025/07/17,1.11,1.06,1.06,1.11,1.11,-4.505,-0.05,37298.219,35187
2025/07/16,1.11,1.06,1.06,1.11,1.11,-4.505,-0.05,45044.699,42495
2025/07/15,1.11,1.06,1.06,1.11,1.11,-4.505,-0.05,48471.68,45728
2025/07/13,1.11,1.06,1.06,1.11,1.11,-4.505,-0.05,1064.24,1004
2025/07/07,1.11,1.06,1.06,1.11,1.11,-4.505,-0.05,365.7,345
2025/07/06,1.11,1.06,1.06,1.11,1.11,-4.505,-0.05,22169.9,20915
2025/07/02,1.11,1.06,1.06,1.11,1.11,-4.505,-0.05,15821.56,14926
2025/07/01,1.11,1.06,1.06,1.11,1.11,-4.505,-0.05,2.12,2
2025/06/30,1.11,1.1,1.06,1.11,1.11,-4.505,-0.05,25230.16,23802
2025/06/29,1.11,1.06,1.06,1.11,1.11,-4.505,-0.05,27993.539,26409
2025/06/25,1.11,1.06,1.06,1.11,1.11,-4.505,-0.05,21497.859,20281
2025/06/24,1.11,1.06,1.06,1.11,1.11,-4.505,-0.05,32.86,31
2025/06/22,1.11,1.06,1.06,1.11,1.11,-4.505,-0.05,756.84,714
2025/06/19,1.11,1.06,1.06,1.11,1.11,-4.505,-0.05,4.24,4
2025/06/18,1.11,1.06,1.06,1.11,1.11,-4.505,-0.05,636.0,600
2025/06/16,1.11,1.06,1.06,1.11,1.11,-4.505,-0.05,123299.203,116320
2025/06/15,1.11,1.06,1.06,1.11,1.11,-4.505,-0.05,222.6,210
2025/06/12,1.11,1.06,1.06,1.11,1.11,-4.505,-0.05,21422.6,20210
2025/06/11,1.11,1.06,1.06,1.11,1.11,-4.505,-0.05,19791.26,18671
2025/06/10,1.11,1.08,1.06,1.11,1.11,-4.505,-0.05,47545.199,44828
2025/06/04,1.11,1.09,1.06,1.11,1.11,-4.505,-0.05,1424.67,1343
2025/06/03,1.11,1.09,1.06,1.11,1.11,-1.802,-0.02,284087.344,265436
2025/06/02,1.11,1.09,1.06,1.11,1.11,-4.505,-0.05,21997.65,20745
