«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,7.08,7.14,6.67,6.7,7.08,-5.37,-0.38,7564487.0,1095106
2026/01/12,7.06,7.23,7.07,7.08,7.06,0.28,0.02,1.2006697E7,1678884
2026/01/11,7.03,7.26,7.05,7.06,7.03,0.43,0.03,1.1760778E7,1647282
2026/01/08,6.95,7.29,7.01,7.03,6.95,1.15,0.08,1.4798265E7,2064112
2026/01/06,6.84,7.05,6.8,6.95,6.84,1.61,0.11,3830385.0,548805
2026/01/05,6.97,7.05,6.8,6.84,6.97,-2.44,-0.17,4421923.0,641235
2026/01/04,6.76,7.14,6.7,6.97,6.76,3.11,0.21,9611342.0,1380325
2025/12/31,6.91,7.0,6.75,6.76,6.91,-2.17,-0.15,6015858.5,881787
2025/12/30,6.79,7.14,6.71,6.91,6.79,1.77,0.12,8159070.0,1177431
2025/12/29,6.82,7.0,6.75,6.79,6.82,-0.44,-0.03,4739426.0,688675
2025/12/28,6.95,7.04,6.41,6.82,6.95,-1.87,-0.13,5481509.0,801207
2025/12/25,7.06,7.3,6.91,6.95,7.06,-1.56,-0.11,8097938.5,1142999
2025/12/24,7.19,7.3,7.01,7.06,7.19,-1.81,-0.13,1.9412398E7,2722424
2025/12/23,6.95,7.68,7.14,7.19,6.95,3.45,0.24,7.812756E7,10600244
2025/12/22,6.41,6.95,6.41,6.95,6.41,8.42,0.54,1.9929284E7,2969474
2025/12/21,6.43,6.58,6.37,6.41,6.43,-0.31,-0.02,4484282.5,693753
2025/12/18,6.47,6.54,6.42,6.43,6.47,-0.62,-0.04,4691029.0,723836
2025/12/17,6.46,6.65,6.39,6.47,6.46,0.15,0.01,1.1683396E7,1788124
2025/12/16,6.22,6.5,6.22,6.46,6.22,3.86,0.24,1.0811106E7,1689563
2025/12/15,6.21,6.31,6.2,6.22,6.21,0.16,0.01,2678389.25,428356
2025/12/14,6.18,6.25,6.17,6.21,6.18,0.49,0.03,2425001.75,390654
2025/12/11,6.17,6.28,6.17,6.18,6.17,0.16,0.01,3133937.5,503031
2025/12/10,6.17,6.22,6.15,6.17,6.17,0.0,0.0,1113042.5,179768
