«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,11.0,11.29,10.56,10.61,11.0,-3.45,-0.38,472547.88,44280
2026/01/12,11.52,11.34,10.95,11.0,11.52,-4.51,-0.52,585951.13,53093
2026/01/11,11.52,11.42,11.06,11.52,11.52,-3.3,-0.38,48716.11,4310
2026/01/08,11.52,11.44,11.02,11.52,11.52,-1.13,-0.13,213248.13,19070
2026/01/06,11.52,11.44,11.01,11.52,11.52,-1.91,-0.22,163633.52,14695
2026/01/05,11.52,11.5,11.0,11.52,11.52,-4.43,-0.51,97754.75,8761
2026/01/04,11.62,11.85,11.47,11.52,11.62,-1.2,-0.14,301202.41,26143
2025/12/31,12.07,12.2,11.5,11.62,12.07,-2.32,-0.28,444183.09,38157
2025/12/30,12.07,12.0,11.51,12.07,12.07,-3.07,-0.37,272896.13,23284
2025/12/29,12.07,12.1,11.7,12.07,12.07,-2.98,-0.36,260790.06,22053
2025/12/28,12.07,12.33,11.8,12.07,12.07,0.41,0.05,189138.73,15708
2025/12/25,11.9,12.44,11.88,12.07,11.9,1.43,0.17,486238.72,40267
2025/12/24,11.38,11.94,11.5,11.9,11.38,4.31,0.49,843134.75,70710
2025/12/23,11.38,11.6,11.31,11.38,11.38,1.05,0.12,140378.66,12312
2025/12/22,11.55,11.93,11.21,11.38,11.55,0.0,0.0,505046.59,43852
2025/12/21,11.55,11.55,11.1,11.55,11.55,-3.29,-0.38,244719.55,21883
2025/12/18,11.55,11.88,11.09,11.55,11.55,-2.16,-0.25,246158.52,21494
2025/12/17,11.46,11.93,11.37,11.55,11.46,0.79,0.09,402067.47,34920
2025/12/16,11.95,12.32,11.36,11.46,11.95,-4.1,-0.49,1143286.5,99472
2025/12/15,12.33,12.67,11.91,11.95,12.33,-3.41,-0.42,616667.0,51445
2025/12/14,12.42,12.82,12.11,12.33,12.42,1.37,0.17,901524.88,72645
2025/12/11,12.72,12.73,12.25,12.42,12.72,-2.12,-0.27,810946.88,65074
2025/12/10,12.55,12.86,12.4,12.72,12.55,-0.4,-0.05,924746.25,73097
2025/12/09,12.26,12.87,11.71,12.55,12.26,4.0,0.49,2594709.0,204546
2025/12/08,12.13,12.73,12.13,12.26,12.13,1.73,0.21,3418061.0,271120
2025/12/07,11.56,12.13,12.13,12.13,11.56,4.93,0.57,669733.69,55213
2025/12/04,11.01,11.56,10.95,11.56,11.01,5.0,0.55,1603433.75,141082
2025/12/03,11.36,11.5,10.91,11.01,11.36,0.79,0.09,1458703.5,131338
2025/12/02,11.93,11.77,11.34,11.36,11.93,-4.69,-0.56,2816438.0,247290
2025/12/01,11.6,12.18,11.21,11.93,11.6,2.84,0.33,3299028.25,273296
2025/11/30,11.05,11.6,11.11,11.6,11.05,4.98,0.55,4511059.0,389593
2025/11/27,10.53,11.05,11.05,11.05,10.53,4.94,0.52,745444.06,67461
2025/11/26,10.03,10.53,10.0,10.53,10.03,4.99,0.5,1634945.38,156759
