«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/12,0.11,0.12,0.1,0.11,0.11,0.0,0.0,6029.93,54909
2026/01/05,0.11,0.12,0.11,0.11,0.11,0.0,0.0,120207.977,1091436
2025/12/31,0.11,0.12,0.11,0.11,0.11,0.0,0.0,155036.359,1318376
2025/12/29,0.11,0.11,0.1,0.11,0.11,0.0,0.0,114392.922,1060520
2025/12/24,0.1,0.11,0.1,0.11,0.1,10.0,0.01,159603.594,1590786
2025/12/22,0.11,0.11,0.1,0.1,0.11,-9.091001,-0.01,25894.789,236009
2025/12/17,0.11,0.12,0.1,0.11,0.11,0.0,0.0,46847.078,425128
2025/12/15,0.11,0.12,0.1,0.11,0.11,0.0,0.0,64500.289,585847
2025/12/10,0.11,0.11,0.1,0.11,0.11,0.0,0.0,30423.24,276749
2025/12/08,0.1,0.11,0.1,0.11,0.1,10.0,0.01,63335.949,612065
2025/12/03,0.11,0.12,0.1,0.1,0.11,-9.091001,-0.01,9147.66,87719
2025/12/01,0.1,0.11,0.1,0.11,0.1,10.0,0.01,15018.5,138050
2025/11/26,0.11,0.11,0.1,0.1,0.11,-9.091001,-0.01,8376.71,78847
2025/11/24,0.1,0.11,0.1,0.11,0.1,10.0,0.01,32083.92,293381
2025/11/19,0.11,0.11,0.1,0.1,0.11,-9.091001,-0.01,153439.5,1397010
2025/11/17,0.11,0.12,0.11,0.11,0.11,0.0,0.0,31132.41,282819
2025/11/12,0.12,0.12,0.11,0.11,0.12,-8.333,-0.01,1274.72,11411
2025/11/10,0.11,0.12,0.1,0.12,0.11,9.091001,0.01,70703.477,645057
2025/11/05,0.11,0.11,0.1,0.11,0.11,0.0,0.0,9990.09,91319
2025/11/03,0.11,0.12,0.11,0.11,0.11,0.0,0.0,176233.844,1602085
2025/10/29,0.11,0.12,0.11,0.11,0.11,0.0,0.0,43363.98,394190
2025/10/27,0.11,0.12,0.11,0.11,0.11,0.0,0.0,25010.279,226048
2025/10/22,0.11,0.12,0.11,0.11,0.11,0.0,0.0,15744.75,142556
2025/10/20,0.11,0.12,0.1,0.11,0.11,0.0,0.0,155796.188,1421548
