«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2022/03/16,4.01,3.22,3.01,3.21,4.01,-19.7,-0.79,3524.15,1097
2022/03/14,4.03,4.01,4.01,4.01,4.03,-0.5,-0.02,569.42,142
2022/01/26,5.0,4.05,4.0,4.03,5.0,-20.0,-1.0,1346.0,334
2022/01/24,6.0,5.0,5.0,5.0,6.0,-16.67,-1.0,1250.0,250
2022/01/19,4.11,6.0,6.0,6.0,4.11,45.99,1.89,1500.0,250
2021/12/22,4.5,4.11,4.11,4.11,4.5,-8.67,-0.39,1508.37,367
2021/12/06,4.5,4.0,4.0,4.5,4.5,-11.11,-0.5,324.0,81
2021/11/15,5.17,4.5,4.5,4.5,5.17,-12.96,-0.67,4513.5,1003
2021/11/10,9.71,6.49,3.85,5.17,9.71,-60.35,-5.86,20750.4,4010
2021/11/08,3.0,9.71,9.71,9.71,3.0,223.67,6.71,4838716.5,498323
2021/11/01,6.5,3.0,3.0,3.0,6.5,-53.85,-3.5,1200.0,400
2021/10/27,6.5,2.02,2.02,6.5,6.5,-68.92,-4.48,169.68,84
2021/10/20,5.31,6.5,6.5,6.5,5.31,22.41,1.19,5135.0,790
2021/10/18,7.0,7.0,5.0,5.31,7.0,0.0,0.0,13338.22,2510
2021/10/06,7.45,7.0,7.0,7.0,7.45,-6.04,-0.45,4900.0,700
2021/10/04,3.03,7.5,6.99,7.45,3.03,147.52,4.47,22352.0,3000
2021/09/29,3.03,2.1,2.1,3.03,3.03,-30.69,-0.93,140.7,67
2021/09/20,1.74,3.03,3.03,3.03,1.74,74.14,1.29,539.34,178
2021/09/13,7.5,6.8,0.59,1.74,7.5,-84.67,-6.35,453.57,260
2021/09/01,8.3,7.5,7.5,7.5,8.3,-9.64,-0.8,1500.0,200
2021/08/25,8.3,7.5,0.52,8.3,8.3,-9.64,-0.8,423.42,76
2021/06/09,8.3,0.2,0.2,8.3,8.3,-97.59,-8.1,6.8,34
2021/04/22,9.38,9.6,9.41,9.38,9.38,2.35,0.22,30437.34,3174
2021/04/19,9.38,9.38,9.38,9.38,9.38,0.0,0.0,938.0,100
2021/04/13,9.38,9.47,9.47,9.38,9.38,0.96,0.09,4735.0,500
2021/04/12,9.38,9.36,9.36,9.38,9.38,-0.21,-0.02,776.88,83
2021/04/07,9.38,9.35,9.35,9.38,9.38,-0.32,-0.03,514.25,55
2021/04/06,9.32,9.42,9.35,9.38,9.32,0.32,0.03,215272.88,22942
2021/04/05,9.32,9.32,9.3,9.32,9.32,-0.11,-0.01,81946.0,8800
2021/04/04,9.32,9.37,9.25,9.32,9.32,0.54,0.05,5346.0,576
2021/04/01,9.27,9.33,9.3,9.32,9.27,0.54,0.05,123001.28,13192
2021/03/29,9.27,9.21,9.2,9.27,9.27,-0.76,-0.07,16105.8,1749
2021/03/28,9.27,9.68,9.63,9.27,9.27,3.88,0.36,7975.03,826
