«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/12,140.0,141.88,141.0,141.0,140.0,0.71,1.0,118613.38,841
2026/01/05,141.0,141.9,140.0,140.0,141.0,-0.71,-1.0,85232.7,605
2025/12/31,141.0,141.0,141.0,141.0,141.0,0.0,0.0,47376.0,336
2025/12/29,141.0,149.89,140.0,141.0,141.0,0.0,0.0,215712.56,1536
2025/12/24,141.0,141.0,138.15,141.0,141.0,0.0,0.0,273735.75,1969
2025/12/22,141.0,141.49,141.0,141.0,141.0,0.0,0.0,246750.48,1750
2025/12/17,141.0,141.5,141.0,141.0,141.0,0.0,0.0,153832.48,1091
2025/12/15,141.0,142.0,141.0,141.0,141.0,0.0,0.0,927642.0,6579
2025/12/10,141.0,142.0,138.15,141.0,141.0,0.0,0.0,361241.59,2611
2025/12/08,141.0,141.05,138.15,141.0,141.0,0.0,0.0,115679.92,825
2025/12/03,138.17,141.5,138.15,141.0,138.17,2.05,2.83,35972.46,256
2025/12/01,138.16,141.0,138.15,138.17,138.16,0.01,0.01,93471.54,676
2025/11/26,141.0,141.0,138.15,138.16,141.0,-2.01,-2.84,193723.27,1400
2025/11/24,141.0,142.0,141.0,141.0,141.0,0.0,0.0,17351.0,123
2025/11/19,141.0,142.0,141.0,141.0,141.0,0.0,0.0,11986.0,85
2025/11/17,141.0,142.0,138.15,141.0,141.0,0.0,0.0,20781.5,148
2025/11/12,138.15,141.0,138.15,141.0,138.15,2.06,2.85,334765.94,2375
2025/11/10,138.17,141.0,138.15,138.15,138.17,-0.01,-0.02,663618.56,4788
2025/11/05,138.15,141.0,138.15,138.17,138.15,0.01,0.02,60395.13,432
2025/11/03,138.15,140.0,138.15,138.15,138.15,0.0,0.0,190779.66,1378
2025/10/29,141.1,146.0,138.15,138.15,141.1,-2.09,-2.95,70660.15,508
2025/10/27,141.1,149.98,141.1,141.1,141.1,0.0,0.0,4259.17,30
2025/10/22,141.0,149.98,138.15,141.1,141.0,0.07,0.1,22124.87,157
2025/10/20,138.15,141.0,138.15,141.0,138.15,2.06,2.85,542785.63,3909
2025/10/15,138.15,139.0,138.15,138.15,138.15,0.0,0.0,54431.95,394
2025/10/13,138.15,139.0,138.15,138.15,138.15,0.0,0.0,43114.85,312
