«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,69.15,70.0,67.26,69.01,69.15,-0.2,-0.14,1.06169048E8,1542671
2026/01/12,71.0,70.99,69.1,69.15,71.0,-2.61,-1.85,7.0444328E7,1009737
2026/01/11,68.72,71.37,68.9,71.0,68.72,3.32,2.28,1.10588928E8,1569586
2026/01/08,65.25,69.84,65.25,68.72,65.25,5.32,3.47,2.15001936E8,3159769
2026/01/06,63.98,65.5,63.7,65.25,63.98,1.98,1.27,6.2398716E7,961801
2026/01/05,65.31,66.45,63.02,63.98,65.31,-2.04,-1.33,9.825864E7,1538516
2026/01/04,65.77,67.5,65.3,65.31,65.77,-0.7,-0.46,5.7812696E7,872381
2025/12/31,64.79,65.77,64.7,65.77,64.79,1.51,0.98,4.5953328E7,706678
2025/12/30,64.8,65.27,64.7,64.79,64.8,-0.02,-0.01,3.1777796E7,488884
2025/12/29,64.22,65.45,64.05,64.8,64.22,0.9,0.58,6.8363984E7,1051790
2025/12/28,62.83,64.26,62.83,64.22,62.83,2.21,1.39,3.0654016E7,480424
2025/12/25,63.0,63.49,62.8,62.83,63.0,0.0,0.0,1.2195964E7,193073
2025/12/24,63.0,63.8,63.0,63.0,63.0,0.0,0.0,1.1070307E7,175103
2025/12/23,62.8,63.5,62.05,63.0,62.8,0.32,0.2,6.503766E7,1038245
2025/12/22,64.0,64.49,62.6,62.8,64.0,-1.88,-1.2,5.4397544E7,863135
2025/12/21,63.13,64.0,63.0,64.0,63.13,1.38,0.87,1.1191036E8,1760279
2025/12/18,63.0,63.19,62.25,63.13,63.0,0.21,0.13,7.5267248E7,1195801
2025/12/17,64.01,64.01,62.95,63.0,64.01,-1.58,-1.01,6.3350344E7,1002130
2025/12/16,66.15,66.12,63.8,64.01,66.15,-3.24,-2.14,8.9730624E7,1391155
2025/12/15,66.0,66.8,65.55,66.15,66.0,0.23,0.15,3.5183052E7,533434
2025/12/14,64.65,66.33,64.8,66.0,64.65,2.09,1.35,5.0148796E7,764977
2025/12/11,63.65,64.7,63.55,64.65,63.65,1.57,1.0,1.298336E8,2026464
2025/12/10,64.01,64.89,63.3,63.65,64.01,-0.56,-0.36,7.4050448E7,1164059
2025/12/09,64.0,65.99,63.05,64.01,64.0,0.02,0.01,1.05287152E8,1623672
2025/12/08,62.01,64.49,62.11,64.0,62.01,3.21,1.99,1.53875424E8,2403702
2025/12/07,61.0,62.94,60.93,62.01,61.0,1.66,1.01,3.8917736E7,629298
2025/12/04,61.95,62.57,60.51,61.0,61.95,-1.53,-0.95,9.6354496E7,1564168
2025/12/03,61.96,63.73,61.5,61.95,61.96,-0.02,-0.01,1.6269432E8,2616253
2025/12/02,63.62,64.59,61.3,61.96,63.62,-2.61,-1.66,6.6484268E7,1053063
2025/12/01,65.0,66.39,63.11,63.62,65.0,-2.12,-1.38,5.4635704E7,838952
2025/11/30,63.5,65.3,63.5,65.0,63.5,2.36,1.5,5.4650332E7,848302
2025/11/27,63.99,65.0,62.51,63.5,63.99,-0.77,-0.49,5.6613596E7,886700
2025/11/26,63.53,65.45,63.5,63.99,63.53,0.72,0.46,2.2397544E8,3511864
2025/11/25,65.8,65.75,63.02,63.53,65.8,-3.45,-2.27,7.529124E7,1167757
2025/11/24,65.27,66.9,63.11,65.8,65.27,0.81,0.53,1.09998072E8,1686015
2025/11/23,62.9,68.48,63.0,65.27,62.9,3.77,2.37,1.05737832E8,1614910
2025/11/20,60.0,62.9,59.6,62.9,60.0,4.83,2.9,1.41813376E8,2346619
