«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,15.4,15.63,15.01,15.25,15.4,-0.97,-0.15,1.9786252E7,1282470
2026/01/12,15.72,15.87,15.4,15.4,15.72,-2.04,-0.32,1.5719991E7,999526
2026/01/11,15.03,15.97,15.1,15.72,15.03,4.59,0.69,2.5449082E7,1621599
2026/01/08,14.92,15.17,14.96,15.03,14.92,0.74,0.11,4045162.5,268790
2026/01/06,14.61,15.04,14.63,14.92,14.61,2.12,0.31,1.5367635E7,1029915
2026/01/05,15.18,15.3,14.5,14.61,15.18,-3.75,-0.57,2.291763E7,1527734
2026/01/04,15.4,15.6,15.02,15.18,15.4,-1.62,-0.25,6574203.0,428730
2025/12/31,15.53,15.63,15.34,15.4,15.53,-0.84,-0.13,1.6824208E7,1087322
2025/12/30,15.42,15.7,15.42,15.53,15.42,0.65,0.1,1.6390264E7,1053341
2025/12/29,15.48,15.68,15.37,15.42,15.48,-0.39,-0.06,1.2386506E7,799460
2025/12/28,15.68,15.8,15.44,15.48,15.68,-1.28,-0.2,1.2822977E7,821209
2025/12/25,15.8,16.0,15.62,15.68,15.8,-0.76,-0.12,4255570.0,269533
2025/12/24,15.6,16.01,15.6,15.8,15.6,1.28,0.2,6.98372E7,4441444
2025/12/23,15.61,15.96,15.5,15.6,15.61,-0.06,-0.01,3.7898804E7,2420397
2025/12/22,15.99,16.1,15.61,15.61,15.99,-2.38,-0.38,1.167607E7,737558
2025/12/21,15.91,16.0,15.65,15.99,15.91,0.5,0.08,2992311.75,188733
2025/12/18,16.0,16.13,15.88,15.91,16.0,-0.56,-0.09,1.8834474E7,1178319
2025/12/17,16.22,16.25,15.95,16.0,16.22,-1.36,-0.22,1.1565151E7,720988
2025/12/16,16.27,16.27,16.01,16.22,16.27,-0.18,-0.03,3684549.75,228532
2025/12/15,16.18,16.35,16.1,16.27,16.18,0.56,0.09,2.1293036E7,1316357
2025/12/14,16.5,16.74,16.06,16.18,16.5,-1.94,-0.32,1.9280454E7,1185407
2025/12/11,16.58,16.79,16.5,16.5,16.58,-0.48,-0.08,6719971.5,405514
2025/12/10,16.75,16.8,16.58,16.58,16.75,-1.01,-0.17,2281446.5,137198
2025/12/09,16.62,16.85,16.5,16.75,16.62,0.78,0.13,8545291.0,509747
2025/12/08,16.95,16.98,16.56,16.62,16.95,-1.95,-0.33,6911740.5,413293
2025/12/07,16.52,16.95,16.31,16.95,16.52,2.6,0.43,2.8561298E7,1722064
2025/12/04,16.2,16.57,16.11,16.52,16.2,1.98,0.32,5.4255268E7,3308409
2025/12/03,15.7,16.34,15.69,16.2,15.7,3.18,0.5,2.9960748E7,1867925
2025/12/02,15.24,15.74,15.21,15.7,15.24,3.02,0.46,8208120.0,527044
2025/12/01,15.2,15.45,15.21,15.24,15.2,0.26,0.04,7494431.5,489454
2025/11/30,15.1,15.47,15.04,15.2,15.1,0.66,0.1,2.5471842E7,1667461
2025/11/27,14.91,15.1,14.75,15.1,14.91,1.27,0.19,2.1271292E7,1421286
2025/11/26,14.99,15.29,14.9,14.91,14.99,-0.53,-0.08,9238989.0,612740
2025/11/25,15.4,15.57,14.92,14.99,15.4,-2.66,-0.41,3.0112156E7,1971570
2025/11/24,15.63,15.77,15.39,15.4,15.63,-1.47,-0.23,9893738.0,637664
2025/11/23,15.87,15.86,15.6,15.63,15.87,-1.51,-0.24,7856695.5,500263
2025/11/20,15.9,16.0,15.72,15.87,15.9,-0.19,-0.03,2.4363796E7,1536719
2025/11/19,15.94,16.11,15.8,15.9,15.94,-0.25,-0.04,1.2255752E7,769245
2025/11/18,16.42,16.5,15.88,15.94,16.42,-2.92,-0.48,3.6505656E7,2247782
2025/11/17,16.38,16.44,16.22,16.42,16.38,0.24,0.04,1.6299438E7,999289
2025/11/16,16.33,16.5,16.21,16.38,16.33,0.31,0.05,2.749232E7,1678942
2025/11/13,16.66,16.8,16.32,16.33,16.66,-1.98,-0.33,6.6226744E7,4002325
2025/11/12,16.98,17.15,16.5,16.66,16.98,-1.88,-0.32,5.1716044E7,3063794
2025/11/11,16.51,17.2,16.6,16.98,16.51,2.85,0.47,1.27334208E8,7497380
2025/11/10,16.66,16.8,16.5,16.51,16.66,-0.9,-0.15,2.5861922E7,1559601
2025/11/09,16.51,16.88,16.46,16.66,16.51,0.91,0.15,6.6662732E7,4002006
2025/11/06,17.55,17.8,16.51,16.51,17.55,-5.93,-1.04,1.3085556E8,7704746
2025/11/05,16.5,17.6,16.6,17.55,16.5,6.36,1.05,1.65038432E8,9668486
2025/11/04,16.45,16.75,16.1,16.5,16.45,0.3,0.05,8.8463624E7,5394443
2025/11/03,16.01,16.6,15.9,16.45,16.01,2.75,0.44,9.097048E7,5589380
2025/11/02,15.88,16.5,15.93,16.01,15.88,0.82,0.13,7.8699496E7,4876643
2025/10/30,15.34,15.99,15.36,15.88,15.34,3.52,0.54,4.4818192E7,2841459
2025/10/29,15.2,15.68,15.29,15.34,15.2,0.92,0.14,2.0829616E7,1346338
2025/10/28,15.41,15.5,15.2,15.2,15.41,-1.36,-0.21,9884707.0,644725
2025/10/27,15.68,15.9,15.36,15.41,15.68,-1.72,-0.27,1.2437875E7,799556
2025/10/26,15.75,16.2,15.5,15.68,15.75,-0.44,-0.07,3.6754228E7,2334210
2025/10/23,14.61,16.4,14.61,15.75,14.61,7.8,1.14,9.497228E7,5958160
2025/10/22,14.78,14.9,14.4,14.61,14.78,-1.56,-0.23,2.2225732E7,1518659
2025/10/21,15.16,15.27,14.73,14.78,15.16,-2.51,-0.38,1.1468152E7,768515
2025/10/20,15.3,15.44,15.15,15.16,15.3,-0.92,-0.14,5280848.0,346663
2025/10/19,15.4,15.5,15.25,15.3,15.4,-0.13,-0.02,2801440.75,182804
2025/10/16,15.35,15.6,15.32,15.4,15.35,0.33,0.05,2410208.5,156117
2025/10/15,15.78,15.86,15.27,15.35,15.78,-2.72,-0.43,6294791.0,405412
2025/10/14,15.52,16.0,15.5,15.78,15.52,1.68,0.26,1.2367805E7,782509
2025/10/13,15.12,15.63,15.2,15.52,15.12,2.98,0.45,3.146597E7,2042088
2025/10/12,15.42,15.46,14.91,15.12,15.42,-1.04,-0.16,1.34474448E8,8841190
2025/10/08,15.1,15.49,15.0,15.42,15.1,2.58,0.39,4614506.5,305479
2025/10/07,15.2,15.22,14.94,15.1,15.2,-0.66,-0.1,6271340.0,415059
2025/10/06,15.11,15.39,15.11,15.2,15.11,0.6,0.09,3047620.5,200729
2025/10/05,15.07,15.5,15.07,15.11,15.07,0.27,0.04,7883134.5,515561
2025/10/02,15.49,15.58,14.9,15.07,15.49,-2.71,-0.42,1.2642724E7,828288
2025/10/01,15.56,15.63,15.16,15.49,15.56,-0.45,-0.07,1.2875101E7,843227
2025/09/30,15.03,15.59,15.06,15.56,15.03,3.53,0.53,2.8653072E7,1882170
2025/09/29,14.4,15.1,14.31,15.03,14.4,4.38,0.63,2.2653938E7,1526031
2025/09/28,14.89,14.9,14.3,14.4,14.89,-3.29,-0.49,7846012.5,542032
2025/09/25,14.57,14.9,14.15,14.89,14.57,2.26,0.33,5824074.5,404353
2025/09/24,13.82,14.6,13.8,14.57,13.82,5.43,0.75,1.4311904E7,1008993
2025/09/23,14.0,14.1,13.79,13.82,14.0,-1.29,-0.18,1201803.63,86463
2025/09/22,13.91,14.13,13.85,14.0,13.91,0.65,0.09,7423945.0,531104
2025/09/21,14.08,14.25,13.85,13.91,14.08,-1.21,-0.17,5413600.0,387754
2025/09/18,13.79,14.3,13.63,14.08,13.79,2.1,0.29,3.0800252E7,2198916
2025/09/17,18.84,19.8,18.79,18.95,18.84,0.58,0.11,5438495.0,286298
2025/09/16,19.09,19.13,18.61,18.84,19.09,-1.31,-0.25,3163770.25,166936
2025/09/15,19.09,19.21,19.05,19.09,19.09,0.0,0.0,3260657.75,170740
2025/09/14,18.81,19.2,18.81,19.09,18.81,1.49,0.28,3164219.75,165912
2025/09/11,18.8,18.95,18.8,18.81,18.8,0.0,0.0,2798220.25,148374
2025/09/10,18.72,18.84,18.6,18.8,18.72,0.64,0.12,4432801.0,236880
2025/09/09,18.99,19.26,18.61,18.72,18.99,-1.53,-0.29,1.4491449E7,765864
2025/09/08,19.08,19.29,18.92,18.99,19.08,-0.84,-0.16,2637911.25,138559
2025/09/07,19.27,19.6,19.0,19.08,19.27,-0.99,-0.19,4395371.5,230086
2025/09/03,19.55,19.88,19.02,19.27,19.55,-1.28,-0.25,2945937.25,152010
2025/09/02,19.1,19.95,19.15,19.55,19.1,2.36,0.45,4330826.5,221240
2025/09/01,19.27,19.39,19.09,19.1,19.27,-0.88,-0.17,2516469.25,131489
2025/08/31,19.71,19.8,19.12,19.27,19.71,-2.23,-0.44,3773826.5,193598
2025/08/28,19.69,19.89,19.65,19.71,19.69,-0.2,-0.04,1721210.25,87271
2025/08/27,19.71,19.95,19.6,19.69,19.71,-0.1,-0.02,4056730.0,205836
2025/08/26,19.06,20.1,19.06,19.71,19.06,3.41,0.65,2.7401586E7,1390429
2025/08/25,19.05,19.25,19.0,19.06,19.05,0.05,0.01,7673109.0,401552
2025/08/24,18.71,19.18,18.75,19.05,18.71,1.82,0.34,1.1320048E7,595381
2025/08/21,18.78,19.0,18.7,18.71,18.78,-0.37,-0.07,3723836.5,197624
2025/08/20,18.91,18.99,18.71,18.78,18.91,-0.69,-0.13,6068265.0,321017
2025/08/19,18.66,19.31,18.62,18.91,18.66,1.34,0.25,1.3806135E7,729438
2025/08/18,18.55,18.79,18.61,18.66,18.55,0.59,0.11,7205113.5,385260
2025/08/17,18.52,18.6,18.43,18.55,18.52,0.16,0.03,3749957.0,202469
2025/08/14,18.47,18.55,18.37,18.52,18.47,0.27,0.05,8.7997344E7,4769314
2025/08/13,18.5,18.56,18.42,18.47,18.5,0.16,0.03,3.0688762E7,1659660
2025/08/12,18.5,18.58,18.39,18.5,18.5,0.0,0.0,6.7326176E7,3637521
2025/08/11,18.5,18.64,18.37,18.5,18.5,0.0,0.0,1.6163933E7,874145
2025/08/10,18.5,18.65,18.48,18.5,18.5,0.0,0.0,1.2843158E7,692651
2025/08/07,18.52,18.65,18.43,18.5,18.52,-0.11,-0.02,2.8531156E7,1543478
2025/08/06,18.58,18.6,18.4,18.52,18.58,0.11,0.02,4533449.0,244902
2025/08/05,18.6,18.73,18.56,18.58,18.6,-0.11,-0.02,5445541.5,291725
2025/08/04,18.7,18.8,18.53,18.6,18.7,-0.8,-0.15,1751150.38,94032
2025/08/03,18.7,18.89,18.57,18.7,18.7,0.0,0.0,1665485.63,88882
2025/07/31,18.46,18.79,18.5,18.7,18.46,1.3,0.24,5036825.5,271030
2025/07/30,18.36,18.54,18.32,18.46,18.36,0.0,0.1,2256375.75,122252
2025/07/29,18.33,18.43,18.33,18.36,18.33,0.11,0.02,836136.19,45542
2025/07/28,18.54,18.64,18.25,18.33,18.54,-1.13,-0.21,2549286.0,138261
2025/07/27,18.44,18.6,18.46,18.54,18.44,0.54,0.1,1821111.5,98350
2025/07/23,18.63,18.79,18.41,18.44,18.63,-1.02,-0.19,1442153.5,77842
2025/07/22,18.51,18.67,18.49,18.63,18.51,0.65,0.12,2573298.5,138689
2025/07/21,18.63,18.7,18.45,18.51,18.63,-0.64,-0.12,2427497.0,130912
2025/07/20,18.64,18.79,18.51,18.63,18.64,0.32,0.06,2694313.75,144375
2025/07/17,18.62,18.67,18.48,18.64,18.62,0.11,0.02,6888411.0,371814
2025/07/16,18.6,18.8,18.6,18.62,18.6,0.0,0.0,875990.69,46840
2025/07/15,18.63,18.8,18.52,18.6,18.63,-0.16,-0.03,1802725.38,96613
2025/07/14,18.54,18.96,18.4,18.63,18.54,0.49,0.09,3917283.0,211149
2025/07/13,18.65,18.86,18.51,18.54,18.65,-0.59,-0.11,1750800.75,93871
2025/07/07,18.88,19.0,18.7,18.7,18.88,-0.9,-0.17,2556797.0,136064
2025/07/06,19.0,19.04,18.82,18.88,19.0,-0.95,-0.18,1651112.75,87150
2025/07/02,19.0,19.19,18.83,19.0,19.0,0.0,0.0,5493509.5,289136
2025/07/01,19.01,19.29,18.74,19.0,19.01,-0.05,-0.01,2.2336088E7,1173099
2025/06/30,18.9,19.33,18.67,19.01,18.9,1.59,0.3,6697112.0,352715
2025/06/29,19.4,19.4,18.8,18.9,19.4,-2.58,-0.5,1.5356663E7,809544
2025/06/25,18.04,19.4,17.77,19.4,18.04,7.54,1.36,1.3093841E7,694740
2025/06/24,17.65,18.19,17.65,18.04,17.65,2.21,0.39,5756595.5,322120
2025/06/23,17.38,17.69,17.42,17.65,17.38,1.5,0.26,2865084.25,163072
2025/06/22,17.06,17.43,16.9,17.38,17.06,1.88,0.32,3489853.5,202819
2025/06/19,17.42,17.97,16.97,17.06,17.42,-2.07,-0.36,2489480.75,145538
2025/06/18,17.02,18.0,16.82,17.42,17.02,1.12,0.19,1881612.13,107613
2025/06/17,17.98,18.25,17.0,17.02,17.98,-2.95,-0.53,4054888.0,232427
2025/06/16,17.95,18.5,17.28,17.98,17.95,0.28,0.05,2450436.0,136589
