«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,32.23,32.36,31.8,32.08,32.23,-1.33,-0.43,2869324.25,89411
2026/01/12,32.32,32.68,32.0,32.23,32.32,0.03,0.01,4026505.5,124308
2026/01/11,31.84,32.6,31.29,32.32,31.84,1.51,0.48,6599763.0,204399
2026/01/08,31.71,31.96,31.5,31.84,31.71,0.69,0.22,1610686.0,50852
2026/01/06,31.33,31.89,31.2,31.71,31.33,1.47,0.46,3033218.25,96638
2026/01/05,32.2,32.0,31.26,31.33,32.2,-2.7,-0.87,3534756.25,112386
2026/01/04,32.07,32.32,31.9,32.2,32.07,-0.41,-0.13,2037112.0,63513
2025/12/31,32.03,32.4,31.8,32.07,32.03,0.12,0.04,2479647.25,77136
2025/12/30,31.9,32.12,31.7,32.03,31.9,0.53,0.17,1299170.0,40711
2025/12/29,31.69,31.99,31.56,31.9,31.69,0.06,0.02,2573531.25,81198
2025/12/28,31.51,31.75,31.44,31.69,31.51,0.63,0.2,1593261.75,50384
2025/12/25,31.63,31.9,31.35,31.51,31.63,-0.51,-0.16,2367981.75,75196
2025/12/24,31.69,32.0,31.48,31.63,31.69,-0.28,-0.09,2400181.25,75746
2025/12/23,31.73,32.0,31.55,31.69,31.73,0.44,0.14,1825164.88,57606
2025/12/22,31.9,32.19,31.67,31.73,31.9,-0.6,-0.19,1987510.5,62543
2025/12/21,31.67,32.19,31.8,31.9,31.67,0.73,0.23,1339503.25,41967
2025/12/18,32.51,32.72,31.67,31.67,32.51,-2.58,-0.84,5183364.5,161523
2025/12/17,32.88,32.88,32.5,32.51,32.88,-1.13,-0.37,2023032.63,62097
2025/12/16,33.01,33.28,32.74,32.88,33.01,-0.64,-0.21,3547740.25,107438
2025/12/15,32.63,33.6,32.6,33.01,32.63,1.13,0.37,7776766.0,234357
2025/12/14,33.01,33.25,32.5,32.63,33.01,-1.15,-0.38,5468256.5,166554
2025/12/11,33.4,33.68,32.9,33.01,33.4,-1.17,-0.39,5232513.5,157018
2025/12/10,32.47,33.7,32.3,33.4,32.47,2.86,0.93,9089819.0,273885
2025/12/09,32.93,32.91,32.01,32.47,32.93,-1.4,-0.46,5955839.5,184008
2025/12/08,33.11,33.25,32.88,32.93,33.11,-0.69,-0.23,4637966.5,140367
2025/12/07,32.69,33.3,32.75,33.11,32.69,1.28,0.42,7022168.0,212802
2025/12/04,31.39,33.68,32.52,32.69,31.39,4.14,1.3,3.916098E7,1181105
2025/12/03,30.97,31.51,30.95,31.39,30.97,1.71,0.53,1879566.13,59924
