«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,0.987,0.99,0.987,0.99,0.987,0.101,0.001,13305.5,13450
2026/01/12,0.984,0.99,0.986,0.987,0.984,0.508,0.005,12979.141,13139
2026/01/11,0.984,0.989,0.984,0.984,0.984,0.203,0.002,3309.483,3358
2026/01/08,0.985,0.985,0.984,0.984,0.985,0.0,0.0,20752.66,21083
2026/01/06,0.985,0.989,0.984,0.985,0.985,-0.102,-0.001,14921.597,15147
2026/01/05,0.986,0.994,0.984,0.985,0.986,-0.101,-0.001,50538.277,51253
2026/01/04,0.987,0.99,0.985,0.986,0.987,-0.101,-0.001,39703.996,40250
2025/12/31,0.987,0.989,0.987,0.987,0.987,0.0,0.0,31325.361,31717
2025/12/30,0.99,0.99,0.986,0.987,0.99,-0.404,-0.004,50124.891,50693
2025/12/29,0.988,0.992,0.989,0.99,0.988,0.202,0.002,31239.299,31554
2025/12/28,0.99,0.99,0.987,0.988,0.99,-0.101,-0.001,9084.742,9194
2025/12/25,0.987,0.99,0.985,0.99,0.987,0.304,0.003,23877.381,24180
2025/12/24,0.99,0.99,0.986,0.987,0.99,-0.404,-0.004,11696.227,11856
2025/12/23,0.99,0.99,0.986,0.99,0.99,-0.404,-0.004,20367.06,20574
2025/12/22,0.99,0.993,0.989,0.99,0.99,0.0,0.0,73482.797,74216
2025/12/21,0.982,0.99,0.981,0.99,0.982,0.815,0.008,21189.26,21458
2025/12/18,0.988,0.99,0.982,0.982,0.988,-0.607,-0.006,185386.547,187881
2025/12/17,0.989,0.993,0.985,0.988,0.989,-0.404,-0.004,36403.289,36805
2025/12/16,1.0,1.0,0.987,0.989,1.0,-1.3,-0.013,128013.484,128304
2025/12/15,0.99,1.0,0.998,1.0,0.99,1.01,0.01,87039.273,87064
2025/12/14,0.991,0.995,0.99,0.99,0.991,-0.101,-0.001,14786.964,14928
2025/12/11,0.991,0.998,0.99,0.991,0.991,-0.101,-0.001,4556.472,4582
2025/12/10,0.981,0.994,0.98,0.991,0.981,1.325,0.013,135636.781,137462
2025/12/09,0.986,0.988,0.98,0.981,0.986,-0.507,-0.005,24723.15,25151
2025/12/08,0.984,0.987,0.98,0.986,0.984,0.305,0.003,13704.705,13930
2025/12/07,0.98,0.985,0.98,0.984,0.98,0.102,0.001,35438.102,36100
2025/12/04,0.979,0.985,0.978,0.98,0.979,0.0,0.0,51036.984,52059
2025/12/03,0.975,0.979,0.974,0.979,0.975,0.41,0.004,22432.998,22951
2025/12/02,0.972,0.977,0.972,0.975,0.972,0.412,0.004,7815.67,8017
2025/12/01,0.972,0.975,0.972,0.972,0.972,0.0,0.0,10076.7,10357
2025/11/30,0.973,0.973,0.971,0.972,0.973,-0.103,-0.001,16416.715,16890
