«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,80.0,80.5,78.03,78.15,80.0,-2.31,-1.85,3615169.75,45415
2026/01/12,80.94,81.8,79.92,80.0,80.94,-1.16,-0.94,4814378.0,59647
2026/01/11,81.23,82.0,80.72,80.94,81.23,-0.36,-0.29,3235001.0,39916
2026/01/08,80.71,82.6,81.0,81.23,80.71,0.64,0.52,1948314.75,23905
2026/01/06,80.46,81.77,80.51,80.71,80.46,0.31,0.25,3021609.5,37312
2026/01/05,81.6,82.46,80.22,80.46,81.6,-1.4,-1.14,3755500.0,46383
2026/01/04,82.52,83.8,81.3,81.6,82.52,-1.11,-0.92,3594995.0,43626
2025/12/31,83.0,83.42,82.25,82.52,83.0,-0.58,-0.48,4265072.5,51683
2025/12/30,82.42,83.49,82.25,83.0,82.42,0.7,0.58,2761629.25,33377
2025/12/29,84.01,84.65,82.35,82.42,84.01,-1.89,-1.59,5769638.0,69430
2025/12/28,82.71,84.89,82.92,84.01,82.71,1.57,1.3,1.0099442E7,120147
2025/12/25,81.2,84.9,82.0,82.71,81.2,1.86,1.51,1.9867088E7,237943
2025/12/24,81.3,82.0,81.11,81.2,81.3,-0.12,-0.1,2302020.75,28257
2025/12/23,81.98,83.0,81.11,81.3,81.98,-0.83,-0.68,3838382.0,47114
2025/12/22,81.05,84.0,81.08,81.98,81.05,1.15,0.93,7396840.5,89447
2025/12/21,80.41,82.0,80.51,81.05,80.41,0.8,0.64,4429160.0,54505
2025/12/18,80.15,82.0,80.16,80.41,80.15,0.32,0.26,6894653.0,85031
2025/12/17,80.11,81.3,80.05,80.15,80.11,0.05,0.04,2632497.75,32717
2025/12/16,81.66,82.49,80.1,80.11,81.66,-1.9,-1.55,4053184.0,50129
2025/12/15,82.18,83.39,81.55,81.66,82.18,-0.63,-0.52,3132373.75,38010
2025/12/14,81.9,83.7,81.81,82.18,81.9,0.34,0.28,8564225.0,103528
2025/12/11,81.05,83.0,80.91,81.9,81.05,1.05,0.85,9361048.0,114028
2025/12/10,81.07,82.28,80.64,81.05,81.07,-0.09,-0.07,3724946.75,45852
2025/12/09,81.25,82.75,81.0,81.07,81.25,0.3,0.24,6375095.5,78289
2025/12/08,79.46,84.0,80.0,81.25,79.46,2.25,1.79,1.5488779E7,188155
2025/12/07,80.05,81.38,79.21,79.46,80.05,-0.74,-0.59,4867090.0,61009
2025/12/04,79.16,82.3,79.5,80.05,79.16,1.12,0.89,1.402263E7,173249
2025/12/03,81.26,82.48,79.1,79.16,81.26,-2.58,-2.1,1.4858519E7,185177
2025/12/02,82.02,83.0,81.11,81.26,82.02,-0.93,-0.76,8303876.0,101485
2025/12/01,81.51,83.71,81.5,82.02,81.51,0.63,0.51,7231220.5,87702
2025/11/30,82.14,82.99,81.51,81.51,82.14,-0.77,-0.63,9058015.0,110436
2025/11/27,82.53,82.9,81.77,82.14,82.53,-0.47,-0.39,5193324.0,63253
2025/11/26,84.01,84.99,82.16,82.53,84.01,-1.76,-1.48,6865236.0,81995
2025/11/25,86.36,87.0,83.72,84.01,86.36,-2.72,-2.35,9634848.0,112548
2025/11/24,85.5,88.99,85.7,86.36,85.5,1.01,0.86,2.580344E7,296143
2025/11/23,86.0,86.74,85.39,85.5,86.0,-0.58,-0.5,1.1986905E7,139244
2025/11/20,85.34,86.0,84.16,86.0,85.34,0.77,0.66,9100334.0,106662
2025/11/19,86.26,87.65,85.22,85.34,86.26,-1.07,-0.92,9874729.0,114839
2025/11/18,85.28,90.63,85.16,86.26,85.28,1.15,0.98,2.5568846E7,291365
2025/11/17,87.35,88.65,85.16,85.28,87.35,-2.37,-2.07,1.4267434E7,164623
2025/11/16,90.63,92.0,87.12,87.35,90.63,-3.62,-3.28,2.512441E7,282332
2025/11/13,90.55,96.49,90.5,90.63,90.55,0.09,0.08,8.5380504E7,910803
2025/11/12,88.25,92.8,87.5,90.55,88.25,2.61,2.3,6.12817E7,676486
2025/11/11,92.8,94.0,87.71,88.25,92.8,-4.9,-4.55,4.6746188E7,517879
2025/11/10,82.02,93.85,83.04,92.8,82.02,13.14,10.78,7.931896E7,891442
2025/11/09,79.07,85.98,78.56,82.02,79.07,3.73,2.95,2.5631808E7,308117
2025/11/06,78.81,81.59,78.01,79.07,78.81,0.33,0.26,5317650.5,66703
2025/11/05,80.16,82.0,78.5,78.81,80.16,-1.68,-1.35,3012653.25,37655
2025/11/04,77.7,82.0,77.2,80.16,77.7,3.99,3.1,1.1160488E7,138798
2025/11/03,78.14,78.85,77.02,77.7,78.14,-0.56,-0.44,4921700.5,63394
2025/11/02,79.28,80.79,77.56,78.14,79.28,-1.43,-1.13,2210034.5,28192
2025/10/30,80.19,81.98,78.5,79.28,80.19,-1.13,-0.91,4809767.5,60263
2025/10/29,78.01,83.13,78.0,80.19,78.01,2.79,2.18,9272825.0,114051
2025/10/28,79.01,79.98,77.58,78.01,79.01,-1.27,-1.0,8461441.0,108453
2025/10/27,81.01,81.89,78.8,79.01,81.01,-2.47,-2.0,5692696.0,70972
2025/10/26,82.1,82.55,81.0,81.01,82.1,-1.33,-1.09,3042934.0,37269
2025/10/23,82.52,84.0,81.51,82.1,82.52,-0.27,-0.22,2408214.0,29327
2025/10/22,84.19,85.0,82.35,82.52,84.19,-1.98,-1.67,3840119.5,46072
2025/10/21,85.0,85.5,84.0,84.19,85.0,-0.95,-0.81,3007576.75,35520
2025/10/20,86.5,87.99,84.97,85.0,86.5,-1.73,-1.5,7792935.0,90887
2025/10/19,85.3,88.35,84.9,86.5,85.3,1.41,1.2,7205728.0,83374
