«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,2.35,2.45,2.28,2.4,2.35,2.13,0.05,237526.44,99544
2026/01/12,2.26,2.37,2.24,2.35,2.26,3.98,0.09,372322.06,158457
2026/01/11,2.26,2.26,2.24,2.26,2.26,0.0,0.0,188108.56,83400
2026/01/08,2.26,2.34,2.24,2.26,2.26,-0.44,-0.01,36531.54,16040
2026/01/06,2.26,2.36,2.24,2.26,2.26,2.65,0.06,33320.16,14284
2026/01/05,2.3,2.36,2.2,2.26,2.3,-2.61,-0.06,165915.64,73387
2026/01/04,2.3,2.37,2.29,2.3,2.3,0.0,0.0,52192.62,22333
2025/12/31,2.32,2.38,2.3,2.3,2.32,-0.86,-0.02,233962.92,100809
2025/12/30,2.32,2.39,2.32,2.32,2.32,3.02,0.07,48874.79,20937
2025/12/29,2.32,2.39,2.32,2.32,2.32,0.0,0.0,53622.4,22842
2025/12/28,2.32,2.4,2.31,2.32,2.32,1.29,0.03,64881.14,27251
2025/12/25,2.32,2.4,2.29,2.32,2.32,2.59,0.06,17291.25,7268
2025/12/24,2.29,2.4,2.28,2.32,2.29,4.8,0.11,233473.31,100443
2025/12/23,2.39,2.48,2.28,2.29,2.39,0.84,0.02,386460.84,168935
2025/12/22,2.51,2.52,2.39,2.39,2.51,-4.78,-0.12,327243.63,136146
2025/12/21,2.51,2.52,2.42,2.51,2.51,0.0,0.0,146491.19,59653
2025/12/18,2.44,2.55,2.39,2.51,2.44,3.28,0.08,382446.19,155917
2025/12/17,2.48,2.56,2.38,2.44,2.48,-3.63,-0.09,455519.69,186612
2025/12/16,2.38,2.49,2.38,2.48,2.38,4.62,0.11,348157.41,140083
2025/12/15,2.27,2.38,2.23,2.38,2.27,4.85,0.11,547754.31,233200
2025/12/14,2.19,2.28,2.19,2.27,2.19,3.65,0.08,209406.72,92731
