«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,7.18,7.0,6.47,6.61,7.18,-7.94,-0.57,2212056.75,335947
2026/01/12,6.54,7.19,6.9,7.18,6.54,9.79,0.64,6810385.0,954746
2026/01/11,5.95,6.54,6.53,6.54,5.95,9.92,0.59,2759717.25,421995
2026/01/08,5.41,5.95,5.6,5.95,5.41,9.98,0.54,1110913.63,188059
2026/01/06,5.45,5.5,5.3,5.41,5.45,-0.73,-0.04,417058.63,77716
2026/01/05,5.58,5.7,5.33,5.45,5.58,-3.05,-0.17,491432.06,90096
2026/01/04,5.8,5.87,5.5,5.58,5.8,-4.66,-0.27,655117.5,115522
2025/12/31,6.01,6.35,5.61,5.8,6.01,-2.33,-0.14,1213929.88,207906
2025/12/30,5.49,6.03,5.36,6.01,5.49,9.47,0.52,2376081.25,408111
2025/12/29,5.3,5.5,5.22,5.49,5.3,3.58,0.19,1591386.13,295457
2025/12/28,5.32,5.4,5.21,5.3,5.32,-0.56,-0.03,818923.31,154628
2025/12/25,5.24,5.4,5.23,5.32,5.24,0.57,0.03,800277.25,150288
2025/12/24,5.22,5.4,5.2,5.24,5.22,2.49,0.13,752621.06,144096
2025/12/23,5.5,5.54,5.2,5.22,5.5,-1.27,-0.07,531993.81,101376
2025/12/22,5.57,5.65,5.35,5.5,5.57,-0.36,-0.02,264853.69,47861
2025/12/21,5.35,5.67,5.44,5.57,5.35,5.61,0.3,1501529.25,268119
2025/12/18,5.19,5.59,5.26,5.35,5.19,5.78,0.3,2618923.5,485207
2025/12/17,5.16,5.42,5.0,5.19,5.16,0.58,0.03,1154159.13,222037
2025/12/16,5.14,5.45,5.14,5.16,5.14,0.39,0.02,1525102.0,290500
2025/12/15,4.68,5.14,4.6,5.14,4.68,9.83,0.46,3649180.5,713958
2025/12/14,4.42,4.7,4.56,4.68,4.42,5.88,0.26,276605.25,59297
2025/12/11,4.42,4.69,4.53,4.42,4.42,3.85,0.17,76995.56,16667
2025/12/10,4.42,4.69,4.51,4.42,4.42,5.88,0.26,67849.98,14574
2025/12/09,4.42,4.67,4.31,4.42,4.42,4.75,0.21,56648.49,12723
2025/12/08,4.42,4.67,4.48,4.42,4.42,4.07,0.18,40621.83,8855
2025/12/07,4.42,4.68,4.43,4.42,4.42,1.13,0.05,69922.06,15444
2025/12/04,4.42,4.69,4.42,4.42,4.42,0.23,0.01,25750.61,5762
2025/12/03,4.5,4.51,4.4,4.42,4.5,-1.11,-0.05,291838.72,65754
2025/12/02,4.69,4.73,4.45,4.5,4.69,-4.05,-0.19,531549.44,116638
2025/12/01,4.53,4.75,4.57,4.69,4.53,2.65,0.12,235827.8,50277
2025/11/30,4.53,4.74,4.55,4.53,4.53,0.66,0.03,37737.98,8186
2025/11/27,4.73,4.85,4.45,4.53,4.73,-5.92,-0.28,357414.75,78010
