«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,15.85,16.47,15.83,15.83,15.85,-0.13,-0.02,3.05515584E8,18940832
2026/01/12,15.93,15.98,15.7,15.85,15.93,-0.5,-0.08,3.8476744E7,2438559
2026/01/11,15.7,16.05,15.7,15.93,15.7,1.46,0.23,1.00317272E8,6307847
2026/01/08,15.7,15.99,15.68,15.7,15.7,0.0,0.0,7.5167456E7,4750445
2026/01/06,15.25,15.7,15.25,15.7,15.25,2.95,0.45,5.8518192E7,3777070
2026/01/05,15.51,15.78,14.92,15.25,15.51,-1.68,-0.26,2.41759376E8,15966089
2026/01/04,16.12,16.24,15.51,15.51,16.12,-3.78,-0.61,5.6147372E7,3540029
2025/12/31,16.24,16.3,16.09,16.12,16.24,-0.74,-0.12,4.6199224E7,2852062
2025/12/30,16.25,16.37,16.2,16.24,16.25,-0.06,-0.01,2.1571566E7,1325737
2025/12/29,16.17,16.3,16.1,16.25,16.17,0.49,0.08,3.405496E7,2096490
2025/12/28,16.1,16.22,16.06,16.17,16.1,0.43,0.07,9458684.0,585503
2025/12/25,16.3,16.34,16.0,16.1,16.3,-1.23,-0.2,3.6991952E7,2290685
2025/12/24,16.21,16.3,16.13,16.3,16.21,0.56,0.09,5.4228504E7,3345812
2025/12/23,16.27,16.3,16.1,16.21,16.27,-0.37,-0.06,1.59070992E8,9820390
2025/12/22,16.23,16.33,16.15,16.27,16.23,0.25,0.04,2.1393492E7,1314634
2025/12/21,16.18,16.3,16.18,16.23,16.18,0.31,0.05,4.5892812E7,2820508
2025/12/18,16.2,16.29,16.12,16.18,16.2,-0.12,-0.02,2.77438496E8,17129244
2025/12/17,16.13,16.25,16.01,16.2,16.13,0.43,0.07,4.0230532E7,2497167
2025/12/16,15.94,16.3,15.95,16.13,15.94,1.19,0.19,7.8325688E7,4852554
2025/12/15,16.25,16.39,15.92,15.94,16.25,-1.91,-0.31,2.80805888E8,17532970
2025/12/14,16.2,16.48,15.91,16.25,16.2,0.31,0.05,2.722096E8,16973944
2025/12/11,16.2,16.64,16.2,16.2,16.2,0.0,0.0,1.40621824E8,8548483
2025/12/10,15.89,16.27,15.8,16.2,15.89,1.95,0.31,1.21965856E8,7559843
2025/12/09,16.05,16.24,15.73,15.89,16.05,-1.0,-0.16,5.9049188E7,3711792
2025/12/08,15.71,16.2,15.74,16.05,15.71,2.16,0.34,2.3715432E8,14834936
2025/12/07,15.21,15.72,15.21,15.71,15.21,3.29,0.5,1.02280896E8,6581013
2025/12/04,15.21,15.4,15.2,15.21,15.21,0.0,0.0,4.2004792E7,2748487
2025/12/03,15.25,15.48,15.12,15.21,15.25,-0.26,-0.04,5.6396236E7,3690439
2025/12/02,15.45,15.55,15.12,15.25,15.45,-1.29,-0.2,3.285698E7,2155592
2025/12/01,15.5,15.75,15.36,15.45,15.5,-0.65,-0.1,6.295048E7,4042565
2025/11/30,14.95,15.51,15.0,15.5,14.95,3.68,0.55,7.414864E7,4845202
2025/11/27,14.64,14.97,14.64,14.95,14.64,2.12,0.31,1.66234608E8,11174779
2025/11/26,14.78,15.15,14.6,14.64,14.78,-0.95,-0.14,4.7755116E7,3213327
2025/11/25,15.0,15.26,14.77,14.78,15.0,-1.47,-0.22,6.3522464E7,4231202
2025/11/24,15.37,15.49,15.0,15.0,15.37,-2.41,-0.37,1.55139408E8,10284539
2025/11/23,15.3,15.6,15.31,15.37,15.3,0.46,0.07,3.7385928E7,2418895
2025/11/20,15.55,15.79,15.3,15.3,15.55,-1.61,-0.25,1.14202784E8,7404001
2025/11/19,15.51,15.75,15.31,15.55,15.51,0.26,0.04,1.41462144E8,9155721
2025/11/18,15.96,15.99,15.49,15.51,15.96,-2.82,-0.45,1.39381056E8,8894931
2025/11/17,15.7,16.1,15.74,15.96,15.7,1.66,0.26,2.62825856E8,16504756
2025/11/16,15.22,15.73,15.15,15.7,15.22,3.15,0.48,2.58958864E8,16757954
2025/11/13,15.17,15.42,15.0,15.22,15.17,0.33,0.05,3.81830784E8,25142437
2025/11/12,15.15,15.35,14.98,15.17,15.15,0.13,0.02,2.85736832E8,18904645
2025/11/11,15.5,15.64,15.15,15.15,15.5,-2.26,-0.35,1.17556112E8,7613409
2025/11/10,16.0,16.1,15.29,15.5,16.0,-3.13,-0.5,2.63138336E8,16943290
2025/11/09,15.38,16.1,15.5,16.0,15.38,4.03,0.62,1.72475824E8,10856685
2025/11/06,14.3,15.5,14.31,15.38,14.3,7.55,1.08,3.03881472E8,20306930
2025/11/05,14.57,14.65,14.3,14.3,14.57,-1.85,-0.27,7.1966576E7,4995814
2025/11/04,14.3,14.57,14.33,14.57,14.3,1.89,0.27,1.27292328E8,8778345
2025/11/03,14.45,14.63,14.2,14.3,14.45,-1.04,-0.15,1.03352568E8,7201315
2025/11/02,14.6,14.79,14.38,14.45,14.6,-1.03,-0.15,3.5581208E7,2443886
2025/10/30,14.57,14.9,14.5,14.6,14.57,0.21,0.03,1.000180992E9,68469604
2025/10/29,14.6,14.67,14.5,14.57,14.6,-0.21,-0.03,2.101856E7,1445931
2025/10/28,14.66,14.7,14.48,14.6,14.66,-0.41,-0.06,3.6866036E7,2527028
2025/10/27,14.37,14.7,14.35,14.66,14.37,2.02,0.29,2.41785968E8,16621793
2025/10/26,14.4,14.47,14.32,14.37,14.4,-0.21,-0.03,4.2387952E7,2944965
2025/10/23,14.3,14.47,14.22,14.4,14.3,0.7,0.1,8.3865616E7,5832327
2025/10/22,14.31,14.4,14.23,14.3,14.31,-0.07,-0.01,7.2311472E7,5058291
2025/10/21,14.25,14.4,14.26,14.31,14.25,0.42,0.06,2.15553584E8,15069846
2025/10/20,14.36,14.4,14.25,14.25,14.36,-0.77,-0.11,4.958076E7,3458966
2025/10/19,14.33,14.43,14.28,14.36,14.33,0.21,0.03,7.025636E7,4893613
2025/10/16,14.25,14.41,14.23,14.33,14.25,0.56,0.08,2.28235808E8,15922782
2025/10/15,14.4,14.49,13.9,14.25,14.4,-1.04,-0.15,3.03075104E8,21440355
2025/10/14,14.6,14.73,14.4,14.4,14.6,-1.37,-0.2,1.16455344E8,8012069
2025/10/13,14.69,14.7,14.36,14.6,14.69,-0.61,-0.09,6.1675352E7,4251368
2025/10/12,14.72,14.7,14.4,14.69,14.72,-0.2,-0.03,4.9717064E7,3423281
2025/10/08,14.6,14.74,14.39,14.72,14.6,0.82,0.12,3.8159804E7,2620425
2025/10/07,14.78,14.82,14.51,14.6,14.78,-1.22,-0.18,2.9688532E7,2028431
2025/10/06,14.61,14.97,14.41,14.78,14.61,1.16,0.17,3.984922E7,2717065
2025/10/05,14.51,14.73,14.52,14.61,14.51,0.69,0.1,2.6555056E7,1813321
2025/10/02,14.2,14.7,14.18,14.51,14.2,2.18,0.31,1.6550944E8,11478355
2025/10/01,14.2,14.43,14.1,14.2,14.2,0.0,0.0,9.3540192E7,6575596
2025/09/30,14.27,14.55,14.08,14.2,14.27,-0.49,-0.07,6.5257924E7,4564815
2025/09/29,13.9,14.3,13.82,14.27,13.9,2.66,0.37,1.3762528E8,9732538
2025/09/28,13.8,13.96,13.71,13.9,13.8,0.72,0.1,1.8883678E7,1361368
2025/09/25,13.75,13.9,13.75,13.8,13.75,0.36,0.05,2.9092792E7,2107204
2025/09/24,13.83,13.98,13.69,13.75,13.83,-0.58,-0.08,3.1779872E7,2295177
2025/09/23,13.47,13.98,13.52,13.83,13.47,2.67,0.36,8.1288464E7,5875299
2025/09/22,13.5,13.8,13.4,13.47,13.5,-0.22,-0.03,8.8491648E7,6481066
2025/09/21,13.11,13.7,13.15,13.5,13.11,2.97,0.39,8.410864E7,6215479
2025/09/18,13.3,13.42,13.1,13.11,13.3,-1.43,-0.19,1.012598E8,7646783
2025/09/17,13.46,13.47,13.1,13.3,13.46,-1.19,-0.16,7.080364E7,5359326
2025/09/16,13.41,13.5,13.09,13.46,13.41,0.37,0.05,2.890222E7,2167427
2025/09/15,13.7,13.8,13.2,13.41,13.7,-2.12,-0.29,6.1051288E7,4517568
2025/09/14,13.65,13.8,13.55,13.7,13.65,0.37,0.05,3.5105952E7,2557773
2025/09/11,13.3,13.99,13.21,13.65,13.3,2.63,0.35,8.2013712E7,6017122
2025/09/10,13.15,13.4,13.05,13.3,13.15,1.14,0.15,4.2844328E7,3229839
2025/09/09,13.14,13.42,13.13,13.15,13.14,0.08,0.01,4.0611304E7,3054796
2025/09/08,13.05,13.4,13.0,13.14,13.05,0.69,0.09,6.256056E7,4702021
2025/09/07,13.05,13.37,12.8,13.05,13.05,0.0,0.0,2.9694794E7,2276076
2025/09/03,13.32,13.4,13.0,13.05,13.32,-2.03,-0.27,5.9186028E7,4493316
2025/09/02,13.3,13.49,13.3,13.32,13.3,0.15,0.02,1.92439E7,1438439
2025/09/01,13.32,13.5,13.23,13.3,13.32,-0.15,-0.02,3.5011468E7,2620846
2025/08/31,13.8,13.85,13.3,13.32,13.8,-3.48,-0.48,4.2260936E7,3132249
2025/08/28,13.49,13.8,13.32,13.8,13.49,2.3,0.31,2.8287722E7,2073736
2025/08/27,13.4,13.49,13.15,13.49,13.4,0.67,0.09,1.720966E7,1292240
2025/08/26,13.72,13.8,13.25,13.4,13.72,-2.33,-0.32,3.575744E7,2644599
2025/08/25,13.72,13.82,13.65,13.72,13.72,0.0,0.0,1.436394E7,1046602
2025/08/24,13.59,13.79,13.5,13.72,13.59,0.96,0.13,2.8815072E7,2106503
2025/08/21,13.66,13.73,13.35,13.59,13.66,-0.51,-0.07,3.132088E7,2309707
2025/08/20,13.78,13.85,13.5,13.66,13.78,-0.87,-0.12,8.1431568E7,5924204
