«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,27.11,29.25,27.2,28.0,27.11,3.28,0.89,1.85368224E8,6558973
2026/01/12,26.07,27.88,26.11,27.11,26.07,3.99,1.04,1.22047264E8,4487516
2026/01/11,26.2,26.55,25.9,26.07,26.2,-0.5,-0.13,2.6247046E7,995318
2026/01/08,26.6,26.8,26.1,26.2,26.6,-1.5,-0.4,2.4247006E7,920795
2026/01/06,25.83,26.75,25.75,26.6,25.83,2.98,0.77,3.3019386E7,1243001
2026/01/05,26.0,26.3,25.34,25.83,26.0,-0.65,-0.17,3.7849044E7,1476426
2026/01/04,27.0,27.15,25.72,26.0,27.0,-3.7,-1.0,3.7446016E7,1435246
2025/12/31,26.49,27.0,26.32,27.0,26.49,1.93,0.51,5.748924E7,2165111
2025/12/30,27.0,27.15,26.4,26.49,27.0,-1.89,-0.51,3.2253102E7,1217572
2025/12/29,27.2,27.25,26.7,27.0,27.2,-0.74,-0.2,2.3661416E7,879365
2025/12/28,26.99,27.39,26.5,27.2,26.99,0.78,0.21,1.6642337E7,621031
2025/12/25,26.8,27.14,26.91,26.99,26.8,0.71,0.19,2.1918354E7,812049
2025/12/24,27.0,27.55,26.7,26.8,27.0,-0.74,-0.2,5.729354E7,2115854
2025/12/23,26.51,27.0,26.1,27.0,26.51,1.62,0.43,2.389944E7,894446
2025/12/22,26.92,27.3,26.5,26.51,26.92,-1.52,-0.41,2.3245842E7,866816
2025/12/21,26.99,27.0,26.25,26.92,26.99,-0.33,-0.09,2.2579666E7,851838
2025/12/18,26.95,27.1,26.0,26.99,26.95,0.15,0.04,9210581.0,344230
2025/12/17,27.4,27.49,26.8,26.95,27.4,-1.82,-0.5,4938023.0,183150
2025/12/16,27.64,27.79,27.0,27.4,27.64,-0.87,-0.24,7.2644264E7,2643988
2025/12/15,26.49,27.66,26.4,27.64,26.49,4.34,1.15,8.2777712E7,3052551
2025/12/14,26.3,27.05,26.18,26.49,26.3,0.72,0.19,4.9469404E7,1858724
2025/12/11,25.89,26.4,25.8,26.3,25.89,1.58,0.41,3.2696896E7,1257660
2025/12/10,26.0,26.2,25.79,25.89,26.0,-0.42,-0.11,9987850.0,386569
2025/12/09,26.05,26.28,25.78,26.0,26.05,-0.19,-0.05,2.880088E7,1114192
2025/12/08,25.99,26.47,26.0,26.05,25.99,0.23,0.06,1.4502107E7,554707
2025/12/07,26.26,26.26,25.53,25.99,26.26,-1.03,-0.27,3.1446586E7,1212920
2025/12/04,25.0,26.27,24.68,26.26,25.0,5.04,1.26,1.7251586E7,669139
2025/12/03,25.33,25.48,24.91,25.0,25.33,-1.3,-0.33,3.6684548E7,1458626
2025/12/02,25.6,25.95,25.32,25.33,25.6,-0.78,-0.2,2.0094908E7,786911
2025/12/01,26.01,26.45,25.51,25.6,26.01,-1.58,-0.41,2.5341038E7,982094
2025/11/30,26.14,26.75,25.94,26.01,26.14,-0.5,-0.13,5139773.0,196056
2025/11/27,26.19,26.8,25.5,26.14,26.19,-0.19,-0.05,1.6492209E7,626662
2025/11/26,26.6,26.85,25.8,26.19,26.6,-1.54,-0.41,3.002401E7,1149687
2025/11/25,26.85,27.0,26.48,26.6,26.85,-1.19,-0.32,2.4817926E7,922998
2025/11/24,26.83,26.99,26.46,26.85,26.83,0.07,0.02,2.4936124E7,934444
2025/11/23,26.5,27.39,26.4,26.83,26.5,1.25,0.33,2.045854E7,758070
2025/11/20,26.56,27.25,26.25,26.5,26.56,-0.23,-0.06,2.3872424E7,891348
