«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,0.96,0.964,0.941,0.942,0.96,-1.875,-0.018,1.0464595E7,10975367
2026/01/12,0.977,0.981,0.959,0.96,0.977,-1.74,-0.017,1.4460416E7,14908016
2026/01/11,0.977,0.986,0.975,0.977,0.977,0.0,0.0,7867252.5,8039703
2026/01/08,0.985,0.993,0.976,0.977,0.985,-0.812,-0.008,1.2017036E7,12207628
2026/01/06,0.975,0.99,0.98,0.985,0.975,1.026,0.01,6809083.5,6909813
2026/01/05,0.991,0.997,0.975,0.975,0.991,-1.615,-0.016,1.9678878E7,20003706
2026/01/04,1.0,1.016,0.988,0.991,1.0,-0.9,-0.009,3.1183328E7,31194012
2025/12/31,0.986,1.017,0.987,1.0,0.986,1.42,0.014,5.7639712E7,57218175
2025/12/30,0.99,0.996,0.985,0.986,0.99,-0.404,-0.004,7346189.5,7432596
2025/12/29,0.992,1.003,0.986,0.99,0.992,-0.202,-0.002,1.922998E7,19333009
2025/12/28,0.989,1.005,0.99,0.992,0.989,0.303,0.003,2.659146E7,26672941
2025/12/25,0.998,1.014,0.986,0.989,0.998,-0.902,-0.009,3.7660972E7,37612731
2025/12/24,0.974,1.008,0.98,0.998,0.974,2.464,0.024,2.9722386E7,29796914
2025/12/23,0.973,0.978,0.97,0.974,0.973,0.103,0.001,9392508.0,9648020
2025/12/22,0.972,0.984,0.973,0.973,0.972,0.103,0.001,8599650.0,8792877
2025/12/21,0.99,1.0,0.971,0.972,0.99,-1.818,-0.018,1.996645E7,20289788
2025/12/18,0.98,1.0,0.97,0.99,0.98,1.02,0.01,2.1722704E7,21962499
2025/12/17,1.01,1.02,0.97,0.98,1.01,-2.97,-0.03,3.7643024E7,37970673
2025/12/16,1.02,1.03,1.0,1.01,1.02,-0.98,-0.01,3.6640884E7,36200275
2025/12/15,1.04,1.07,1.02,1.02,1.04,-1.923,-0.02,6.4451652E7,62275224
2025/12/14,1.04,1.07,1.03,1.04,1.04,0.0,0.0,7.315812E7,69503047
2025/12/11,1.005,1.059,1.011,1.04,1.005,3.483,0.035,7.9172528E7,75961336
2025/12/10,0.998,1.02,1.0,1.005,0.998,0.701,0.007,1.239714E7,12281128
2025/12/09,0.992,1.019,0.991,0.998,0.992,0.605,0.006,9129025.0,9077629
2025/12/08,1.023,1.03,0.99,0.992,1.023,-3.226,-0.033,1.0742215E7,10617014
2025/12/07,1.0,1.027,1.003,1.023,1.0,2.3,0.023,1.0401628E7,10184483
2025/12/04,0.999,1.003,0.99,1.0,0.999,0.1,0.001,4423865.0,4440857
2025/12/03,1.011,1.029,0.993,0.999,1.011,-1.187,-0.012,9480390.0,9419610
2025/12/02,0.942,1.02,0.943,1.011,0.942,7.325,0.069,2.3843994E7,24049287
2025/12/01,0.952,0.958,0.94,0.942,0.952,-1.05,-0.01,2030606.375,2135886
2025/11/30,0.952,0.959,0.95,0.952,0.952,0.0,0.0,1877636.625,1971036
2025/11/27,0.952,0.955,0.933,0.952,0.952,0.315,0.003,5521759.5,5845805
2025/11/26,0.966,0.975,0.951,0.952,0.966,-1.449,-0.014,4938035.5,5164907
2025/11/25,0.987,0.997,0.961,0.966,0.987,-2.128,-0.021,1.0425135E7,10711171
2025/11/24,0.994,1.009,0.983,0.987,0.994,-0.704,-0.007,6414106.0,6450848
2025/11/23,1.0,1.01,0.991,0.994,1.0,-0.6,-0.006,3521032.25,3527514
2025/11/20,1.01,1.04,1.0,1.0,1.01,-0.99,-0.01,1.1574732E7,11413272
2025/11/19,1.03,1.04,1.0,1.01,1.03,-1.942,-0.02,1.5040137E7,14875170
2025/11/18,0.99,1.05,0.98,1.03,0.99,4.04,0.04,2.3705948E7,23138746
2025/11/17,1.0,1.01,0.98,0.99,1.0,-1.0,-0.01,6493066.5,6508002
2025/11/16,1.02,1.02,1.0,1.0,1.02,-1.961,-0.02,7848411.5,7780224
2025/11/13,1.03,1.04,1.01,1.02,1.03,-0.971,-0.01,7637596.5,7455440
2025/11/12,1.03,1.05,1.03,1.03,1.03,0.0,0.0,8957950.0,8659927
2025/11/11,1.03,1.04,1.02,1.03,1.03,0.0,0.0,1.0356492E7,10062932
2025/11/10,1.03,1.11,1.03,1.03,1.03,0.0,0.0,5.2092544E7,49286822
2025/11/09,1.06,1.07,1.03,1.03,1.06,-2.83,-0.03,8973066.0,8586818
2025/11/06,1.07,1.09,1.05,1.06,1.07,-0.935,-0.01,1.4560376E7,13611976
2025/11/05,1.13,1.14,1.07,1.07,1.13,-5.31,-0.06,2.223507E7,20384372
2025/11/04,1.14,1.15,1.12,1.13,1.14,-0.877,-0.01,5340460.5,4708185
2025/11/03,1.14,1.15,1.13,1.14,1.14,0.0,0.0,4345133.5,3825424
2025/11/02,1.16,1.17,1.13,1.14,1.16,-1.72,-0.02,8100033.0,7045639
2025/10/30,1.2,1.21,1.15,1.16,1.2,-3.33,-0.04,2.0571426E7,17535271
2025/10/29,1.23,1.24,1.19,1.2,1.23,-2.44,-0.03,1.0321379E7,8572571
2025/10/28,1.18,1.24,1.17,1.23,1.18,4.24,0.05,1.5253093E7,12604304
2025/10/27,1.17,1.21,1.16,1.18,1.17,0.85,0.01,1.0466679E7,8824722
2025/10/26,1.18,1.2,1.17,1.17,1.18,-0.85,-0.01,1.2890949E7,10905432
2025/10/23,1.23,1.25,1.17,1.18,1.23,-4.07,-0.05,2.800718E7,23139729
2025/10/22,1.22,1.38,1.21,1.23,1.22,0.82,0.01,5.55391E7,43323191
2025/10/21,1.27,1.28,1.2,1.22,1.27,-3.94,-0.05,1.3914167E7,11304900
2025/10/20,1.3,1.31,1.26,1.27,1.3,-2.31,-0.03,1.3540956E7,10585733
2025/10/19,1.28,1.32,1.28,1.3,1.28,1.56,0.02,6868421.0,5290242
2025/10/16,1.28,1.34,1.27,1.28,1.28,0.0,0.0,1.6470023E7,12610207
2025/10/15,1.34,1.35,1.25,1.28,1.34,-4.48,-0.06,1.720305E7,13268453
2025/10/14,1.48,1.73,1.34,1.34,1.48,-9.46,-0.14,3.8709192E7,26384041
2025/10/13,7.47,7.97,7.36,7.41,7.47,-0.8,-0.06,5566654.5,729781
2025/10/12,7.56,7.66,7.4,7.47,7.56,-1.98,-0.15,940499.19,125694
2025/10/08,7.6,7.78,7.4,7.56,7.6,-0.53,-0.04,6148856.0,815999
2025/10/07,6.86,8.17,6.87,7.6,6.86,12.83,0.88,1.4814416E7,1909256
2025/10/06,6.86,6.99,6.78,6.86,6.86,1.02,0.07,232587.56,34029
2025/10/05,7.08,7.1,6.85,6.86,7.08,-3.25,-0.23,1046315.56,150716
2025/10/02,7.13,7.4,7.01,7.08,7.13,-1.68,-0.12,618123.88,86834
2025/10/01,7.24,7.43,7.03,7.13,7.24,-1.52,-0.11,441725.97,61748
2025/09/30,7.27,7.49,7.2,7.24,7.27,-0.96,-0.07,1528255.5,208222
2025/09/29,6.8,8.0,6.8,7.27,6.8,7.35,0.5,1.127395E7,1492273
2025/09/28,6.8,6.96,6.65,6.8,6.8,2.35,0.16,236306.95,34287
2025/09/25,6.8,6.87,6.63,6.8,6.8,1.03,0.07,324708.94,47753
2025/09/24,6.8,6.8,6.6,6.8,6.8,-2.21,-0.15,61416.22,9203
2025/09/23,6.67,6.82,6.58,6.8,6.67,2.25,0.15,859183.13,127122
2025/09/22,6.67,6.87,6.6,6.67,6.67,0.0,0.0,249024.45,36661
2025/09/21,6.53,6.79,6.4,6.67,6.53,3.98,0.26,489261.81,74099
2025/09/18,6.53,6.42,6.28,6.53,6.53,-2.14,-0.14,278063.38,43938
2025/09/17,6.53,6.5,6.4,6.53,6.53,-1.99,-0.13,225791.58,35227
2025/09/16,6.98,6.68,6.46,6.53,6.98,-6.88,-0.48,309074.69,47298
2025/09/15,6.98,6.68,6.56,6.98,6.98,-5.3,-0.37,130951.28,19847
2025/09/14,6.98,6.72,6.57,6.98,6.98,-4.44,-0.31,143561.8,21681
2025/09/11,6.98,6.75,6.59,6.98,6.98,-4.73,-0.33,102373.73,15414
2025/09/10,6.98,6.76,6.57,6.98,6.98,-3.15,-0.22,244429.61,36925
2025/09/09,6.98,6.76,6.56,6.98,6.98,-5.44,-0.38,244303.05,36698
2025/09/08,6.98,6.76,6.58,6.98,6.98,-3.44,-0.24,189448.44,28485
2025/09/07,6.98,6.89,6.6,6.98,6.98,-3.44,-0.24,198404.53,29649
2025/09/03,6.98,6.9,6.71,6.98,6.98,-3.87,-0.27,188736.92,27851
2025/09/02,6.98,6.88,6.81,6.98,6.98,-1.43,-0.1,297444.47,43496
2025/09/01,6.98,6.9,6.81,6.98,6.98,-2.44,-0.17,53298.45,7796
