«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2024/10/16,1.0,16.0,0.25,15.0,1.0,1400.0,14.0,1254948.88,783073
2024/10/14,0.01,1.0,0.1,1.0,0.01,9900.0,0.99,8149.4,11367
2024/10/09,1.0,0.01,0.01,0.01,1.0,-99.0,-0.99,10.0,1000
2021/05/30,2.22,2.11,2.11,2.22,2.22,-4.95,-0.11,84302.9375,39954
2021/05/17,2.22,2.11,2.11,2.22,2.22,-4.95,-0.11,192.009995,91
2021/05/11,2.22,2.11,2.11,2.22,2.22,-4.95,-0.11,6340.549805,3005
2021/05/10,2.22,2.11,2.11,2.22,2.22,-4.95,-0.11,706.849976,335
2021/05/09,2.22,2.11,2.11,2.22,2.22,-4.95,-0.11,1415.810059,671
2021/05/06,2.22,2.11,2.11,2.22,2.22,-4.95,-0.11,59565.300781,28230
2021/05/05,2.22,2.11,2.11,2.22,2.22,-4.95,-0.11,422.0,200
2021/05/04,2.22,2.11,2.11,2.22,2.22,-4.95,-0.11,211.0,100
2021/04/28,2.22,2.11,2.11,2.22,2.22,-4.95,-0.11,232.100006,110
2021/04/25,2.22,2.11,2.11,2.22,2.22,-4.95,-0.11,63.299999,30
2021/04/20,2.22,2.11,2.11,2.22,2.22,-4.95,-0.11,656.210022,311
2021/04/19,2.22,2.11,2.11,2.22,2.22,-4.95,-0.11,10.55,5
2021/04/18,2.22,2.11,2.11,2.22,2.22,-4.95,-0.11,42.200001,20
2021/04/15,2.22,2.11,2.11,2.22,2.22,-4.95,-0.11,189.899994,90
2021/04/14,2.22,2.11,2.11,2.22,2.22,-4.95,-0.11,105.5,50
2021/04/13,2.22,2.11,2.11,2.22,2.22,-4.95,-0.11,295.399994,140
2021/04/12,2.22,2.11,2.11,2.22,2.22,-4.95,-0.11,42.200001,20
2021/04/11,2.22,2.11,2.11,2.22,2.22,-4.95,-0.11,379.799988,180
2021/03/30,2.22,2.11,2.11,2.22,2.22,-4.95,-0.11,6718.240234,3184
2021/03/24,2.22,2.11,2.11,2.22,2.22,-4.95,-0.11,1688.0,800
2021/03/21,2.22,2.11,2.11,2.22,2.22,-4.95,-0.11,6363.759766,3016
2021/03/17,2.33,2.33,2.22,2.22,2.33,-4.72,-0.11,277583.5,125000
2021/03/15,2.45,2.33,2.33,2.33,2.45,-4.9,-0.12,116500.0,50000
2021/03/14,2.45,2.33,2.33,2.45,2.45,-4.9,-0.12,6990.0,3000
2021/02/28,2.45,2.33,2.33,2.45,2.45,-4.9,-0.12,4660.0,2000
2021/02/24,2.45,2.33,2.33,2.45,2.45,-4.9,-0.12,6990.0,3000
