«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,0.612,0.616,0.601,0.607,0.612,-0.327,-0.002,4193405.25,6883991
2026/01/12,0.627,0.634,0.606,0.612,0.627,-2.392,-0.015,6012765.0,9718754
2026/01/11,0.623,0.64,0.624,0.627,0.623,0.642,0.004,1732329.125,2758763
2026/01/08,0.628,0.63,0.62,0.623,0.628,-0.796,-0.005,2626699.5,4205974
2026/01/06,0.621,0.636,0.623,0.628,0.621,0.644,0.004,1604327.625,2544846
2026/01/05,0.635,0.639,0.62,0.621,0.635,-2.205,-0.014,5472007.5,8697093
2026/01/04,0.648,0.653,0.625,0.635,0.648,-2.006,-0.013,5714792.0,8913614
2025/12/31,0.655,0.663,0.643,0.648,0.655,-1.069,-0.007,6826205.0,10421807
2025/12/30,0.656,0.664,0.644,0.655,0.656,-0.152,-0.001,1.1948465E7,18219078
2025/12/29,0.656,0.674,0.65,0.656,0.656,0.0,0.0,1.8354382E7,27836423
2025/12/28,0.646,0.665,0.648,0.656,0.646,1.548,0.01,2.3390082E7,35707579
2025/12/25,0.624,0.655,0.619,0.646,0.624,3.526,0.022,4.9781996E7,77769083
2025/12/24,0.62,0.628,0.615,0.624,0.62,0.645,0.004,1.9491718E7,31296799
2025/12/23,0.598,0.627,0.595,0.62,0.598,3.679,0.022,1.7627E7,28676117
2025/12/22,0.598,0.61,0.596,0.598,0.598,0.0,0.0,9950056.0,16547197
2025/12/21,0.598,0.608,0.595,0.598,0.598,0.0,0.0,5264277.5,8760512
2025/12/18,0.61,0.612,0.595,0.598,0.61,-1.967,-0.012,6302896.0,10442235
2025/12/17,0.616,0.618,0.604,0.61,0.616,-1.461,-0.009,3561518.0,5815464
2025/12/16,0.612,0.622,0.61,0.616,0.612,0.654,0.004,4707273.0,7644326
2025/12/15,0.612,0.629,0.611,0.612,0.612,0.0,0.0,1.1911068E7,19185800
2025/12/14,0.617,0.62,0.61,0.612,0.617,-0.81,-0.005,7247969.5,11806375
2025/12/11,0.623,0.629,0.615,0.617,0.623,-0.963,-0.006,4764058.5,7665787
2025/12/10,0.623,0.63,0.621,0.623,0.623,0.0,0.0,3871976.5,6204535
2025/12/09,0.62,0.628,0.617,0.623,0.62,0.484,0.003,5739131.5,9225576
