«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,2.35,2.51,2.36,2.4,2.35,2.13,0.05,6201756.5,2521058
2026/01/12,2.52,2.53,2.3,2.35,2.52,-6.75,-0.17,8283035.0,3401585
2026/01/11,2.57,2.59,2.5,2.52,2.57,-1.95,-0.05,4483810.5,1771803
2026/01/08,2.66,2.65,2.57,2.57,2.66,-3.38,-0.09,6744815.0,2593509
2026/01/06,2.65,2.66,2.52,2.66,2.65,0.38,0.01,9625165.0,3682263
2026/01/05,2.69,2.67,2.52,2.65,2.69,-1.49,-0.04,6919679.0,2667374
2026/01/04,2.46,2.69,2.46,2.69,2.46,9.35,0.23,8788673.0,3402107
2025/12/31,2.6,2.62,2.4,2.46,2.6,-5.38,-0.14,1.9007062E7,7616021
2025/12/30,2.72,2.7,2.57,2.6,2.72,-4.41,-0.12,1.3266147E7,5056192
2025/12/29,2.76,2.78,2.66,2.72,2.76,-1.09,-0.03,1.739115E7,6440927
2025/12/28,2.83,2.83,2.75,2.76,2.83,-2.47,-0.07,4591883.5,1655155
2025/12/25,2.79,2.85,2.7,2.83,2.79,1.43,0.04,2.2047686E7,7871130
2025/12/24,2.7,2.79,2.64,2.79,2.7,3.33,0.09,3.0568594E7,11326994
2025/12/23,2.72,2.72,2.64,2.7,2.72,-0.74,-0.02,1.765649E7,6594084
2025/12/22,2.71,2.72,2.61,2.72,2.71,0.37,0.01,1.9309036E7,7205613
2025/12/21,2.8,2.78,2.67,2.71,2.8,-3.21,-0.09,1.5965398E7,5913379
2025/12/18,2.6,2.8,2.58,2.8,2.6,7.69,0.2,4.1745512E7,15694073
2025/12/17,2.63,2.64,2.56,2.6,2.63,-1.14,-0.03,1.0865729E7,4179912
2025/12/16,2.56,2.64,2.52,2.63,2.56,3.13,0.08,1.2716995E7,4947869
2025/12/15,2.5,2.58,2.45,2.56,2.5,2.4,0.06,1.1001905E7,4359912
2025/12/14,2.66,2.66,2.48,2.5,2.66,-6.02,-0.16,1.4595472E7,5696005
2025/12/11,2.7,2.69,2.54,2.66,2.7,-1.48,-0.04,1.2244858E7,4697384
2025/12/10,2.67,2.7,2.53,2.7,2.67,-0.37,-0.01,1.9739488E7,7596106
2025/12/09,2.75,2.74,2.66,2.67,2.75,-2.91,-0.08,1.2008247E7,4471542
2025/12/08,2.72,2.76,2.58,2.75,2.72,1.1,0.03,2.06596E7,7822516
2025/12/07,2.68,2.79,2.63,2.72,2.68,1.49,0.04,2.0618942E7,7623555
2025/12/04,2.46,2.73,2.44,2.68,2.46,8.94,0.22,4.663252E7,18102695
2025/12/03,2.4,2.5,2.34,2.46,2.4,2.5,0.06,1.8539738E7,7687042
2025/12/02,2.39,2.4,2.28,2.4,2.39,0.42,0.01,1.2147037E7,5176924
2025/12/01,2.3,2.39,2.19,2.39,2.3,3.91,0.09,2.2953082E7,10027771
2025/11/30,2.57,2.56,2.29,2.3,2.57,-10.51,-0.27,2.4303848E7,10349489
2025/11/27,2.45,2.6,2.4,2.57,2.45,4.9,0.12,1.9262418E7,7730703
2025/11/26,2.7,2.7,2.44,2.45,2.7,-9.26,-0.25,2.420766E7,9565169
2025/11/25,2.79,2.79,2.29,2.7,2.79,-3.23,-0.09,3.2808134E7,12396843
2025/11/24,2.77,2.82,2.65,2.79,2.77,0.72,0.02,2.2694452E7,8316086
2025/11/23,2.58,2.77,2.54,2.77,2.58,6.59,0.17,2.8898E7,10841424
2025/11/20,2.64,2.64,2.54,2.58,2.64,-2.27,-0.06,2.5839076E7,9900909
2025/11/19,2.59,2.65,2.48,2.64,2.59,1.93,0.05,2.9942308E7,11733851
2025/11/18,2.38,2.61,2.32,2.59,2.38,8.82,0.21,5.5677908E7,22911529
2025/11/17,2.38,2.42,2.26,2.38,2.38,0.0,0.0,1.7735976E7,7589171
