«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,43.3,43.99,41.81,41.88,43.3,-3.28,-1.42,5681729.0,133614
2026/01/12,43.86,44.88,43.1,43.3,43.86,-1.28,-0.56,1.4052801E7,319971
2026/01/11,41.82,44.8,42.02,43.86,41.82,4.88,2.04,3.4669272E7,792277
2026/01/08,43.57,43.95,41.5,41.82,43.57,-4.02,-1.75,8863613.0,209025
2026/01/06,43.63,44.74,43.4,43.57,43.63,-0.14,-0.06,7022390.0,160009
2026/01/05,43.61,44.6,43.52,43.63,43.61,0.05,0.02,7355856.5,166989
2026/01/04,43.82,44.5,43.59,43.61,43.82,-0.48,-0.21,3235672.25,73878
2025/12/31,45.46,45.91,43.75,43.82,45.46,-3.61,-1.64,1.248529E7,280445
2025/12/30,46.1,47.88,45.32,45.46,46.1,-1.39,-0.64,1.6566236E7,357159
2025/12/29,48.47,49.5,46.05,46.1,48.47,-4.89,-2.37,2.2702022E7,482130
2025/12/28,49.95,50.54,48.4,48.47,49.95,-2.96,-1.48,1.806176E7,366698
2025/12/25,50.59,51.48,49.88,49.95,50.59,-1.27,-0.64,1.9217686E7,381855
2025/12/24,50.32,53.9,50.44,50.59,50.32,0.54,0.27,2.9802834E7,575844
2025/12/23,51.74,52.51,50.05,50.32,51.74,-2.74,-1.42,1.676117E7,326716
2025/12/22,52.0,57.13,51.71,51.74,52.0,-0.5,-0.26,6.229566E7,1149059
2025/12/21,44.91,52.0,45.11,52.0,44.91,15.79,7.09,6.655224E7,1336701
2025/12/18,44.0,46.9,42.82,44.91,44.0,2.07,0.91,1.2897307E7,287698
2025/12/17,42.87,44.65,43.0,44.0,42.87,2.64,1.13,1.0420655E7,237320
2025/12/16,42.16,44.8,42.26,42.87,42.16,1.68,0.71,8832603.0,202305
2025/12/15,41.43,43.78,41.4,42.16,41.43,1.76,0.73,7106995.0,166266
2025/12/14,41.21,41.95,41.15,41.43,41.21,0.53,0.22,1107112.0,26693
2025/12/11,41.84,42.49,40.7,41.21,41.84,-1.17,-0.49,2138356.5,51667
2025/12/10,42.09,43.99,41.63,41.84,42.09,0.97,0.41,7250964.0,169321
2025/12/09,39.23,44.6,39.82,42.09,39.23,7.09,2.78,2.0097026E7,467830
2025/12/08,39.37,40.3,39.11,39.23,39.37,-0.36,-0.14,1030139.44,26190
2025/12/07,39.65,40.49,39.12,39.37,39.65,-0.71,-0.28,1194770.38,30184
2025/12/04,39.65,40.77,39.0,39.65,39.65,0.0,0.0,1555580.0,39017
2025/12/03,39.33,41.6,39.31,39.65,39.33,0.81,0.32,2989532.0,73761
2025/12/02,40.27,40.99,39.14,39.33,40.27,-2.33,-0.94,1800617.25,45300
2025/12/01,41.4,41.95,40.12,40.27,41.4,-2.73,-1.13,1681076.13,41293
2025/11/30,39.6,43.0,40.1,41.4,39.6,4.55,1.8,8033426.5,191339
2025/11/27,38.1,42.0,38.05,39.6,38.1,3.94,1.5,7867433.5,194670
2025/11/26,38.13,38.94,38.02,38.1,38.13,-0.21,-0.08,864816.5,22670
2025/11/25,38.82,39.4,38.0,38.13,38.82,-1.78,-0.69,1475095.5,38364
2025/11/24,39.12,39.4,38.66,38.82,39.12,-0.77,-0.3,909713.75,23331
2025/11/23,39.87,40.5,38.51,39.12,39.87,-1.88,-0.75,2882126.25,72673
2025/11/20,40.54,40.87,39.85,39.87,40.54,-1.65,-0.67,1239777.0,30913
2025/11/19,40.47,40.86,40.05,40.54,40.47,0.17,0.07,1211388.25,29892
2025/11/18,41.85,42.1,40.02,40.47,41.85,-3.3,-1.38,2881328.0,70184
2025/11/17,42.11,42.65,41.5,41.85,42.11,-0.62,-0.26,893753.69,21299
2025/11/16,42.64,43.25,42.07,42.11,42.64,-1.24,-0.53,1380964.13,32617
2025/11/13,42.75,43.5,42.62,42.64,42.75,-0.26,-0.11,3494014.5,81341
2025/11/12,42.71,43.5,42.75,42.75,42.71,0.09,0.04,1103942.38,25732
2025/11/11,41.93,44.35,41.93,42.71,41.93,1.86,0.78,6023286.5,138339
2025/11/10,41.61,42.8,41.73,41.93,41.61,0.77,0.32,1496666.13,35642
2025/11/09,41.38,42.41,41.41,41.61,41.38,0.56,0.23,3628663.75,86709
2025/11/06,42.17,42.99,41.33,41.38,42.17,-1.87,-0.79,3265059.5,77926
2025/11/05,40.98,44.75,41.01,42.17,40.98,2.9,1.19,1.1298219E7,261123
2025/11/04,41.23,41.96,40.6,40.98,41.23,-0.61,-0.25,1922853.13,46674
2025/11/03,41.12,42.0,41.13,41.23,41.12,0.27,0.11,1034520.88,24911
2025/11/02,41.65,42.08,41.0,41.12,41.65,-1.27,-0.53,1367439.25,33008
2025/10/30,41.98,42.9,41.5,41.65,41.98,-0.79,-0.33,2756770.5,65556
2025/10/29,42.32,43.0,41.65,41.98,42.32,-1.58,-0.67,1905096.0,45008
2025/10/28,43.18,43.49,42.2,42.32,43.18,-1.99,-0.86,2508671.0,58712
2025/10/27,44.19,44.8,43.1,43.18,44.19,-2.29,-1.01,4657288.0,105958
2025/10/26,44.37,44.9,44.05,44.19,44.37,-0.61,-0.27,1417288.13,31901
2025/10/23,43.89,45.95,43.89,44.37,43.89,1.09,0.48,4930348.0,109070
2025/10/22,44.03,44.7,43.85,43.89,44.03,-0.32,-0.14,1648662.13,37327
2025/10/21,44.52,45.73,43.67,44.03,44.52,-1.1,-0.49,6006756.5,134599
2025/10/20,43.05,46.0,43.05,44.52,43.05,3.41,1.47,1.622825E7,364735
2025/10/19,42.87,43.45,42.87,43.05,42.87,0.33,0.14,1315543.88,30478
2025/10/16,42.54,43.45,42.54,42.87,42.54,0.54,0.23,988167.06,23021
2025/10/15,42.73,43.0,42.4,42.54,42.73,-0.44,-0.19,1822867.5,42846
2025/10/14,43.07,43.69,42.56,42.73,43.07,-0.79,-0.34,2373158.0,55209
2025/10/13,43.04,43.84,43.03,43.07,43.04,0.07,0.03,980900.5,22686
2025/10/12,42.83,44.0,42.92,43.04,42.83,0.49,0.21,5497729.0,126989
2025/10/08,42.75,45.0,42.53,42.83,42.75,0.19,0.08,6649810.5,152261
2025/10/07,42.55,43.47,42.51,42.75,42.55,0.47,0.2,2076890.5,48405
2025/10/06,42.68,43.9,42.5,42.55,42.68,-0.3,-0.13,1986612.75,46395
2025/10/05,42.6,44.8,42.17,42.68,42.6,0.19,0.08,5645160.0,130562
2025/10/02,43.11,43.5,42.55,42.6,43.11,-1.18,-0.51,2441414.25,56948
2025/10/01,43.11,44.38,43.01,43.11,43.11,0.0,0.0,3846406.5,88570
2025/09/30,42.92,44.9,42.96,43.11,42.92,0.44,0.19,5226155.0,119913
2025/09/29,44.25,44.7,42.84,42.92,44.25,-3.01,-1.33,4625420.0,106056
2025/09/28,45.21,45.95,44.15,44.25,45.21,-2.12,-0.96,5974356.5,133870
2025/09/25,45.5,46.9,45.1,45.21,45.5,-0.64,-0.29,7813388.5,170709
2025/09/24,46.71,47.7,45.37,45.5,46.71,-2.59,-1.21,1.311574E7,282116
2025/09/23,45.0,49.1,45.2,46.71,45.0,3.8,1.71,3.412282E7,715833
2025/09/22,45.47,47.45,44.86,45.0,45.47,-1.03,-0.47,1.2645573E7,274727
2025/09/21,46.15,48.45,45.15,45.47,46.15,-2.17,-1.0,1.4438414E7,310015
2025/09/18,45.1,49.8,45.12,46.15,45.1,2.33,1.05,4.779646E7,1002667
2025/09/17,43.4,46.99,41.66,45.1,43.4,3.92,1.7,4.3809532E7,983987
2025/09/16,44.6,47.94,42.2,43.4,44.6,-2.69,-1.2,4.4892076E7,1000683
2025/09/15,38.64,45.96,39.1,44.6,38.64,15.42,5.96,6.4652184E7,1513367
2025/09/14,38.22,41.01,36.11,38.64,38.22,1.1,0.42,1.6003393E7,405241
2025/09/11,38.46,39.9,38.13,38.22,38.46,-0.62,-0.24,6253080.5,160966
2025/09/10,39.47,40.88,38.0,38.46,39.47,-2.56,-1.01,4343710.5,111049
2025/09/09,39.48,42.4,39.4,39.47,39.48,-0.03,-0.01,1.2482842E7,305147
2025/09/08,39.09,40.53,38.43,39.48,39.09,1.0,0.39,1.0256805E7,260558
2025/09/07,39.48,43.65,38.03,39.09,39.48,-0.99,-0.39,2.0469306E7,500760
2025/09/03,40.0,42.8,39.11,39.48,40.0,-1.3,-0.52,1.0384887E7,254975
2025/09/02,42.67,44.97,39.7,40.0,42.67,-6.26,-2.67,3.0587132E7,730084
2025/09/01,35.56,42.67,35.65,42.67,35.56,19.99,7.11,4.266596E7,1034774
2025/08/31,32.71,37.97,32.8,35.56,32.71,8.71,2.85,2.8603892E7,798984
2025/08/28,31.99,33.49,32.3,32.71,31.99,2.25,0.72,4737213.0,144407
2025/08/27,31.7,32.9,31.6,31.99,31.7,1.74,0.55,1084786.38,33937
2025/08/26,32.14,33.12,31.62,31.7,32.14,-1.37,-0.44,3657859.75,113150
2025/08/25,31.5,34.33,31.4,32.14,31.5,2.03,0.64,1.4362212E7,430929
2025/08/24,31.59,31.79,31.4,31.5,31.59,-0.51,-0.16,1043010.56,32984
2025/08/21,31.6,32.0,31.52,31.59,31.6,-0.03,-0.01,1646734.25,51930
2025/08/20,31.68,32.33,31.52,31.6,31.68,-0.25,-0.08,1835817.5,57610
2025/08/19,31.65,32.44,31.5,31.68,31.65,0.09,0.03,1526666.13,48058
2025/08/18,31.87,32.35,31.51,31.65,31.87,-0.69,-0.22,1802067.75,56520
2025/08/17,31.4,33.29,30.86,31.87,31.4,1.5,0.47,6425479.0,200265
2025/08/14,30.8,31.69,30.55,31.4,30.8,1.95,0.6,2589647.0,83246
2025/08/13,31.0,31.39,30.7,30.8,31.0,-0.65,-0.2,1306435.88,42211
2025/08/12,31.0,31.43,30.64,31.0,31.0,0.0,0.0,2453495.0,79259
2025/08/11,31.65,31.65,30.95,31.0,31.65,-2.18,-0.69,2854355.75,91368
2025/08/10,31.79,32.1,31.5,31.65,31.79,-0.44,-0.14,1513131.5,47527
2025/08/07,31.83,32.35,31.72,31.79,31.83,-0.13,-0.04,1379881.88,43254
2025/08/06,32.05,32.8,31.7,31.83,32.05,-0.69,-0.22,3650255.0,113558
2025/08/05,32.36,33.11,32.0,32.05,32.36,-0.96,-0.31,5917372.0,181748
2025/08/04,34.05,33.9,32.28,32.36,34.05,-4.96,-1.69,7698049.5,234529
2025/08/03,34.0,35.41,32.0,34.05,34.0,0.15,0.05,1.5085868E7,441326
2025/07/31,30.14,34.34,30.23,34.0,30.14,12.81,3.86,2.0882188E7,632550
2025/07/30,31.22,31.65,30.01,30.14,31.22,0.0,-0.83,1566140.88,50975
2025/07/29,31.63,32.36,31.0,31.22,31.63,-1.3,-0.41,3479868.25,111186
2025/07/28,33.08,33.45,31.3,31.63,33.08,-4.38,-1.45,7183402.5,222134
2025/07/27,31.38,34.16,32.0,33.08,31.38,5.42,1.7,2.432237E7,731269
2025/07/23,31.21,32.5,31.0,31.38,31.21,0.54,0.17,9010021.0,283355
2025/07/22,32.68,33.6,31.01,31.21,32.68,-4.5,-1.47,1.645973E7,505957
2025/07/21,29.11,33.54,29.15,32.68,29.11,12.26,3.57,3.0581418E7,958869
2025/07/20,29.91,30.69,28.89,29.11,29.91,-2.67,-0.8,4653474.0,156366
2025/07/17,28.5,31.94,29.32,29.91,28.5,4.95,1.41,1.833562E7,599946
2025/07/16,27.45,28.8,27.2,28.5,27.45,3.83,1.05,4978624.5,175495
2025/07/15,27.45,27.85,27.32,27.45,27.45,-0.44,-0.12,243797.7,8882
2025/07/14,27.74,27.71,27.36,27.45,27.74,-1.23,-0.34,462323.84,16802
2025/07/13,27.74,27.98,27.33,27.74,27.74,0.0,0.0,270274.19,9776
2025/07/07,28.0,28.05,27.61,27.69,28.0,-1.39,-0.39,1461657.5,52510
2025/07/06,28.23,28.9,28.0,28.0,28.23,-0.81,-0.23,2119189.5,74928
2025/07/02,27.1,29.3,27.01,28.23,27.1,3.95,1.07,7565795.0,265610
2025/07/01,27.84,28.4,27.06,27.1,27.84,-2.66,-0.74,3659066.25,132932
2025/06/30,26.06,28.99,26.22,27.84,26.06,6.83,1.78,1.3702509E7,492992
2025/06/29,25.55,26.48,25.75,26.06,25.55,2.0,0.51,1238397.0,47435
2025/06/25,25.36,25.78,25.1,25.55,25.36,1.66,0.42,679759.25,26703
2025/06/24,24.51,25.95,25.0,25.36,24.51,3.47,0.85,1691445.13,66636
2025/06/23,23.98,24.99,24.2,24.51,23.98,3.13,0.75,601317.06,24539
2025/06/22,23.84,24.4,23.1,23.98,23.84,1.72,0.41,601334.13,25124
2025/06/19,25.06,25.25,23.64,23.84,25.06,-5.67,-1.42,1169404.63,48311
2025/06/18,24.98,25.5,24.49,25.06,24.98,1.28,0.32,1640686.75,65880
2025/06/17,25.86,26.85,24.55,24.98,25.86,-3.4,-0.88,1707486.25,67291
2025/06/16,25.8,26.44,25.5,25.86,25.8,0.78,0.2,477011.5,18356
2025/06/15,27.36,26.6,25.01,25.8,27.36,-3.4,-0.93,2144700.0,84504
2025/06/12,27.99,28.15,27.3,27.36,27.99,-2.25,-0.63,1801613.63,65133
2025/06/11,27.82,28.55,27.66,27.99,27.82,0.61,0.17,4163042.75,147292
2025/06/10,27.96,28.2,27.58,27.82,27.96,-0.29,-0.08,793205.25,28475
2025/06/04,27.52,28.6,27.3,27.96,27.52,1.02,0.28,4487599.5,159806
2025/06/03,27.03,28.1,26.75,27.52,27.03,1.81,0.49,2628694.5,95127
2025/06/02,27.15,27.3,26.93,27.03,27.15,-0.55,-0.15,494738.63,18290
