«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,1.4,1.33,1.33,1.4,1.4,-5.0,-0.07,133.0,100
2026/01/12,1.4,1.35,1.33,1.4,1.4,-3.571,-0.05,537.0,400
2026/01/06,1.42,1.4,1.35,1.4,1.42,-1.408,-0.02,27843.4,20000
2025/11/23,1.42,1.35,1.35,1.42,1.42,-4.93,-0.07,135.0,100
2025/10/30,1.42,1.35,1.35,1.42,1.42,-4.93,-0.07,135.0,100
2025/10/29,1.42,1.35,1.35,1.42,1.42,-4.93,-0.07,648.0,480
2025/10/27,1.42,1.35,1.35,1.42,1.42,-4.93,-0.07,591.3,438
2025/10/08,1.42,1.35,1.35,1.42,1.42,-4.93,-0.07,128.25,95
2025/10/06,1.42,1.35,1.35,1.42,1.42,-4.93,-0.07,5.4,4
2025/09/22,1.42,1.35,1.35,1.42,1.42,-4.93,-0.07,91.8,68
2025/09/16,1.42,1.35,1.35,1.42,1.42,-4.93,-0.07,2835.0,2100
2025/09/15,1.24,1.48,1.14,1.42,1.24,18.548,0.23,14941.74,10935
2025/09/14,1.04,1.24,1.04,1.24,1.04,18.269001,0.19,13808.07,11650
2025/09/11,0.992,1.041,0.97,1.041,0.992,4.94,0.049,11393.86,11060
2025/09/10,0.945,0.992,0.97,0.992,0.945,4.974,0.047,13503.772,13620
2025/09/09,0.941,0.986,0.945,0.945,0.941,0.425,0.004,22208.447,23468
2025/09/08,0.897,0.941,0.941,0.941,0.897,4.905,0.044,20696.354,21994
2025/09/07,0.942,0.987,0.895,0.897,0.942,-4.989,-0.047,41587.52,44968
2025/08/31,0.942,0.94,0.895,0.942,0.942,-4.989,-0.047,702.16,783
2025/08/21,0.942,0.899,0.895,0.942,0.942,-4.989,-0.047,322.6,360
2025/08/13,0.942,0.895,0.895,0.942,0.942,-4.989,-0.047,89.5,100
2025/08/04,0.949,0.98,0.902,0.942,0.949,2.213,0.021,8159.421,8615
2025/08/03,0.934,0.98,0.888,0.949,0.934,-4.925,-0.046,22132.494,23355
2025/07/31,0.935,0.974,0.889,0.934,0.935,4.171,0.039,11670.47,12500
2025/07/30,0.935,0.889,0.889,0.935,0.935,0.0,-0.046,1689.1,1900
2025/07/29,0.983,0.969,0.934,0.935,0.983,-4.985,-0.049,6358.0,6800
2025/07/28,0.983,0.934,0.934,0.983,0.983,-4.985,-0.049,5604.0,6000
2025/07/27,0.996,0.995,0.947,0.983,0.996,-1.606,-0.016,9920.12,10200
2025/07/23,0.996,0.947,0.947,0.996,0.996,-4.92,-0.049,137.315,145
2025/07/06,0.996,0.947,0.947,0.996,0.996,-4.92,-0.049,22.728,24
2025/06/24,0.996,0.947,0.947,0.996,0.996,-4.92,-0.049,0.947,1
2025/06/17,0.979,1.027,0.931,0.996,0.979,-4.903,-0.048,11331.65,11380
2025/06/16,0.979,0.931,0.931,0.979,0.979,-4.903,-0.048,2327.5,2500
2025/06/15,0.979,0.931,0.931,0.979,0.979,-4.903,-0.048,465.5,500
2025/06/12,0.979,0.931,0.931,0.979,0.979,-4.903,-0.048,1862.0,2000
2025/06/11,0.979,0.931,0.931,0.979,0.979,-4.903,-0.048,1396.5,1500
2025/06/10,0.979,0.931,0.931,0.979,0.979,-4.903,-0.048,1862.0,2000
