«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,44.61,44.98,42.3,42.48,44.61,-4.77,-2.13,5471068.0,125293
2026/01/12,45.02,46.0,44.55,44.61,45.02,-0.91,-0.41,5968630.5,132176
2026/01/11,46.35,46.68,44.55,45.02,46.35,-2.87,-1.33,3003956.75,65734
2026/01/08,47.0,47.92,46.26,46.35,47.0,-1.38,-0.65,4019591.75,85497
2026/01/06,45.83,48.35,45.85,47.0,45.83,2.55,1.17,1.1387638E7,241354
2026/01/05,46.26,47.24,45.5,45.83,46.26,-0.93,-0.43,3055188.25,66093
2026/01/04,47.82,48.78,44.47,46.26,47.82,-3.26,-1.56,7091545.0,149850
2025/12/31,49.0,49.5,47.7,47.82,49.0,-2.41,-1.18,5518614.5,113863
2025/12/30,48.64,51.45,48.3,49.0,48.64,0.74,0.36,1.0948523E7,220796
2025/12/29,48.59,49.32,48.32,48.64,48.59,0.1,0.05,3801648.75,78012
2025/12/28,49.18,49.99,48.51,48.59,49.18,-1.2,-0.59,4977019.5,101371
2025/12/25,48.82,51.5,48.7,49.18,48.82,0.74,0.36,1.9916392E7,395178
2025/12/24,49.82,50.7,48.77,48.82,49.82,-2.01,-1.0,5876205.5,118672
2025/12/23,50.62,51.46,49.3,49.82,50.62,-1.58,-0.8,3613193.5,72223
2025/12/22,51.29,52.5,50.3,50.62,51.29,-1.31,-0.67,4486911.5,87310
2025/12/21,51.15,53.39,51.05,51.29,51.15,0.27,0.14,1.4989736E7,288760
2025/12/18,51.3,53.98,51.04,51.15,51.3,-0.29,-0.15,2.6674204E7,504763
2025/12/17,50.37,52.95,51.0,51.3,50.37,1.85,0.93,2.4242612E7,466561
2025/12/16,52.26,52.97,50.2,50.37,52.26,-3.62,-1.89,1.97863E7,386721
2025/12/15,52.2,55.48,52.2,52.26,52.2,0.11,0.06,4.85882E7,904222
2025/12/14,50.2,54.85,48.0,52.2,50.2,3.98,2.0,6.9103432E7,1342993
2025/12/11,44.01,51.9,44.0,50.2,44.01,14.06,6.19,8.3472824E7,1723180
2025/12/10,42.88,45.5,43.55,44.01,42.88,2.64,1.13,2.2471486E7,506632
2025/12/09,41.56,43.9,41.56,42.88,41.56,3.18,1.32,1.1243968E7,262942
2025/12/08,41.86,42.5,41.5,41.56,41.86,-0.72,-0.3,1255731.88,29991
2025/12/07,41.9,42.8,41.2,41.86,41.9,-0.1,-0.04,2993277.25,71672
2025/12/04,41.5,42.89,41.6,41.9,41.5,0.96,0.4,1226306.88,29093
2025/12/03,41.68,42.3,41.4,41.5,41.68,-0.43,-0.18,1860164.38,44645
2025/12/02,42.19,42.6,41.35,41.68,42.19,-1.21,-0.51,552945.25,13194
2025/12/01,41.81,42.47,41.23,42.19,41.81,0.45,0.19,905900.0,21588
2025/11/30,42.13,42.39,41.65,41.81,42.13,-0.76,-0.32,988688.81,23552
2025/11/27,42.94,43.0,42.0,42.13,42.94,-1.89,-0.81,4864531.0,114750
2025/11/26,43.67,44.0,42.6,42.94,43.67,-1.81,-0.79,1949132.63,45090
2025/11/25,44.27,44.8,43.51,43.67,44.27,-1.36,-0.6,2464904.25,55830
2025/11/24,44.35,45.0,44.01,44.27,44.35,-0.45,-0.2,2506699.25,56322
2025/11/23,45.3,45.98,44.11,44.35,45.3,-2.1,-0.95,3778025.0,84077
2025/11/20,43.98,45.4,43.6,45.3,43.98,3.0,1.32,1.21766E7,271823
2025/11/19,44.86,45.73,43.85,43.98,44.86,-1.96,-0.88,8386159.5,189415
2025/11/18,45.01,45.88,44.76,44.86,45.01,-0.33,-0.15,2473275.0,54791
2025/11/17,45.76,46.5,45.0,45.01,45.76,-1.64,-0.75,5810397.0,128220
2025/11/16,44.5,48.25,44.56,45.76,44.5,2.83,1.26,1.7116778E7,368599
2025/11/13,44.42,45.5,44.12,44.5,44.42,0.18,0.08,6238079.5,139452
2025/11/12,44.72,45.18,44.2,44.42,44.72,-0.67,-0.3,3083812.0,69121
2025/11/11,44.7,46.3,44.4,44.72,44.7,0.04,0.02,1.319409E7,290851
2025/11/10,44.01,45.47,43.61,44.7,44.01,1.57,0.69,9452525.0,210824
2025/11/09,43.37,44.4,43.51,44.01,43.37,1.48,0.64,1405615.13,31948
2025/11/06,43.45,45.0,43.34,43.37,43.45,-0.18,-0.08,5260831.5,119275
2025/11/05,43.35,44.95,43.22,43.45,43.35,0.35,0.15,7781997.5,176706
2025/11/04,42.19,44.21,42.11,43.35,42.19,2.75,1.16,6596733.5,151763
2025/11/03,42.07,43.0,42.07,42.19,42.07,0.29,0.12,693416.13,16390
2025/11/02,42.67,43.19,41.5,42.07,42.67,-1.41,-0.6,2017575.38,47807
2025/10/30,43.02,43.59,42.54,42.67,43.02,-0.81,-0.35,2213824.5,51562
2025/10/29,43.09,43.98,42.92,43.02,43.09,-0.16,-0.07,2461764.25,56739
2025/10/28,42.72,45.0,42.61,43.09,42.72,0.87,0.37,8594463.0,196486
2025/10/27,43.9,44.5,42.55,42.72,43.9,-2.69,-1.18,4615859.5,105465
2025/10/26,44.78,45.6,43.45,43.9,44.78,-1.97,-0.88,3945104.25,88561
2025/10/23,45.16,45.88,44.6,44.78,45.16,-0.84,-0.38,2346106.5,51871
2025/10/22,44.9,46.97,44.95,45.16,44.9,0.58,0.26,1.044397E7,228517
2025/10/21,45.34,46.2,44.8,44.9,45.34,-0.97,-0.44,3722843.25,82047
2025/10/20,44.66,46.1,44.5,45.34,44.66,1.52,0.68,7419289.0,163049
2025/10/19,44.53,46.29,44.21,44.66,44.53,0.29,0.13,5893606.5,130811
2025/10/16,44.88,46.5,44.47,44.53,44.88,-0.78,-0.35,6977396.5,154149
2025/10/15,43.29,47.6,43.0,44.88,43.29,3.67,1.59,2.5457386E7,563080
2025/10/14,44.72,45.84,43.17,43.29,44.72,-3.2,-1.43,8128568.0,183490
2025/10/13,40.57,48.67,41.0,44.72,40.57,10.23,4.15,4.3177664E7,934101
2025/10/12,40.34,42.67,40.5,40.57,40.34,0.69,0.28,7547175.0,181783
2025/10/08,38.35,42.79,38.0,40.34,38.35,5.19,1.99,2.7711994E7,676534
2025/10/07,38.16,38.77,37.82,38.35,38.16,0.5,0.19,1530362.88,39927
2025/10/06,38.83,39.98,38.04,38.16,38.83,-1.73,-0.67,2181392.0,56280
2025/10/05,38.78,40.46,38.78,38.83,38.78,0.13,0.05,2298665.75,58215
2025/10/02,39.01,39.75,38.01,38.78,39.01,-0.59,-0.23,3941560.5,101407
2025/10/01,37.77,40.8,38.01,39.01,37.77,4.0,1.51,1.4900458E7,377634
2025/09/30,37.01,39.39,36.85,37.77,37.01,2.05,0.76,1.8307458E7,476411
2025/09/29,37.55,38.37,37.0,37.01,37.55,-1.46,-0.55,2166514.25,58060
2025/09/28,37.93,38.8,37.41,37.55,37.93,-1.0,-0.38,4240603.5,111719
2025/09/25,35.43,38.0,35.53,37.93,35.43,7.06,2.5,1.0357987E7,278604
2025/09/24,35.01,36.9,35.0,35.43,35.01,1.2,0.42,6534123.5,181612
2025/09/23,35.01,35.39,34.75,35.01,35.01,0.0,0.0,1308050.0,37307
2025/09/22,35.14,35.79,34.9,35.01,35.14,-0.37,-0.13,821587.13,23395
2025/09/21,35.37,36.26,35.0,35.14,35.37,-0.76,-0.27,1448288.0,41045
2025/09/18,34.67,37.24,34.36,35.37,34.67,2.02,0.7,5625000.5,155364
2025/09/17,34.72,35.0,33.74,34.67,34.72,-0.43,-0.15,1602617.75,46690
2025/09/16,36.67,36.98,34.5,34.72,36.67,-5.32,-1.95,3751023.5,106618
2025/09/15,36.7,37.5,36.5,36.67,36.7,-0.08,-0.03,2139615.5,58071
2025/09/14,37.5,38.0,36.56,36.7,37.5,-2.13,-0.8,2350717.5,63329
2025/09/11,38.07,38.6,37.45,37.5,38.07,-1.5,-0.57,2541703.25,67041
2025/09/10,37.33,39.0,37.2,38.07,37.33,1.98,0.74,5975061.0,156207
2025/09/09,36.64,39.3,36.82,37.33,36.64,1.88,0.69,9360657.0,245866
2025/09/08,36.98,37.55,36.55,36.64,36.98,-1.11,-0.41,3153764.0,85469
2025/09/07,37.56,37.8,36.8,36.98,37.56,-2.0,-0.75,1845452.13,49491
2025/09/03,37.99,38.7,37.3,37.56,37.99,-1.13,-0.43,1799278.88,47651
2025/09/02,38.15,39.0,37.78,37.99,38.15,-0.42,-0.16,3080165.0,80070
2025/09/01,37.31,39.5,36.7,38.15,37.31,2.25,0.84,6781585.5,177060
2025/08/31,37.51,38.98,37.22,37.31,37.51,-0.53,-0.2,3422464.25,90104
2025/08/28,36.7,37.88,36.53,37.51,36.7,2.21,0.81,2801644.75,75334
2025/08/27,36.95,37.95,36.15,36.7,36.95,-0.68,-0.25,3238047.0,87700
2025/08/26,37.81,38.46,36.27,36.95,37.81,-2.27,-0.86,3929921.0,105039
2025/08/25,37.33,39.68,37.34,37.81,37.33,1.29,0.48,8490333.0,219456
2025/08/24,37.63,38.24,37.0,37.33,37.63,-0.8,-0.3,5875077.5,157086
2025/08/21,38.11,39.49,37.52,37.63,38.11,-0.97,-0.37,6040920.0,157627
2025/08/20,39.72,40.2,38.02,38.11,39.72,-3.07,-1.22,8511217.0,218293
2025/08/19,38.84,40.2,38.66,39.72,38.84,2.27,0.88,4457139.5,112408
2025/08/18,40.22,41.97,38.7,38.84,40.22,-3.43,-1.38,1.0711196E7,267917
2025/08/17,42.07,43.38,40.12,40.22,42.07,-4.4,-1.85,1.0411269E7,249936
2025/08/14,42.0,48.0,40.52,42.07,42.0,0.17,0.07,1.6492988E7,373418
2025/08/13,39.03,42.48,39.4,42.0,39.03,7.61,2.97,8262318.0,201108
2025/08/12,38.38,39.98,38.31,39.03,38.38,2.66,1.02,3074148.0,78751
2025/08/11,38.3,38.94,38.0,38.38,38.3,0.21,0.08,2686845.75,70045
2025/08/10,38.54,39.7,38.21,38.3,38.54,-0.62,-0.24,3231233.75,83682
2025/08/07,40.75,41.9,38.25,38.54,40.75,-5.42,-2.21,6106131.0,155216
