«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,91.81,93.55,91.91,92.17,91.81,0.39,0.36,1.4256448E7,153833
2026/01/12,90.05,94.0,90.0,91.81,90.05,1.95,1.76,5.529962E7,601309
2026/01/11,89.1,90.4,88.1,90.05,89.1,1.35,1.2,3.6856776E7,409582
2026/01/08,88.6,89.5,88.08,89.1,88.6,0.56,0.5,606865.69,6810
2026/01/06,88.02,89.84,88.0,88.6,88.02,0.95,0.84,2237098.25,25305
2026/01/05,89.05,89.99,88.0,88.02,89.05,-1.18,-1.05,4434816.5,50148
2026/01/04,89.66,91.0,88.5,89.05,89.66,-1.29,-1.16,7300067.0,81165
2025/12/31,88.18,90.0,88.15,89.66,88.18,1.68,1.48,4.738904E8,5294067
2025/12/30,88.99,89.0,88.0,88.18,88.99,-0.13,-0.12,1.0352453E7,116413
2025/12/29,87.31,89.79,87.21,88.99,87.31,1.94,1.69,1.77890624E8,2020285
2025/12/28,88.02,89.98,87.1,87.31,88.02,-1.0,-0.88,3408122.5,38854
2025/12/25,88.39,89.49,87.8,88.02,88.39,-0.43,-0.38,1384808.63,15679
2025/12/24,88.8,90.05,87.5,88.39,88.8,-0.46,-0.41,5751858.0,64048
2025/12/23,86.54,90.0,86.5,88.8,86.54,2.61,2.26,6642269.0,75871
2025/12/22,86.95,86.89,86.23,86.54,86.95,-0.47,-0.41,1282123.88,14812
2025/12/21,86.76,87.0,86.1,86.95,86.76,0.1,0.09,2949197.5,34021
2025/12/18,86.96,87.48,86.25,86.76,86.96,-0.1,-0.09,1947612.38,22459
2025/12/17,86.78,87.0,86.02,86.96,86.78,0.21,0.18,6506355.5,75356
2025/12/16,86.79,87.2,86.5,86.78,86.79,0.2,0.17,2124850.25,24478
2025/12/15,87.23,87.8,86.61,86.79,87.23,-0.26,-0.23,2458652.25,28259
2025/12/14,87.92,88.98,87.0,87.23,87.92,-0.78,-0.69,5072411.0,58063
2025/12/11,87.15,88.5,86.81,87.92,87.15,0.92,0.8,5238053.5,59777
2025/12/10,87.4,88.0,87.0,87.15,87.4,-0.29,-0.25,1712756.38,19548
2025/12/09,87.22,88.0,86.28,87.4,87.22,0.21,0.18,2268293.25,26110
2025/12/08,87.72,88.24,86.51,87.22,87.72,-0.25,-0.22,4732035.5,54193
2025/12/07,87.0,87.99,85.5,87.72,87.0,0.95,0.83,5042564.0,58280
2025/12/04,87.32,88.0,86.8,87.0,87.32,-0.38,-0.33,2267788.25,26023
2025/12/03,87.15,88.99,86.92,87.32,87.15,0.2,0.17,9104775.0,104310
2025/12/02,86.97,88.0,86.81,87.15,86.97,1.03,0.9,1461849.13,16798
2025/12/01,88.64,88.99,86.91,86.97,88.64,-0.96,-0.85,9551209.0,109156
2025/11/30,89.96,89.88,88.5,88.64,89.96,-1.51,-1.36,2791801.0,31365
2025/11/27,89.0,90.0,87.5,89.96,89.0,1.01,0.9,4737842.5,52870
2025/11/26,89.97,89.96,87.31,89.0,89.97,-1.08,-0.97,2693370.25,30287
2025/11/25,86.6,89.97,86.13,89.97,86.6,3.89,3.37,5634251.5,64040
2025/11/24,86.79,87.0,86.0,86.6,86.79,0.1,0.09,6159822.5,71348
2025/11/23,87.46,88.6,85.99,86.79,87.46,-0.53,-0.46,3156972.75,36462
2025/11/20,88.6,89.4,87.15,87.46,88.6,-1.29,-1.14,6009272.0,68441
2025/11/19,88.02,90.0,87.04,88.6,88.02,0.22,0.19,1.4041603E7,157160
2025/11/18,87.07,88.45,85.6,88.02,87.07,1.07,0.93,9545860.0,109767
2025/11/17,90.0,89.95,87.02,87.07,90.0,-3.26,-2.93,7174617.0,81372
2025/11/16,89.5,90.5,88.52,90.0,89.5,0.56,0.5,8869909.0,99048
2025/11/13,91.47,91.39,88.0,89.5,91.47,-2.15,-1.97,9325520.0,104537
2025/11/12,89.98,91.5,89.02,91.47,89.98,1.66,1.49,1.0853456E7,119667
2025/11/11,88.7,90.19,87.0,89.98,88.7,1.43,1.27,2.07618544E8,2308769
2025/11/10,85.0,88.9,85.0,88.7,85.0,4.4,3.74,2.2066584E7,256683
2025/11/09,83.06,86.0,82.85,85.0,83.06,2.34,1.94,1.3484732E7,158818
2025/11/06,83.69,84.77,81.52,83.06,83.69,-0.75,-0.63,7652912.0,92154
2025/11/05,84.65,85.5,83.55,83.69,84.65,-1.13,-0.96,6269306.0,74292
2025/11/04,86.0,86.99,84.61,84.65,86.0,-1.62,-1.39,5809998.5,67979
2025/11/03,85.86,86.0,85.0,86.0,85.86,0.16,0.14,2910312.75,33998
2025/11/02,83.59,86.48,83.75,85.86,83.59,2.76,2.31,6166427.0,72677
2025/10/30,84.98,86.0,82.21,83.59,84.98,-1.64,-1.39,1.84622784E8,2179224
2025/10/29,85.22,86.96,84.5,84.98,85.22,-0.28,-0.24,3357385.75,39218
2025/10/28,83.48,87.7,82.5,85.22,83.48,2.47,2.06,1.2514156E7,146248
2025/10/27,81.22,83.5,80.3,83.48,81.22,2.78,2.26,8484080.0,102933
2025/10/26,80.66,82.0,80.66,81.22,80.66,0.69,0.56,4865098.0,59818
2025/10/23,80.04,81.84,79.3,80.66,80.04,0.77,0.62,3748247.0,46337
2025/10/22,80.05,80.7,79.22,80.04,80.05,-0.01,-0.01,4681592.0,58523
2025/10/21,79.96,81.0,79.05,80.05,79.96,0.11,0.09,8488904.0,106060
2025/10/20,79.82,81.49,78.61,79.96,79.82,0.23,0.18,6690831.0,83676
2025/10/19,80.37,81.36,79.26,79.82,80.37,-0.68,-0.55,2751494.5,34353
2025/10/16,75.46,81.5,75.46,80.37,75.46,6.51,4.91,3.463528E7,437027
2025/10/15,74.53,76.06,74.0,75.46,74.53,1.25,0.93,3573227.0,47411
2025/10/14,73.0,75.49,73.02,74.53,73.0,2.1,1.53,8342245.0,112034
2025/10/13,71.71,73.88,71.51,73.0,71.71,1.8,1.29,7441152.0,101794
2025/10/12,72.22,73.0,71.35,71.71,72.22,0.39,0.28,5202356.0,72306
2025/10/08,70.96,72.72,71.11,72.22,70.96,1.78,1.26,1980339.75,27537
2025/10/07,70.72,72.0,70.61,70.96,70.72,0.34,0.24,3916724.0,55022
2025/10/06,70.21,71.94,70.26,70.72,70.21,1.13,0.79,4312112.0,60738
