«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,3.43,3.47,3.34,3.35,3.43,-2.33,-0.08,6.0320932E7,17767623
2026/01/12,3.51,3.56,3.41,3.43,3.51,-2.28,-0.08,1.27721432E8,36553965
2026/01/11,3.47,3.55,3.47,3.51,3.47,1.15,0.04,7.1932344E7,20502806
2026/01/08,3.48,3.52,3.47,3.47,3.48,-0.29,-0.01,2.9077768E7,8334479
2026/01/06,3.47,3.53,3.48,3.48,3.47,0.29,0.01,4.8613892E7,13898694
2026/01/05,3.54,3.54,3.47,3.47,3.54,-1.98,-0.07,5.4353308E7,15502093
2026/01/04,3.6,3.62,3.53,3.54,3.6,-1.67,-0.06,1.9027334E7,5343037
2025/12/31,3.62,3.64,3.57,3.6,3.62,-0.55,-0.02,5.7334288E7,15934532
2025/12/30,3.65,3.7,3.62,3.62,3.65,-0.82,-0.03,8.0547592E7,22031011
2025/12/29,3.64,3.66,3.63,3.65,3.64,0.27,0.01,6.4201116E7,17630939
2025/12/28,3.55,3.64,3.56,3.64,3.55,2.54,0.09,6.2969608E7,17487099
2025/12/25,3.56,3.6,3.52,3.55,3.56,-0.28,-0.01,5.6024404E7,15784314
2025/12/24,3.53,3.58,3.53,3.56,3.53,0.85,0.03,2.7848728E7,7839619
2025/12/23,3.56,3.6,3.49,3.53,3.56,-0.84,-0.03,6.0010032E7,16926752
2025/12/22,3.57,3.6,3.55,3.56,3.57,-0.28,-0.01,6.9292824E7,19424280
2025/12/21,3.57,3.6,3.53,3.57,3.57,0.0,0.0,7.6268632E7,21397073
2025/12/18,3.59,3.64,3.55,3.57,3.59,-0.56,-0.02,1.544896E8,43127480
2025/12/17,3.62,3.69,3.55,3.59,3.62,-0.83,-0.03,1.11598352E8,30872366
2025/12/16,3.74,3.75,3.61,3.62,3.74,-3.21,-0.12,9.0928784E7,24743671
2025/12/15,3.79,3.91,3.69,3.74,3.79,-1.32,-0.05,3.80010272E8,99140095
2025/12/14,3.83,3.85,3.74,3.79,3.83,-1.04,-0.04,8.4461976E7,22313212
2025/12/11,3.8,3.86,3.77,3.83,3.8,0.79,0.03,1.2112036E8,31751439
2025/12/10,3.76,3.85,3.73,3.8,3.76,1.06,0.04,1.53000016E8,40217869
2025/12/09,3.72,3.77,3.7,3.76,3.72,1.08,0.04,8.6986864E7,23242400
2025/12/08,3.65,3.77,3.62,3.72,3.65,1.92,0.07,2.53687536E8,68650869
2025/12/07,3.56,3.71,3.57,3.65,3.56,2.53,0.09,1.33089944E8,36402308
2025/12/04,3.53,3.59,3.51,3.56,3.53,0.85,0.03,7.0222904E7,19780492
2025/12/03,3.43,3.54,3.39,3.53,3.43,2.92,0.1,9.5148904E7,27341354
2025/12/02,3.47,3.51,3.41,3.43,3.47,-1.15,-0.04,5.7600012E7,16676945
2025/12/01,3.53,3.57,3.43,3.47,3.53,-1.7,-0.06,7.7786952E7,22242554
2025/11/30,3.55,3.59,3.51,3.53,3.55,-0.56,-0.02,6.411294E7,18095168
2025/11/27,3.56,3.59,3.53,3.55,3.56,-0.28,-0.01,6.8375416E7,19225527
2025/11/26,3.53,3.67,3.53,3.56,3.53,0.85,0.03,1.27687256E8,35512696
2025/11/25,3.66,3.68,3.52,3.53,3.66,-3.55,-0.13,9.3360336E7,25982459
2025/11/24,3.81,3.83,3.66,3.66,3.81,-3.94,-0.15,1.43300576E8,38549840
2025/11/23,3.66,3.83,3.65,3.81,3.66,4.1,0.15,3.19595744E8,85111506
2025/11/20,3.54,3.74,3.55,3.66,3.54,3.39,0.12,3.12352128E8,85188902
2025/11/19,3.55,3.61,3.5,3.54,3.55,-0.28,-0.01,1.59751088E8,44926790
2025/11/18,3.58,3.63,3.5,3.55,3.58,-0.84,-0.03,1.77604224E8,49618120
2025/11/17,3.38,3.6,3.45,3.58,3.38,5.92,0.2,3.94117152E8,111761125
2025/11/16,3.39,3.44,3.38,3.38,3.39,-0.29,-0.01,5.0394124E7,14780821
2025/11/13,3.39,3.43,3.36,3.39,3.39,0.0,0.0,6.5262132E7,19203846
2025/11/12,3.42,3.46,3.38,3.39,3.42,-0.88,-0.03,8.6225568E7,25231380
2025/11/11,3.31,3.43,3.29,3.42,3.31,3.32,0.11,1.8235048E8,53773010
2025/11/10,3.27,3.32,3.25,3.31,3.27,1.22,0.04,5.8355968E7,17761092
2025/11/09,3.31,3.35,3.27,3.27,3.31,-1.21,-0.04,2.7575868E7,8366444
2025/11/06,3.28,3.32,3.26,3.31,3.28,0.91,0.03,4.1730528E7,12644246
2025/11/05,3.33,3.35,3.27,3.28,3.33,-1.5,-0.05,3.334296E7,10102818
2025/11/04,3.27,3.36,3.27,3.33,3.27,1.83,0.06,7.826364E7,23500932
2025/11/03,3.25,3.29,3.22,3.27,3.25,0.62,0.02,2.6474594E7,8119753
