«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,15.65,16.42,15.7,16.1,15.65,2.88,0.45,1.00249688E8,6221903
2026/01/12,14.89,15.65,14.75,15.65,14.89,5.1,0.76,4.4232892E7,2872303
2026/01/11,15.21,15.39,14.87,14.89,15.21,-2.1,-0.32,1.4398426E7,957403
2026/01/08,15.44,15.64,15.15,15.21,15.44,-1.49,-0.23,1.688928E7,1096520
2026/01/06,15.22,15.55,15.15,15.44,15.22,1.45,0.22,2.524928E7,1644951
2026/01/05,14.51,15.22,14.61,15.22,14.51,4.89,0.71,3.8882068E7,2611728
2026/01/04,14.21,14.55,14.21,14.51,14.21,2.11,0.3,5834369.0,406425
2025/12/31,14.23,14.35,14.2,14.21,14.23,-0.14,-0.02,3266527.25,229271
2025/12/30,14.28,14.38,14.15,14.23,14.28,-0.35,-0.05,3635714.75,255465
2025/12/29,14.43,14.44,14.2,14.28,14.43,-1.04,-0.15,4635174.5,324449
2025/12/28,14.53,14.69,14.42,14.43,14.53,-0.69,-0.1,3707177.25,255812
2025/12/25,14.4,14.7,14.45,14.53,14.4,0.9,0.13,9436984.0,646797
2025/12/24,14.21,14.71,14.27,14.4,14.21,1.34,0.19,1.7439014E7,1199513
2025/12/23,13.96,14.25,13.9,14.21,13.96,1.79,0.25,8782586.0,622981
2025/12/22,13.83,14.05,13.81,13.96,13.83,0.94,0.13,4572742.5,327740
2025/12/21,13.92,14.13,13.8,13.83,13.92,-0.43,-0.06,4364846.0,314562
2025/12/18,13.93,14.2,13.9,13.92,13.93,-0.07,-0.01,7063273.0,503059
2025/12/17,14.08,14.22,13.9,13.93,14.08,-1.07,-0.15,3770163.0,269411
2025/12/16,13.87,14.25,13.75,14.08,13.87,1.51,0.21,1.1748225E7,836209
2025/12/15,14.04,14.1,13.81,13.87,14.04,-1.21,-0.17,8654011.0,620033
2025/12/14,14.3,14.36,14.0,14.04,14.3,-1.82,-0.26,2.2826234E7,1613025
2025/12/11,14.4,14.46,14.27,14.3,14.4,-0.69,-0.1,9009297.0,628608
2025/12/10,14.31,14.45,14.32,14.4,14.31,0.63,0.09,3898809.75,270869
2025/12/09,14.28,14.39,14.24,14.31,14.28,0.21,0.03,6552228.5,458355
2025/12/08,14.37,14.49,14.25,14.28,14.37,-0.63,-0.09,2.4917778E7,1735549
2025/12/07,14.47,14.56,14.31,14.37,14.47,-0.69,-0.1,9252892.0,643650
2025/12/04,14.38,14.5,14.4,14.47,14.38,0.83,0.12,1860421.13,128629
2025/12/03,14.5,14.65,14.33,14.38,14.5,-0.83,-0.12,7491898.0,517696
2025/12/02,14.41,14.72,14.4,14.5,14.41,0.62,0.09,1.7709274E7,1218285
2025/12/01,14.42,14.9,14.38,14.41,14.42,0.55,0.08,1.958439E7,1350902
2025/11/30,14.54,14.76,14.35,14.42,14.54,-0.83,-0.12,1.444051E7,987924
2025/11/27,14.62,14.84,14.5,14.54,14.62,-0.55,-0.08,1.2885574E7,884357
2025/11/26,14.7,15.0,14.55,14.62,14.7,-0.54,-0.08,5784073.5,390874
2025/11/25,15.14,15.63,14.7,14.7,15.14,-2.91,-0.44,1.938588E7,1274592
2025/11/24,14.42,15.79,14.42,15.14,14.42,4.99,0.72,8.3129064E7,5409334
2025/11/23,14.18,14.67,14.27,14.42,14.18,2.19,0.31,3021474.5,210008
2025/11/20,14.3,14.47,14.11,14.18,14.3,-0.42,-0.06,6517895.5,458874
2025/11/19,14.32,14.65,14.26,14.3,14.32,-0.14,-0.02,8277438.5,575385
2025/11/18,14.77,14.88,14.26,14.32,14.77,-3.05,-0.45,1.9803698E7,1367987
2025/11/17,15.01,15.05,14.7,14.77,15.01,-1.6,-0.24,1.5706465E7,1054159
2025/11/16,15.07,15.31,14.8,15.01,15.07,-0.4,-0.06,7483555.5,495682
2025/11/13,15.37,15.43,15.0,15.07,15.37,-1.95,-0.3,4325440.0,285547
2025/11/12,15.18,15.4,15.0,15.37,15.18,1.25,0.19,5667238.0,371525
2025/11/11,15.3,15.7,15.1,15.18,15.3,-0.78,-0.12,3.537192E7,2286284
2025/11/10,14.6,15.39,14.4,15.3,14.6,4.79,0.7,2.7120264E7,1804098
2025/11/09,14.62,14.85,14.35,14.6,14.62,-0.14,-0.02,9395873.0,642758
2025/11/06,14.42,14.7,14.42,14.62,14.42,1.39,0.2,5761400.5,397309
2025/11/05,14.9,14.95,14.4,14.42,14.9,-3.02,-0.45,7163643.5,492187
2025/11/04,14.95,15.25,14.7,14.9,14.95,-0.33,-0.05,2.2002418E7,1479291
2025/11/03,14.43,15.08,14.3,14.95,14.43,3.6,0.52,2.7698102E7,1884221
2025/11/02,14.39,14.7,14.25,14.43,14.39,0.28,0.04,8800022.0,610107
2025/10/30,14.8,14.8,14.27,14.39,14.8,-2.77,-0.41,2.3634628E7,1638892
2025/10/29,15.0,15.13,14.78,14.8,15.0,-1.33,-0.2,8071958.0,542233
2025/10/28,15.17,15.37,14.91,15.0,15.17,-1.12,-0.17,1.4835952E7,984012
2025/10/27,15.07,15.26,15.02,15.17,15.07,0.66,0.1,3.0644764E7,2022995
2025/10/26,15.49,15.55,15.0,15.07,15.49,-2.71,-0.42,1.5554182E7,1024619
2025/10/23,15.83,15.9,15.48,15.49,15.83,-2.15,-0.34,6802574.5,436485
2025/10/22,16.03,16.1,15.11,15.83,16.03,-2.06,-0.33,8482155.0,539754
2025/10/21,16.29,16.46,15.97,16.03,16.29,-1.6,-0.26,1.0531214E7,653652
2025/10/20,16.4,16.5,16.2,16.29,16.4,-0.67,-0.11,2.097007E7,1289312
2025/10/19,16.56,16.64,16.36,16.4,16.56,-0.97,-0.16,5780943.0,351471
2025/10/16,16.6,16.68,16.43,16.56,16.6,-0.24,-0.04,1652557.13,100064
2025/10/15,16.64,16.73,16.3,16.6,16.64,-0.24,-0.04,8423109.0,507890
2025/10/14,16.64,16.8,16.6,16.64,16.64,-0.06,-0.01,7884918.5,472437
2025/10/13,16.48,17.35,16.37,16.64,16.48,0.97,0.16,2.8339518E7,1693154
2025/10/12,16.65,16.6,16.15,16.48,16.65,-1.44,-0.24,8264015.0,502911
2025/10/08,16.63,16.78,16.38,16.65,16.63,0.12,0.02,7140856.0,430331
2025/10/07,16.15,16.79,16.13,16.63,16.15,2.97,0.48,2.6838674E7,1630497
2025/10/06,16.19,16.49,16.05,16.15,16.19,-0.25,-0.04,7848351.5,483222
2025/10/05,16.52,16.85,16.11,16.19,16.52,-2.0,-0.33,8273327.0,502916
2025/10/02,16.89,18.0,16.5,16.52,16.89,-2.19,-0.37,2.1806592E7,1310705
2025/10/01,28.71,29.4,28.61,29.22,28.71,1.78,0.51,9338924.0,321861
2025/09/30,28.68,28.85,28.48,28.71,28.68,0.1,0.03,1.4640988E7,510996
2025/09/29,28.68,29.1,28.5,28.68,28.68,0.0,0.0,7867634.0,273471
2025/09/28,28.55,29.0,28.41,28.68,28.55,0.46,0.13,5630655.5,196240
