«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/08,41.0,40.1,40.1,41.0,41.0,-2.2,-0.9,40.1,1
2025/11/16,41.0,49.2,49.2,41.0,41.0,20.0,8.2,49.2,1
2025/10/30,41.0,49.2,49.2,41.0,41.0,20.0,8.2,147.6,3
2025/10/28,41.0,49.2,49.2,41.0,41.0,20.0,8.2,49.2,1
2025/09/14,41.0,49.2,49.2,41.0,41.0,20.0,8.2,295.2,6
2025/09/08,41.0,49.2,49.2,41.0,41.0,20.0,8.2,98.4,2
2025/09/03,41.0,49.2,49.2,41.0,41.0,20.0,8.2,246.0,5
2025/08/11,41.0,49.2,49.2,41.0,41.0,20.0,8.2,246.0,5
2025/06/29,41.0,49.2,49.2,41.0,41.0,20.0,8.2,196.8,4
2025/04/06,41.0,49.2,49.2,41.0,41.0,20.0,8.2,18056.4,367
2025/04/03,41.0,49.2,49.2,41.0,41.0,20.0,8.2,1476.0,30
2025/03/27,41.0,49.2,49.2,41.0,41.0,20.0,8.2,934.8,19
2025/03/26,41.0,49.2,49.2,41.0,41.0,20.0,8.2,2656.8,54
2025/03/25,41.0,49.2,49.2,41.0,41.0,20.0,8.2,18302.4,372
2025/03/24,41.0,49.2,49.2,41.0,41.0,20.0,8.2,1279.2,26
2025/03/05,41.0,41.0,41.0,41.0,41.0,0.0,0.0,3.189796E7,777999
2025/02/23,41.0,41.0,41.0,41.0,41.0,0.0,0.0,5.0102E7,1222000
2025/02/17,41.0,40.0,40.0,41.0,41.0,-2.44,-1.0,80.0,2
2025/02/11,41.0,40.4,40.12,41.0,41.0,-2.15,-0.88,1088.97,27
2025/02/04,41.0,40.25,40.25,41.0,41.0,-1.83,-0.75,40.25,1
2025/01/23,41.0,49.2,41.3,41.0,41.0,0.73,0.3,653.85,15
2025/01/21,41.0,49.2,49.2,41.0,41.0,20.0,8.2,2066.4,42
2025/01/20,41.0,49.2,41.1,41.0,41.0,0.24,0.1,3217.2,70
2024/12/09,41.0,49.2,49.2,41.0,41.0,20.0,8.2,344.4,7
2024/11/20,41.0,49.2,49.2,41.0,41.0,20.0,8.2,1820.4,37
2024/11/14,41.0,49.2,49.2,41.0,41.0,20.0,8.2,344.4,7
2024/11/12,41.0,49.2,49.2,41.0,41.0,20.0,8.2,492.0,10
2024/11/11,41.0,49.2,42.0,41.0,41.0,19.51,8.0,2821.0,58
2024/11/10,41.0,49.2,49.2,41.0,41.0,20.0,8.2,49.2,1
2024/10/22,41.0,49.2,49.2,41.0,41.0,20.0,8.2,393.6,8
2024/10/03,41.0,49.2,49.2,41.0,41.0,20.0,8.2,49.2,1
2024/08/27,41.0,41.41,40.0,41.0,41.0,-2.44,-1.0,7562.41,189
2024/08/12,41.0,42.1,40.0,41.0,41.0,-2.44,-1.0,7024.5,168
2024/08/11,41.0,42.1,42.1,41.0,41.0,2.68,1.1,252.6,6
2024/08/06,41.09,42.5,41.0,41.0,41.09,2.46,1.01,7.0848384E7,1728009
2024/08/04,41.09,48.2,48.2,41.09,41.09,17.299999,7.11,4820.0,100
2024/08/01,41.09,48.2,48.2,41.09,41.09,17.299999,7.11,1687.0,35
2024/07/04,41.09,40.0,40.0,41.09,41.09,-2.65,-1.09,40.0,1
2024/06/10,41.09,42.1,42.1,41.09,41.09,2.46,1.01,421.0,10
2024/06/06,41.09,42.1,42.0,41.09,41.09,2.21,0.91,841.5,20
2024/06/04,41.09,42.1,42.1,41.09,41.09,2.46,1.01,757.8,18
2024/06/03,41.09,42.05,42.0,41.09,41.09,2.21,0.91,2899.0,69
2024/05/12,41.09,41.09,41.09,41.09,41.09,0.0,0.0,41.09,1
2024/04/18,41.09,42.349998,42.349998,41.09,41.09,3.07,1.26,42.349998,1
2024/04/16,41.09,42.200001,42.200001,41.09,41.09,2.7,1.11,2489.800049,59
2024/04/15,41.09,42.200001,42.200001,41.09,41.09,2.7,1.11,422.0,10
2024/04/07,41.09,42.200001,42.200001,41.09,41.09,2.7,1.11,422.0,10
2024/04/04,41.09,44.0,44.0,41.09,41.09,7.08,2.91,440.0,10
2024/03/28,41.09,42.599998,42.599998,41.09,41.09,3.67,1.51,42.599998,1
2024/03/24,41.09,42.099998,42.099998,41.09,41.09,2.46,1.01,42.099998,1
2024/03/20,41.09,49.200001,42.0,41.09,41.09,19.74,8.11,10354.400391,222
2024/03/19,41.09,42.0,42.0,41.09,41.09,2.21,0.91,378.0,9
2024/03/18,41.09,49.290001,49.279999,41.09,41.09,19.93,8.19,4879.689941,99
2024/03/17,41.09,49.299999,41.5,41.09,41.09,19.98,8.21,20178.070313,437
2024/03/13,41.09,41.110001,41.110001,41.09,41.09,0.05,0.02,2836.590088,69
2024/03/12,41.09,49.299999,41.0,41.09,41.09,-0.22,-0.09,15370.299805,318
2024/03/11,41.09,41.09,38.150002,41.09,41.09,-7.13,-2.93,4059.25,101
2024/03/10,41.09,41.099998,38.0,41.09,41.09,-7.52,-3.09,1222.199951,32
2024/03/06,41.09,49.0,38.0,41.09,41.09,-7.52,-3.09,4565.0,102
2024/03/05,41.09,49.299999,41.0,41.09,41.09,19.25,7.91,4121.0,84
2024/03/04,41.09,49.0,37.0,41.09,41.09,19.25,7.91,356.0,8
2024/02/29,41.09,41.900002,41.400002,41.09,41.09,0.75,0.31,3285.100098,79
2024/02/28,41.09,49.0,49.0,41.09,41.09,19.25,7.91,8771.0,179
2024/02/27,41.09,45.0,36.009998,41.09,41.09,9.52,3.91,1512.119995,36
2024/02/22,41.09,48.0,37.23,41.09,41.09,16.82,6.91,2514.070068,56
2024/02/21,41.09,48.0,48.0,41.09,41.09,16.82,6.91,768.0,16
2024/02/20,41.09,48.0,35.470001,41.09,41.09,14.38,5.91,9227.089844,209
2024/02/19,41.09,48.0,35.099998,41.09,41.09,-14.33,-5.89,901.599976,25
2024/02/15,41.09,49.299999,33.009998,41.09,41.09,19.98,8.21,6907.709961,144
2024/02/14,41.09,45.0,45.0,41.09,41.09,9.52,3.91,225.0,5
2024/02/13,41.09,41.0,41.0,41.09,41.09,-0.22,-0.09,5535.0,135
2024/02/12,41.09,41.0,33.200001,41.09,41.09,-0.22,-0.09,1809.900024,51
2024/02/11,41.09,49.299999,33.0,41.09,41.09,-17.209999,-7.07,5499.140137,146
2024/02/08,41.09,48.009998,33.0,41.09,41.09,14.38,5.91,2753.02002,70
2024/02/07,41.09,48.0,33.0,41.09,41.09,16.82,6.91,345.0,10
2024/01/31,41.09,49.0,33.0,41.09,41.09,19.25,7.91,11600.0,272
2024/01/30,41.09,48.880001,48.880001,41.09,41.09,18.959999,7.79,439.920013,9
2024/01/29,41.09,48.880001,48.880001,41.09,41.09,18.959999,7.79,488.799988,10
2024/01/28,41.09,49.0,33.0,41.09,41.09,19.25,7.91,7362.0,167
2024/01/17,41.09,40.0,40.0,41.09,41.09,-2.65,-1.09,80.0,2
2024/01/04,41.09,40.0,40.0,41.09,41.09,-2.65,-1.09,1400.0,35
2023/12/25,41.09,40.0,40.0,41.09,41.09,-2.65,-1.09,2800.0,70
2023/12/21,41.09,40.0,40.0,41.09,41.09,-2.65,-1.09,40.0,1
2023/12/11,41.09,40.0,40.0,41.09,41.09,-2.65,-1.09,80.0,2
2023/11/29,41.09,49.299999,48.02,41.09,41.09,16.870001,6.93,1115.97998,23
2023/10/24,41.09,41.700001,41.700001,41.09,41.09,1.48,0.61,917.400024,22
2023/10/23,41.09,40.0,40.0,41.09,41.09,-2.65,-1.09,320.0,8
2023/10/22,41.09,40.0,40.0,41.09,41.09,-2.65,-1.09,1200.0,30
2023/10/18,41.09,32.880001,32.880001,41.09,41.09,-19.98,-8.21,328.799988,10
2023/10/09,41.09,32.880001,32.880001,41.09,41.09,-19.98,-8.21,65.760002,2
2023/09/14,41.09,47.400002,42.0,41.09,41.09,2.21,0.91,516.0,11
2023/09/11,41.09,40.0,40.0,41.09,41.09,-2.65,-1.09,1920.0,48
2023/09/10,41.09,48.400002,40.0,41.09,41.09,11.95,4.91,697.5,15
2023/09/04,41.09,48.439999,48.439999,41.09,41.09,17.889999,7.35,96.879997,2
2023/08/14,41.09,48.48,48.48,41.09,41.09,17.98,7.39,2424.0,50
2023/08/10,41.09,39.0,33.400002,41.09,41.09,-18.719999,-7.69,4449.399902,125
2023/07/13,41.09,40.0,40.0,41.09,41.09,-2.65,-1.09,5000.0,125
2023/06/13,41.09,41.09,41.09,41.09,41.09,0.0,0.0,205.449997,5
2023/06/12,41.09,41.09,41.09,41.09,41.09,0.0,0.0,205.449997,5
2023/06/06,41.09,41.09,41.080002,41.09,41.09,-0.02,-0.01,1027.199951,25
2023/05/31,41.09,41.09,41.09,41.09,41.09,0.0,0.0,821.799988,20
2023/05/29,41.09,41.09,41.09,41.09,41.09,0.0,0.0,410.899994,10
2023/05/25,41.09,40.0,40.0,41.09,41.09,-2.65,-1.09,2000.0,50
2023/04/09,41.09,40.0,40.0,41.09,41.09,-2.65,-1.09,40.0,1
2023/04/03,41.09,41.09,41.09,41.09,41.09,0.0,0.0,410.899994,10
2023/04/02,41.09,40.0,40.0,41.09,41.09,-2.65,-1.09,9840.0,246
2023/03/28,41.09,45.0,41.09,41.09,41.09,0.0,0.0,5087.200195,120
2023/03/21,41.09,40.0,40.0,41.09,41.09,-2.65,-1.09,2480.0,62
2023/03/05,41.09,41.09,41.09,41.09,41.09,0.0,0.0,821.799988,20
2023/02/28,41.09,45.0,32.880001,41.09,41.09,9.52,3.91,1119.839966,30
2023/02/09,41.09,49.0,32.880001,41.09,41.09,19.25,7.91,785.919983,19
2023/02/08,41.0,41.09,41.09,41.09,41.0,0.22,0.09,1.49869408E8,3647345
2022/12/27,41.0,49.200001,49.200001,41.0,41.0,20.0,8.2,49.200001,1
2022/09/21,41.0,49.200001,49.200001,41.0,41.0,20.0,8.2,492.0,10
2022/06/08,41.0,40.0,40.0,41.0,41.0,-2.44,-1.0,280.0,7
2022/05/11,41.0,41.0,41.0,41.0,41.0,0.0,0.0,615.0,15
2022/04/18,41.0,41.0,41.0,41.0,41.0,0.0,0.0,2.361604E7,576001
2022/03/20,41.0,41.0,41.0,41.0,41.0,0.0,0.0,4.713852E7,1149720
2022/03/09,41.0,41.0,41.0,41.0,41.0,0.0,0.0,4100000.0,100000
2022/03/08,41.0,41.0,41.0,41.0,41.0,0.0,0.0,9335823.0,227703
2022/03/07,41.0,41.0,41.0,41.0,41.0,0.0,0.0,6.535076E7,1593921
2022/03/01,41.0,41.0,41.0,41.0,41.0,0.0,0.0,1.886E8,4600000
2022/02/17,41.0,41.0,41.0,41.0,41.0,0.0,0.0,20500.0,500
2021/12/23,38.0,41.0,41.0,41.0,38.0,7.89,3.0,8.118E7,1980000
2021/09/29,38.0,38.0,38.0,38.0,38.0,0.0,0.0,266.0,7
2021/09/28,36.98,38.0,38.0,38.0,36.98,2.76,1.02,7600000.0,200000
2021/05/09,36.98,36.98,36.98,36.98,36.98,0.0,0.0,22927.599609,620
2021/04/14,36.98,36.98,36.98,36.98,36.98,0.0,0.0,4437.600098,120
2021/04/08,36.98,36.98,36.98,36.98,36.98,0.0,0.0,8135.600098,220
2021/03/04,36.98,36.98,36.98,36.98,36.98,0.0,0.0,739.599976,20
2021/02/04,36.98,36.98,36.98,36.98,36.98,0.0,0.0,5547.0,150
2020/12/29,36.98,36.970001,36.970001,36.98,36.98,-0.03,-0.01,18854.699219,510
2020/11/05,36.98,36.98,36.98,36.98,36.98,0.0,0.0,6656.399902,180
2020/06/24,36.98,36.0,36.0,36.98,36.98,-2.65,-0.98,252.0,7
2020/04/27,36.98,40.669998,36.98,36.98,36.98,0.0,0.0,1113.089966,30
2020/04/02,36.98,36.98,36.98,36.98,36.98,0.0,0.0,4807.399902,130
2020/03/04,36.98,36.98,36.98,36.98,36.98,0.0,0.0,5547.0,150
2020/02/27,36.98,36.98,36.98,36.98,36.98,0.0,0.0,5177.200195,140
2020/02/20,36.98,36.98,36.98,36.98,36.98,0.0,0.0,4067.800049,110
2020/02/13,36.98,36.98,36.98,36.98,36.98,0.0,0.0,1109.400024,30
2020/02/12,36.98,36.98,36.98,36.98,36.98,0.0,0.0,1849.0,50
2020/01/28,36.98,36.98,36.98,36.98,36.98,0.0,0.0,36.98,1
2020/01/27,36.98,36.98,36.98,36.98,36.98,0.0,0.0,1849.0,50
