«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,37.57,37.62,36.76,36.83,37.57,-1.97,-0.74,6147191.5,165347
2026/01/12,38.23,38.7,37.51,37.57,38.23,-1.73,-0.66,7704315.5,203450
2026/01/11,38.34,38.79,38.1,38.23,38.34,-0.29,-0.11,6409632.0,167323
2026/01/08,38.88,39.3,38.3,38.34,38.88,-1.39,-0.54,5619738.5,145166
2026/01/06,38.77,39.77,38.79,38.88,38.77,0.28,0.11,4747345.5,121414
2026/01/05,39.92,40.27,38.56,38.77,39.92,-2.88,-1.15,9801894.0,250954
2026/01/04,40.71,41.23,39.5,39.92,40.71,-1.94,-0.79,7945049.5,196912
2025/12/31,40.6,41.39,40.2,40.71,40.6,0.27,0.11,1.1283737E7,276053
2025/12/30,40.87,41.25,40.54,40.6,40.87,-0.66,-0.27,1.0598461E7,259172
2025/12/29,41.99,42.2,40.8,40.87,41.99,-2.67,-1.12,1.4715184E7,357618
2025/12/28,41.79,42.9,41.85,41.99,41.79,0.48,0.2,2.0801448E7,492205
2025/12/25,40.63,42.47,40.53,41.79,40.63,2.86,1.16,3.6869216E7,882359
2025/12/24,40.31,41.24,40.34,40.63,40.31,0.79,0.32,1.5382691E7,377324
2025/12/23,40.41,41.47,40.01,40.31,40.41,-0.25,-0.1,2.2732072E7,558880
2025/12/22,41.39,42.1,40.25,40.41,41.39,-2.37,-0.98,3.8877672E7,943628
2025/12/21,38.41,42.2,38.63,41.39,38.41,7.76,2.98,9.2278392E7,2245595
2025/12/18,38.34,38.87,38.2,38.41,38.34,0.18,0.07,7900653.5,204897
2025/12/17,37.6,39.4,37.5,38.34,37.6,1.97,0.74,2.4516032E7,632337
2025/12/16,37.56,37.93,37.36,37.6,37.56,0.11,0.04,6885246.5,183467
2025/12/15,38.03,38.64,37.5,37.56,38.03,-1.24,-0.47,9688626.0,255001
2025/12/14,38.47,38.84,38.0,38.03,38.47,-1.14,-0.44,8844764.0,231275
2025/12/11,39.08,39.55,38.36,38.47,39.08,-1.56,-0.61,7891280.5,202920
2025/12/10,38.64,39.8,38.65,39.08,38.64,1.14,0.44,2.4732124E7,629393
2025/12/09,37.86,39.37,37.4,38.64,37.86,2.06,0.78,5.294464E7,1368383
2025/12/08,37.25,38.29,37.05,37.86,37.25,1.64,0.61,1.6623855E7,440620
2025/12/07,37.69,37.72,37.08,37.25,37.69,-1.17,-0.44,4578228.0,122599
2025/12/04,37.63,37.99,37.15,37.69,37.63,0.16,0.06,4528131.5,120916
2025/12/03,38.0,38.4,37.37,37.63,38.0,-0.97,-0.37,1.1126854E7,293990
2025/12/02,36.95,38.0,36.7,38.0,36.95,2.84,1.05,1.3458787E7,359488
2025/12/01,37.59,37.99,36.91,36.95,37.59,-1.7,-0.64,9366642.0,251764
2025/11/30,37.69,38.77,37.31,37.59,37.69,-0.27,-0.1,1.45052E7,382736
2025/11/27,37.66,37.8,37.06,37.69,37.66,0.08,0.03,5053531.5,134923
2025/11/26,37.98,38.0,37.5,37.66,37.98,-0.84,-0.32,5401953.0,143204
2025/11/25,37.87,38.2,37.25,37.98,37.87,0.29,0.11,1.4509089E7,385219
2025/11/24,38.05,38.5,37.77,37.87,38.05,-0.47,-0.18,6490437.0,170428
2025/11/23,37.71,38.64,37.65,38.05,37.71,0.9,0.34,1.0746108E7,282363
2025/11/20,37.7,38.1,37.66,37.71,37.7,0.03,0.01,6901571.5,182443
2025/11/19,37.91,38.27,37.5,37.7,37.91,-0.55,-0.21,6948828.0,184048
2025/11/18,38.76,39.0,37.51,37.91,38.76,-2.19,-0.85,7262082.0,189436
2025/11/17,38.55,39.22,38.11,38.76,38.55,0.54,0.21,1.3460421E7,347608
2025/11/16,39.61,39.99,38.5,38.55,39.61,-2.68,-1.06,1.2305774E7,315190
2025/11/13,39.82,40.24,39.56,39.61,39.82,-0.53,-0.21,1.2574268E7,315892
2025/11/12,39.6,40.45,39.65,39.82,39.6,0.56,0.22,1.0402996E7,260142
2025/11/11,39.38,40.78,39.53,39.6,39.38,0.56,0.22,2.4959494E7,621306
2025/11/10,39.65,40.56,39.26,39.38,39.65,-0.68,-0.27,2.1550404E7,540116
2025/11/09,39.93,40.9,39.6,39.65,39.93,-0.7,-0.28,2.1102284E7,524813
2025/11/06,38.05,41.3,38.0,39.93,38.05,4.94,1.88,1.25506264E8,3138027
2025/11/05,37.14,38.77,37.25,38.05,37.14,2.45,0.91,3.5416772E7,928948
2025/11/04,37.17,37.7,37.1,37.14,37.17,-0.08,-0.03,1.1284742E7,302253
2025/11/03,37.33,37.8,36.9,37.17,37.33,-0.43,-0.16,1.2884027E7,346504
2025/11/02,38.0,38.5,37.05,37.33,38.0,-1.76,-0.67,1.6010642E7,423323
2025/10/30,36.3,38.7,36.33,38.0,36.3,4.68,1.7,3.6382296E7,957327
2025/10/29,36.53,36.94,36.26,36.3,36.53,-0.63,-0.23,5102806.0,139690
2025/10/28,37.19,37.63,36.23,36.53,37.19,-1.77,-0.66,1.3839284E7,375318
2025/10/27,37.23,37.87,37.1,37.19,37.23,-0.11,-0.04,6339535.0,169578
2025/10/26,37.14,38.2,37.15,37.23,37.14,0.24,0.09,8657831.0,229649
2025/10/23,38.03,38.32,37.1,37.14,38.03,-2.34,-0.89,1.0040139E7,266503
2025/10/22,38.3,38.8,38.0,38.03,38.3,-0.7,-0.27,6572868.5,171579
2025/10/21,39.01,39.2,38.15,38.3,39.01,-1.82,-0.71,1.1151223E7,288974
2025/10/20,38.15,39.25,37.9,39.01,38.15,2.25,0.86,1.9169906E7,495778
2025/10/19,38.05,38.39,38.0,38.15,38.05,0.26,0.1,5980304.5,156723
2025/10/16,38.35,38.59,38.0,38.05,38.35,-0.78,-0.3,6691214.5,175259
2025/10/15,38.7,39.14,38.0,38.35,38.7,-0.9,-0.35,1.255291E7,326091
2025/10/14,38.01,39.59,38.07,38.7,38.01,1.82,0.69,2.393553E7,614479
2025/10/13,37.79,38.6,37.87,38.01,37.79,0.58,0.22,1.1436105E7,299000
2025/10/12,38.04,38.2,37.6,37.79,38.04,-0.66,-0.25,5474474.0,144907
2025/10/08,38.33,38.89,38.0,38.04,38.33,-0.76,-0.29,1.2409356E7,324424
2025/10/07,38.02,39.7,38.33,38.33,38.02,0.82,0.31,3.8575752E7,987751
2025/10/06,37.07,38.25,37.17,38.02,37.07,2.56,0.95,2.333366E7,617251
2025/10/05,37.11,37.84,37.01,37.07,37.11,-0.11,-0.04,1.1612362E7,311013
2025/10/02,37.26,38.15,37.05,37.11,37.26,-0.4,-0.15,2.231336E7,593957
2025/10/01,37.21,38.64,37.03,37.26,37.21,0.13,0.05,3.9197324E7,1035659
2025/09/30,38.19,38.85,37.2,37.21,38.19,-2.57,-0.98,2.4335358E7,641395
2025/09/29,37.34,38.36,36.82,38.19,37.34,2.28,0.85,4.136812E7,1099820
2025/09/28,39.0,39.14,37.3,37.34,39.0,-4.26,-1.66,3.9155572E7,1030612
2025/09/25,40.22,40.9,38.61,39.0,40.22,-3.03,-1.22,3.0790902E7,772533
2025/09/24,39.41,41.0,39.21,40.22,39.41,2.06,0.81,3.0566192E7,761668
2025/09/23,40.37,42.36,39.21,39.41,40.37,-2.38,-0.96,3.712942E7,906266
2025/09/22,42.0,42.36,40.21,40.37,42.0,-3.88,-1.63,4.96329E7,1207124
2025/09/21,39.86,43.8,41.31,42.0,39.86,5.37,2.14,1.31981008E8,3096024
2025/09/18,37.75,40.74,38.06,39.86,37.75,5.59,2.11,8.546928E7,2157527
2025/09/17,37.31,38.3,36.22,37.75,37.31,1.18,0.44,3.3727584E7,898821
2025/09/16,39.5,40.28,36.4,37.31,39.5,-5.54,-2.19,4.5683064E7,1205208
