«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,33.02,33.29,32.71,32.75,33.02,-0.88,-0.29,6466779.0,196606
2026/01/12,33.68,33.7,33.0,33.02,33.68,-2.02,-0.68,9408486.0,283364
2026/01/11,33.4,33.89,33.19,33.68,33.4,0.9,0.3,5914780.5,176611
2026/01/08,33.28,33.98,33.1,33.4,33.28,0.36,0.12,5701572.0,170583
2026/01/06,33.35,33.97,33.0,33.28,33.35,-0.21,-0.07,7640745.0,229785
2026/01/05,33.99,35.0,33.02,33.35,33.99,-1.88,-0.64,8291593.0,245939
2026/01/04,35.01,36.0,33.26,33.99,35.01,-2.91,-1.02,1.1839981E7,346318
2025/12/31,35.21,36.83,34.6,35.01,35.21,-0.57,-0.2,6473015.0,183461
2025/12/30,33.54,35.21,33.15,35.21,33.54,4.98,1.67,1.7984106E7,515463
2025/12/29,34.02,34.89,33.48,33.54,34.02,-1.41,-0.48,9104540.0,269809
2025/12/28,34.78,35.7,34.01,34.02,34.78,-2.19,-0.76,7446656.0,214844
2025/12/25,33.13,34.78,33.06,34.78,33.13,4.98,1.65,1.6121678E7,467935
2025/12/24,33.41,33.92,33.0,33.13,33.41,-0.84,-0.28,5964402.0,179721
2025/12/23,34.49,34.97,33.37,33.41,34.49,-3.13,-1.08,6978034.5,205726
2025/12/22,32.99,34.61,32.7,34.49,32.99,4.55,1.5,1.4435468E7,427099
2025/12/21,32.95,34.4,32.9,32.99,32.95,0.12,0.04,1.295332E7,387579
2025/12/18,33.3,33.6,32.6,32.95,33.3,-1.05,-0.35,6743322.5,204144
2025/12/17,33.67,33.98,33.27,33.3,33.67,-1.1,-0.37,7563325.0,226302
2025/12/16,34.3,34.88,33.61,33.67,34.3,-1.84,-0.63,6776371.5,199653
2025/12/15,33.38,34.5,33.5,34.3,33.38,2.76,0.92,8420397.0,247583
2025/12/14,35.13,34.68,33.38,33.38,35.13,-4.98,-1.75,2.9842628E7,892435
2025/12/11,35.36,35.63,34.82,35.13,35.36,-0.65,-0.23,7336436.0,209155
2025/12/10,35.54,35.97,35.01,35.36,35.54,-0.51,-0.18,7766060.5,219533
2025/12/09,35.93,36.19,34.5,35.54,35.93,-1.09,-0.39,6929433.5,195598
2025/12/08,36.29,36.97,35.74,35.93,36.29,-0.99,-0.36,4369730.0,120714
2025/12/07,35.42,36.93,35.37,36.29,35.42,2.46,0.87,8442984.0,232545
2025/12/04,36.91,36.98,35.35,35.42,36.91,-4.04,-1.49,1.0466562E7,292748
2025/12/03,35.99,37.5,35.31,36.91,35.99,2.56,0.92,1.0258014E7,281540
2025/12/02,35.07,36.82,34.61,35.99,35.07,2.62,0.92,9885508.0,274283
2025/12/01,35.98,37.0,34.85,35.07,35.98,-2.53,-0.91,1.1930054E7,336245
2025/11/30,36.65,36.74,35.8,35.98,36.65,-1.83,-0.67,9310927.0,258028
2025/11/27,37.4,38.2,36.54,36.65,37.4,-2.01,-0.75,9763089.0,264018
2025/11/26,37.57,37.99,37.2,37.4,37.57,-0.45,-0.17,8263001.0,220588
2025/11/25,37.59,38.5,37.0,37.57,37.59,-0.05,-0.02,8773616.0,232129
2025/11/24,38.6,39.76,37.5,37.59,38.6,-2.62,-1.01,8107960.0,212632
2025/11/23,36.77,38.6,36.77,38.6,36.77,4.98,1.83,1.945912E7,509135
2025/11/20,37.56,37.87,36.56,36.77,37.56,-2.1,-0.79,1.0645331E7,287717
2025/11/19,37.16,38.8,37.0,37.56,37.16,1.08,0.4,1.1175428E7,297362
2025/11/18,38.83,39.86,37.01,37.16,38.83,-4.3,-1.67,1.5439143E7,406797
2025/11/17,36.99,38.83,36.03,38.83,36.99,4.97,1.84,2.2230156E7,581176
2025/11/16,38.93,39.19,36.99,36.99,38.93,-4.98,-1.94,2.1150964E7,565046
2025/11/13,39.92,40.48,38.68,38.93,39.92,-2.48,-0.99,1.377006E7,351711
2025/11/12,39.98,40.67,38.67,39.92,39.98,-0.15,-0.06,1.4203639E7,358684
2025/11/11,40.7,41.96,39.51,39.98,40.7,-1.77,-0.72,1.5027976E7,372736
2025/11/10,42.51,42.59,40.6,40.7,42.51,-4.26,-1.81,1.4341618E7,348890
2025/11/09,42.08,44.0,41.11,42.51,42.08,1.02,0.43,1.1456099E7,268444
2025/11/06,40.12,42.12,38.15,42.08,40.12,4.89,1.96,3.587136E7,871281
2025/11/05,38.21,40.12,36.3,40.12,38.21,5.0,1.91,3.3839292E7,900367
2025/11/04,40.22,39.9,38.21,38.21,40.22,-5.0,-2.01,2.0821976E7,542740
2025/11/03,42.33,43.99,40.22,40.22,42.33,-4.98,-2.11,5.36527E7,1298627
2025/11/02,40.32,42.33,38.55,42.33,40.32,4.99,2.01,5.1373024E7,1237161
2025/10/30,42.44,40.32,40.32,40.32,42.44,-5.0,-2.12,2400048.0,59525
2025/10/29,44.67,42.44,42.44,42.44,44.67,-4.99,-2.23,1878394.38,44260
2025/10/28,47.02,49.37,44.67,44.67,47.02,-5.0,-2.35,8.2692144E7,1724313
2025/10/27,44.79,47.02,47.02,47.02,44.79,4.98,2.23,5107782.5,108630
2025/10/26,42.66,44.79,44.79,44.79,42.66,4.99,2.13,9927704.0,221650
2025/10/23,40.63,42.66,40.65,42.66,40.63,5.0,2.03,2.323649E7,545781
2025/10/22,38.7,40.63,40.36,40.63,38.7,4.99,1.93,1.3608756E7,335049
2025/10/21,36.86,38.7,35.56,38.7,36.86,4.99,1.84,3.2155506E7,858021
2025/10/20,35.11,36.86,36.2,36.86,35.11,4.98,1.75,1.7572318E7,476749
2025/10/19,33.44,35.11,33.44,35.11,33.44,4.99,1.67,1.1661435E7,333655
2025/10/16,31.85,33.44,31.85,33.44,31.85,4.99,1.59,4.5919204E7,1382823
2025/10/15,30.34,31.85,31.85,31.85,30.34,4.98,1.51,3494168.0,109707
2025/10/14,28.9,30.34,30.34,30.34,28.9,4.98,1.44,3489524.75,115014
2025/10/13,27.53,28.9,28.9,28.9,27.53,4.98,1.37,3874854.25,134078
2025/10/12,26.22,27.53,27.35,27.53,26.22,5.0,1.31,6811343.0,247416
2025/10/08,25.7,26.93,24.56,26.22,25.7,2.02,0.52,8529376.0,328655
2025/10/07,27.01,26.9,25.66,25.7,27.01,-4.85,-1.31,1.1895362E7,457392
2025/10/06,27.98,28.64,27.0,27.01,27.98,-3.47,-0.97,1.1056931E7,403283
2025/10/05,26.65,27.98,26.7,27.98,26.65,4.99,1.33,2.2043358E7,790491
2025/10/02,25.39,26.65,26.65,26.65,25.39,4.96,1.26,1888978.63,70881
2025/10/01,24.19,25.39,25.39,25.39,24.19,4.96,1.2,1673556.5,65914
2025/09/30,23.04,24.19,22.05,24.19,23.04,4.99,1.15,8926674.0,377323
2025/09/29,24.25,24.2,23.04,23.04,24.25,-4.99,-1.21,1.1489216E7,493879
2025/09/28,25.52,25.85,24.25,24.25,25.52,-4.98,-1.27,1.1505159E7,469005
2025/09/25,26.0,26.5,24.8,25.52,26.0,-1.85,-0.48,8163819.5,320768
2025/09/24,26.94,27.15,25.6,26.0,26.94,-3.49,-0.94,1.2186617E7,467337
2025/09/23,27.95,27.23,26.6,26.94,27.95,-3.61,-1.01,6226505.5,231838
2025/09/22,27.64,28.25,27.3,27.95,27.64,1.3,0.36,5859272.5,210165
2025/09/21,27.08,27.75,27.0,27.64,27.08,2.07,0.56,8975865.0,328023
2025/09/18,27.32,27.6,26.5,27.08,27.32,-0.88,-0.24,6452355.5,240024
2025/09/17,27.61,28.0,26.42,27.32,27.61,-1.05,-0.29,8557924.0,313863
2025/09/16,28.92,28.98,27.48,27.61,28.92,-4.53,-1.31,1.1436372E7,411126
2025/09/15,29.15,29.35,28.85,28.92,29.15,-0.79,-0.23,1.2581908E7,432627
2025/09/14,28.5,29.4,28.5,29.15,28.5,2.28,0.65,6770863.5,233921
2025/09/11,28.46,29.0,28.0,28.5,28.46,0.14,0.04,6287480.5,219761
2025/09/10,28.27,28.69,27.05,28.46,28.27,0.81,0.23,5002610.5,177782
2025/09/09,29.39,29.87,28.05,28.27,29.39,-3.81,-1.12,8976379.0,312210
2025/09/08,29.05,30.0,28.65,29.39,29.05,1.17,0.34,6450866.5,219284
2025/09/07,29.52,30.0,28.97,29.05,29.52,-1.59,-0.47,1.1465724E7,392184
2025/09/03,30.05,30.34,28.87,29.52,30.05,-1.76,-0.53,7324038.5,250279
2025/09/02,30.12,30.6,29.0,30.05,30.12,-0.232,-0.07,7005872.5,232405
2025/09/01,30.91,30.91,30.0,30.12,30.91,-2.556,-0.79,5712146.0,188249
2025/08/31,29.45,30.92,29.11,30.91,29.45,4.958,1.46,1.2813894E7,422923
2025/08/28,29.0,30.39,29.06,29.45,29.0,1.552,0.45,8927166.0,300764
2025/08/27,27.62,29.0,26.24,29.0,27.62,4.996,1.38,1.7853696E7,659077
2025/08/26,29.07,29.5,27.62,27.62,29.07,-4.988,-1.45,1.8951966E7,674464
2025/08/25,30.52,31.5,29.0,29.07,30.52,-4.751,-1.45,2.2242086E7,748708
2025/08/21,31.11,31.49,30.03,30.52,31.11,-1.896,-0.59,1.0063911E7,329214
2025/08/20,31.25,32.01,30.91,31.11,31.25,-0.448,-0.14,8653867.0,275768
2025/08/19,32.46,32.85,30.84,31.25,32.46,-3.728,-1.21,1.036097E7,330498
2025/08/18,31.61,33.0,30.52,32.46,31.61,2.689,0.85,1.0084712E7,313450
2025/08/17,33.27,33.89,31.61,31.61,33.27,-4.989,-1.66,1.9455134E7,600980
2025/08/14,32.99,34.49,33.01,33.27,32.99,0.849,0.28,6455319.0,191577
2025/08/13,33.54,33.5,32.5,32.99,33.54,-1.64,-0.55,8414320.0,254639
2025/08/12,33.6,35.28,33.4,33.54,33.6,-0.18,-0.06,1.2425444E7,358387
2025/08/11,32.0,33.6,33.0,33.6,32.0,5.0,1.6,5515168.5,164567
2025/08/10,31.52,32.44,31.31,32.0,31.52,1.52,0.48,9325739.0,290560
2025/08/07,31.24,31.96,30.5,31.52,31.24,0.9,0.28,6248959.0,200221
2025/08/06,32.32,33.3,30.71,31.24,32.32,-3.34,-1.08,1.6724264E7,530177
