«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,13.12,13.23,12.76,12.8,13.12,-2.44,-0.32,5591978.5,430867
2026/01/12,13.27,13.44,13.03,13.12,13.27,-0.68,-0.09,6029411.5,454875
2026/01/11,13.4,13.6,13.06,13.27,13.4,-0.97,-0.13,3951655.75,294968
2026/01/08,13.63,13.95,13.35,13.4,13.63,-1.69,-0.23,8963440.0,659046
2026/01/06,13.4,13.79,13.45,13.63,13.4,1.72,0.23,4632520.0,339613
2026/01/05,13.79,13.9,13.03,13.4,13.79,-2.83,-0.39,6425997.5,475101
2026/01/04,13.8,14.1,13.75,13.79,13.8,-0.07,-0.01,9006933.0,648265
2025/12/31,13.91,14.0,13.7,13.8,13.91,-0.79,-0.11,6880647.5,497637
2025/12/30,13.91,14.23,13.9,13.91,13.91,0.0,0.0,6510487.5,464626
2025/12/29,13.81,14.27,13.81,13.91,13.81,0.72,0.1,1.4629999E7,1041749
2025/12/28,13.86,13.95,13.8,13.81,13.86,-0.36,-0.05,5799094.5,418911
2025/12/25,13.92,14.05,13.83,13.86,13.92,-0.43,-0.06,9897530.0,711077
2025/12/24,14.04,14.18,13.91,13.92,14.04,-0.85,-0.12,1.4026774E7,1001280
2025/12/23,13.87,14.68,13.98,14.04,13.87,1.23,0.17,8.2358352E7,5746683
2025/12/22,13.9,14.25,13.74,13.87,13.9,-0.22,-0.03,3.0687412E7,2195339
2025/12/21,13.69,14.19,13.63,13.9,13.69,1.53,0.21,2.5251222E7,1808714
2025/12/18,13.81,14.04,13.66,13.69,13.81,-0.87,-0.12,2.0136878E7,1457684
2025/12/17,14.56,14.77,13.8,13.81,14.56,-5.15,-0.75,6.9211728E7,4851237
2025/12/16,13.35,14.64,13.3,14.56,13.35,9.06,1.21,1.03056224E8,7332648
2025/12/15,13.38,13.59,13.27,13.35,13.38,-0.22,-0.03,8090651.5,603280
2025/12/14,13.34,13.66,13.27,13.38,13.34,0.3,0.04,1.1587831E7,859069
2025/12/11,13.4,13.77,13.28,13.34,13.4,-0.45,-0.06,3.2900494E7,2424268
2025/12/10,13.16,13.4,13.11,13.4,13.16,1.82,0.24,7054627.0,533601
2025/12/09,13.36,13.54,13.1,13.16,13.36,-1.5,-0.2,1.4054278E7,1055868
2025/12/08,13.21,13.55,13.16,13.36,13.21,1.14,0.15,2.0684492E7,1547141
2025/12/07,13.08,13.23,13.0,13.21,13.08,0.99,0.13,8632578.0,656696
2025/12/04,13.0,13.12,12.9,13.08,13.0,0.62,0.08,7124978.0,546918
2025/12/03,12.77,13.18,12.75,13.0,12.77,1.8,0.23,1.0298557E7,792587
2025/12/02,12.73,12.85,12.61,12.77,12.73,0.31,0.04,7096140.0,557483
2025/12/01,12.71,13.1,12.7,12.73,12.71,0.16,0.02,9018505.0,700112
2025/11/30,12.55,12.99,12.57,12.71,12.55,1.27,0.16,4786413.0,375635
2025/11/27,12.67,12.77,12.45,12.55,12.67,-0.95,-0.12,6758817.0,535737
2025/11/26,12.72,12.96,12.66,12.67,12.72,-0.39,-0.05,1.0749914E7,841244
2025/11/25,13.16,13.26,12.71,12.72,13.16,-3.34,-0.44,1.7534438E7,1352029
2025/11/24,13.6,13.8,13.15,13.16,13.6,-3.24,-0.44,4.7638956E7,3515684
2025/11/23,12.73,13.69,12.76,13.6,12.73,6.83,0.87,6.6438908E7,4970425
2025/11/20,12.72,13.12,12.72,12.73,12.72,0.08,0.01,8967640.0,692956
2025/11/19,12.69,12.78,12.61,12.72,12.69,0.24,0.03,2568612.75,202680
2025/11/18,12.76,12.9,12.66,12.69,12.76,-0.55,-0.07,4720952.0,369146
2025/11/17,12.7,12.79,12.6,12.76,12.7,0.47,0.06,4332181.5,341338
2025/11/16,12.81,12.9,12.67,12.7,12.81,-0.86,-0.11,4246955.0,332434
2025/11/13,12.95,13.0,12.57,12.81,12.95,-1.08,-0.14,8127010.0,634395
2025/11/12,12.7,13.1,12.72,12.95,12.7,1.97,0.25,7300344.5,563993
2025/11/11,12.84,12.94,12.69,12.7,12.84,-1.09,-0.14,4883911.0,382361
2025/11/10,12.95,13.16,12.66,12.84,12.95,-0.85,-0.11,8673508.0,675264
2025/11/09,13.03,13.3,12.9,12.95,13.03,-0.61,-0.08,7560016.0,576969
2025/11/06,13.01,13.24,12.9,13.03,13.01,0.15,0.02,1.0508091E7,803192
2025/11/05,13.33,13.53,13.0,13.01,13.33,-2.4,-0.32,1.272047E7,958102
2025/11/04,13.5,13.63,13.32,13.33,13.5,-1.26,-0.17,1.1207364E7,833196
2025/11/03,13.46,13.63,13.35,13.5,13.46,0.3,0.04,1.071773E7,794751
2025/11/02,13.33,13.75,13.36,13.46,13.33,0.98,0.13,1.3177757E7,975864
