«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,6.0,6.09,5.85,5.87,6.0,-2.17,-0.13,5810041.5,980667
2026/01/12,5.93,6.3,5.92,6.0,5.93,1.18,0.07,1.6711463E7,2720542
2026/01/11,5.88,5.95,5.84,5.93,5.88,0.68,0.04,1510200.63,256980
2026/01/08,6.08,6.05,5.83,5.88,6.08,-3.29,-0.2,4311188.5,725058
2026/01/06,6.0,6.1,5.93,6.08,6.0,1.33,0.08,4284474.0,713349
2026/01/05,6.32,6.36,5.9,6.0,6.32,-5.06,-0.32,1.4042206E7,2317102
2026/01/04,6.4,6.48,6.2,6.32,6.4,-0.78,-0.05,5152598.0,814671
2025/12/31,6.46,6.6,6.4,6.4,6.46,-0.93,-0.06,1.236986E7,1897398
2025/12/30,6.33,6.53,6.35,6.46,6.33,1.26,0.08,7404541.5,1147166
2025/12/29,6.35,6.45,6.33,6.33,6.35,-0.31,-0.02,3842924.0,602991
2025/12/28,6.42,6.5,6.35,6.35,6.42,-1.09,-0.07,2567698.25,401954
2025/12/25,6.49,6.55,6.41,6.42,6.49,-1.08,-0.07,3030594.0,467269
2025/12/24,6.39,6.53,6.34,6.49,6.39,1.565,0.1,8085002.0,1251697
2025/12/23,6.34,6.45,6.24,6.39,6.34,0.789,0.05,4341790.0,680807
2025/12/22,6.27,6.37,6.29,6.34,6.27,1.116,0.07,1464151.125,230836
2025/12/21,6.34,6.4,6.24,6.27,6.34,-0.315,-0.02,2585033.75,410214
2025/12/18,6.34,6.38,6.2,6.34,6.34,0.0,0.0,2811950.5,448703
2025/12/17,6.4,6.45,6.27,6.34,6.4,-1.406,-0.09,960849.563,151611
2025/12/16,6.38,6.47,6.3,6.4,6.38,0.313,0.02,5167012.5,814171
2025/12/15,6.5,6.57,6.12,6.38,6.5,-1.846,-0.12,3517228.25,549081
2025/12/14,6.58,6.66,6.5,6.5,6.58,-1.216,-0.08,1.1823946E7,1796639
2025/12/11,6.59,6.65,6.5,6.58,6.59,-0.152,-0.01,2640706.25,402156
2025/12/10,6.69,6.75,6.55,6.59,6.69,-1.495,-0.1,5540909.5,837440
2025/12/09,6.68,6.72,6.63,6.69,6.68,0.15,0.01,1.1093756E7,1662546
2025/12/08,6.62,6.83,6.58,6.68,6.62,0.906,0.06,1.4557658E7,2181674
