«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,4.06,4.08,4.01,4.02,4.06,-0.99,-0.04,779198.38,193440
2026/01/12,4.04,4.34,4.01,4.06,4.04,0.5,0.02,4673220.0,1128693
2026/01/11,4.01,4.07,4.0,4.04,4.01,-0.25,-0.01,388614.31,96077
2026/01/08,4.01,4.05,4.01,4.01,4.01,0.0,0.0,283334.41,70380
2026/01/06,4.02,4.07,4.0,4.01,4.02,-0.5,-0.02,784764.81,195741
2026/01/05,4.1,4.13,4.0,4.02,4.1,-1.95,-0.08,1166399.0,288675
2026/01/04,4.08,4.18,4.07,4.1,4.08,0.49,0.02,893358.69,217252
2025/12/31,4.13,4.19,4.07,4.08,4.13,-1.21,-0.05,1002040.63,244628
2025/12/30,4.03,4.3,4.04,4.13,4.03,1.99,0.08,2701245.75,645682
2025/12/29,4.09,4.14,4.01,4.03,4.09,-1.22,-0.05,1349563.0,334067
2025/12/28,4.13,4.16,4.07,4.09,4.13,-0.97,-0.04,1254003.75,304983
2025/12/25,4.14,4.23,4.11,4.13,4.14,-0.24,-0.01,1282830.5,308852
2025/12/24,4.1,4.18,4.11,4.14,4.1,0.98,0.04,612090.69,147732
2025/12/23,4.12,4.2,4.05,4.1,4.12,0.73,0.03,1124871.38,275156
2025/12/22,4.11,4.2,4.08,4.12,4.11,0.24,0.01,654520.94,159127
2025/12/21,4.15,4.25,4.1,4.11,4.15,-0.96,-0.04,1191226.63,287315
2025/12/18,4.2,4.3,4.14,4.15,4.2,-1.19,-0.05,1834491.88,437432
2025/12/17,4.23,4.29,4.2,4.2,4.23,-0.24,-0.01,1536835.88,362271
2025/12/16,4.26,4.3,4.19,4.23,4.26,-1.41,-0.06,493133.75,116458
2025/12/15,4.35,4.42,4.24,4.26,4.35,-2.07,-0.09,1467381.25,340404
2025/12/14,4.36,4.49,4.31,4.35,4.36,-0.23,-0.01,1061055.0,243875
2025/12/11,4.22,4.6,4.23,4.36,4.22,3.32,0.14,7224733.0,1620192
2025/12/10,4.1,4.36,4.1,4.22,4.1,2.68,0.11,3101055.75,729883
2025/12/09,4.08,4.16,4.07,4.1,4.08,0.49,0.02,857544.44,208553
2025/12/08,4.05,4.44,4.06,4.08,4.05,0.74,0.03,8034513.0,1911652
2025/12/07,4.03,4.18,4.03,4.05,4.03,0.5,0.02,1796192.25,438076
2025/12/04,3.85,4.45,3.85,4.03,3.85,4.68,0.18,1.1061899E7,2657656
2025/12/03,3.88,3.96,3.85,3.85,3.88,-0.77,-0.03,1666980.88,431497
2025/12/02,3.86,3.99,3.85,3.88,3.86,0.52,0.02,2094272.63,535230
2025/12/01,3.98,4.0,3.82,3.86,3.98,-3.27,-0.13,1560526.88,399807
2025/11/30,4.05,4.12,3.95,3.98,4.05,-1.73,-0.07,2102364.0,526008
2025/11/27,4.18,4.2,4.0,4.05,4.18,-3.11,-0.13,4772314.5,1177911
2025/11/26,4.19,4.25,4.12,4.18,4.19,-0.72,-0.03,1117742.13,266816
2025/11/25,4.28,4.3,4.15,4.19,4.28,-3.04,-0.13,826348.13,195898
2025/11/24,4.3,4.36,4.25,4.28,4.3,-0.47,-0.02,1466918.5,342922
2025/11/23,4.3,4.45,4.21,4.3,4.3,0.0,0.0,3172659.5,731852
2025/11/20,4.4,4.49,4.27,4.3,4.4,-2.27,-0.1,5486013.0,1265278
2025/11/19,4.47,4.59,4.39,4.4,4.47,-1.57,-0.07,3455008.75,776679
2025/11/18,4.58,4.65,4.45,4.47,4.58,-2.4,-0.11,4712465.5,1040320
2025/11/17,4.59,4.65,4.51,4.58,4.59,-0.44,-0.02,1515630.75,333945
2025/11/16,4.64,4.7,4.51,4.59,4.64,-0.86,-0.04,1689738.38,367997
2025/11/13,4.64,4.72,4.61,4.64,4.64,0.0,0.0,1061378.38,227425
2025/11/12,4.61,4.73,4.61,4.64,4.61,0.0,0.0,821758.63,176648
2025/11/11,4.63,4.73,4.6,4.61,4.63,-0.43,-0.02,1113235.25,239538
2025/11/10,4.76,4.8,4.47,4.63,4.76,-2.73,-0.13,2550937.0,553562
2025/11/09,4.79,4.85,4.75,4.76,4.79,-0.63,-0.03,984827.69,206423
2025/11/06,4.89,4.95,4.76,4.79,4.89,-2.04,-0.1,1689071.75,350649
2025/11/05,4.86,5.03,4.81,4.89,4.86,0.0,0.0,2221032.5,449291
2025/11/04,4.9,4.94,4.84,4.86,4.9,-0.82,-0.04,973544.25,199940
2025/11/03,4.87,4.94,4.84,4.9,4.87,0.62,0.03,523641.38,106944
2025/11/02,4.93,4.96,4.85,4.87,4.93,-1.22,-0.06,550720.13,112727
2025/10/30,4.93,4.97,4.87,4.93,4.93,0.0,0.0,191029.59,38960
2025/10/29,4.92,4.96,4.9,4.93,4.92,0.2,0.01,449993.94,91446
2025/10/28,4.95,5.0,4.9,4.92,4.95,-0.61,-0.03,1270630.63,256997
2025/10/27,5.01,5.08,4.94,4.95,5.01,-1.2,-0.06,1120305.5,225540
2025/10/26,4.97,5.15,4.98,5.01,4.97,0.8,0.04,2436047.5,481040
2025/10/23,4.91,5.0,4.92,4.97,4.91,1.43,0.07,1060677.63,214305
2025/10/22,5.08,5.18,4.9,4.91,5.08,-3.35,-0.17,2035179.63,409724
2025/10/21,5.2,5.28,5.06,5.08,5.2,-2.31,-0.12,1482723.13,287680
2025/10/20,5.3,5.48,5.12,5.2,5.3,-1.89,-0.1,1.3488922E7,2508952
2025/10/19,4.89,5.35,4.88,5.3,4.89,8.38,0.41,6055076.0,1175258
2025/10/16,4.95,4.97,4.87,4.89,4.95,-1.41,-0.07,1036844.5,211058
2025/10/15,4.88,4.97,4.82,4.95,4.88,1.43,0.07,1778955.88,363109
2025/10/14,4.89,5.06,4.87,4.88,4.89,-0.2,-0.01,2808351.0,568508
2025/10/13,4.86,4.97,4.85,4.89,4.86,0.62,0.03,1776669.38,362851
2025/10/12,4.95,5.0,4.85,4.86,4.95,-1.82,-0.09,1929654.25,394264
2025/10/08,4.94,5.05,4.92,4.95,4.94,0.2,0.01,3511159.5,704439
2025/10/07,4.99,5.35,4.9,4.94,4.99,-1.0,-0.05,1.420974E7,2803907
2025/10/06,5.06,5.11,4.97,4.99,5.06,-1.38,-0.07,2553407.25,508416
2025/10/05,5.07,5.19,5.04,5.06,5.07,-0.39,-0.02,1243322.0,245231
2025/10/02,5.08,5.2,5.03,5.07,5.08,-0.2,-0.01,1188065.0,233613
2025/10/01,5.08,5.3,5.04,5.08,5.08,0.0,0.0,3188707.0,617183
2025/09/30,5.25,5.37,5.07,5.08,5.25,-3.24,-0.17,6000128.0,1161975
2025/09/29,5.91,6.17,5.24,5.25,5.91,-11.17,-0.66,1.1894263E7,2141324
2025/09/28,4.93,5.91,4.88,5.91,4.93,19.879999,0.98,1.6311339E7,2904264
2025/09/25,5.0,5.1,4.88,4.93,5.0,-2.4,-0.12,575534.63,116754
2025/09/24,4.88,5.09,4.82,5.0,4.88,2.66,0.13,885552.94,177921
2025/09/23,4.95,5.1,4.81,4.88,4.95,-1.41,-0.07,900733.38,182175
2025/09/22,4.96,5.17,4.9,4.95,4.96,-0.2,-0.01,893981.19,179617
2025/09/21,5.3,5.57,4.91,4.96,5.3,-6.42,-0.34,2296118.0,449577
2025/09/18,5.22,5.7,5.16,5.3,5.22,1.53,0.08,6044135.0,1106777
2025/09/17,5.22,5.37,5.02,5.22,5.22,-0.38,-0.02,81389.46,15591
2025/09/16,5.47,5.53,5.04,5.22,5.47,-4.57,-0.25,627464.56,119716
2025/09/15,5.49,5.55,5.42,5.47,5.49,-1.28,-0.07,304524.88,55646
2025/09/14,5.49,5.56,5.37,5.49,5.49,-1.46,-0.08,213701.45,39451
2025/09/11,5.58,5.64,5.42,5.49,5.58,-2.87,-0.16,673295.56,122010
2025/09/10,5.55,5.64,5.33,5.58,5.55,0.54,0.03,925643.88,169218
2025/09/09,5.44,5.68,5.41,5.55,5.44,2.02,0.11,663476.94,120202
2025/09/08,5.44,5.59,5.33,5.44,5.44,-2.02,-0.11,339635.25,62305
2025/09/07,5.75,5.78,5.41,5.44,5.75,-5.39,-0.31,1402608.5,253662
2025/09/03,5.71,5.84,5.64,5.75,5.71,0.53,0.03,383812.16,66867
2025/09/02,5.79,5.89,5.66,5.71,5.79,-1.38,-0.08,523170.78,91170
2025/09/01,5.66,5.87,5.63,5.79,5.66,0.35,0.02,1172298.75,202679
2025/08/31,5.74,5.97,5.61,5.66,5.74,-2.26,-0.13,1506905.13,263243
2025/08/28,5.64,5.94,5.66,5.74,5.64,1.77,0.1,2394493.75,411673
2025/08/27,6.07,6.2,5.63,5.64,6.07,-7.08,-0.43,8440042.0,1410989
2025/08/26,6.08,6.26,5.91,6.07,6.08,-0.16,-0.01,5931332.5,972272
