«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,0.666,0.666,0.642,0.643,0.666,-3.453,-0.023,2.4480466E7,37683135
2026/01/12,0.673,0.682,0.649,0.666,0.673,-1.04,-0.007,4.8582868E7,72464316
2026/01/11,0.669,0.695,0.672,0.673,0.669,0.598,0.004,1.65777696E8,242730444
2026/01/08,0.631,0.68,0.641,0.669,0.631,6.022,0.038,1.57854752E8,237341887
2026/01/06,0.632,0.639,0.629,0.631,0.632,-0.158,-0.001,8447030.0,13356366
2026/01/05,0.64,0.647,0.631,0.632,0.64,-1.25,-0.008,1.9563688E7,30740353
2026/01/04,0.632,0.648,0.631,0.64,0.632,1.266,0.008,3.8020028E7,59495009
2025/12/31,0.638,0.641,0.629,0.632,0.638,-0.94,-0.006,2.8092094E7,44267734
2025/12/30,0.641,0.643,0.636,0.638,0.641,-0.468,-0.003,1.9938588E7,31190585
2025/12/29,0.632,0.652,0.631,0.641,0.632,1.424,0.009,4.206124E7,65201274
2025/12/28,0.629,0.639,0.629,0.632,0.629,0.477,0.003,1.8014962E7,28474099
2025/12/25,0.619,0.633,0.616,0.629,0.619,1.616,0.01,3.3279248E7,53161280
2025/12/24,0.621,0.629,0.617,0.619,0.621,-0.322,-0.002,3.2236672E7,51851697
2025/12/23,0.635,0.642,0.616,0.621,0.635,-2.205,-0.014,3.5470416E7,56582719
2025/12/22,0.638,0.645,0.633,0.635,0.638,-0.47,-0.003,2.0575882E7,32286801
2025/12/21,0.635,0.653,0.636,0.638,0.635,0.472,0.003,3.3821108E7,52610518
2025/12/18,0.641,0.644,0.635,0.635,0.641,-0.936,-0.006,2.5469566E7,39881491
2025/12/17,0.649,0.658,0.637,0.641,0.649,-1.233,-0.008,2.4882928E7,38573615
2025/12/16,0.65,0.664,0.649,0.649,0.65,-0.154,-0.001,4.2848704E7,65255502
2025/12/15,0.636,0.659,0.634,0.65,0.636,2.201,0.014,4.3374616E7,66848070
2025/12/14,0.645,0.648,0.632,0.636,0.645,-1.395,-0.009,3.6056816E7,56397427
2025/12/11,0.656,0.66,0.643,0.645,0.656,-1.677,-0.011,4.681012E7,71985996
2025/12/10,0.644,0.665,0.646,0.656,0.644,1.863,0.012,5.6340532E7,85696728
2025/12/09,0.659,0.662,0.634,0.644,0.659,-2.276,-0.015,7.8957072E7,122083103
2025/12/08,0.685,0.693,0.657,0.659,0.685,-3.796,-0.026,8.5187776E7,126087958
2025/12/07,0.723,0.715,0.677,0.685,0.723,-5.256,-0.038,1.58458816E8,229690539
2025/12/04,0.705,0.736,0.69,0.723,0.705,2.553,0.018,2.06789504E8,290154890
2025/12/03,0.639,0.705,0.629,0.705,0.639,10.329,0.066,2.18076112E8,322053204
2025/12/02,0.655,0.662,0.633,0.639,0.655,-2.443,-0.016,7.0620392E7,109470563
2025/12/01,0.608,0.655,0.608,0.655,0.608,7.73,0.047,1.60716512E8,254222103
2025/11/30,0.605,0.615,0.603,0.608,0.605,0.496,0.003,3.85263E7,63212013
2025/11/27,0.598,0.614,0.593,0.605,0.598,1.171,0.007,2.6047044E7,43132939
2025/11/26,0.61,0.614,0.597,0.598,0.61,-1.967,-0.012,2.2352352E7,37091146
2025/11/25,0.624,0.628,0.597,0.61,0.624,-2.244,-0.014,4.7463944E7,77167436
2025/11/24,0.594,0.627,0.585,0.624,0.594,5.051,0.03,8.2425528E7,134934534
2025/11/23,0.603,0.61,0.593,0.594,0.603,-1.493,-0.009,3.0116196E7,50207290
2025/11/20,0.604,0.614,0.602,0.603,0.604,-0.166,-0.001,3.1048112E7,51058482
2025/11/19,0.601,0.618,0.6,0.604,0.601,0.499,0.003,5.0402064E7,82765181
2025/11/18,0.615,0.629,0.601,0.601,0.615,-2.276,-0.014,7.793108E7,127207171
2025/11/17,0.625,0.656,0.614,0.615,0.625,-1.6,-0.01,2.18676304E8,344181608
2025/11/16,0.585,0.628,0.584,0.625,0.585,6.838,0.04,2.32675616E8,382758417
2025/11/13,0.57,0.594,0.568,0.585,0.57,2.632,0.015,4.1326548E7,70932540
2025/11/12,0.565,0.579,0.566,0.57,0.565,0.885,0.005,2.5451198E7,44432415
2025/11/11,0.565,0.568,0.56,0.565,0.565,-0.531,-0.003,1.2667796E7,22490749
2025/11/10,0.567,0.572,0.56,0.565,0.567,-0.353,-0.002,1.9001256E7,33662805
2025/11/09,0.58,0.586,0.566,0.567,0.58,-2.241,-0.013,5.118092E7,89142171
2025/11/06,0.542,0.589,0.54,0.58,0.542,7.011,0.038,1.227954E8,215655389
2025/11/05,0.534,0.553,0.533,0.542,0.534,1.498,0.008,2.493635E7,45753738
2025/11/04,0.534,0.537,0.533,0.534,0.534,0.0,0.0,5762283.0,10776231
2025/11/03,0.535,0.537,0.531,0.534,0.535,-0.187,-0.001,4662275.5,8738693
2025/11/02,0.534,0.537,0.53,0.535,0.534,0.187,0.001,7922090.5,14859735
2025/10/30,0.536,0.539,0.533,0.534,0.536,-0.373,-0.002,6876422.5,12822099
2025/10/29,0.537,0.54,0.535,0.536,0.537,-0.186,-0.001,6966395.0,12979019
2025/10/28,0.543,0.547,0.536,0.537,0.543,-1.105,-0.006,1.0731477E7,19851406
2025/10/27,0.54,0.547,0.54,0.543,0.54,0.556,0.003,1.1853123E7,21845363
2025/10/26,0.539,0.546,0.54,0.54,0.539,0.186,0.001,1.2303812E7,22673371
2025/10/23,0.541,0.55,0.535,0.539,0.541,-0.37,-0.002,2.2767724E7,41866290
2025/10/22,0.55,0.555,0.541,0.541,0.55,-1.636,-0.009,1.9142696E7,35092242
2025/10/21,0.528,0.574,0.541,0.55,0.528,4.167,0.022,1.2321492E8,220538972
2025/10/20,0.526,0.53,0.523,0.528,0.526,0.38,0.002,1.7827348E7,33807612
2025/10/19,0.517,0.526,0.518,0.526,0.517,1.741,0.009,1.3750529E7,26290479
2025/10/16,0.512,0.523,0.512,0.517,0.512,0.977,0.005,1.7486884E7,33783711
2025/10/15,0.518,0.52,0.51,0.512,0.518,-1.158,-0.006,1.3048464E7,25434476
2025/10/14,0.52,0.521,0.518,0.518,0.52,-0.385,-0.002,1.1748931E7,22634477
2025/10/13,0.518,0.524,0.518,0.52,0.518,0.386,0.002,6067480.5,11682826
2025/10/12,0.524,0.527,0.516,0.518,0.524,-1.145,-0.006,9267313.0,17838251
2025/10/08,0.527,0.53,0.523,0.524,0.527,-0.569,-0.003,1.0845886E7,20617983
2025/10/07,0.527,0.537,0.525,0.527,0.527,0.0,0.0,2.2477518E7,42306453
2025/10/06,0.531,0.532,0.524,0.527,0.531,-0.753,-0.004,1.8896534E7,35939227
2025/10/05,0.528,0.534,0.528,0.531,0.528,0.568,0.003,8339273.0,15696358
2025/10/02,0.533,0.534,0.528,0.528,0.533,-0.938,-0.005,5231568.0,9874372
2025/10/01,0.53,0.536,0.529,0.533,0.53,0.566,0.003,1.0261574E7,19285350
2025/09/30,0.532,0.534,0.529,0.53,0.532,-0.376,-0.002,3570783.75,6719926
2025/09/29,0.536,0.539,0.531,0.532,0.536,-0.746,-0.004,2853057.75,5340235
2025/09/28,0.528,0.54,0.528,0.536,0.528,1.515,0.008,7323719.5,13709741
2025/09/25,0.53,0.535,0.526,0.528,0.53,-0.377,-0.002,3811874.75,7205956
2025/09/24,0.525,0.533,0.522,0.53,0.525,0.952,0.005,4264488.0,8119866
2025/09/23,0.533,0.535,0.525,0.525,0.533,-1.501,-0.008,4576958.0,8673743
2025/09/22,0.53,0.535,0.53,0.533,0.53,0.566,0.003,2857696.25,5370825
2025/09/21,0.538,0.543,0.53,0.53,0.538,-1.487,-0.008,3917741.25,7326670
2025/09/18,0.54,0.545,0.537,0.538,0.54,-0.37,-0.002,4160967.0,7710072
2025/09/17,0.542,0.545,0.538,0.54,0.542,-0.369,-0.002,3263242.25,6040096
2025/09/16,0.548,0.551,0.536,0.542,0.548,-1.095,-0.006,9858010.0,18108146
2025/09/15,0.545,0.556,0.545,0.548,0.545,0.55,0.003,1.1405117E7,20708668
2025/09/14,0.547,0.549,0.545,0.545,0.547,-0.366,-0.002,3760875.25,6886034
2025/09/11,0.546,0.549,0.544,0.547,0.546,0.183,0.001,5522589.5,10115925
2025/09/10,0.546,0.55,0.542,0.546,0.546,0.0,0.0,3984793.5,7299375
2025/09/09,0.546,0.556,0.544,0.546,0.546,0.0,0.0,1.0736219E7,19567471
2025/09/08,0.548,0.553,0.546,0.546,0.548,-0.365,-0.002,6578794.5,11970848
2025/09/07,0.555,0.559,0.548,0.548,0.555,-1.261,-0.007,6255847.0,11354915
2025/09/03,0.555,0.559,0.549,0.555,0.555,0.0,0.0,7010843.0,12673434
2025/09/02,0.55,0.556,0.547,0.555,0.55,0.909,0.005,7934380.0,14381932
2025/09/01,0.551,0.558,0.545,0.55,0.551,-0.181,-0.001,7899639.5,14328169
2025/08/31,0.568,0.574,0.548,0.551,0.568,-2.993,-0.017,1.2689917E7,22606183
2025/08/28,0.567,0.58,0.567,0.568,0.567,0.176,0.001,3.552452E7,62153154
2025/08/27,0.548,0.572,0.544,0.567,0.548,3.467,0.019,3.595544E7,63922661
2025/08/26,0.554,0.56,0.545,0.548,0.554,-1.083,-0.006,1.3170201E7,23838988
2025/08/25,0.54,0.562,0.542,0.554,0.54,2.593,0.014,3.39821E7,61216173
2025/08/24,0.537,0.545,0.537,0.54,0.537,0.559,0.003,5191984.5,9607138
2025/08/21,0.541,0.543,0.537,0.537,0.541,-0.739,-0.004,4061251.0,7538236
2025/08/20,0.551,0.556,0.54,0.541,0.551,-1.815,-0.01,1.1023319E7,20191349
