«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,9.97,10.2,9.94,9.95,9.97,-0.2,-0.02,3056881.75,304948
2026/01/12,10.29,10.39,9.93,9.97,10.29,-3.11,-0.32,5389378.5,531071
2026/01/11,10.2,10.42,10.11,10.29,10.2,0.88,0.09,2653807.75,257700
2026/01/08,10.28,10.4,10.1,10.2,10.28,-0.78,-0.08,1270433.38,124499
2026/01/06,10.1,10.42,10.08,10.28,10.1,2.48,0.25,2630179.0,256791
2026/01/05,10.2,10.3,9.98,10.1,10.2,-0.98,-0.1,2290770.75,227645
2026/01/04,10.2,10.43,10.16,10.2,10.2,0.0,0.0,1719533.13,167831
2025/12/31,10.3,10.4,10.16,10.2,10.3,-0.97,-0.1,3472664.75,337407
2025/12/30,10.33,10.49,10.28,10.3,10.33,0.39,0.04,4022303.25,388157
2025/12/29,10.5,10.57,10.32,10.33,10.5,-1.62,-0.17,4474144.5,429570
2025/12/28,10.49,10.6,10.46,10.5,10.49,0.1,0.01,1878474.25,178526
2025/12/25,10.5,10.68,10.41,10.49,10.5,-0.1,-0.01,4657235.0,440732
2025/12/24,10.6,10.75,10.47,10.5,10.6,-0.94,-0.1,1745615.88,165422
2025/12/23,10.75,10.85,10.47,10.6,10.75,-1.4,-0.15,6409062.5,603511
2025/12/22,10.41,10.97,10.49,10.75,10.41,3.27,0.34,1.2344897E7,1144322
2025/12/21,10.4,10.59,10.39,10.41,10.4,0.1,0.01,3139090.0,298803
2025/12/18,10.33,10.62,10.35,10.4,10.33,0.68,0.07,2914880.75,279041
2025/12/17,10.55,10.57,10.01,10.33,10.55,-1.42,-0.15,4941919.0,476854
2025/12/16,10.53,10.74,10.43,10.55,10.53,0.66,0.07,3922063.5,371373
2025/12/15,10.63,10.82,10.51,10.53,10.63,-0.94,-0.1,2986577.25,281262
2025/12/14,10.24,11.0,10.25,10.63,10.24,3.81,0.39,3.1587504E7,2927507
2025/12/11,10.1,10.33,10.13,10.24,10.1,1.39,0.14,4262099.0,416535
2025/12/10,10.22,10.27,10.01,10.1,10.22,-1.17,-0.12,1575122.0,155429
2025/12/09,10.25,10.34,10.12,10.22,10.25,-1.27,-0.13,2914002.0,283945
2025/12/08,9.8,10.3,9.82,10.25,9.8,4.59,0.45,7366708.0,728958
2025/12/07,9.8,9.85,9.61,9.8,9.8,0.0,0.0,3198431.0,327904
2025/12/04,9.82,9.9,9.76,9.8,9.82,-0.2,-0.02,2497340.25,254713
2025/12/03,9.81,9.98,9.8,9.82,9.81,0.1,0.01,2657442.0,269455
