«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,24.88,24.85,24.11,24.29,24.88,-2.37,-0.59,7714344.5,313537
2026/01/12,25.13,25.19,24.81,24.88,25.13,-0.99,-0.25,6086190.0,243013
2026/01/11,25.13,25.18,25.0,25.13,25.13,0.0,0.0,6157921.0,245437
2026/01/08,25.17,25.25,24.81,25.13,25.17,0.0,0.0,7588666.5,302610
2026/01/06,25.19,25.18,24.9,25.17,25.19,-0.08,-0.02,7034280.5,280907
2026/01/05,25.46,25.6,24.7,25.19,25.46,-1.06,-0.27,9915982.0,395373
2026/01/04,25.58,25.65,25.3,25.46,25.58,-0.47,-0.12,8324131.0,326132
2025/12/31,25.55,25.6,25.06,25.58,25.55,0.12,0.03,6548992.5,258069
2025/12/30,25.37,25.57,25.26,25.55,25.37,0.71,0.18,5640565.0,221617
2025/12/29,25.21,25.5,25.16,25.37,25.21,0.63,0.16,8161249.5,322042
2025/12/28,25.33,25.65,25.0,25.21,25.33,-0.47,-0.12,1.5508366E7,611953
2025/12/25,25.58,25.69,25.3,25.33,25.58,-0.98,-0.25,1.0270083E7,403885
2025/12/24,25.9,26.13,25.5,25.58,25.9,-1.24,-0.32,1.2640283E7,493263
2025/12/23,25.85,25.97,25.56,25.9,25.85,0.19,0.05,5733295.5,221946
2025/12/22,25.9,26.42,25.8,25.85,25.9,-0.19,-0.05,1.8681978E7,715184
2025/12/21,25.78,26.2,25.51,25.9,25.78,0.66,0.17,5098985.0,197579
2025/12/18,25.75,25.82,25.47,25.78,25.75,0.12,0.03,5906796.0,230559
2025/12/17,25.53,25.8,25.27,25.75,25.53,0.86,0.22,8027211.0,314334
2025/12/16,25.89,25.87,25.51,25.53,25.89,-1.39,-0.36,4149520.75,161857
2025/12/15,25.88,25.9,25.56,25.89,25.88,0.04,0.01,7538968.5,293401
2025/12/14,25.93,26.09,25.83,25.88,25.93,-0.19,-0.05,4147966.0,159933
2025/12/11,26.38,26.84,25.91,25.93,26.38,-1.71,-0.45,1.2056125E7,458842
2025/12/10,26.32,26.65,26.38,26.38,26.32,0.23,0.06,1.2383688E7,466747
2025/12/09,25.74,26.4,25.71,26.32,25.74,2.41,0.62,3.8874016E7,1481770
2025/12/08,25.91,26.0,25.67,25.74,25.91,-0.66,-0.17,1.4839302E7,575116
2025/12/07,25.48,25.96,25.3,25.91,25.48,1.69,0.43,1.6415502E7,642668
2025/12/04,25.3,25.76,25.33,25.48,25.3,0.71,0.18,1.8390604E7,720063
2025/12/03,25.46,25.64,25.22,25.3,25.46,-0.63,-0.16,7800632.0,307976
2025/12/02,25.47,25.69,25.12,25.46,25.47,0.08,0.02,7446547.0,293695
2025/12/01,25.79,25.8,25.01,25.47,25.79,-1.24,-0.32,1.5959149E7,631141
2025/11/30,25.28,25.8,25.0,25.79,25.28,2.02,0.51,1.1181834E7,442438
2025/11/27,25.26,25.43,24.7,25.28,25.26,0.08,0.02,1.3727757E7,545009
